Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0404ace1bcdf88d917bd860a04cd6c66fb51679f,jun,2017,heat,auto,Homer,647.0,747.0,637.0,0.0,True,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,jun,2017,heat,hold,Homer,668.2440944881888,667.2440944881888,660.9291338582677,0.0,True,False,False
1544f3165814ae017488964fc29ae302bba75bb7,jun,2017,heat,auto,juneau,692.5434782608696,681.3695652173913,680.6521739130435,27.0,False,False,False
1544f3165814ae017488964fc29ae302bba75bb7,jun,2017,heat,hold,juneau,693.4150943396228,689.4905660377359,688.4716981132076,27.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,jun,2017,heat,auto,Palmer,705.4285714285713,736.2857142857142,710.5714285714287,0.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,jun,2017,heat,hold,Palmer,695.5490196078432,684.0980392156863,683.8235294117648,0.0,False,False,False
bdad2c2f85c6d00c7ceea6df8246135cb8da01ae,jun,2017,heat,hold,Anchorage,669.4415584415584,673.8961038961039,673.8961038961039,40.0,False,False,False
c810efa572eb24b685d4ea14eb98d7f79cac0bd3,jun,2017,heat,hold,North Pole,717.7160883280757,650.0,630.0,0.0,False,False,False
d52d6af22f2bcad8215f8eec1a710dd00e190c7b,jun,2017,heat,auto,Wasilla,685.8232018561483,650.0,650.0,5.0,False,False,False
df7ad0ff0b54c69d3f2cdeda3b12bff79713d572,jun,2017,heat,hold,juneau,688.3583333333332,677.55,676.7833333333333,27.0,False,False,False
fda1f67e8423ed49933c45617ee96aef3bae04ba,jun,2017,heat,auto,Wasilla,691.066037735849,650.0,650.0,0.0,False,False,False
fda1f67e8423ed49933c45617ee96aef3bae04ba,jun,2017,heat,hold,Wasilla,685.7816571130797,654.8577384054195,654.8577384054195,0.0,False,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,jun,2018,heat,hold,Homer,671.176,665.24,651.944,0.0,True,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,jun,2018,heat,hold,Anchorage,673.6420765027323,670.5765027322403,670.4043715846994,20.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,jun,2018,heat,hold,Anchorage,661.3257575757576,651.1590909090909,627.1590909090909,0.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,jun,2018,heat,auto,Palmer,640.7380952380953,650.0,619.8571428571429,0.0,False,False,False
3c569abab42071063670722a0b326b0da8738423,jun,2018,heat,auto,Anchorage,697.7931034482757,701.8620689655173,699.8793103448276,25.0,False,False,False
3c569abab42071063670722a0b326b0da8738423,jun,2018,heat,hold,Anchorage,692.0169491525422,685.0847457627119,685.0847457627119,25.0,False,False,False
7f8d7869602b0becdb1f67e15d7796602e5cae7d,jun,2018,heat,auto,Anchorage,713.9350961538463,664.0360576923077,696.1971153846154,15.0,True,False,False
7f8d7869602b0becdb1f67e15d7796602e5cae7d,jun,2018,heat,hold,Anchorage,688.3894230769231,675.0865384615385,663.4134615384615,15.0,True,False,False
