Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004666c8518763d5ff5a1b6f9be919899724167e,jun,2017,auto,hold,Denver,766.1153846153846,826.8675213675214,712.6310541310543,10.0,False,False,False
004666c8518763d5ff5a1b6f9be919899724167e,jun,2017,cool,hold,Denver,742.8493975903615,737.0120481927712,736.656626506024,10.0,False,False,False
00b9d14bcf27ff6d6e0c30c6f60651c6c8c9ae8b,jun,2017,auto,hold,Aurora,715.1428571428571,691.2857142857142,641.2857142857142,17.0,False,False,False
011a84668067e31b514a0238be88622798e2d625,jun,2017,auto,auto,Colorado Springs,703.0,812.0,635.0,40.0,False,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,jun,2017,auto,auto,Parker,714.5588235294118,742.1617647058823,691.6617647058823,5.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,jun,2017,auto,hold,Parker,712.6578947368422,741.2105263157895,655.828947368421,5.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,jun,2017,cool,auto,Parker,717.5576923076923,722.3269230769231,669.5,5.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,jun,2017,cool,hold,Parker,724.5237191650855,737.7552182163188,736.292220113852,5.0,True,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,jun,2017,auto,auto,Denver,754.3333333333335,770.0,610.0,27.0,False,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,jun,2017,auto,hold,Denver,747.4736842105265,750.0,640.0,27.0,False,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,jun,2017,cool,auto,Denver,717.8311688311688,779.4545454545455,639.3636363636364,27.0,False,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,jun,2017,cool,hold,Denver,752.5114155251141,755.4703196347032,754.5799086757991,27.0,False,False,False
02268c8ef312c50f5ab4204d38797ad98191426f,jun,2017,auto,hold,Westminster,759.2619047619047,762.4166666666665,697.8798701298701,15.0,False,False,False
023e52c34a45933d9544217fda42e8576721a9c0,jun,2017,cool,auto,Denver,713.4,710.2,710.2,5.0,False,False,False
023e52c34a45933d9544217fda42e8576721a9c0,jun,2017,cool,hold,Denver,713.3225806451613,713.1505376344086,712.5913978494624,5.0,False,False,False
02ace11b429b2dd91e15d00e95e74e8de4390f44,jun,2017,auto,auto,Aurora,690.9259259259261,701.8962962962962,650.4925925925926,10.0,True,False,False
02ace11b429b2dd91e15d00e95e74e8de4390f44,jun,2017,heat,auto,Aurora,709.6785714285713,720.0,650.0,10.0,True,False,False
0304e75b95d46688ba4adb69afe6ee29ae32f8ee,jun,2017,auto,hold,Erie,752.1700404858299,746.2834008097167,680.0,5.0,False,False,False
037dffdc6862f2728b9b5ee517df39040bdda9d1,jun,2017,auto,auto,Centennial,731.309523809524,740.1190476190477,690.0,37.0,False,False,False
041ed69ba40e3227bad32376995e44ce3c55d668,jun,2017,cool,auto,Louisville,704.3809523809523,726.5,700.0,25.0,False,False,False
041ed69ba40e3227bad32376995e44ce3c55d668,jun,2017,cool,hold,Louisville,702.8,693.6,691.2,25.0,False,False,False
04a6ca203e788cdda95ded1443248cd26417b01a,jun,2017,auto,auto,Colorado Springs,718.1666666666665,720.0,670.0,15.0,False,False,False
04a6ca203e788cdda95ded1443248cd26417b01a,jun,2017,auto,hold,Colorado Springs,737.7424242424244,734.2878787878788,684.0833333333334,15.0,False,False,False
065514da7b79f40ce2239bf463f9aeb0bbf37140,jun,2017,cool,hold,Lakewood,695.8333333333335,690.0,690.0,30.0,False,False,False
0704218848a237e9984fe97476258a550152ae57,jun,2017,cool,auto,Colorado Springs,716.0810810810809,733.7567567567568,691.1621621621623,30.0,False,False,False
0704218848a237e9984fe97476258a550152ae57,jun,2017,cool,hold,Colorado Springs,713.6846846846847,726.2,726.136936936937,30.0,False,False,False
