Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00020f16d85e6d8c70fc67725f03ab06b116fead,feb,2017,auto,auto,Jacksonville,722.0845070422536,760.0,670.0,5.0,False,False,True
0024f0f900a4ff6923e95a2a20ee94c699ecf167,feb,2017,cool,auto,Miami,767.6334841628958,799.9909502262442,760.0090497737558,0.0,False,False,False
0024f0f900a4ff6923e95a2a20ee94c699ecf167,feb,2017,cool,hold,Miami,749.4173819742488,774.9855150214592,774.9758583690988,0.0,False,False,False
01047c4cced05cfd81b6a7c9c263239317203975,feb,2017,cool,auto,Oviedo,747.5077844311377,761.637125748503,694.2658682634731,0.0,False,False,True
01047c4cced05cfd81b6a7c9c263239317203975,feb,2017,cool,hold,Oviedo,751.0392156862746,760.0,760.0,0.0,False,False,True
01047c4cced05cfd81b6a7c9c263239317203975,feb,2017,heat,auto,Oviedo,751.5,741.9,737.7727272727273,0.0,False,False,True
016ed9f11640b675bc19bc1631dea6148f935742,feb,2017,auto,auto,Ocoee,744.2608695652175,745.0,695.0,20.0,False,False,True
01ae2fc4200eaca2d99664df1fa68d2f8f5217ae,feb,2017,auto,auto,Jacksonville,697.625,770.0,699.0,75.0,False,False,True
02930c0ed7ef7ee39dbbfa13e7e8af05f592fd15,feb,2017,auto,auto,Kissimmee,742.7446808510637,797.0,742.1158392434987,20.0,False,False,True
02930c0ed7ef7ee39dbbfa13e7e8af05f592fd15,feb,2017,auto,hold,Kissimmee,752.3333333333335,818.3333333333335,745.6666666666665,20.0,False,False,True
033f058f0ba2ab21e1df947d0a51a160625d6e40,feb,2017,cool,hold,Pensacola,716.5555555555555,740.0,740.0,10.0,False,False,False
035764cf63c11d7dde57830409bfb47d22ba4824,feb,2017,cool,auto,Pembroke Pines,720.7970173985087,726.5476387738195,717.0273405136702,5.0,False,False,False
035764cf63c11d7dde57830409bfb47d22ba4824,feb,2017,cool,hold,Pembroke Pines,719.7871437234688,730.5724681625227,730.5039417828987,5.0,False,False,False
036091dc0ac515e2aa410d8a54b75b1ffadaade8,feb,2017,auto,hold,Indian Rocks Beach,747.688524590164,792.9016393442622,744.7868852459018,0.0,False,False,False
036091dc0ac515e2aa410d8a54b75b1ffadaade8,feb,2017,cool,hold,Indian Rocks Beach,720.6239215686275,742.327843137255,738.2172549019607,0.0,False,False,False
03b1e4a7386bf47872aa782859e9dc4a3984973c,feb,2017,cool,hold,Weston,752.5617283950618,789.6851851851852,700.0,25.0,False,False,False
03dfec2bc4dffdaaa0f5abfa2668dd1015e6ee14,feb,2017,auto,auto,Cocoa Beach,759.5925,785.2575,718.3,15.0,False,False,False
03dfec2bc4dffdaaa0f5abfa2668dd1015e6ee14,feb,2017,auto,hold,Cocoa Beach,761.6078990228012,771.2214983713354,697.9543973941368,15.0,False,False,False
065799c34c78013f155669173a20b5cffce0b469,feb,2017,auto,auto,Jacksonville,746.4128440366973,800.0,729.8761467889908,20.0,True,False,False
065799c34c78013f155669173a20b5cffce0b469,feb,2017,auto,hold,Jacksonville,741.8414634146343,800.0,736.2804878048779,20.0,True,False,False
06dc17d08bb5f9e2557c102b46de71b3dc093053,feb,2017,auto,auto,Wellington,746.578947368421,782.3333333333335,677.6666666666666,30.0,False,False,False
06dc17d08bb5f9e2557c102b46de71b3dc093053,feb,2017,cool,auto,Wellington,745.6129032258065,779.1989247311827,681.6505376344087,30.0,False,False,False
070d28823c5031c1f78c06c4c66dd32c896e0e37,feb,2017,cool,hold,Howey-in-the-Hills,707.7272727272727,721.2727272727273,721.2727272727273,9.0,True,False,True
076cd6ea0457dd94b1777d2d4c6392023e6e25cf,feb,2017,auto,auto,Orlando,674.6825396825396,730.2539682539682,660.5079365079365,35.0,False,False,False
076cd6ea0457dd94b1777d2d4c6392023e6e25cf,feb,2017,auto,hold,Orlando,701.4485294117646,717.8125,668.0073529411766,35.0,False,False,False
076cd6ea0457dd94b1777d2d4c6392023e6e25cf,feb,2017,cool,hold,Orlando,686.8452830188679,690.0,690.0,35.0,False,False,False
0845f134c2313f9c199abfb3a3a8f124aeac528d,feb,2017,cool,hold,Ponte Vedra Beach,702.8840579710146,692.9130434782608,692.9130434782608,35.0,False,False,True
0845f134c2313f9c199abfb3a3a8f124aeac528d,feb,2017,heat,auto,Ponte Vedra Beach,675.3333333333334,752.0,693.0,35.0,False,False,True
0845f134c2313f9c199abfb3a3a8f124aeac528d,feb,2017,heat,hold,Ponte Vedra Beach,694.96,696.88,694.04,35.0,False,False,True
08a1a360bc2ba44f3f8c6ba163907f70cb5d17e9,feb,2017,auto,auto,Winter Haven,741.551094890511,738.3941605839417,667.7737226277372,0.0,False,False,True
08a1a360bc2ba44f3f8c6ba163907f70cb5d17e9,feb,2017,auto,hold,Winter Haven,740.4932196822937,754.2468035645097,659.8671057729563,0.0,False,False,True
0998be34ceaf96ad3eced48e7689a1c4e94b82bb,feb,2017,auto,auto,Pensacola,690.1726618705037,731.6978417266188,655.7625899280574,76.0,True,False,True
0998be34ceaf96ad3eced48e7689a1c4e94b82bb,feb,2017,auto,hold,Pensacola,700.7714285714287,740.9714285714285,696.8,76.0,True,False,True
0998be34ceaf96ad3eced48e7689a1c4e94b82bb,feb,2017,cool,auto,Pensacola,707.1336898395723,712.8395721925134,671.4385026737967,76.0,True,False,True
0998be34ceaf96ad3eced48e7689a1c4e94b82bb,feb,2017,cool,hold,Pensacola,713.9545454545455,723.5974025974026,700.0,76.0,True,False,True
0998be34ceaf96ad3eced48e7689a1c4e94b82bb,feb,2017,heat,auto,Pensacola,709.5322580645161,700.0,700.0,76.0,True,False,True
0a3bfe72ba124aeeaad262cfdb3620579fc7e117,feb,2017,auto,hold,Pompano Beach,742.1333333333333,741.0,644.0,5.0,False,False,False
0a5a6f2926865e75d194d87b4553d98dc97500b1,feb,2017,auto,auto,West Palm Beach,739.6649746192893,774.954314720812,724.9289340101523,15.0,False,False,False
0a5a6f2926865e75d194d87b4553d98dc97500b1,feb,2017,auto,hold,West Palm Beach,765.8888888888888,764.1944444444445,695.8611111111112,15.0,False,False,False
