Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,aug,2017,cool,hold,Honolulu,768.8253968253969,767.047619047619,766.8444444444444,10.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2017,cool,auto,Honolulu,727.7146814404433,725.7977839335181,723.6786703601108,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2017,cool,hold,Honolulu,730.2677824267782,728.1673640167364,719.4351464435147,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,aug,2018,cool,auto,Honolulu,800.9700598802395,720.0,720.0,10.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,aug,2018,cool,hold,Honolulu,796.7041499330658,748.6104417670682,748.3534136546185,10.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2018,cool,auto,Honolulu,733.0158428390367,729.2648922686948,728.8656527249683,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2018,cool,hold,Honolulu,748.4235294117647,750.0,750.0,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,aug,2019,cool,hold,Honolulu,780.0521628498727,777.4262086513995,777.0699745547072,10.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,aug,2019,cool,auto,Honolulu,820.6666666666665,777.0,774.3333333333335,0.0,False,False,False
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,aug,2019,cool,hold,Honolulu,806.6684491978609,773.2299465240642,772.4211229946524,0.0,False,False,False
b7cf4669f7955cafef86f711f0f42ff934bf1308,aug,2019,cool,hold,Honolulu,776.1698113207547,780.0,780.0,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2019,cool,auto,Honolulu,732.1002425222313,725.6006467259499,725.6006467259499,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2019,cool,hold,Honolulu,738.5734265734268,730.6818181818181,713.986013986014,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2020,cool,auto,Honolulu,748.1260273972603,744.1205479452054,744.1205479452054,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,aug,2020,cool,hold,Honolulu,749.4081300813008,744.6130081300812,742.1739837398374,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2017,cool,auto,Honolulu,723.8922888616888,724.0807833537332,717.7809057527539,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2017,cool,hold,Honolulu,726.3206650831354,726.0475059382422,726.0807600950119,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,dec,2018,cool,hold,Honolulu,758.9333333333333,776.6153846153846,776.6153846153846,10.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2018,cool,auto,Honolulu,735.6279569892473,730.5354838709677,730.0483870967741,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2018,cool,hold,Honolulu,733.0824742268042,729.7216494845361,729.7216494845361,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,dec,2019,cool,auto,Honolulu,769.75,771.0,771.0,10.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,dec,2019,cool,hold,Honolulu,783.2460615153789,785.0562640660165,785.0562640660165,10.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,dec,2019,cool,hold,Honolulu,760.3589743589743,778.1820512820512,777.1948717948718,0.0,False,False,False
b7cf4669f7955cafef86f711f0f42ff934bf1308,dec,2019,cool,auto,Honolulu,778.255060728745,775.6133603238867,775.5951417004048,9.0,False,False,True
b7cf4669f7955cafef86f711f0f42ff934bf1308,dec,2019,cool,hold,Honolulu,780.4413904607923,778.5343573160872,778.1632983023444,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2019,cool,auto,Honolulu,739.6908396946567,734.7143765903309,732.5165394402036,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2019,cool,hold,Honolulu,737.5538461538463,729.7015384615387,729.7015384615387,5.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,dec,2020,cool,hold,Honolulu,783.7619047619047,777.5714285714287,777.047619047619,0.0,False,False,False
b7cf4669f7955cafef86f711f0f42ff934bf1308,dec,2020,cool,auto,Honolulu,787.8390022675737,789.4875283446713,784.0362811791382,9.0,False,False,True
b7cf4669f7955cafef86f711f0f42ff934bf1308,dec,2020,cool,hold,Honolulu,787.9510489510492,793.5827505827506,787.5291375291375,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2020,cool,auto,Honolulu,748.4,744.1168421052631,740.7926315789474,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,dec,2020,cool,hold,Honolulu,752.4318181818181,747.3074162679428,737.6363636363636,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2017,auto,auto,Honolulu,723.6764705882354,725.0441176470587,672.3455882352941,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2017,auto,hold,Honolulu,735.257142857143,730.0,680.0,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2017,cool,auto,Honolulu,730.1437908496733,728.6830065359477,729.5424836601308,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2017,cool,hold,Honolulu,732.407960199005,732.4129353233832,731.1691542288557,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2017,heat,auto,Honolulu,745.1,729.7,728.8,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2018,cool,auto,Honolulu,720.373046875,720.51953125,733.6328125,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2018,cool,hold,Honolulu,750.427701674277,751.1217656012178,751.1217656012178,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,feb,2019,cool,hold,Honolulu,759.2380952380953,760.0,760.0,10.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,feb,2019,auto,hold,Honolulu,763.4285714285713,774.2857142857142,729.6666666666665,0.0,False,False,False
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2019,cool,auto,Honolulu,736.5,732.6846590909091,732.6846590909091,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2019,cool,hold,Honolulu,740.1323529411765,738.2941176470587,727.0539215686273,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,feb,2020,cool,hold,Honolulu,779.5307881773399,786.7253694581281,786.2339901477832,10.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,feb,2020,cool,hold,Honolulu,775.625,789.0625,789.0625,0.0,False,False,False
b7cf4669f7955cafef86f711f0f42ff934bf1308,feb,2020,cool,hold,Honolulu,781.4822888283379,781.7765667574932,778.3242506811989,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2020,cool,auto,Honolulu,739.4336188436831,732.8094218415417,724.8062098501068,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2020,cool,hold,Honolulu,752.7799352750809,750.6699029126213,749.2200647249191,5.0,False,False,True
b7cf4669f7955cafef86f711f0f42ff934bf1308,feb,2021,cool,hold,Honolulu,783.7395348837207,788.1627906976744,785.0,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,feb,2021,cool,hold,Honolulu,743.3792723263506,740.941565600882,740.941565600882,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2018,cool,auto,Honolulu,725.3730929264909,725.9264909847434,708.0291262135922,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2018,cool,hold,Honolulu,734.5728987993139,735.7581475128645,735.7375643224701,5.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,Jan,2019,cool,hold,Honolulu,759.3333333333335,752.0,752.0,0.0,False,False,False
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2019,cool,auto,Honolulu,735.5087572977483,730.9633027522935,727.5512927439532,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2019,cool,hold,Honolulu,733.505376344086,724.9516129032259,724.9516129032259,5.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,Jan,2020,cool,auto,Honolulu,771.95,770.65,763.85,10.0,False,False,True
89cd44ef0cbcfb409aa19adbaaf37e92412bbbee,Jan,2020,cool,hold,Honolulu,780.8854688618468,783.1231209735147,782.7086614173227,10.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,Jan,2020,cool,hold,Honolulu,770.495238095238,773.0380952380953,772.1809523809522,0.0,False,False,False
b7cf4669f7955cafef86f711f0f42ff934bf1308,Jan,2020,cool,auto,Honolulu,778.8195488721805,780.2443609022556,780.2443609022556,9.0,False,False,True
b7cf4669f7955cafef86f711f0f42ff934bf1308,Jan,2020,cool,hold,Honolulu,780.0236148955495,782.3732970027247,779.5095367847412,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2020,auto,auto,Honolulu,778.0,775.0,725.0,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2020,cool,auto,Honolulu,739.2990415335463,733.44089456869,732.4159744408946,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2020,cool,hold,Honolulu,747.263157894737,739.1578947368422,739.1578947368422,5.0,False,False,True
8cae7a3896eb4a1fa353dc08272e798ae90ae6d5,Jan,2021,cool,hold,Honolulu,784.0,775.0,775.0,0.0,False,False,False
b7cf4669f7955cafef86f711f0f42ff934bf1308,Jan,2021,cool,hold,Honolulu,788.1153846153846,791.974358974359,786.4081196581196,9.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,Jan,2021,cool,hold,Honolulu,745.0661764705882,740.1323529411765,736.8602941176471,5.0,False,False,True
d38b4c05deefc3fee27d40ae32f583e408d5f318,jul,2017,cool,auto,Honolulu,721.991847826087,721.9211956521739,719.3288043478261,5.0,False,False,True
