Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00047ac181d6c519a7980acd6dcb0fac57218cf1,aug,2017,cool,auto,Idaho Falls,721.5454545454545,740.0,740.0,7.0,False,False,False
01e233c4fce6aabdd3f8be666d5f32f972d2a16b,aug,2017,cool,auto,Eagle,729.2222222222223,720.8888888888888,690.0,16.0,False,False,False
051bb1ef790fd215de91e0304b4f8e06038c2f7d,aug,2017,cool,auto,middleton,703.3433133732535,702.3592814371257,666.9660678642715,10.0,True,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,aug,2017,cool,auto,Firth,678.1923076923077,680.8717948717949,642.6025641025641,50.0,False,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,aug,2017,cool,hold,Firth,684.7870370370372,690.6327160493828,689.5802469135804,50.0,False,False,False
0b17066e7aeb2d14e92e4afb74661cfc16581df6,aug,2017,cool,hold,Meridian,735.8404255319148,733.6170212765958,733.6170212765958,46.0,False,False,False
0eb9f31787410572e6cb0995b6af77ae6f13dacc,aug,2017,auto,hold,Boise,726.7944444444445,750.0,700.0,0.0,False,False,False
0eb9f31787410572e6cb0995b6af77ae6f13dacc,aug,2017,cool,auto,Boise,699.5111111111112,750.0,670.0,0.0,False,False,False
0eb9f31787410572e6cb0995b6af77ae6f13dacc,aug,2017,cool,hold,Boise,703.2204610951009,739.8559077809798,677.6080691642651,0.0,False,False,False
0f29415d1f60800df746b77cd2cfa9a58be3af96,aug,2017,auto,auto,Meridian,735.8589743589743,740.0,680.0,15.0,False,False,False
0f29415d1f60800df746b77cd2cfa9a58be3af96,aug,2017,cool,auto,Meridian,741.6794871794873,740.0,680.0,15.0,False,False,False
0fed4377fad6361d5f1947c38a84e804f0baa69a,aug,2017,cool,hold,Mountain Home,768.1212121212121,779.4545454545455,757.2727272727273,10.0,False,False,False
101a4c425a987a4938431e14287e90cd9b7a5943,aug,2017,cool,hold,Shoshone,737.1541353383459,798.5864661654135,750.0,15.0,True,False,True
114216c63840a73aff1084e682b1dd7161e9a515,aug,2017,heat,auto,Sandpoint,701.797619047619,800.0,640.0,5.0,False,False,False
11479dda98c732c5c358b8b4b9805adf77cdbad4,aug,2017,auto,hold,Boise,763.4081632653061,820.0,720.0,40.0,False,False,False
1790c97a1abe8f3ea4655fbbb280ae9bae99cf70,aug,2017,cool,auto,Idaho Falls,747.6777777777777,750.0,750.0,10.0,False,False,False
1790c97a1abe8f3ea4655fbbb280ae9bae99cf70,aug,2017,cool,hold,Idaho Falls,740.0888888888887,749.2462962962964,749.2407407407408,10.0,False,False,False
19876a3a98274ee9ccb29901320f430d61dda4f9,aug,2017,cool,auto,Meridian,726.3763440860216,730.0,670.0,10.0,False,False,False
1e0352ee09b4d3b681d936d6ad788a5d6cd783cb,aug,2017,cool,auto,Boise,690.0104166666665,689.15625,683.65625,120.0,False,False,False
1e0352ee09b4d3b681d936d6ad788a5d6cd783cb,aug,2017,cool,hold,Boise,716.7549504950495,723.0668316831682,707.8613861386139,120.0,False,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,aug,2017,auto,auto,Nampa,714.1666666666665,715.0,665.0,10.0,True,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,aug,2017,auto,hold,Nampa,699.8333333333335,705.0,655.0,10.0,True,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,aug,2017,cool,auto,Nampa,723.6216216216217,723.4594594594595,669.8108108108107,10.0,True,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,aug,2017,cool,hold,Nampa,695.1304347826087,683.0579710144928,682.9420289855072,10.0,True,False,False
24aa43c4c0f48da661c18b014eb31298d4cb324e,aug,2017,cool,hold,Boise,715.8960573476703,715.6774193548387,715.6774193548387,35.0,False,False,False
271c4df258c325cee5675a38272b63ef0c51f825,aug,2017,cool,auto,Eagle,698.6998535871156,748.3594436310394,741.092972181552,10.0,False,False,False
271c4df258c325cee5675a38272b63ef0c51f825,aug,2017,cool,hold,Eagle,718.6529790660227,739.0990338164253,739.1143317230274,10.0,False,False,False
286651997bf90d48cd19264a7e420867a777ee93,aug,2017,cool,auto,Boise,740.4666666666667,739.9333333333333,700.2,5.0,False,False,False
286651997bf90d48cd19264a7e420867a777ee93,aug,2017,cool,hold,Boise,738.6781609195402,739.6911877394638,739.6911877394638,5.0,False,False,False
2a2fc94893ff6a608275659d20a1e96fc36dff2a,aug,2017,cool,hold,Nampa,719.2857142857142,724.9350649350648,724.9350649350648,15.0,False,False,False
2c90575a6bad590e09f0f45933ec9a8f4dbef1e8,aug,2017,auto,auto,Pocatello,733.2215288611543,737.7722308892355,667.6614664586582,25.0,False,False,False
2c90575a6bad590e09f0f45933ec9a8f4dbef1e8,aug,2017,auto,hold,Pocatello,736.560134566863,740.0,660.0,25.0,False,False,False
33da97b2d600d334d5e19e341aa04519ffe30d89,aug,2017,cool,auto,Meridian,727.7333333333332,730.0,720.0,5.0,False,False,False
36dc8abd481396c6c60e0488b7deae73261a00e8,aug,2017,cool,auto,Boise,713.4150943396228,740.0,710.0,90.0,False,False,False
36dc8abd481396c6c60e0488b7deae73261a00e8,aug,2017,cool,hold,Boise,698.9360786724031,721.6994468346651,721.6994468346651,90.0,False,False,False
3818b68d3bb9746e331ea025aa36cf68cd83908c,aug,2017,cool,auto,Nampa,702.2261904761905,700.0,691.4285714285713,15.0,False,False,False
3818b68d3bb9746e331ea025aa36cf68cd83908c,aug,2017,cool,hold,Nampa,701.2840909090909,700.0,700.0,15.0,False,False,False
387435ebfb99f00d9e307beb57b75ddb1c41346a,aug,2017,auto,auto,lewiston,732.8125,735.2105263157895,661.1184210526316,80.0,False,False,False
387435ebfb99f00d9e307beb57b75ddb1c41346a,aug,2017,auto,hold,lewiston,730.3205666316893,730.4228751311647,666.5005246589718,80.0,False,False,False
3a1d0649ceeb0d6bc38447cdbb3aaf337e62c534,aug,2017,cool,auto,Nampa,738.0786042944785,740.0,690.0,37.0,False,False,False
3a1d0649ceeb0d6bc38447cdbb3aaf337e62c534,aug,2017,cool,hold,Nampa,731.4388888888889,740.0,740.0,37.0,False,False,False
4038035595515ba247a3549a0a9bc0f95f3f1ef6,aug,2017,auto,hold,Nampa,732.0689655172414,730.0,690.0,25.0,False,False,False
4cd0c610df7d915c70b1ed8f97a91d85e668cbfe,aug,2017,cool,auto,Boise,739.9286469344609,813.0036997885835,784.7959830866807,10.0,False,False,False
4cd0c610df7d915c70b1ed8f97a91d85e668cbfe,aug,2017,cool,hold,Boise,782.6436525612472,806.6224944320712,784.6236080178172,10.0,False,False,False
5129e5e4c05095e57bffc1ced24242c93cf5326a,aug,2017,cool,auto,Boise,709.4059180576631,711.7761760242792,727.9423368740516,0.0,False,False,False
5129e5e4c05095e57bffc1ced24242c93cf5326a,aug,2017,cool,hold,Boise,709.1693641618498,715.5127167630056,715.5135838150288,0.0,False,False,False
5129e5e4c05095e57bffc1ced24242c93cf5326a,aug,2017,heat,hold,Boise,717.3529411764706,719.0588235294118,719.0588235294118,0.0,False,False,False
51ef06137303ea54f3bdce3d6f0c4c339a1f0e3d,aug,2017,cool,auto,Boise,784.0,820.0,640.0,7.0,False,False,False
53ad22364d98b2b720a956e41726523b52b0e3f0,aug,2017,cool,auto,Fruitland,708.284229390681,720.0,690.0,25.0,True,False,False
567c87bad9ccfce43efe68448c1d0a740a9515bd,aug,2017,cool,auto,Boise,722.3522727272727,770.0,650.0,40.0,True,False,False
567c87bad9ccfce43efe68448c1d0a740a9515bd,aug,2017,cool,hold,Boise,695.8717948717949,738.5384615384614,737.4871794871794,40.0,True,False,False
5ad2d4c0c8bb4ff621aa3eeda06334a4e393b670,aug,2017,auto,hold,Meridian,729.9328358208955,735.773631840796,681.6616915422885,40.0,False,False,False
5ad2d4c0c8bb4ff621aa3eeda06334a4e393b670,aug,2017,cool,hold,Meridian,726.3059490084987,732.9806421152031,732.9806421152031,40.0,False,False,False
5d3bac83de03bbebbcda980857528e23093fb15d,aug,2017,cool,auto,Pocatello,699.4840848806366,700.1724137931035,679.9787798408488,15.0,False,False,False
5d3bac83de03bbebbcda980857528e23093fb15d,aug,2017,cool,hold,Pocatello,718.1363636363636,715.0,715.0,15.0,False,False,False
5e488385d862dc824bc53affdbf22e5654793310,aug,2017,auto,auto,Meridian,719.9790575916229,720.0732984293193,670.0366492146596,5.0,False,False,False
5e488385d862dc824bc53affdbf22e5654793310,aug,2017,auto,hold,Meridian,734.2858447488585,740.7424657534247,671.2328767123287,5.0,False,False,False
5fd71c07363ab714027018409c4053bd8d035a95,aug,2017,cool,hold,Meridian,721.809523809524,720.0,720.0,5.0,False,False,False
60109a224b6c64079ef913d0c5cf3dca35abbb35,aug,2017,cool,hold,Eagle,769.0,765.3333333333335,735.3333333333335,0.0,False,False,False
63d14ca5fa0a2f258b204509c6936ac4f0e25045,aug,2017,cool,auto,Eagle,701.2063711911358,749.9972299168975,740.0554016620499,10.0,False,False,False
63d14ca5fa0a2f258b204509c6936ac4f0e25045,aug,2017,cool,hold,Eagle,744.7408207343412,752.2138228941685,752.2138228941685,10.0,False,False,False
69a10a8ac96e23b0b66152a7fc3a5369f06f2602,aug,2017,cool,hold,Dalton Gardens,727.105413105413,738.9544159544159,723.5698005698006,20.0,False,False,False
6c924658d1fc3152cb56d5e6f303fe748fe7dc44,aug,2017,cool,hold,Meridian,728.255737704918,733.6786885245901,733.6983606557378,20.0,False,False,False
6ef2a624b0bd1403255f7e2ff28a54084bb73cd1,aug,2017,auto,auto,meridian,729.2882205513785,734.3822055137845,676.2857142857142,5.0,False,False,False
701fa5ea0b51803b423aa658b03cfef1256df657,aug,2017,cool,auto,Twin falls,711.28125,700.0,660.0,5.0,False,False,False
7a1dc5c5539d8c168a6c8a35eb829b781716f78d,aug,2017,cool,auto,Boise,768.7,770.0,770.0,5.0,False,False,False
7a1dc5c5539d8c168a6c8a35eb829b781716f78d,aug,2017,cool,hold,Boise,772.6666666666665,770.0,770.0,5.0,False,False,False
80065fa6b5c1457685090a0e886b1d6f2a0b5cbc,aug,2017,auto,hold,Kuna,749.7972292191437,749.1599496221663,632.1460957178841,20.0,False,False,False
8085730e7c7e0d2e188de5173f2ff9b59dc4afa0,aug,2017,cool,auto,Eagle,702.2791327913278,716.710027100271,650.0,5.0,False,False,False
8538bfcc93a29b3ff36443b86fbd851b8353c9cc,aug,2017,cool,hold,Idaho Falls,742.7355371900826,741.2314049586778,740.5123966942149,25.0,False,False,False
85a3caad63698150aecabef44ad21ed041453aab,aug,2017,auto,auto,Post Falls,738.952380952381,730.0,680.0,5.0,False,False,False
8707f39a9adbdc36ce5bb7493e396ee419f987d3,aug,2017,auto,auto,Meridian,769.2444444444444,770.0,710.0,5.0,False,False,False
90dcbe67f8b9c2bf761a9ef2f5e6c0a999f4d211,aug,2017,cool,auto,Boise,715.9024390243902,730.2439024390244,636.0243902439023,20.0,False,False,False
90dcbe67f8b9c2bf761a9ef2f5e6c0a999f4d211,aug,2017,cool,hold,Boise,692.1960784313727,710.5882352941177,710.4313725490197,20.0,False,False,False
9108a19d98c9d76d8a53c6af78e883e7ebc00c0c,aug,2017,auto,auto,Meridian,758.791962174941,760.0,680.0,5.0,False,False,False
948f9d0277ad742e987e9660732e5caf943201d2,aug,2017,cool,auto,Hailey,672.6,740.0,640.0,20.0,False,False,False
948f9d0277ad742e987e9660732e5caf943201d2,aug,2017,cool,hold,Hailey,694.1,716.93,716.93,20.0,False,False,False
