Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0010ea447dc3807b33daad2477d1cc02a71571fa,Jan,2017,auto,auto,Chicago,698.9722222222223,770.0,700.0,5.0,False,False,False
0010ea447dc3807b33daad2477d1cc02a71571fa,Jan,2017,auto,hold,Chicago,707.190476190476,770.0,708.5714285714287,5.0,False,False,False
00726ed8e6a1f4f9bd85c248752de358dc529426,Jan,2017,auto,auto,Chicago,637.5277777777778,820.0,620.0,100.0,False,False,False
00ab82671ae4437af38aaacbab99cc76c30a8568,Jan,2017,auto,auto,Troy,698.4193746167995,780.0,700.0,35.0,False,False,False
00ab82671ae4437af38aaacbab99cc76c30a8568,Jan,2017,heat,auto,Troy,689.6333333333333,708.0,691.0,35.0,False,False,False
00c4a5bebdac24bca9f442e4252507b393cb442f,Jan,2017,heat,auto,Hawthorn Woods,712.8695652173913,729.0,715.304347826087,15.0,False,False,False
00c4a5bebdac24bca9f442e4252507b393cb442f,Jan,2017,heat,hold,Hawthorn Woods,724.3684210526317,730.0,730.0,15.0,False,False,False
013b61967d0a908a06304d5d1e3ccc5a31d53792,Jan,2017,heat,auto,Vernon Hills,701.3172720533728,699.7034840622682,699.7034840622682,45.0,False,False,False
013b61967d0a908a06304d5d1e3ccc5a31d53792,Jan,2017,heat,hold,Vernon Hills,717.8111111111111,720.0,720.0,45.0,False,False,False
014d1f8f00a5adccd6e64306f84f28363cd59c66,Jan,2017,heat,auto,Buffalo grove,631.8487229862476,650.6758349705304,632.5225933202357,0.0,True,False,False
014d1f8f00a5adccd6e64306f84f28363cd59c66,Jan,2017,heat,hold,Buffalo grove,653.3977272727273,651.1363636363636,643.6363636363636,0.0,True,False,False
0226314aea5cb3429be1d7e689f48df7ae8ea4bb,Jan,2017,heat,auto,Loves Park,735.4031862745097,740.0049019607843,739.9901960784314,20.0,False,False,False
026d1cd8f837b41ea4026983b992957a13fea4c0,Jan,2017,heat,auto,Chicago,734.7285714285713,735.4833333333332,735.4833333333332,0.0,False,False,False
026d1cd8f837b41ea4026983b992957a13fea4c0,Jan,2017,heat,hold,Chicago,736.3015384615386,734.3692307692309,734.3692307692309,0.0,False,False,False
03525470344d527bb78cf9fdf3db8e2841d9914f,Jan,2017,heat,auto,Niles,695.0085470085471,748.8518518518518,696.7606837606837,55.0,False,False,False
03525470344d527bb78cf9fdf3db8e2841d9914f,Jan,2017,heat,hold,Niles,689.125,690.9791666666665,690.125,55.0,False,False,False
035b8c413f5163d2335c2c6a8bc77bc8dad7f4f4,Jan,2017,heat,auto,Carbondale,674.7068062827225,680.0680628272253,678.6649214659686,30.0,False,False,True
035b8c413f5163d2335c2c6a8bc77bc8dad7f4f4,Jan,2017,heat,hold,Carbondale,672.7966101694915,679.9830508474578,678.7627118644067,30.0,False,False,True
035cd882b9e24869ad0495153494400c0b3d6e49,Jan,2017,heat,auto,Chicago,692.7689440993788,699.4546583850931,692.648447204969,15.0,False,False,False
035cd882b9e24869ad0495153494400c0b3d6e49,Jan,2017,heat,hold,Chicago,665.5702702702703,664.6297297297298,664.5162162162163,15.0,False,False,False
0360e3f828c41e78ef18a600b518d7179765de44,Jan,2017,heat,auto,Wadsworth,600.0,700.0,660.0,20.0,False,False,False
0360e3f828c41e78ef18a600b518d7179765de44,Jan,2017,heat,hold,Wadsworth,691.7554744525548,701.021897810219,696.2299270072992,20.0,False,False,False
03701e0d403307c6777f10adf9f3bb12de75e696,Jan,2017,heat,auto,Montgomery,695.9642295597483,697.3993710691824,697.3993710691824,0.0,False,False,False
03701e0d403307c6777f10adf9f3bb12de75e696,Jan,2017,heat,hold,Montgomery,680.0162601626016,680.0,680.0,0.0,False,False,False
03be34f002ee2fa797a991a16d4ebc8030afe987,Jan,2017,auto,auto,Glenview,698.859375,705.0,655.0,15.0,False,False,False
03be34f002ee2fa797a991a16d4ebc8030afe987,Jan,2017,auto,hold,Glenview,715.9166666666665,773.3333333333335,709.3452380952382,15.0,False,False,False
0407217809ad4ff83e1394d43e02bb72ee9e6028,Jan,2017,heat,hold,Gurnee,695.7661870503598,710.1654676258992,709.9604316546762,40.0,False,False,False
04709d3e35eba5d2ace49370a4af3a68f58f36cb,Jan,2017,heat,auto,Mundelein,690.7740693196406,692.5121951219513,689.2477535301667,50.0,False,False,False
04709d3e35eba5d2ace49370a4af3a68f58f36cb,Jan,2017,heat,hold,Mundelein,696.188524590164,694.8934426229507,692.577868852459,50.0,False,False,False
0583fedc7b77c150ff49355f10bd9717d86ee323,Jan,2017,heat,hold,Berkeley,703.5423728813561,723.7796610169491,716.8813559322034,50.0,True,False,False
