Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004a8ed2edb250a5a1c876d076227bbb8a2a2135,jul,2017,auto,auto,Fort Wayne,750.43984962406,750.437343358396,690.0,30.0,False,False,False
004a8ed2edb250a5a1c876d076227bbb8a2a2135,jul,2017,auto,hold,Fort Wayne,759.3771929824561,760.0,710.0,30.0,False,False,False
004a8ed2edb250a5a1c876d076227bbb8a2a2135,jul,2017,cool,hold,Fort Wayne,735.8947368421052,735.0,735.0,30.0,False,False,False
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,jul,2017,cool,auto,Fort Wayne,723.294297352342,722.6995926680245,722.3014256619143,20.0,False,False,True
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,jul,2017,cool,hold,Fort Wayne,729.2215,729.6325,729.6325,20.0,False,False,True
00d57801ec029dad25ea93d564eea9c33eed2183,jul,2017,cool,auto,Zionsville,683.9228998849252,684.0241657077099,686.8584579976986,80.0,True,False,False
00d57801ec029dad25ea93d564eea9c33eed2183,jul,2017,cool,hold,Zionsville,681.8444444444443,692.0370370370372,692.0370370370372,80.0,True,False,False
00d57801ec029dad25ea93d564eea9c33eed2183,jul,2017,heat,auto,Zionsville,678.75,691.5,691.5,80.0,True,False,False
013a339f52d32f0442774a796606a51a78855d21,jul,2017,cool,auto,Indianapolis,759.551724137931,820.0,640.0,5.0,True,False,True
022769b8318b36b0df4e5357105aa3929cb2bf37,jul,2017,cool,auto,West Lafayette,719.0,711.2900677200902,700.0067720090292,10.0,True,False,True
022769b8318b36b0df4e5357105aa3929cb2bf37,jul,2017,cool,hold,West Lafayette,719.0794551645857,710.9610291335604,704.5100264850548,10.0,True,False,True
02a6ed0d605bca3f4b79a87443ef7cbb3df24099,jul,2017,auto,auto,Indianapolis,690.2333333333332,690.0,640.0,90.0,False,False,False
02a6ed0d605bca3f4b79a87443ef7cbb3df24099,jul,2017,auto,hold,Indianapolis,699.9318181818181,699.5454545454545,640.0,90.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,jul,2017,cool,auto,Elkhart,742.2131147540982,807.679156908665,633.5831381733021,55.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,jul,2017,cool,hold,Elkhart,742.4923076923077,738.3692307692309,737.6923076923077,55.0,False,False,False
039909bdfbda1c62898ef54624a44987206967ca,jul,2017,cool,auto,Avon,717.5602836879433,713.3404255319148,680.0141843971631,5.0,False,False,False
039909bdfbda1c62898ef54624a44987206967ca,jul,2017,cool,hold,Avon,718.3255813953488,711.6395348837209,711.6395348837209,5.0,False,False,False
048786e567e113d554932f82d506288762a15902,jul,2017,cool,auto,Valparaiso,737.0666666666667,780.0,710.0,15.0,False,False,False
048b9832c31257e1cc9f28289a4d736a74ddc494,jul,2017,cool,auto,Indianapolis,726.3371501272264,724.1933842239184,653.441475826972,15.0,False,False,False
057b5cd9f9ecb658b44d017df7cb142edd9073db,jul,2017,cool,auto,Lafayette,767.1666666666665,770.0,720.0,5.0,False,False,False
0581c47077442e686c895c78c6826fa059881d2a,jul,2017,cool,auto,South Bend,726.4,710.0,670.0,50.0,False,False,False
0581c47077442e686c895c78c6826fa059881d2a,jul,2017,cool,hold,South Bend,716.4769230769231,710.9230769230769,680.0,50.0,False,False,False
05a86795bb1e24207de7807a3fa02736e1a02c61,jul,2017,auto,auto,Reelsville,781.8684210526317,820.0,600.0,15.0,False,False,False
05a86795bb1e24207de7807a3fa02736e1a02c61,jul,2017,cool,auto,Reelsville,777.0,820.0,600.0,15.0,False,False,False
05a86795bb1e24207de7807a3fa02736e1a02c61,jul,2017,cool,hold,Reelsville,783.4736842105265,748.9473684210526,746.421052631579,15.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,jul,2017,cool,auto,Fishers,741.5973837209302,745.7485465116278,711.0494186046512,16.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,jul,2017,cool,hold,Fishers,745.3721244925575,745.3599458728011,744.998646820027,16.0,False,False,False
06b91f1980cac9b6acc18366a8672ad3fc2d0b6f,jul,2017,cool,auto,Indianapolis,756.8264150943396,756.1471698113209,708.2377358490565,60.0,False,False,False
06b91f1980cac9b6acc18366a8672ad3fc2d0b6f,jul,2017,cool,hold,Indianapolis,744.1333333333333,738.4888888888888,737.8666666666667,60.0,False,False,False
06f297e9823e502899f0f05cffcdb55445eaac96,jul,2017,auto,hold,Ogden Dunes,738.9625,752.7541666666667,650.0,65.0,False,False,False
0713fa53a63e4b90a7851b20bf541e8cd692c9de,jul,2017,cool,auto,Fort Wayne,739.1358024691358,739.6913580246913,690.2222222222223,30.0,False,False,True
0713fa53a63e4b90a7851b20bf541e8cd692c9de,jul,2017,cool,hold,Fort Wayne,730.8272727272728,717.4454545454546,716.0272727272728,30.0,False,False,True
