Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
021bc49d2737cfc5291795252754c8c84d99fb90,feb,2017,heat,auto,Plainville,682.6666666666666,659.3802816901408,659.3333333333334,35.0,False,False,False
021bc49d2737cfc5291795252754c8c84d99fb90,feb,2017,heat,hold,Plainville,696.84,697.7090909090911,697.2424242424244,35.0,False,False,False
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,feb,2017,auto,auto,Boston,680.2702702702702,765.9459459459459,688.3783783783783,100.0,False,False,False
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,feb,2017,auto,hold,Boston,679.2352941176471,793.5294117647059,675.2941176470587,100.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,feb,2017,heat,hold,Hopkinton,688.1818181818181,687.5454545454545,685.9090909090909,30.0,False,False,False
037c92bd2737c0afd88be371d9fccfbe2c4b2c22,feb,2017,heat,auto,Jamaica Plain,726.3260869565217,730.0,730.0,5.0,False,False,False
037c92bd2737c0afd88be371d9fccfbe2c4b2c22,feb,2017,heat,hold,Jamaica Plain,710.7777777777777,687.5555555555555,676.9444444444445,5.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,feb,2017,heat,auto,North Billerica,650.741935483871,652.6258064516129,652.6258064516129,15.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,feb,2017,heat,hold,North Billerica,674.5820895522388,683.4179104477612,682.4029850746268,15.0,False,False,False
044fe85f00b87d59369f157cb3c83ae761b88075,feb,2017,heat,auto,Framingham,653.75,651.8958333333334,650.2916666666666,0.0,False,False,False
044fe85f00b87d59369f157cb3c83ae761b88075,feb,2017,heat,hold,Framingham,687.9714285714285,692.4,691.7714285714287,0.0,False,False,False
04bf305e79d643f9abbf71b4133625a71d80de4a,feb,2017,heat,auto,Boston,697.4326292789513,680.0014566642387,679.3510560815732,15.0,False,False,True
04bf305e79d643f9abbf71b4133625a71d80de4a,feb,2017,heat,hold,Boston,696.7107438016528,700.1900826446281,699.6280991735538,15.0,False,False,True
05256343822adc11250ed359bf87fdc957d50fe1,feb,2017,heat,auto,Stoneham,658.1538461538463,664.1538461538463,659.6153846153846,70.0,False,False,False
05256343822adc11250ed359bf87fdc957d50fe1,feb,2017,heat,hold,Stoneham,659.9392523364486,660.6892523364486,652.9953271028037,70.0,False,False,False
053e620ece5aa62de0ef628b3d712c2bddd653a6,feb,2017,heat,hold,Haverhill,677.3880597014926,680.0,680.0,30.0,False,False,False
05fa11e00c7e34dc45ed69c36f35e2bf8d46a399,feb,2017,heat,auto,Sudbury,678.0245641838352,679.9817749603802,679.9698890649763,6.0,False,False,False
05fa11e00c7e34dc45ed69c36f35e2bf8d46a399,feb,2017,heat,hold,Sudbury,679.7095357590966,679.4353826850689,678.6323713927228,6.0,False,False,False
06bf6964339357548045d8e77dfc855a6b4dad0b,feb,2017,auto,hold,Newton,644.0,778.578947368421,719.0526315789474,10.0,False,False,True
07076a05a793861d793b3bc6375e672127036afb,feb,2017,auto,auto,Sudbury,679.3529411764706,760.0,679.9932773109242,5.0,False,False,False
07076a05a793861d793b3bc6375e672127036afb,feb,2017,auto,hold,Sudbury,683.982017982018,760.0,679.5404595404596,5.0,False,False,False
073aa56039a47f78a0abce6bb5232e253b0ffd93,feb,2017,heat,auto,East Bridgewater,704.85,712.0,712.0,120.0,False,False,False
073aa56039a47f78a0abce6bb5232e253b0ffd93,feb,2017,heat,hold,East Bridgewater,702.3619210977703,708.663807890223,707.2967409948543,120.0,False,False,False
08f4bbffd98229b9dff6e093b629feb4779fdf89,feb,2017,auto,hold,Arlington,705.1162790697673,759.6627906976744,709.6627906976744,0.0,False,False,False
09b39bf59d3e7e5c9e57cb38db6c772a8c90927a,feb,2017,heat,hold,Centerville,685.8,687.2727272727273,687.2727272727273,75.0,False,False,False
0a09893790977946fe5bd69703f1c985cff153b0,feb,2017,heat,auto,Tewksbury,687.4899598393573,690.1124497991967,689.1405622489958,0.0,False,False,False
0a09893790977946fe5bd69703f1c985cff153b0,feb,2017,heat,hold,Tewksbury,655.3071428571427,657.45,651.0071428571429,0.0,False,False,False
0ac3ab7389d9ad02bfd074c81860fd1eb1d32b74,feb,2017,heat,auto,Cambridgeport,696.75,700.0,700.0,5.0,False,False,False
0aff893099b5bc0fd909bc191ec22ad9c4e4c31d,feb,2017,heat,auto,Newton,673.4042553191489,650.0,640.0,0.0,False,False,False
0b4e9b27810f12fc76c89e25107dfba8badcde02,feb,2017,auto,hold,Wakefield,714.3404255319148,771.1914893617021,721.1914893617021,70.0,False,False,False
0c077ba4f0b63dfd8aa8fec0d9d2d15d2e443817,feb,2017,heat,auto,Salem,691.6428571428571,669.5357142857142,660.3928571428571,5.0,False,False,False
0c077ba4f0b63dfd8aa8fec0d9d2d15d2e443817,feb,2017,heat,hold,Salem,691.2672811059907,688.2396313364055,686.4393241167435,5.0,False,False,False
0c923a6c71c5df62b8636f0abcd80f736480e50f,feb,2017,auto,auto,Northborough,702.7142857142858,765.0,715.0,15.0,False,False,False
0c923a6c71c5df62b8636f0abcd80f736480e50f,feb,2017,auto,hold,Northborough,689.125,760.0,690.0,15.0,False,False,False
0cec345858ef562206909327830caa579bc3cef5,feb,2017,auto,hold,Amesbury,716.8045454545454,770.4954545454545,708.3818181818183,10.0,False,False,False
0d30ca4b42fc31e349a66559d7569ce08a5a2b51,feb,2017,heat,auto,Norwood,625.5,650.0,612.0,0.0,False,False,False
0d30ca4b42fc31e349a66559d7569ce08a5a2b51,feb,2017,heat,hold,Norwood,631.7631578947369,650.0,636.7631578947369,0.0,False,False,False
0e0667c4ba28f9623e4be3d9890c3fc3e7c83a04,feb,2017,heat,auto,Belmont,720.8823529411765,725.5882352941177,724.7647058823529,25.0,False,False,False
0e0667c4ba28f9623e4be3d9890c3fc3e7c83a04,feb,2017,heat,hold,Belmont,717.7981651376148,718.5504587155963,717.256880733945,25.0,False,False,False
0e542c473185ac1b8baa4b5fd9a9ba80eb5bb75f,feb,2017,heat,hold,Bolton,681.2380952380953,702.5714285714287,685.2380952380953,5.0,True,False,False
0e67bdf829c26a846176140cad92cc4262828aa2,feb,2017,heat,auto,Arlington,662.4434782608696,807.0956521739131,642.9043478260869,95.0,False,False,False
0e7da28d1d1271fdf61d81e4317050f478d47057,feb,2017,heat,auto,Fitchburg,668.0,695.0,618.0,0.0,False,False,False
0eec86e7c8a32910d0f874e681549f0116a52dbc,feb,2017,heat,hold,Plainville,671.2727272727273,654.6969696969697,641.1969696969697,0.0,False,False,False
0f3aef1a43204ed8d8ddfb01ff57767902c88148,feb,2017,heat,auto,Middleboro,656.975,710.0,660.0,15.0,False,False,False
0f9ff0d4848ecaf2775512cf9abd49978910432e,feb,2017,heat,auto,Tyngsborough,687.1764705882352,704.0,685.4117647058823,25.0,False,False,False
0f9ff0d4848ecaf2775512cf9abd49978910432e,feb,2017,heat,hold,Tyngsborough,673.5142857142857,680.4571428571429,676.5714285714286,25.0,False,False,False
0fb3c337415affbbe3a369cf6b0f58879c6333e3,feb,2017,auto,hold,Centerville,653.3846153846154,697.0769230769231,647.0769230769231,35.0,False,False,False
0fb3c337415affbbe3a369cf6b0f58879c6333e3,feb,2017,heat,auto,Centerville,695.568012752391,686.0414452709882,686.0207226354943,35.0,False,False,False
0fb3c337415affbbe3a369cf6b0f58879c6333e3,feb,2017,heat,hold,Centerville,702.3943661971831,692.0492957746478,691.3661971830986,35.0,False,False,False
10b9c1970f8180c6149254f5eb9fc0ab2c80905b,feb,2017,heat,auto,Lakeville,698.265625,700.0,700.0,5.0,False,False,False
10b9c1970f8180c6149254f5eb9fc0ab2c80905b,feb,2017,heat,hold,Lakeville,653.5714285714286,673.1428571428571,673.1428571428571,5.0,False,False,False
10beb6030317184450b4cc3e50aa60fa142c3338,feb,2017,heat,auto,Bolton,659.7410714285714,659.4375,658.3214285714286,0.0,False,False,False
10beb6030317184450b4cc3e50aa60fa142c3338,feb,2017,heat,hold,Bolton,677.5581854043393,680.8560157790927,679.335305719921,0.0,False,False,False
10d5ec3c998072cc5904209265d1a50b0f0fa69b,feb,2017,heat,hold,Reading,647.2857142857142,660.0,660.0,5.0,False,False,False
11f666c95cb70e122ff0e5616c94b5e47dbe6e47,feb,2017,heat,auto,Sudbury,666.6111111111112,670.0,670.0,35.0,False,False,False
11f666c95cb70e122ff0e5616c94b5e47dbe6e47,feb,2017,heat,hold,Sudbury,675.982905982906,677.3504273504274,677.3504273504274,35.0,False,False,False
1261429a0479a46fc8925c4407cf072c58d71512,feb,2017,auto,hold,Boston,698.4242424242424,750.0,700.0,5.0,False,False,False
127ed31cf491ea49f04e15ee7b4712ac021bfee4,feb,2017,heat,hold,Westborough,638.7837837837837,666.9351351351353,665.2486486486488,35.0,False,False,False
13603d5b3e77b83f531260588435d96c610aa796,feb,2017,heat,auto,Boston,745.11394891945,726.1581532416502,725.4449901768173,120.0,False,False,False
13603d5b3e77b83f531260588435d96c610aa796,feb,2017,heat,hold,Boston,725.2015503875969,683.4806201550388,683.4806201550388,120.0,False,False,False
1497fc6df99e8c408e6074a08989b17cc706411d,feb,2017,auto,auto,Swansea,666.438596491228,744.5701754385965,668.9078947368421,5.0,False,False,False
