Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
a86f074cd58d2ce47d145a5ddf4492c1acca3635,aug,2017,heat,auto,South Portland,727.1666666666665,780.0,640.0,85.0,False,False,False
aeb6a66ea9334f71ba2b04f324a9a0cb61776743,aug,2017,heat,auto,Greenville,719.4583333333335,730.4166666666665,729.3333333333335,35.0,False,False,False
aeb6a66ea9334f71ba2b04f324a9a0cb61776743,aug,2017,heat,hold,Greenville,709.0206117021277,656.4900265957448,642.9787234042552,35.0,False,False,False
c5bc7c9568931d0b8979393514c99d545786ae72,aug,2017,heat,hold,Lewiston,713.2,750.0,750.0,90.0,False,False,False
db15333c03d900e5068f914b4bbe0929609c4884,aug,2017,cool,auto,Portland,709.0570175438595,710.0,650.0,15.0,False,False,False
590487e13b23b41e232cab63f588978494880281,aug,2018,auto,auto,Portland,806.9,730.0,660.0,15.0,False,False,False
590487e13b23b41e232cab63f588978494880281,aug,2018,auto,hold,Portland,729.6923076923077,716.2307692307692,666.2307692307693,15.0,False,False,False
7aed90f1acc624bf0fc1c76698cf32d7e2dbf36e,aug,2018,cool,hold,York,745.8067324434128,760.0,690.0,5.0,False,False,False
89d485781a4a40b9d629cd7073c588d215243132,aug,2018,heat,auto,Scarborough,773.9411764705882,780.0,699.4705882352941,0.0,False,False,False
aeb6a66ea9334f71ba2b04f324a9a0cb61776743,aug,2018,heat,hold,Greenville,719.5209074733096,653.3718861209965,653.3625444839857,35.0,False,False,False
b2d9a7c254d8f9954e32533676d156d263cecd5a,aug,2018,auto,auto,Falmouth,690.7641764176418,691.026102610261,641.026102610261,10.0,True,False,False
b2d9a7c254d8f9954e32533676d156d263cecd5a,aug,2018,auto,hold,Falmouth,692.8394473558837,695.6360171510244,640.5431157694139,10.0,True,False,False
c8c95ff0b34a5e7ba4c7d9cc3e0b7d2bd27cb9dd,aug,2018,auto,hold,Falmouth,719.3640821330065,730.064970885688,660.0,10.0,True,False,False
db15333c03d900e5068f914b4bbe0929609c4884,aug,2018,auto,auto,Portland,735.8875,730.0,680.0,15.0,False,False,False
db15333c03d900e5068f914b4bbe0929609c4884,aug,2018,auto,hold,Portland,730.2775330396477,722.7488986784142,667.7753303964757,15.0,False,False,False
1d304ddb5cf7d6f5b8647e4879eb51593cc62ad1,aug,2019,heat,hold,Newburgh,712.4475847893116,650.0,620.0,40.0,False,False,False
2316df6722d1555921d3e51c36f1bb2cd3ffa41d,aug,2019,heat,auto,Bangor,725.665371809101,650.0,610.0,60.0,False,False,False
38618e0152941e18a31c699f121721d267397df7,aug,2019,heat,hold,Old Town,729.0,741.0,649.0,50.0,False,False,False
39e2fc66cf3a4aa3db6c2db32cecbdb69d7f43ba,aug,2019,heat,hold,Bath,704.5039682539682,660.0,660.0,90.0,False,False,False
40042da7c20fd7d013669ace29774480850ce169,aug,2019,heat,auto,Gray,750.1724235560588,720.0,710.0,30.0,False,False,False
44e3878da8b0ef688698fbdd28127b4468861f02,aug,2019,heat,hold,Scarborough,728.0,675.0,611.0,29.0,False,False,False
4b9e41c3b6e2408caef367bea8154357cfa69052,aug,2019,heat,hold,Harborside,785.772578890098,650.0,639.9651795429813,5.0,False,False,False
4fa233be8e86fb6bd5974dab5a30e5ab2bab2878,aug,2019,heat,hold,Shirley Mills,682.5,650.0,630.0,80.0,False,False,False
54a7c37bf89d6ced70f2ecd43f5f2b627a62622a,aug,2019,heat,auto,North Yarmouth,725.3132911392406,820.0,670.0,39.0,False,False,False
