Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
02a6a361c70d1052cbb1d7d80490d8326ae8e684,Jan,2017,heat,auto,Naples,618.3552631578948,664.0921052631579,662.4342105263157,15.0,False,False,False
02a6a361c70d1052cbb1d7d80490d8326ae8e684,Jan,2017,heat,hold,Naples,638.9164619164619,656.7862407862408,638.9459459459459,15.0,False,False,False
071d40a2ebc85623a1b5da94a1ee4af028115825,Jan,2017,heat,auto,North Yarmouth,647.9629629629628,650.0,650.0,25.0,False,False,False
071d40a2ebc85623a1b5da94a1ee4af028115825,Jan,2017,heat,hold,North Yarmouth,685.0666666666667,669.3333333333334,670.3333333333334,25.0,False,False,False
239e363dc2695713ba155ce9a713fdff9c1ba533,Jan,2017,heat,auto,Glenburn,705.7272727272727,703.9090909090909,703.0909090909091,40.0,False,False,False
239e363dc2695713ba155ce9a713fdff9c1ba533,Jan,2017,heat,hold,Glenburn,718.6756756756756,718.5675675675676,718.1621621621623,40.0,False,False,False
4c07c4cdb374e0cf0049e8af72014378ff2ac2c8,Jan,2017,heat,hold,Portland,647.795918367347,651.1591836734694,649.9306122448978,55.0,False,False,False
6ea13a6a8839c82c41cc8b0da4d0749b2070e49f,Jan,2017,heat,auto,North Yarmouth,675.2387543252595,696.2733564013839,695.0,0.0,False,False,False
6ea13a6a8839c82c41cc8b0da4d0749b2070e49f,Jan,2017,heat,hold,North Yarmouth,674.6416,685.4056,684.2096,0.0,False,False,False
900d136751fd54281c19a951b6e6c4f605fc7d99,Jan,2017,heat,auto,Naples,658.7654867256638,757.7433628318586,669.0796460176991,15.0,False,False,False
900d136751fd54281c19a951b6e6c4f605fc7d99,Jan,2017,heat,hold,Naples,663.5918367346939,676.1887755102042,674.9413265306123,15.0,False,False,False
918b620a2e58d39ca3a3293448661334e4c0c905,Jan,2017,heat,auto,Cooper,658.6787037037037,660.0,660.0,35.0,False,False,False
918b620a2e58d39ca3a3293448661334e4c0c905,Jan,2017,heat,hold,Cooper,656.9538011695906,658.421052631579,658.421052631579,35.0,False,False,False
95d75afc1ea185ac792938fc8be853952bc72144,Jan,2017,heat,auto,Cooper,657.4666666666667,665.8666666666667,658.5333333333333,25.0,False,False,False
95d75afc1ea185ac792938fc8be853952bc72144,Jan,2017,heat,hold,Cooper,663.7198067632852,664.6908212560387,663.7246376811594,25.0,False,False,False
a86f074cd58d2ce47d145a5ddf4492c1acca3635,Jan,2017,heat,auto,South Portland,687.0098039215686,662.8039215686274,662.4509803921569,85.0,False,False,False
a86f074cd58d2ce47d145a5ddf4492c1acca3635,Jan,2017,heat,hold,South Portland,683.0833333333334,677.7678571428571,677.7678571428571,85.0,False,False,False
ae1aabf0e2eba9c57fa58bd360c3ac0b7dc0f80c,Jan,2017,heat,auto,Bowdoin,648.6363636363636,790.0,790.0,7.0,False,False,False
ae1aabf0e2eba9c57fa58bd360c3ac0b7dc0f80c,Jan,2017,heat,hold,Bowdoin,693.772397094431,698.0532687651332,697.4963680387408,7.0,False,False,False
ae94ac840d4ff83ecaab9cbde2e0f7102bdd81ae,Jan,2017,heat,hold,Portland,678.2530120481928,684.1204819277109,682.6626506024096,55.0,False,False,False
aeb6a66ea9334f71ba2b04f324a9a0cb61776743,Jan,2017,heat,auto,Greenville,574.54,650.0,650.0,35.0,False,False,False
aeb6a66ea9334f71ba2b04f324a9a0cb61776743,Jan,2017,heat,hold,Greenville,718.6183206106871,720.6870229007634,720.6870229007634,35.0,False,False,False
b7c214e6715b7136e0cf0fbdb5b83337dda9032b,Jan,2017,auto,auto,Eliot,638.5421930267812,753.4840828701364,641.6508337544215,0.0,False,False,False
b7c214e6715b7136e0cf0fbdb5b83337dda9032b,Jan,2017,auto,hold,Eliot,628.0478905359179,700.0,629.9692132269099,0.0,False,False,False
