Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00600479ce78c1cb4bfc08723e8887e839314ecc,aug,2017,auto,auto,hudsonville,708.625,680.0,630.0,26.0,False,False,False
00600479ce78c1cb4bfc08723e8887e839314ecc,aug,2017,cool,auto,hudsonville,692.0833333333335,670.0,680.0,26.0,False,False,False
00600479ce78c1cb4bfc08723e8887e839314ecc,aug,2017,cool,hold,hudsonville,686.8888888888888,675.0,675.0,26.0,False,False,False
01702af22d0cb064c81f7d18afde95cff8df32b2,aug,2017,auto,auto,South Lyon,764.0136054421769,796.1768707482993,746.1224489795917,5.0,False,False,False
01702af22d0cb064c81f7d18afde95cff8df32b2,aug,2017,auto,hold,South Lyon,746.2876712328767,764.7945205479452,702.6917808219179,5.0,False,False,False
01ebca8b455358added70ff7440d08959bd47f5b,aug,2017,cool,auto,lansing,738.0,740.25,601.9375,0.0,False,False,False
02047345e9d7ecb5e4c5a6b98bf5f3cdfa8f2558,aug,2017,auto,auto,Lowell,717.4733009708738,744.7815533980583,693.6165048543689,0.0,False,False,False
02047345e9d7ecb5e4c5a6b98bf5f3cdfa8f2558,aug,2017,cool,auto,Lowell,696.1929824561405,670.0,690.0,0.0,False,False,False
02aee59ee8e07df99cf4874cfb2c66bc3cc4e525,aug,2017,heat,auto,Grand rapids,655.5566914498141,650.0,610.0,110.0,False,False,False
02b945a07067947496bfde9fdbd3e298a593aa91,aug,2017,cool,auto,Brighton,771.2777777777777,770.0,680.0,5.0,False,False,False
02b9aaa6e8f474d186476159a909c23dda4335ac,aug,2017,auto,auto,Macomb,740.6606463878328,752.2818441064637,684.0907794676806,15.0,False,False,False
02e32dbdc86c665df52bc03e574a999b61c90d19,aug,2017,auto,auto,Royal Oak,740.8333333333335,740.0,650.0,5.0,False,False,False
02e32dbdc86c665df52bc03e574a999b61c90d19,aug,2017,auto,hold,Royal Oak,714.9861111111112,748.7708333333335,667.5,5.0,False,False,False
02f601476f64c65d8bc064568ee938c34db87876,aug,2017,cool,hold,haslett,703.1047835990887,704.9817767653758,704.9817767653758,15.0,False,False,False
0334ecfe6df3785bbdf06c673cb6f51cf592218f,aug,2017,cool,hold,Garfield,767.7364341085271,755.2325581395347,755.2325581395347,0.0,False,False,False
0336b44884a71e97f02729da18fc3306aa9cc9f6,aug,2017,auto,auto,Commerce,698.75,700.0,640.0,65.0,False,False,False
0336b44884a71e97f02729da18fc3306aa9cc9f6,aug,2017,auto,hold,Commerce,697.4775435380385,693.4344637946837,643.4280476626948,65.0,False,False,False
033a9cc676113add327b1b5ac6025dd8cf6199e7,aug,2017,auto,auto,Wilson,749.2941176470587,800.0,740.0,0.0,False,False,False
033a9cc676113add327b1b5ac6025dd8cf6199e7,aug,2017,auto,hold,Wilson,717.3853452820242,876.1022667369531,503.92725355824973,0.0,False,False,False
033a9cc676113add327b1b5ac6025dd8cf6199e7,aug,2017,cool,hold,Wilson,748.1758241758242,760.0,760.0,0.0,False,False,False
0376993a855cda33bc370d2efc8c130c99e83663,aug,2017,auto,auto,Lake Orion,718.0,745.0,695.0,35.0,False,False,False
0376993a855cda33bc370d2efc8c130c99e83663,aug,2017,cool,auto,Lake Orion,732.2254768392371,741.0354223433243,683.2370572207085,35.0,False,False,False
0376993a855cda33bc370d2efc8c130c99e83663,aug,2017,cool,hold,Lake Orion,737.0714285714287,741.5357142857142,741.1607142857142,35.0,False,False,False
03ef35a1aeba7059dc8dad8dc6475c3b111d97ee,aug,2017,cool,auto,Oxford,755.483870967742,749.0322580645161,710.0,15.0,False,False,False
03f282658b6bce8c4282b99d1a401acfa843c511,aug,2017,cool,hold,Port Sheldon,716.5833333333335,711.875,706.5625,30.0,False,False,False
03fc8af262114b9c87606725e44c178135dd589c,aug,2017,cool,hold,Grand Rapids,752.8181818181819,730.0,730.0,77.0,False,False,False
041401f7e12fdb132eeb9de93711957d0b199184,aug,2017,cool,auto,Flint,711.1274658573598,715.0842185128984,695.7306525037936,25.0,False,False,False
041401f7e12fdb132eeb9de93711957d0b199184,aug,2017,cool,hold,Flint,712.3552333484367,719.0022655188037,718.9714544630721,25.0,False,False,False
04a8c324ae81f614840b0fdef6dfe92844b91215,aug,2017,auto,hold,Springfield,747.0,740.0,600.0,20.0,True,False,False
04a8c324ae81f614840b0fdef6dfe92844b91215,aug,2017,cool,auto,Springfield,749.7234042553191,772.8085106382979,673.2446808510638,20.0,True,False,False
04a8c324ae81f614840b0fdef6dfe92844b91215,aug,2017,cool,hold,Springfield,740.4583333333335,751.1666666666665,744.0416666666665,20.0,True,False,False
04cd516f59b0577293b21535adafbd8b54f1cbaa,aug,2017,cool,auto,Mason,716.5693215339234,720.0,650.0,15.0,True,False,True
05577eda4b23e2428f0fb5943723696daff3d86c,aug,2017,cool,auto,Canton,743.1934065934066,768.1428571428571,733.0153846153846,0.0,False,False,False
05577eda4b23e2428f0fb5943723696daff3d86c,aug,2017,cool,hold,Canton,732.1814762576398,761.8815232722144,759.6074283027739,0.0,False,False,False
0566f05a720ce7b477929ed0f46c886a76238f31,aug,2017,cool,hold,Lowell,746.8731343283583,768.4888059701492,768.4888059701492,0.0,False,False,False
