Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0039c46facfa454852fda813f2c88ed0bbfab21d,jun,2017,auto,hold,Blue Springs,745.3333333333335,759.375,680.0,20.0,False,False,False
0056cebd6cd72164f185e551f894f028d3d2e319,jun,2017,cool,hold,Clarkson Valley,748.7333333333332,740.0,740.0,45.0,True,False,True
005b44ffe2812f645179dccec3443da1ec58a68d,jun,2017,cool,hold,Kirkwood,731.3189152076898,730.0,730.0,0.0,False,False,False
008c4f598020b4161f9e0ee6c31c8f02b87b8a9c,jun,2017,cool,hold,Springfield,734.1666666666665,730.1666666666665,729.1666666666665,25.0,False,False,False
01077fe00e6bddb7480aa62c3efecbfc1b5de9c4,jun,2017,auto,auto,Lee's Summit,758.0,740.3333333333335,690.0,17.0,False,False,True
01077fe00e6bddb7480aa62c3efecbfc1b5de9c4,jun,2017,auto,hold,Lee's Summit,749.7058823529413,750.0,690.0,17.0,False,False,True
01088b49408ab4b9d13e0d7132362623ea0db85c,jun,2017,cool,auto,Independence,748.5532945736434,752.9699612403101,727.0494186046512,20.0,False,False,False
01088b49408ab4b9d13e0d7132362623ea0db85c,jun,2017,cool,hold,Independence,746.0604203152365,745.7329246935201,745.7180385288968,20.0,False,False,False
022ca80b9cb18dbbc868c84e90c30a7eb88e6e56,jun,2017,cool,auto,Wildwood,734.3815789473683,780.0,770.0,5.0,False,False,False
022ca80b9cb18dbbc868c84e90c30a7eb88e6e56,jun,2017,cool,hold,Wildwood,722.0986132511557,724.4052388289676,724.3929121725732,5.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,jun,2017,cool,auto,-kansas city,705.515625,705.984375,670.09375,25.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,jun,2017,cool,hold,-kansas city,701.375,700.0,699.75,25.0,False,False,False
03d081f652048a691168648e95540d11a37325f7,jun,2017,auto,auto,holden,743.3566878980891,744.6008492569002,710.0148619957538,15.0,True,False,True
0494e5c840147603fbc41e9d20ee03714d8155ca,jun,2017,cool,auto,St. Charles,706.3263157894737,702.8052631578947,669.9947368421052,40.0,False,False,False
061144207b5fbae94b3a32b5af1ac55e1a45f0ad,jun,2017,auto,hold,Des Peres,731.4666666666667,730.0,640.0,5.0,False,False,False
0620f21486724f10d2e324b0f418100f15b5f9f8,jun,2017,auto,auto,St. Louis,754.9850746268656,766.3507462686567,680.0,75.0,False,False,False
0620f21486724f10d2e324b0f418100f15b5f9f8,jun,2017,auto,hold,St. Louis,736.3834951456311,735.4223300970874,680.0,75.0,False,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,jun,2017,cool,auto,Florissant,718.5108433734939,717.5421686746988,702.9638554216867,0.0,False,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,jun,2017,cool,hold,Florissant,725.8571428571429,724.8282828282828,724.8282828282828,0.0,False,False,False
