Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00bbbdb5c3b6cb8b9e78191017ecdb97dad87e47,feb,2017,auto,auto,Jacksonville,704.4088541666665,766.5859375,683.3958333333334,5.0,False,False,True
00e5498cd188bdf09a9a1a902e6084b200cbbdef,feb,2017,auto,hold,Wade,668.2121212121212,750.0,670.0,55.0,False,False,False
016c1867b7cc7622e183e8d74de2b93ddd9449a3,feb,2017,heat,auto,Dobson,678.4131736526946,665.1017964071856,660.1197604790419,15.0,False,False,True
016c1867b7cc7622e183e8d74de2b93ddd9449a3,feb,2017,heat,hold,Dobson,671.799043062201,651.4665071770335,646.0741626794259,15.0,False,False,True
0172751a7d4d785df2216952e1be26ff7861a414,feb,2017,auto,auto,Greensboro,715.6666666666665,745.8333333333335,714.6666666666665,65.0,False,False,False
0172751a7d4d785df2216952e1be26ff7861a414,feb,2017,heat,auto,Greensboro,708.9074733096086,715.1174377224199,704.8683274021353,65.0,False,False,False
0172751a7d4d785df2216952e1be26ff7861a414,feb,2017,heat,hold,Greensboro,711.3387096774194,700.0,700.0,65.0,False,False,False
0260f5cc20796a72db72784c3c2bea67b1044577,feb,2017,auto,auto,Raleigh,696.0416666666665,720.0,650.0,75.0,True,False,True
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,feb,2017,heat,auto,Charlotte,665.0795454545455,658.4318181818181,654.3636363636364,30.0,False,False,False
02a6480a1235b5bfd3bc1d4d626440bb50d18d1f,feb,2017,heat,hold,Charlotte,679.875,682.625,679.7083333333334,30.0,False,False,False
02bda8c348d24fc3c754d18822eaa07180f30dc7,feb,2017,heat,auto,Boone,626.8526077097506,650.5487528344671,621.172335600907,15.0,False,False,True
02bda8c348d24fc3c754d18822eaa07180f30dc7,feb,2017,heat,hold,Boone,628.641196013289,650.2159468438538,630.1295681063123,15.0,False,False,True
02dd5281f9852ad3b808e43fd82bdf69a14f0686,feb,2017,cool,hold,Raleigh,721.3,708.15,708.15,5.0,False,False,False
02dd5281f9852ad3b808e43fd82bdf69a14f0686,feb,2017,heat,hold,Raleigh,714.8620689655173,720.0,720.0,5.0,False,False,False
031ebcd358c12af7ca6302b5ccbcac9af3142e89,feb,2017,heat,auto,Fletcher,678.5570175438596,674.7894736842105,669.530701754386,20.0,True,False,True
031ebcd358c12af7ca6302b5ccbcac9af3142e89,feb,2017,heat,hold,Fletcher,683.5448717948717,675.9423076923077,675.9423076923077,20.0,True,False,True
042cb32a74dbe2e38465efb0e16feca523c8a74a,feb,2017,auto,hold,Havelock,686.6881188118813,720.4009900990097,655.2376237623763,20.0,False,False,True
04684a4d62193c30f0ec0018997f23b56350875c,feb,2017,auto,auto,Hatteras,734.7792207792207,780.0,680.0,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,feb,2017,auto,hold,Hatteras,725.0620689655173,725.2206896551725,675.0137931034483,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,feb,2017,heat,auto,Hatteras,736.7024539877301,740.0736196319017,739.9110429447853,15.0,True,False,True
04684a4d62193c30f0ec0018997f23b56350875c,feb,2017,heat,hold,Hatteras,733.6285329744279,725.6016150740242,725.5612382234186,15.0,True,False,True
04cb3f614e6e7f4629fd13e4978543eb623efccf,feb,2017,auto,auto,Fuquay-Varina,686.2307692307693,740.0,666.7692307692307,5.0,False,False,False
04cb3f614e6e7f4629fd13e4978543eb623efccf,feb,2017,auto,hold,Fuquay-Varina,685.1119133574008,740.0,669.7833935018051,5.0,False,False,False
04dd518bf8f1884f9f669346b66a3f68af1b423f,feb,2017,auxHeatOnly,auto,Wallace,683.902390438247,685.3864541832669,685.3864541832669,0.0,False,False,True
04dd518bf8f1884f9f669346b66a3f68af1b423f,feb,2017,auxHeatOnly,hold,Wallace,688.3893735130847,685.8445678033307,685.8445678033307,0.0,False,False,True
0511b08ccf3f375906e51a3fa25effb9a13eca8e,feb,2017,auto,auto,Charlotte,709.9223300970874,731.495145631068,667.6213592233008,20.0,False,False,False
0511b08ccf3f375906e51a3fa25effb9a13eca8e,feb,2017,auto,hold,Charlotte,710.283950617284,780.0,709.5061728395061,20.0,False,False,False
0511b08ccf3f375906e51a3fa25effb9a13eca8e,feb,2017,cool,auto,Charlotte,743.59375,809.875,652.65625,20.0,False,False,False
051fb60df3e99b8cf0c9a8d9b14e6cf0c92aa2ca,feb,2017,auto,auto,Lenoir,698.7377049180327,730.0,700.8688524590165,10.0,False,False,True
051fb60df3e99b8cf0c9a8d9b14e6cf0c92aa2ca,feb,2017,auto,hold,Lenoir,701.4827586206897,730.0,695.0,10.0,False,False,True
05e23eb51c7713b3fd674fdb6b16af2b90d8ac2d,feb,2017,heat,hold,Flat Rock,712.8666666666667,723.3333333333335,723.3333333333335,5.0,False,False,False
05fb57ddba7d407a64b982dac03e06db5a7ad3c2,feb,2017,heat,auto,Ocracoke,690.7159763313609,780.0,680.0,10.0,True,False,True
062bcef4aa8af727d06c749dd7e8fd0e1ef6bbe9,feb,2017,heat,hold,Waxhaw,697.9176470588235,690.3411764705883,689.8705882352942,5.0,False,False,False
0728880afd6266fdf2d3460f2117d83883eaad3f,feb,2017,auto,hold,fuquay varina,672.9444444444445,727.2592592592592,669.0185185185185,5.0,False,False,False
0771049c971ed96d926ff17b9f8229c8e0f143c1,feb,2017,heat,auto,Surf City,719.7833333333333,680.0,680.0,15.0,True,True,True
07897e7376cf9646f159d6a3f8612b51fdc666c8,feb,2017,heat,hold,Raleigh,679.6666666666666,680.0,680.0,16.0,False,False,False
079bfcb69d4bd2ab07a5f5eefb5bbd5447ffc99c,feb,2017,heat,auto,Hillsborough,709.8709677419354,710.1935483870967,704.1935483870967,20.0,False,False,False
079bfcb69d4bd2ab07a5f5eefb5bbd5447ffc99c,feb,2017,heat,hold,Hillsborough,711.8238410596026,710.9298013245032,710.9125827814571,20.0,False,False,False
07c97014c878267d82d3487e25d7c702e1e6d771,feb,2017,heat,auto,N Wilkesboro,669.4916666666667,720.0,630.0,40.0,True,False,True
07c97014c878267d82d3487e25d7c702e1e6d771,feb,2017,heat,hold,N Wilkesboro,670.7241379310344,650.0,650.0,40.0,True,False,True
0808259e234910cfbfe5907fb690e3c77d3c87bb,feb,2017,cool,hold,Raleigh,662.2916666666666,730.0,730.0,70.0,False,False,True
080a06a3d22de098f71ee307c9fd975721b63f3e,feb,2017,heat,auto,Charlotte,707.8835021707671,703.1512301013023,672.2402315484803,50.0,False,False,False
080a06a3d22de098f71ee307c9fd975721b63f3e,feb,2017,heat,hold,Charlotte,711.9684210526317,704.0947368421052,700.2,50.0,False,False,False
084234dfdbd1856347e1c2d6cbdb3ce21940fae4,feb,2017,auto,auto,Durham,687.75,735.0,685.0,15.0,True,False,False
084234dfdbd1856347e1c2d6cbdb3ce21940fae4,feb,2017,auto,hold,Durham,677.2244897959183,725.0,675.0,15.0,True,False,False
08c32fd7cb03b31fce76012b3990c45614b49fec,feb,2017,auto,hold,Huntersville,649.007508212107,770.0,680.0581886438292,40.0,True,False,True
08c32fd7cb03b31fce76012b3990c45614b49fec,feb,2017,heat,hold,Huntersville,666.5,739.5,671.0,40.0,True,False,True
08ff671b2acea997900dfa355d4fbacf26858e9f,feb,2017,auto,auto,Clayton,689.1666666666665,764.5,697.0,15.0,False,False,True
08ff671b2acea997900dfa355d4fbacf26858e9f,feb,2017,heat,auto,Clayton,713.5294117647059,726.9705882352941,725.9411764705882,15.0,False,False,True
092f97fbbe5b43e7b635d76ca8b7f949a02beb1d,feb,2017,heat,auto,Avon,649.5806451612904,740.0,650.0,25.0,False,False,True
092f97fbbe5b43e7b635d76ca8b7f949a02beb1d,feb,2017,heat,hold,Avon,665.0064102564102,740.0,648.2435897435898,25.0,False,False,True
09e6e3d6e0c34d60ffb7cb7996ed835efd1a5426,feb,2017,auto,auto,Asheville,650.0571428571427,780.0,650.1714285714286,0.0,False,False,True
09e6e3d6e0c34d60ffb7cb7996ed835efd1a5426,feb,2017,auto,hold,Asheville,686.4166666666666,780.0,658.6666666666666,0.0,False,False,True
09ea84db2214691dcd000988d9160b845afb925a,feb,2017,heat,auto,Kannapolis,723.6034482758621,710.0689655172414,710.0344827586208,20.0,True,False,True
09ea84db2214691dcd000988d9160b845afb925a,feb,2017,heat,hold,Kannapolis,728.2048780487805,698.6341463414633,698.560975609756,20.0,True,False,True
09ff2adf59bf6b8c750be9f574fd55266e7d6410,feb,2017,auto,auto,Raleigh,672.3030303030303,684.1136363636364,664.1136363636364,0.0,True,False,False
09ff2adf59bf6b8c750be9f574fd55266e7d6410,feb,2017,auto,hold,Raleigh,676.7906976744188,687.2923588039869,667.2923588039868,0.0,True,False,False
09ff2adf59bf6b8c750be9f574fd55266e7d6410,feb,2017,cool,auto,Raleigh,684.59375,679.5625,660.1875,0.0,True,False,False
09ff2adf59bf6b8c750be9f574fd55266e7d6410,feb,2017,cool,hold,Raleigh,687.179012345679,676.7469135802469,676.7283950617284,0.0,True,False,False
09ff2adf59bf6b8c750be9f574fd55266e7d6410,feb,2017,heat,auto,Raleigh,682.172,677.704,677.704,0.0,True,False,False
09ff2adf59bf6b8c750be9f574fd55266e7d6410,feb,2017,heat,hold,Raleigh,683.2781402936379,680.5595432300163,677.6492659053832,0.0,True,False,False
0a5c9fb60128bd456bcdf80dc62779d110b6b110,feb,2017,heat,auto,Mint Hill,666.0320512820513,670.9615384615385,652.8846153846154,40.0,True,False,True
0a5c9fb60128bd456bcdf80dc62779d110b6b110,feb,2017,heat,hold,Mint Hill,676.1029900332227,676.1312292358804,671.1046511627908,40.0,True,False,True
0ad146e64d9e28994743a8e064682d4956a3ae96,feb,2017,heat,auto,Charlotte,648.7509765625,729.2353515625,643.1044921875,0.0,False,False,False
0ad146e64d9e28994743a8e064682d4956a3ae96,feb,2017,heat,hold,Charlotte,675.75,670.0,670.0,0.0,False,False,False
0ad6af23f661425c3530f6597fc4c5667af060ee,feb,2017,auto,auto,Durham,668.5,724.0,674.0,5.0,True,False,True
0ad6af23f661425c3530f6597fc4c5667af060ee,feb,2017,auto,hold,Durham,691.5714285714287,737.2619047619047,681.452380952381,5.0,True,False,True
0b6c014da593009c143c9161b38f2a00a3a48b1e,feb,2017,cool,auto,Charlotte,707.983606557377,740.0,690.0,10.0,False,False,False
0b6c014da593009c143c9161b38f2a00a3a48b1e,feb,2017,cool,hold,Charlotte,692.4427480916031,721.8473282442748,721.7938931297708,10.0,False,False,False
0b6c014da593009c143c9161b38f2a00a3a48b1e,feb,2017,heat,auto,Charlotte,631.2789373814041,650.0,620.0,10.0,False,False,False
0b6c014da593009c143c9161b38f2a00a3a48b1e,feb,2017,heat,hold,Charlotte,665.3260340632603,650.0,639.8384428223843,10.0,False,False,False
0bc26f0cb91c997fb24b1aace63db8b579e1bb73,feb,2017,cool,auto,Durham,646.6153846153846,652.6068376068376,662.9487179487179,0.0,False,False,False
0bc26f0cb91c997fb24b1aace63db8b579e1bb73,feb,2017,cool,hold,Durham,646.7586206896551,651.7241379310344,651.7241379310344,0.0,False,False,False
0bc26f0cb91c997fb24b1aace63db8b579e1bb73,feb,2017,heat,auto,Durham,649.5733333333334,654.6266666666667,655.9866666666667,0.0,False,False,False
0bc26f0cb91c997fb24b1aace63db8b579e1bb73,feb,2017,heat,hold,Durham,652.8333333333334,660.0,660.0,0.0,False,False,False
0c1aa3121d0500c0e179900ea1638d35c337a641,feb,2017,heat,auto,Asheville,663.4284369114878,690.0,662.1468926553673,55.0,True,False,True
0c1aa3121d0500c0e179900ea1638d35c337a641,feb,2017,heat,hold,Asheville,662.7494172494173,690.0,656.6433566433568,55.0,True,False,True
0c4a066840dd2d48d5210e9f279933568c2396e9,feb,2017,auto,auto,Charlotte,737.7692307692308,808.4615384615386,739.0769230769231,20.0,False,False,False
0c4a066840dd2d48d5210e9f279933568c2396e9,feb,2017,auto,hold,Charlotte,647.75,820.0,650.0,20.0,False,False,False
0c94b29e4a56021520ecced2dc44f61e3da8fecf,feb,2017,auto,hold,Concord,694.0975609756098,745.0,684.9977827050997,10.0,False,False,False
0d67d40f221a7e85baf6e19e1233fcc753c8b371,feb,2017,auto,auto,Wake Forest,622.3333333333334,722.3333333333335,617.3333333333334,5.0,False,False,False
0df1840ca5c53f3f5fe293dad4ded7c7e3aa89df,feb,2017,heat,auto,Franklin,654.9285714285714,667.8571428571429,667.6224489795917,0.0,False,False,True
0df1840ca5c53f3f5fe293dad4ded7c7e3aa89df,feb,2017,heat,hold,Franklin,672.4329268292682,667.6951219512197,667.4878048780488,0.0,False,False,True
0df9587f789f5d89619b824416f1f9d5d3031fb8,feb,2017,heat,auto,Chapel Hill,680.6773049645391,735.9468085106382,682.1063829787233,30.0,False,False,False
0e14716902139fb4143df3336d079c80b1e3f907,feb,2017,auto,hold,Stallings,717.8,708.0,650.0,0.0,False,False,False
0eddfb8200e726fc3fd3403caa3b115d6294d940,feb,2017,auto,auto,Jamestown,674.4,705.0,655.0,20.0,False,False,False
0eddfb8200e726fc3fd3403caa3b115d6294d940,feb,2017,auto,hold,Jamestown,693.7239932885907,748.8393456375837,685.9584731543624,20.0,False,False,False
0eddfb8200e726fc3fd3403caa3b115d6294d940,feb,2017,cool,hold,Jamestown,684.6,712.8666666666667,679.8666666666667,20.0,False,False,False
0eddfb8200e726fc3fd3403caa3b115d6294d940,feb,2017,heat,hold,Jamestown,683.2666666666668,678.0,677.3333333333334,20.0,False,False,False
