Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
05320d509a18b2d4022029409e7a267736e78e0b,dec,2017,heat,auto,Lincoln,706.4473684210526,728.1578947368422,727.9473684210526,90.0,False,False,False
05320d509a18b2d4022029409e7a267736e78e0b,dec,2017,heat,hold,Lincoln,722.5274725274727,731.934065934066,731.8461538461537,90.0,False,False,False
07ab14a1e62abe24dbdc3c8c819ab2ba7d93c8bd,dec,2017,heat,auto,Elkhorn,681.9277978339351,696.0252707581227,677.8303249097472,20.0,False,False,False
07ab14a1e62abe24dbdc3c8c819ab2ba7d93c8bd,dec,2017,heat,hold,Elkhorn,687.7921686746988,688.494578313253,688.494578313253,20.0,False,False,False
0888869bed67808acc6deba6f1d8c0ebc69e5d79,dec,2017,heat,hold,Omaha,695.8493150684932,696.7123287671233,696.7123287671233,15.0,False,False,False
08b871076a1537bc6054f00b3e5cdb2755f569b1,dec,2017,heat,hold,Lincoln,687.8888888888888,690.0,690.0,50.0,False,False,False
0ac9c4da05cf71476d3038a06abae81f81217bad,dec,2017,heat,auto,Lincoln,697.2099192618224,697.6528258362167,697.6528258362167,20.0,False,False,False
0ac9c4da05cf71476d3038a06abae81f81217bad,dec,2017,heat,hold,Lincoln,697.0698104484512,696.24826629681,696.24826629681,20.0,False,False,False
0ad90268dcfa7e7aa1d92768a5d17e1841ceaf17,dec,2017,heat,hold,McCool Junction,683.875,690.0,690.0,15.0,True,False,True
0d68a1abbd8eac7d18867b85b2439d51bb45d79d,dec,2017,auto,auto,Omaha,665.9629629629628,790.1975308641977,659.5432098765433,20.0,False,False,False
0d68a1abbd8eac7d18867b85b2439d51bb45d79d,dec,2017,auto,hold,Omaha,671.1881188118813,790.178217821782,668.8316831683169,20.0,False,False,False
0d779ed5bbc93a32506824e72f1b051e9980a0cf,dec,2017,heat,auto,Blair,688.7790697674419,680.0,680.0,35.0,False,False,False
0d779ed5bbc93a32506824e72f1b051e9980a0cf,dec,2017,heat,hold,Blair,700.7696335078534,701.2041884816754,701.2041884816754,35.0,False,False,False
0e941550e1a9b4328f2290a4ffda69f7386326e1,dec,2017,auto,auto,Lincoln,677.4166666666666,729.7916666666665,679.7916666666666,40.0,False,False,False
0e941550e1a9b4328f2290a4ffda69f7386326e1,dec,2017,auto,hold,Lincoln,707.9230769230769,755.0,705.0,40.0,False,False,False
0e941550e1a9b4328f2290a4ffda69f7386326e1,dec,2017,heat,auto,Lincoln,704.6666666666665,711.8888888888888,708.5555555555555,40.0,False,False,False
0e941550e1a9b4328f2290a4ffda69f7386326e1,dec,2017,heat,hold,Lincoln,691.5,705.0,705.0,40.0,False,False,False
0f5333f7a040e9e6da0179fda8302f89aefcbcbd,dec,2017,heat,auto,Lincoln,679.0655737704917,750.0,680.0,50.0,False,False,False
10484576cdf6fa0ce377a1110f267866bcfea53d,dec,2017,heat,hold,Omaha,698.093537414966,703.0680272108842,702.9744897959183,0.0,False,False,False
1368c1b32f1bf0e6653e05e1c3cc7a00b8ac0384,dec,2017,heat,hold,Papillion,702.8513598987983,700.0,700.0,20.0,False,False,False
1399cce106fc00355437a779ea700eb606b05b48,dec,2017,heat,auto,Beatrice,750.8461538461537,750.0,750.0,87.0,False,False,False
1399cce106fc00355437a779ea700eb606b05b48,dec,2017,heat,hold,Beatrice,756.3035714285713,750.0,750.0,87.0,False,False,False
139fad3ed64a1a20e1def36f6af543b56e705d97,dec,2017,auto,auto,Papillion,679.6388888888888,780.0,680.0,5.0,True,False,False
139fad3ed64a1a20e1def36f6af543b56e705d97,dec,2017,auto,hold,Papillion,678.5629629629631,780.0,680.0,5.0,True,False,False
