Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004f71a0c52a570bac8cebc13392ba54fc98da79,dec,2017,heat,auto,Millstone,674.5800376647834,674.7325800376648,673.7495291902071,0.0,False,False,False
004f71a0c52a570bac8cebc13392ba54fc98da79,dec,2017,heat,hold,Millstone,695.5253012048191,700.9397590361446,700.6795180722893,0.0,False,False,False
0077dbe1c8326d5fbe2f7379172ae07159a24393,dec,2017,heat,auto,Ridgewood,629.9374358974359,650.2533333333333,628.7323076923077,0.0,False,False,False
0077dbe1c8326d5fbe2f7379172ae07159a24393,dec,2017,heat,hold,Ridgewood,653.2678062678062,661.3361823361822,638.94301994302,0.0,False,False,False
00cfe51c25b825270bc4509dfadca8d4f50a4e99,dec,2017,heat,hold,Medford,620.88,651.4,620.28,0.0,False,False,False
00f561507850963a60d2f979d590c2a6eb3f524c,dec,2017,heat,auto,Somerville,677.4,728.0,674.0,65.0,False,False,False
00f561507850963a60d2f979d590c2a6eb3f524c,dec,2017,heat,hold,Somerville,681.2622950819673,679.4262295081967,677.2786885245903,65.0,False,False,False
00fffc77256e65d8b7e1657b30e446dd9fa32eb5,dec,2017,auto,auto,Hillsborough,697.494071146245,749.3794466403164,699.3583662714097,5.0,False,False,False
00fffc77256e65d8b7e1657b30e446dd9fa32eb5,dec,2017,auto,hold,Hillsborough,693.2777777777777,765.0,695.0,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2017,cool,auto,Haddon Township,552.8924731182797,560.4086021505376,609.8924731182797,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2017,cool,hold,Haddon Township,597.6807511737089,578.3943661971831,578.2816901408451,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2017,heat,auto,Haddon Township,664.3174603174604,667.3253968253969,667.3253968253969,5.0,False,False,False
0129f1aa4f23beac88b2e4bd022213101f2cac8f,dec,2017,heat,hold,Haddon Township,640.8568421052631,626.6168421052631,626.6168421052631,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,dec,2017,auto,auto,Piscataway,740.2916666666665,735.0,685.0,5.0,False,False,False
01344d14a623a52997206e073b17517a488ddb6c,dec,2017,heat,auto,Piscataway,731.0370370370372,726.1851851851852,726.1851851851852,5.0,False,False,False
015d5e26149f0a640f06bd76f7426f6b1e5c82f2,dec,2017,heat,auto,Aberdeen,718.1986301369863,720.3150684931506,719.527397260274,50.0,False,False,False
