Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
034f98fe8f4117d011824b1b5c1cfe823fbc29fb,jul,2017,auto,auto,CLOVIS,767.2768361581919,767.6892655367232,700.0,15.0,False,False,True
034f98fe8f4117d011824b1b5c1cfe823fbc29fb,jul,2017,auto,hold,CLOVIS,753.5038167938933,749.2061068702292,695.4198473282444,15.0,False,False,True
09128eee40d1b9752e3aec43ebf9db92c8f7a61d,jul,2017,cool,auto,Las Cruces,733.3428571428572,734.257142857143,700.0,25.0,False,False,False
09128eee40d1b9752e3aec43ebf9db92c8f7a61d,jul,2017,cool,hold,Las Cruces,733.775,750.125,699.75,25.0,False,False,False
0c683e9af00af3beb63a8a80e406315b523683d0,jul,2017,cool,auto,Ruidoso,735.4347826086956,736.4347826086956,750.7173913043479,20.0,False,False,False
0c683e9af00af3beb63a8a80e406315b523683d0,jul,2017,cool,hold,Ruidoso,728.5839662447258,770.4075949367087,770.4101265822784,20.0,False,False,False
0d1846228bf4d3de1ea29bd4c4ae51606878f776,jul,2017,auto,auto,CLOVIS,752.7916666666665,755.0,660.0,15.0,False,False,True
0d1846228bf4d3de1ea29bd4c4ae51606878f776,jul,2017,auto,hold,CLOVIS,721.560975609756,720.0,660.0,15.0,False,False,True
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,jul,2017,cool,auto,Albuquerque,735.4043967280162,752.3077709611451,636.7980572597138,35.0,False,False,False
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,jul,2017,cool,hold,Albuquerque,731.6373626373628,727.8351648351648,727.0,35.0,False,False,False
112ab696991e135909df9f3c0b140ae2aa0f4227,jul,2017,cool,hold,Deming,704.3125,700.0,700.0,105.0,False,False,False
1475fecad1c559962afb1d690b01d87cba9156ea,jul,2017,auto,auto,Clovis,762.3468468468468,762.1756756756756,712.1756756756756,0.0,False,False,False
1475fecad1c559962afb1d690b01d87cba9156ea,jul,2017,auto,hold,Clovis,758.5958762886598,759.0886597938146,702.3938144329896,0.0,False,False,False
