Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00344f7902f07e49b84a3135e34648206bad5720,Jan,2017,heat,auto,Henderson,670.7391304347826,730.0434782608696,719.9130434782608,5.0,False,False,False
00344f7902f07e49b84a3135e34648206bad5720,Jan,2017,heat,hold,Henderson,701.1528662420383,728.5350318471338,720.7579617834393,5.0,False,False,False
03554eff92f6007aaa1908c40bb7d336d628465b,Jan,2017,auto,hold,Henderson,676.9416666666667,780.0,680.0,0.0,True,False,False
03a2e818806b6c07f5d591f53829291834491613,Jan,2017,heat,auto,Genoa,681.1234567901233,719.5802469135804,682.9876543209876,5.0,False,False,False
03a2e818806b6c07f5d591f53829291834491613,Jan,2017,heat,hold,Genoa,667.9583333333334,668.6111111111112,666.1111111111112,5.0,False,False,False
0507b1bb9804f35c5ba9c5d7da063498290db314,Jan,2017,auto,auto,Las Vegas,717.4166666666665,770.0,720.0,20.0,True,False,False
0507b1bb9804f35c5ba9c5d7da063498290db314,Jan,2017,heat,auto,Las Vegas,713.9166666666665,715.0,715.0,20.0,True,False,False
0507b1bb9804f35c5ba9c5d7da063498290db314,Jan,2017,heat,hold,Las Vegas,720.5555555555555,715.8888888888888,715.3333333333335,20.0,True,False,False
0c8e8df348505fae67e4ee70fd7b4bbb6bb2236d,Jan,2017,cool,auto,Las Vegas,641.7121212121212,650.0,620.0,10.0,False,False,False
0c8e8df348505fae67e4ee70fd7b4bbb6bb2236d,Jan,2017,heat,auto,Las Vegas,664.7597955706984,689.8977853492332,675.587734241908,10.0,False,False,False
0df5a6d9fdbd771e2a52fe5b079d23fc076da2c1,Jan,2017,heat,auto,Las Vegas,687.4955947136563,681.1894273127754,687.7753303964756,15.0,False,False,False
0df5a6d9fdbd771e2a52fe5b079d23fc076da2c1,Jan,2017,heat,hold,Las Vegas,684.7046046915725,683.768896611642,683.768896611642,15.0,False,False,False
0f1559a43745f86322e9f892904f5f8f9aea6740,Jan,2017,heat,hold,Genoa,627.6410256410256,672.5641025641024,670.7692307692307,5.0,False,False,False
11251eb3b6b6c3998c27712b105d85220f9b906e,Jan,2017,heat,auto,North Las Vegas,685.6,820.0,630.0,0.0,False,False,False
11aa801293eac2a1dfabf780b029d17d59457b20,Jan,2017,heat,hold,Las Vegas,709.6403887688983,708.6468682505399,708.4028077753778,0.0,False,False,False
16b53cd7d2d2ca970a419741051fd4abb2b21e95,Jan,2017,heat,auto,Las Vegas,650.9367816091954,650.0,649.0172413793102,5.0,False,False,False
16b53cd7d2d2ca970a419741051fd4abb2b21e95,Jan,2017,heat,hold,Las Vegas,651.2575342465752,654.517808219178,652.9671232876713,5.0,False,False,False
1ab0d0a8ed12a91d61f12037aa0922cde9c36411,Jan,2017,auto,auto,Las Vegas,683.4011299435027,800.0,680.0,35.0,False,False,False
1ab0d0a8ed12a91d61f12037aa0922cde9c36411,Jan,2017,auto,hold,Las Vegas,676.7848837209302,775.3488372093024,676.1627906976744,35.0,False,False,False
1ace768fb2fe6086ef0543da536a3b0324f33a6f,Jan,2017,auto,auto,Las Vegas,719.1369863013699,796.5753424657535,712.8767123287671,5.0,False,False,False
1ace768fb2fe6086ef0543da536a3b0324f33a6f,Jan,2017,auto,hold,Las Vegas,710.567880794702,786.864238410596,704.3394039735098,5.0,False,False,False
1ace768fb2fe6086ef0543da536a3b0324f33a6f,Jan,2017,heat,auto,Las Vegas,729.28125,730.0,730.0,5.0,False,False,False
1ace768fb2fe6086ef0543da536a3b0324f33a6f,Jan,2017,heat,hold,Las Vegas,717.9068150208623,716.5104311543811,716.5104311543811,5.0,False,False,False
1b04f8817d9918ee59df52e31bf59002b2b1ac1f,Jan,2017,auto,auto,Las Vegas,680.0686274509803,795.686274509804,679.2549019607842,0.0,False,False,False
