Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
009c68a7b26c494e4ebacfae61ef65b502eea795,Jan,2017,heat,auto,Worthington,672.9666666666667,818.7,601.7333333333332,55.0,False,False,False
011b43c5a16016373499bcec61b788772b0d7b50,Jan,2017,heat,auto,Saint Bernard,714.527377521614,715.6368876080693,715.6368876080693,110.0,False,False,False
011b43c5a16016373499bcec61b788772b0d7b50,Jan,2017,heat,hold,Saint Bernard,717.8846869187848,717.9380037197768,717.9380037197768,110.0,False,False,False
016e7f0b54c10c0156112e069c90dedec6be0afa,Jan,2017,heat,auto,Columbus,656.258064516129,779.7096774193549,610.6774193548387,45.0,False,False,False
016e7f0b54c10c0156112e069c90dedec6be0afa,Jan,2017,heat,hold,Columbus,689.4347826086956,700.7391304347825,699.695652173913,45.0,False,False,False
02d135064d9dd3fee7019921e09b5c118f0f16dd,Jan,2017,auto,auto,Cleveland,677.0,702.5,660.0,75.0,False,False,False
02d135064d9dd3fee7019921e09b5c118f0f16dd,Jan,2017,heat,auto,Cleveland,681.8098765432097,689.0740740740739,683.2666666666668,75.0,False,False,False
02d135064d9dd3fee7019921e09b5c118f0f16dd,Jan,2017,heat,hold,Cleveland,674.7422222222223,683.3703703703702,679.4237037037037,75.0,False,False,False
02d56dc5db1dd238d1587211190b99e62cc2d0b8,Jan,2017,heat,hold,Grafton,670.9230769230769,707.7692307692308,707.7692307692308,0.0,True,False,False
04b0a81741deb80fc379dee9e8305983bbfb380a,Jan,2017,heat,auto,Loveland,677.5874799357946,740.3852327447834,679.3097913322632,25.0,False,False,False
04b0a81741deb80fc379dee9e8305983bbfb380a,Jan,2017,heat,hold,Loveland,682.1428571428571,662.5259740259739,661.7337662337662,25.0,False,False,False
05d92ac49af749d052a6fae6ccbe7e973039f28c,Jan,2017,heat,auto,Dayton,686.6666666666666,714.3333333333335,689.0,40.0,False,False,False
05d92ac49af749d052a6fae6ccbe7e973039f28c,Jan,2017,heat,hold,Dayton,689.0857142857143,690.0,690.0,40.0,False,False,False
06242407b5562e05ff0982a274e2eed127c991e4,Jan,2017,auxHeatOnly,auto,Lancaster,685.4147049338923,686.4030957755563,686.4030957755563,40.0,False,False,True
0680b6bc35f7298adbb4e8e4b394956201b89fb4,Jan,2017,heat,auto,hudson,726.7407407407408,680.0,680.0,15.0,False,False,False
075710613aab6b94629d69dba6e4de98167ccb7e,Jan,2017,auto,auto,Mayfield Village,725.6494505494505,786.334065934066,728.598901098901,0.0,False,False,False
075710613aab6b94629d69dba6e4de98167ccb7e,Jan,2017,auto,hold,Mayfield Village,724.1872399445215,789.5839112343966,725.0263522884883,0.0,False,False,False
07905f27ed2133647f0a51bf89ffe5c6ff737374,Jan,2017,heat,auto,Newark,706.8512396694215,749.095041322314,686.7644628099174,20.0,False,False,False
07905f27ed2133647f0a51bf89ffe5c6ff737374,Jan,2017,heat,hold,Newark,698.4102564102565,680.0,680.0,20.0,False,False,False
07a4af86e62b2cfbae7dbc9c3d39654d6ab7336f,Jan,2017,heat,auto,Twinsburg,654.7407407407408,650.3851851851853,650.1111111111112,0.0,False,False,False
07a4af86e62b2cfbae7dbc9c3d39654d6ab7336f,Jan,2017,heat,hold,Twinsburg,611.5538461538463,657.4153846153846,613.1076923076922,0.0,False,False,False
084a3fe02dbcd4f144d837a168e1ac2bf0b7c198,Jan,2017,heat,auto,Cincinnati,676.0215827338129,680.5755395683452,680.0,105.0,False,False,False
084a3fe02dbcd4f144d837a168e1ac2bf0b7c198,Jan,2017,heat,hold,Cincinnati,675.4583333333334,680.0,680.0,105.0,False,False,False
09157f0864b9c9fd2b352a27734990d6b16499fa,Jan,2017,heat,auto,Holland,675.7073170731708,733.170731707317,676.8292682926831,10.0,False,False,False
09157f0864b9c9fd2b352a27734990d6b16499fa,Jan,2017,heat,hold,Holland,682.5384615384615,678.0769230769231,678.0769230769231,10.0,False,False,False
0a1543cd29f9c4c85d91512b595ce09f4c845d27,Jan,2017,heat,hold,Englewood,697.6,705.0,705.0,20.0,False,False,False
0b2601e1c748e23bddde9cd90cc4b4f1bed7287a,Jan,2017,auto,auto,Pickerington,686.9285714285714,760.0,700.0,45.0,True,False,True
0b2601e1c748e23bddde9cd90cc4b4f1bed7287a,Jan,2017,auto,hold,Pickerington,691.014598540146,760.0583941605838,690.3759124087593,45.0,True,False,True
0b45ed1183e81fc14215bfce9cc6d5081a2d72b6,Jan,2017,auxHeatOnly,hold,New Albany,619.8650519031141,650.0,610.0,15.0,False,False,True
0b9724e4f03bd5ab44a6a8ab445d06a18cf68595,Jan,2017,cool,hold,Findlay,668.8695652173913,690.0,690.0,55.0,False,False,False
0b9724e4f03bd5ab44a6a8ab445d06a18cf68595,Jan,2017,heat,auto,Findlay,677.1473684210526,774.9263157894737,670.5894736842105,55.0,False,False,False
0b9724e4f03bd5ab44a6a8ab445d06a18cf68595,Jan,2017,heat,hold,Findlay,683.8571428571429,698.0,689.3571428571429,55.0,False,False,False
0b997730d0c3383aac47a091fe9d82dda775bd83,Jan,2017,auto,auto,Thompson,677.010989010989,761.3956043956044,684.2197802197803,15.0,True,False,True
0b997730d0c3383aac47a091fe9d82dda775bd83,Jan,2017,auto,hold,Thompson,680.5825242718448,769.7864077669902,716.3592233009707,15.0,True,False,True
0b997730d0c3383aac47a091fe9d82dda775bd83,Jan,2017,heat,auto,Thompson,714.4,718.7076923076925,717.4153846153847,15.0,True,False,True
0b997730d0c3383aac47a091fe9d82dda775bd83,Jan,2017,heat,hold,Thompson,699.156862745098,714.843137254902,713.4509803921568,15.0,True,False,True
0bdcc696337ef3b6b2b14c7c70a4ba800127ece1,Jan,2017,heat,auto,Toledo,678.0410849621061,678.8958915037894,678.8954926206621,95.0,False,False,False
0bdcc696337ef3b6b2b14c7c70a4ba800127ece1,Jan,2017,heat,hold,Toledo,667.4615384615385,670.032967032967,670.032967032967,95.0,False,False,False
0be769d4afa830089715abf2c69657a3760d23b3,Jan,2017,heat,auto,Columbus,738.6238095238095,738.5714285714287,738.5714285714287,10.0,True,False,False
0caa6a90d26b61917a675d229859f06804ca8ae7,Jan,2017,heat,hold,Centerburg,692.5113636363636,696.0227272727273,696.0227272727273,10.0,False,False,False
0d0e9bad8dd37788160505289b2a9511d84bcc21,Jan,2017,heat,auto,Toledo,697.0181132075471,700.0,700.0,100.0,False,False,False
0d8352d4419f2bd8114703bf51c7802046b8d5b1,Jan,2017,heat,hold,Columbus,701.1493055555555,702.3194444444445,702.3194444444445,20.0,False,False,False
0db5e3e92d969383ae098f5f5b4ce27f58701e7d,Jan,2017,heat,auto,Columbus,712.5925925925926,716.8518518518518,715.3703703703702,5.0,False,False,False
0dcb6d1da24030985cf7ca3a36f417757f0500ed,Jan,2017,heat,auto,Columbus,670.1245901639344,677.2655737704918,665.7508196721311,0.0,False,False,False
0dcb6d1da24030985cf7ca3a36f417757f0500ed,Jan,2017,heat,hold,Columbus,709.5019250962547,710.7437871893594,710.7437871893594,0.0,False,False,False
0df8706d8417531484d8ad82c0f198775481d7b8,Jan,2017,heat,auto,Chardon,666.1431670281995,751.8850325379608,632.1019522776572,6.0,False,False,False
0df8706d8417531484d8ad82c0f198775481d7b8,Jan,2017,heat,hold,Chardon,670.8863636363636,700.0,700.0,6.0,False,False,False
0e27bb35bbbfec482c842f49d8c8a6a12a24bb34,Jan,2017,auto,auto,Columbus,677.7950819672133,817.8087431693988,641.5027322404371,60.0,False,False,False
0e27bb35bbbfec482c842f49d8c8a6a12a24bb34,Jan,2017,auto,hold,Columbus,658.679012345679,750.0,667.074074074074,60.0,False,False,False
0e7c4773ba773e959725df6801055f5d90322557,Jan,2017,auto,auto,Westerville,613.6813793103448,760.0,620.0,0.0,False,False,True
0ec773c60c437d06a5e4b78c7f07d3c708a9d7fc,Jan,2017,heat,auto,Cincinnati,656.1764705882352,780.0,660.0,30.0,False,False,False
0ec773c60c437d06a5e4b78c7f07d3c708a9d7fc,Jan,2017,heat,hold,Cincinnati,666.9833333333332,670.0,670.0,30.0,False,False,False
0f8d2d5b30d9788eb90ebc6f4fc6017a170c9960,Jan,2017,heat,auto,Stow,694.2897435897437,697.123076923077,696.074358974359,36.0,False,False,False
0f8d2d5b30d9788eb90ebc6f4fc6017a170c9960,Jan,2017,heat,hold,Stow,697.9312039312041,698.3882063882063,698.2579852579852,36.0,False,False,False
10b5384d2434831e3f3298c9e77e19066e530fec,Jan,2017,heat,auto,Franklin,678.8146853146853,673.4895104895105,662.2342657342657,15.0,False,False,False
12519e7e635ae8c2268be6010b5b4547d3cf4acc,Jan,2017,auto,auto,Westerville,703.2,780.0,664.4,15.0,False,False,False
12519e7e635ae8c2268be6010b5b4547d3cf4acc,Jan,2017,auto,hold,Westerville,687.8587196467993,780.0,686.2317880794702,15.0,False,False,False
12bb6b9835ae2e46476f9d4e81083022fc24b353,Jan,2017,heat,auto,Mount Orab,673.6052631578948,759.578947368421,700.5526315789474,60.0,False,False,True
12bb6b9835ae2e46476f9d4e81083022fc24b353,Jan,2017,heat,hold,Mount Orab,623.0,756.0,657.0,60.0,False,False,True
1363759747c78244e33afdb3ea6bd71117094047,Jan,2017,heat,auto,Parma,687.5530303030303,689.6818181818181,688.1818181818181,65.0,False,False,False
