Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0000ac445144d0c6debe6d9952ead47342bdd9f7,dec,2017,auto,auto,York,680.5714285714286,799.1428571428571,678.5714285714286,15.0,False,False,False
0000ac445144d0c6debe6d9952ead47342bdd9f7,dec,2017,auto,hold,York,690.6153846153846,798.6923076923077,688.0,15.0,False,False,False
0000ac445144d0c6debe6d9952ead47342bdd9f7,dec,2017,heat,auto,York,688.1875,712.5,690.0,15.0,False,False,False
0000ac445144d0c6debe6d9952ead47342bdd9f7,dec,2017,heat,hold,York,688.6533333333333,689.5733333333334,689.3,15.0,False,False,False
00f84a3c7f1096a53cbe252d757eadf37f79631a,dec,2017,auto,auto,Mount Pleasant,644.3618784530388,830.0,634.3397790055249,0.0,False,False,True
00f84a3c7f1096a53cbe252d757eadf37f79631a,dec,2017,auto,hold,Mount Pleasant,678.5517241379309,829.9310344827586,649.9310344827586,0.0,False,False,True
026a08681f9f6f523391140ffee2334f9b4845c0,dec,2017,auto,auto,North Charleston,652.1377551020408,760.0,640.0,60.0,False,False,True
026a08681f9f6f523391140ffee2334f9b4845c0,dec,2017,auto,hold,North Charleston,651.8187919463087,760.0,649.744966442953,60.0,False,False,True
034f7acc5406d2acf9aefbf56054f175989922e5,dec,2017,heat,auto,Seneca,701.1234567901234,700.3086419753087,699.2962962962962,5.0,False,False,True
034f7acc5406d2acf9aefbf56054f175989922e5,dec,2017,heat,hold,Seneca,683.8529411764706,710.6470588235294,689.2058823529413,5.0,False,False,True
03bef4aae91c5ff7d053e64e8b9ecbb87b716259,dec,2017,heat,auto,Mount Pleasant,648.7819365337673,818.0,641.5899104963385,5.0,False,False,False
03bef4aae91c5ff7d053e64e8b9ecbb87b716259,dec,2017,heat,hold,Mount Pleasant,709.8074866310159,715.0855614973262,714.5187165775401,5.0,False,False,False
044b7bf990f4b3e898d8dd96c1a4a4dbfcc02a34,dec,2017,auto,auto,Charleston,680.0425696594427,789.8065015479876,650.1122291021671,6.0,False,False,False
04cba9a4912365b53a2d99a85f70071014ef34bd,dec,2017,auto,hold,Mount Pleasant,695.8711018711018,758.3783783783783,697.0540540540541,10.0,False,False,False
04e03135f1ece7f646e2553fa92b2979ab79c7d3,dec,2017,auto,auto,Fort Mill,672.8497409326425,701.4455958549222,651.3056994818652,0.0,False,False,True
04e03135f1ece7f646e2553fa92b2979ab79c7d3,dec,2017,auto,hold,Fort Mill,668.8255813953489,735.7441860465117,669.0,0.0,False,False,True
054f674c2ac6b579d50763e752cd86b8fcc76188,dec,2017,auto,hold,Greer,673.9042553191489,732.7127659574468,672.6702127659574,17.0,False,False,False
054f674c2ac6b579d50763e752cd86b8fcc76188,dec,2017,heat,hold,Greer,670.4819672131148,670.527868852459,669.7016393442623,17.0,False,False,False
05b8f51ea477a5942e3c974f5083aa5f7499b8ec,dec,2017,auto,auto,Clover,640.4987012987012,755.0545454545454,631.0103896103898,15.0,False,False,False
05b8f51ea477a5942e3c974f5083aa5f7499b8ec,dec,2017,auto,hold,Clover,655.6978021978023,752.3516483516484,651.3791208791208,15.0,False,False,False
05cc0b66531e7e3766970dda03f2d887af548f44,dec,2017,cool,auto,Summerville,735.0,750.0,750.0,6.0,False,False,False
05cc0b66531e7e3766970dda03f2d887af548f44,dec,2017,heat,auto,Summerville,756.9156976744188,757.0218023255812,757.0218023255812,6.0,False,False,False
05cc0b66531e7e3766970dda03f2d887af548f44,dec,2017,heat,hold,Summerville,752.6333333333333,755.0,755.0,6.0,False,False,False
0601008aa7e1508fb54db46b8889ff0bf92557f9,dec,2017,auto,auto,Greer,680.6372093023256,731.9023255813953,681.5209302325582,16.0,False,False,False
0611984141ab4fca9edd7d3ac1e0a79ab09bde8a,dec,2017,heat,hold,Sumter,639.5,680.0,680.0,5.0,True,False,True
0696db3386f335367a71b132ac7f5f9f235d1f33,dec,2017,auto,auto,Boiling Springs,766.1608775137113,800.0731261425958,768.7148080438757,15.0,False,False,False
0696db3386f335367a71b132ac7f5f9f235d1f33,dec,2017,auto,hold,Boiling Springs,763.483808037456,804.5052672649239,764.5126804525946,15.0,False,False,False
06d4cf9079d88bba13ed19286d0516bb90130859,dec,2017,heat,hold,Fort Mill,693.9512893982808,692.4909264565425,692.4909264565425,0.0,False,False,False
08c093a31ae06556421d1d1bbe36afc9b635cd85,dec,2017,auto,auto,Duncan,724.1346153846154,781.5,725.4807692307692,0.0,False,False,False
08c093a31ae06556421d1d1bbe36afc9b635cd85,dec,2017,auto,hold,Duncan,718.1162790697673,798.4883720930233,719.5581395348837,0.0,False,False,False
08d12d0cf16344e12f1b66fce7239849ae123271,dec,2017,auto,auto,North Myrtle Beach,618.0,740.0,610.0,0.0,True,False,True
0900226f31aaaba3b17a1d2d1232d446daeb7b2a,dec,2017,auto,hold,Rock Hill,670.5787781350482,742.700964630225,667.1977491961413,5.0,True,False,True
0947e65155ed83e07f669f14d3d90809b7113d4a,dec,2017,auto,auto,Columbia,669.4119999999999,757.4644,665.3448,20.0,False,False,False
0947e65155ed83e07f669f14d3d90809b7113d4a,dec,2017,auto,hold,Columbia,658.9896907216495,760.0,660.0,20.0,False,False,False
0a0d5374c736b747ba2d38483251bf4a6b4a4f75,dec,2017,auto,hold,Murrells Inlet,689.3333333333335,730.0,690.0,25.0,True,False,True
0a0d5374c736b747ba2d38483251bf4a6b4a4f75,dec,2017,heat,auto,Murrells Inlet,656.1451063829787,665.4548936170213,658.5493617021276,25.0,True,False,True
0a0d5374c736b747ba2d38483251bf4a6b4a4f75,dec,2017,heat,hold,Murrells Inlet,699.3781597573306,703.0192113245703,701.7371081900909,25.0,True,False,True
