Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00d762465f20f9432cfd998744ab841e82cb15bd,dec,2017,auto,hold,Cleveland,700.1212121212121,760.9090909090909,660.9090909090909,20.0,False,False,False
0113bf09dfae09204aefa3924186bc90a90264e0,dec,2017,heat,hold,Collierville,675.375,700.0,650.0,30.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,dec,2017,auto,auto,Collierville,675.2866894197953,758.5017064846418,670.1023890784983,20.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,dec,2017,auto,hold,Collierville,682.7456521739131,757.054347826087,686.3586956521739,20.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,dec,2017,heat,auto,Collierville,642.0333333333333,650.0,630.0,20.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,dec,2017,heat,hold,Collierville,678.3205958549222,675.2940414507773,675.2940414507773,20.0,False,False,False
01b244c6278bc022e1b13b3826143b733278d6bb,dec,2017,heat,auto,Knoxville,672.5,670.0,660.0,15.0,False,False,False
01b244c6278bc022e1b13b3826143b733278d6bb,dec,2017,heat,hold,Knoxville,662.0444444444445,670.1037037037038,661.5111111111112,15.0,False,False,False
02d67bf123b3642cad0b2711fe076b40a2348c13,dec,2017,heat,auto,Morristown,696.8415841584157,699.03300330033,698.4488448844885,90.0,False,False,False
02d67bf123b3642cad0b2711fe076b40a2348c13,dec,2017,heat,hold,Morristown,652.3198847262247,678.7723342939481,660.2536023054755,90.0,False,False,False
031c3898c8f66050458f2072a6e88d6513734a5f,dec,2017,auto,hold,College Grove,683.5061728395061,695.0,645.0,7.0,False,False,False
031c3898c8f66050458f2072a6e88d6513734a5f,dec,2017,heat,auto,College Grove,692.0588235294118,690.0,690.0,7.0,False,False,False
032768699aaf4fc665024f2cc95dab4576c6444b,dec,2017,heat,auto,Brentwood,666.2941176470587,700.0,650.0,20.0,False,False,False
032768699aaf4fc665024f2cc95dab4576c6444b,dec,2017,heat,hold,Brentwood,665.4615384615385,700.7912087912088,629.9230769230769,20.0,False,False,False
0327e2f6416912c7320bedd41df16f269d02da62,dec,2017,auto,auto,Maryville,723.8571428571429,800.0,727.4675324675325,27.0,True,False,True
0327e2f6416912c7320bedd41df16f269d02da62,dec,2017,cool,auto,Maryville,700.7692307692308,700.0,680.0,27.0,True,False,True
034d7ac5a5dc0d458221303365d8de9b1192acc7,dec,2017,auto,auto,Collierville,654.3732558139535,729.7709302325583,641.1197674418605,17.0,False,False,False
034d7ac5a5dc0d458221303365d8de9b1192acc7,dec,2017,auto,hold,Collierville,669.0,688.0,645.0,17.0,False,False,False
034d7ac5a5dc0d458221303365d8de9b1192acc7,dec,2017,cool,auto,Collierville,635.3463414634148,739.7463414634146,611.780487804878,17.0,False,False,False
034d7ac5a5dc0d458221303365d8de9b1192acc7,dec,2017,heat,auto,Collierville,603.0,680.0,631.0,17.0,False,False,False
034d7ac5a5dc0d458221303365d8de9b1192acc7,dec,2017,heat,hold,Collierville,631.5,650.0,640.0,17.0,False,False,False
03528fd0510ac074f319f4d196f87f0d2b19fc26,dec,2017,heat,auto,Clarksville,684.7992424242424,685.9128787878788,685.9128787878788,10.0,False,False,True
03528fd0510ac074f319f4d196f87f0d2b19fc26,dec,2017,heat,hold,Clarksville,689.1339907192577,690.8312064965198,690.7784222737819,10.0,False,False,True
04077184a016eb0b19fecc12c3bbc55fa45accf0,dec,2017,heat,hold,Thompsons Station,696.1475748194016,701.0856553147573,701.0856553147573,0.0,True,False,True
0412796faa0aac6a304d59e260da884492969f38,dec,2017,heat,auto,Nashville,689.1188616071429,700.3783482142858,687.0412946428571,5.0,True,False,True
0412796faa0aac6a304d59e260da884492969f38,dec,2017,heat,hold,Nashville,692.9824922760042,682.7229660144181,682.7147270854789,5.0,True,False,True
0425901f9c00bc6ecefd973691303b410730ed97,dec,2017,cool,hold,Spring Hill,676.1805555555555,680.0,680.0,5.0,False,False,False
0425901f9c00bc6ecefd973691303b410730ed97,dec,2017,heat,hold,Spring Hill,708.3243243243244,720.0,719.5675675675676,5.0,False,False,False
043e33bb323dc5a4b5a9f59e4a9edaa26e5f8392,dec,2017,auto,auto,Memphis,666.8301886792452,780.0,670.3584905660377,0.0,False,False,False
043e33bb323dc5a4b5a9f59e4a9edaa26e5f8392,dec,2017,auto,hold,Memphis,654.9693251533743,792.1288343558283,732.0061349693251,0.0,False,False,False
04d359daf78eac9e808f55994aec0733a0f1028a,dec,2017,auto,auto,Johnson City,701.8571428571429,757.5714285714287,699.0,20.0,False,False,True
04d359daf78eac9e808f55994aec0733a0f1028a,dec,2017,auto,hold,Johnson City,703.938202247191,755.9887640449437,705.9887640449437,20.0,False,False,True
04e126bb90445ebda938f7e5e1ee20cf68020c05,dec,2017,auto,auto,Goodlettsville,697.7878787878788,757.8282828282828,707.6565656565657,30.0,False,False,True
04e126bb90445ebda938f7e5e1ee20cf68020c05,dec,2017,auto,hold,Goodlettsville,699.2692307692308,759.6153846153846,703.4615384615386,30.0,False,False,True
0595a0cca77c13f5405c88dbdcf9edbc64df7169,dec,2017,auto,auto,Thompsons Station,695.9933333333332,740.62,685.6733333333333,5.0,False,False,False
0595a0cca77c13f5405c88dbdcf9edbc64df7169,dec,2017,auto,hold,Thompsons Station,700.1827342962714,780.5542492442056,698.4373530399731,5.0,False,False,False
