Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0026c5e19df4da540be6b77d831fde80082d7ad0,Jan,2017,heat,auto,Holladay,600.1111111111112,767.6296296296298,608.1481481481483,20.0,False,False,False
0026c5e19df4da540be6b77d831fde80082d7ad0,Jan,2017,heat,hold,Holladay,667.056338028169,680.8450704225353,676.2253521126762,20.0,False,False,False
0042e2ecdbaeaf75adc185886abc85a3a85a9872,Jan,2017,heat,auto,Ivins,667.3571428571429,745.7142857142858,664.2857142857142,15.0,False,False,False
0042e2ecdbaeaf75adc185886abc85a3a85a9872,Jan,2017,heat,hold,Ivins,689.475,680.5,680.5,15.0,False,False,False
0096dc81438b6d126f8026d657a5ca1d511c2b36,Jan,2017,heat,auto,Pleasant View,618.25,650.0,610.0,0.0,False,False,False
0096dc81438b6d126f8026d657a5ca1d511c2b36,Jan,2017,heat,hold,Pleasant View,660.4597701149427,671.7241379310344,658.3762157382847,0.0,False,False,False
00c5ee12719f2bf4360b90a0f70e1b0580488c22,Jan,2017,heat,hold,Salt Lake City,701.7304747320061,711.010719754977,703.4762633996937,45.0,False,False,False
02469ef0d28d33c6622c12fd6dbe915057f59581,Jan,2017,auto,hold,Hurricane,713.3029612756263,766.8359908883825,712.9328018223233,25.0,False,False,False
02ab02619b46fa16e1a93065d82a2d4d21ffbb03,Jan,2017,heat,hold,Midway,703.7820512820513,700.0,700.0,6.0,False,False,False
052159407f9ac11e09e37b528d0d1898c9b446b2,Jan,2017,heat,hold,South Jordan,682.6859504132233,740.4132231404959,683.5619834710744,15.0,False,False,False
054e01bf0e1cf49eb51382bd69d49974394aa76b,Jan,2017,heat,auto,Eagle Mountain,688.8307692307692,684.1353846153846,684.0984615384615,15.0,False,False,False
054e01bf0e1cf49eb51382bd69d49974394aa76b,Jan,2017,heat,hold,Eagle Mountain,671.3736263736264,664.5054945054945,659.010989010989,15.0,False,False,False
05511b15e97689442b8f025d1ed2265a3073bef4,Jan,2017,heat,auto,Provo,674.3062880324544,674.2860040567953,669.237322515213,0.0,False,False,False
05511b15e97689442b8f025d1ed2265a3073bef4,Jan,2017,heat,hold,Provo,676.7554611650486,675.757281553398,675.4405339805825,0.0,False,False,False
06a1b28e771e2888f5588115380c49a5ad310d2f,Jan,2017,heat,auto,Orem,673.0113895216401,689.2414578587699,689.1731207289292,0.0,False,False,False
06a1b28e771e2888f5588115380c49a5ad310d2f,Jan,2017,heat,hold,Orem,668.2210526315789,680.4982456140351,677.8210526315789,0.0,False,False,False
077f6bea4d98cd1ac47acad88b4c1d82c25fc2be,Jan,2017,heat,hold,South Jordan,686.1543209876543,683.3333333333334,683.3333333333334,5.0,False,False,False
08b7a0b76eb6941a86398af070d2a41ce0d30f2d,Jan,2017,heat,auto,Lindon,678.5410199556542,680.2882483370287,680.2882483370287,0.0,False,False,False
08b7a0b76eb6941a86398af070d2a41ce0d30f2d,Jan,2017,heat,hold,Lindon,692.0651685393259,694.0795505617978,694.0795505617978,0.0,False,False,False
08ed71bb3ee73cadba9c65dd83c0e759eca24432,Jan,2017,heat,hold,Bountiful,714.6072727272727,711.1636363636363,711.1636363636363,45.0,False,False,False
09035db5fd196f54632ad63f1df1e39baed858de,Jan,2017,auxHeatOnly,auto,St. George,772.5714285714287,777.3214285714287,777.3214285714287,5.0,False,False,True
09035db5fd196f54632ad63f1df1e39baed858de,Jan,2017,auxHeatOnly,hold,St. George,737.5,729.5,680.0,5.0,False,False,True
