Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
019822d5aa2b17d3e3737a0bed7d2c04ac03b1c0,feb,2017,heat,hold,Neenah,717.6222222222223,720.0,720.0,39.0,True,False,False
025ac253e71fd687111cb40439615119a305d1a4,feb,2017,auto,auto,Madison,737.6274509803923,779.2352941176471,738.3529411764706,40.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,feb,2017,auto,auto,Madison,723.4861111111112,783.3194444444445,722.9027777777777,55.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,feb,2017,auto,hold,Madison,737.9545454545455,780.0,730.0,55.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,feb,2017,heat,auto,Janesville,703.8771929824561,710.0,710.0,70.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,feb,2017,heat,hold,Janesville,685.75,700.3089430894307,684.859756097561,70.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,feb,2017,heat,auto,Madison,691.6,698.0,697.9333333333333,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,feb,2017,heat,auto,Delafield,640.6651376146789,650.4006116207952,631.1743119266056,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,feb,2017,heat,hold,Delafield,674.5234822451317,671.3814432989691,671.3734249713632,45.0,False,False,False
045cc1c80e11bd3b2b8f4dad6ccea7ecdf960ffc,feb,2017,heat,hold,Sun Prairie,693.8809523809523,695.2380952380953,695.2380952380953,15.0,False,False,False
0470abdf173136c8d13afc8cd6e7f5af2e9e3ce8,feb,2017,heat,auto,Spring Valley,693.736842105263,761.736842105263,688.5263157894735,15.0,False,False,False
0470abdf173136c8d13afc8cd6e7f5af2e9e3ce8,feb,2017,heat,hold,Spring Valley,707.0588235294118,720.0,720.0,15.0,False,False,False
065bd7c00873c3cc7b8a0769814470782b8e9802,feb,2017,heat,auto,Kenosha,669.9282511210763,760.6053811659192,643.219730941704,5.0,False,False,False
065bd7c00873c3cc7b8a0769814470782b8e9802,feb,2017,heat,hold,Kenosha,692.0117647058822,697.6117647058824,695.8,5.0,False,False,False
06dd4630d894ec734793e3fe9d5865bbd044962c,feb,2017,auto,auto,Waukesha,709.7096774193549,780.0,710.0,10.0,False,False,False
06dd4630d894ec734793e3fe9d5865bbd044962c,feb,2017,auto,hold,Waukesha,718.6417910447761,780.0,720.0,10.0,False,False,False
06f4ba0afa479b6f017ca9098c19e177807b0e22,feb,2017,heat,auto,Waterford town,685.007874015748,690.1732283464568,690.0,10.0,False,False,False
06f4ba0afa479b6f017ca9098c19e177807b0e22,feb,2017,heat,hold,Waterford town,685.6785714285714,690.0,690.0,10.0,False,False,False
0bdc4cd0c3ec37a2c7cecfd1cb2679490eed2809,feb,2017,heat,hold,Elkhorn,685.1683060109291,683.9989071038251,682.4469945355191,0.0,False,False,False
0c17edebb33df030e066339b88480584a2af8442,feb,2017,heat,hold,Jefferson,682.2735042735043,656.6666666666666,656.6666666666666,50.0,False,False,False
0d5499c98d443680e42e71c958392692aeaba7a8,feb,2017,heat,auto,Brookfield city,705.8333333333335,726.75,715.5,66.0,False,False,False
0d602900d724b926fff146a8c3c017432d0def17,feb,2017,auto,hold,Green Bay,672.0,780.0,605.0,100.0,True,False,False
0d827b39c5cb6878d9f92945a704faa2847f6b87,feb,2017,auto,hold,West Allis,684.5301587301587,730.0,680.0,105.0,False,False,False
0e56934bd3eefd0947c4bebb3a24d3c22ec527e0,feb,2017,heat,auto,Eau Claire,687.3103975535169,705.3899082568807,687.7262996941896,55.0,False,False,False
