Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00c3de29f54d18652f1a52917ca911150381b87e,jun,2017,cool,auto,Elroy,695.4475524475523,693.3881118881119,663.8251748251747,37.0,False,False,False
00c3de29f54d18652f1a52917ca911150381b87e,jun,2017,cool,hold,Elroy,703.2857142857142,700.0,700.0,37.0,False,False,False
019822d5aa2b17d3e3737a0bed7d2c04ac03b1c0,jun,2017,auto,hold,Neenah,736.8809523809523,730.547619047619,675.0,39.0,True,False,False
01d210acbcd27062b6c0a9696c19a0e9b774a81d,jun,2017,auto,hold,Madison,748.5238095238095,860.4761904761905,680.0,27.0,False,False,False
01d210acbcd27062b6c0a9696c19a0e9b774a81d,jun,2017,cool,auto,Madison,804.3529411764706,850.0,680.0,27.0,False,False,False
025ac253e71fd687111cb40439615119a305d1a4,jun,2017,auto,hold,Madison,709.4285714285713,850.5714285714287,709.4285714285713,40.0,False,False,False
025ac253e71fd687111cb40439615119a305d1a4,jun,2017,cool,hold,Madison,794.1818181818181,802.7272727272727,747.0495867768594,40.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,jun,2017,cool,auto,Madison,757.8401486988847,829.3940520446097,677.8104089219331,55.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,jun,2017,cool,hold,Madison,759.3666666666667,752.7333333333332,752.7333333333332,55.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,jun,2017,cool,auto,Janesville,712.1410256410257,710.0,720.0,70.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,jun,2017,cool,hold,Janesville,718.0819672131148,715.5409836065573,715.139344262295,70.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,jun,2017,cool,auto,Madison,714.125,734.0,680.0,45.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,jun,2017,cool,hold,Madison,713.7377049180327,730.0573770491803,730.016393442623,45.0,False,False,False
