Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
1526f2d264a2dbabb980283ffd50f085dd156393,dec,2017,heat,auto,Green River,634.1666666666666,820.0,620.0,0.0,False,False,False
16913980a67e1faa9fb0fe491f8d36b4477f965a,dec,2017,heat,hold,Cheyenne,653.4807692307693,660.0,660.0,10.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,dec,2017,heat,auto,Casper,634.5938864628822,652.2008733624456,641.4017467248907,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,dec,2017,heat,hold,Casper,651.3736263736264,667.5054945054945,655.978021978022,30.0,True,False,False
1d00854c03d26e989b137715f96f49c087b12e6b,dec,2017,heat,auto,Casper,611.0051546391753,653.2989690721648,611.8092783505156,0.0,False,False,False
1d00854c03d26e989b137715f96f49c087b12e6b,dec,2017,heat,hold,Casper,497.8012211668928,651.3758480325645,498.6431478968792,0.0,False,False,False
246bdf148da698b1fb58d453c0059dcc85c88a1b,dec,2017,heat,hold,Cheyenne,692.8677685950412,699.595041322314,699.5206611570247,10.0,False,False,False
2a7d4fd1db87baa60518a2b2f1f050805e889a0b,dec,2017,heat,hold,Trail Dr,713.3157894736843,755.0,752.6315789473683,35.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,dec,2017,heat,auto,Laramie,678.75,688.0,678.0,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,dec,2017,heat,hold,Laramie,673.9272727272727,656.0363636363636,655.4545454545455,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,dec,2017,heat,auto,Gillette,678.6666666666666,678.0,671.0,35.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,dec,2017,heat,hold,Gillette,683.5769230769231,690.6538461538463,689.8461538461537,35.0,False,False,False
336df4fa2ebfb1b7a1bc23dd117037a5955effa8,dec,2017,heat,auto,Evanston,675.0558871405318,740.7840477482367,740.5024416711882,0.0,False,False,False
336df4fa2ebfb1b7a1bc23dd117037a5955effa8,dec,2017,heat,hold,Evanston,691.847533632287,766.5156950672646,766.5186846038864,0.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,dec,2017,heat,auto,Green River,701.9772727272727,707.2045454545455,682.7954545454545,0.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,dec,2017,heat,auto,Cheyenne,720.0,740.0,739.3333333333335,15.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,dec,2017,heat,hold,Cheyenne,729.1607142857142,737.7879464285713,737.7366071428571,15.0,False,False,False
4698711909dcaeba4a60bdebf8e6b23a8f77e0d1,dec,2017,heat,auto,Sheridan,592.15,779.55,600.525,5.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,dec,2017,heat,auto,Gillette,701.2954990215263,703.0039138943249,703.0039138943249,10.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,dec,2017,heat,hold,Gillette,701.5506607929517,700.4229074889868,700.4229074889868,10.0,False,False,False
72df1b91adcdf06d62e1f0be577ab3e301560c29,dec,2017,heat,auto,Casper,715.0384615384614,695.3269230769231,685.75,5.0,False,False,False
72df1b91adcdf06d62e1f0be577ab3e301560c29,dec,2017,heat,hold,Casper,723.560975609756,690.7317073170732,690.7317073170732,5.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,dec,2017,heat,auto,Casper,682.0,650.0,630.0,0.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,dec,2017,heat,hold,Casper,670.7222222222222,666.9444444444445,644.2777777777778,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,dec,2017,heat,auto,Casper,694.0,650.0,650.0,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,dec,2017,heat,hold,Casper,683.7911111111111,681.4044444444445,680.7377777777778,0.0,False,False,False
7ab7401981ce316104ff89f1cea82a92a571929d,dec,2017,heat,auto,Gillette,651.9213483146068,650.5842696629212,650.3370786516854,40.0,False,False,False
7ab7401981ce316104ff89f1cea82a92a571929d,dec,2017,heat,hold,Gillette,662.3787375415283,659.7176079734219,659.4617940199337,40.0,False,False,False
7d1f639767fe028c56faaa9e85feab4fdc273206,dec,2017,heat,auto,Cheyenne,699.2222222222223,708.1222222222223,706.9444444444445,10.0,False,False,False
7d1f639767fe028c56faaa9e85feab4fdc273206,dec,2017,heat,hold,Cheyenne,702.6697674418605,701.046511627907,701.0046511627907,10.0,False,False,False
836baa01894d644ea145d08d9d4ab41681c982d1,dec,2017,heat,auto,Star Valley Ranch,659.3913043478261,651.5217391304348,622.8260869565217,10.0,False,False,False
836baa01894d644ea145d08d9d4ab41681c982d1,dec,2017,heat,hold,Star Valley Ranch,672.100817438692,674.5395095367847,667.1471389645776,10.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,dec,2017,auto,auto,Mills,715.8076923076923,780.0,717.1428571428571,5.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,dec,2017,auto,hold,Mills,697.925641025641,780.0,700.0,5.0,False,False,False
9318c54b085c228db7076172efce878b8d324baa,dec,2017,heat,hold,Wyarno,696.2931034482757,1080.0,686.5517241379309,15.0,False,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,dec,2017,auto,auto,Sundance,726.6,781.0,713.4,5.0,False,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,dec,2017,auto,hold,Sundance,700.0386643233742,795.0093731693029,696.1482132396018,5.0,False,False,False
a3a3fd48e1b69634ca3859998f7684d1593abcda,dec,2017,heat,auto,Cheyenne,737.3931888544893,777.9876160990711,740.0,0.0,False,False,False
a3a3fd48e1b69634ca3859998f7684d1593abcda,dec,2017,heat,hold,Cheyenne,727.7820512820513,830.0,730.0128205128206,0.0,False,False,False
ac5c31c183e97a89e95aa36919974932b29b341b,dec,2017,heat,auto,Casper,663.3505154639174,651.5567010309277,644.1237113402062,45.0,False,False,False
ac5c31c183e97a89e95aa36919974932b29b341b,dec,2017,heat,hold,Casper,666.2882882882883,661.3783783783782,660.0450450450451,45.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,dec,2017,heat,auto,Rock Springs,741.3632441760138,729.8304572907679,743.9913718723037,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,dec,2017,heat,hold,Rock Springs,731.9351598173516,732.2712328767124,732.2977168949773,25.0,False,False,False
b68cd409bcc737b83dc2c52e21c19c9480638fd9,dec,2017,heat,auto,Gillette,661.3333333333334,650.0,625.0,7.0,False,False,False
