Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0404ace1bcdf88d917bd860a04cd6c66fb51679f,dec,2019,heat,hold,Homer,690.6864686468647,694.6006600660066,694.6006600660066,0.0,True,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,dec,2019,heat,hold,Anchorage,667.4491978609626,679.6737967914438,676.0909090909091,20.0,False,False,False
1544f3165814ae017488964fc29ae302bba75bb7,dec,2019,heat,auto,juneau,667.763440860215,682.741935483871,674.2795698924731,27.0,False,False,False
1544f3165814ae017488964fc29ae302bba75bb7,dec,2019,heat,hold,juneau,663.3978494623656,671.7311827956989,671.7311827956989,27.0,False,False,False
1934269f8f3a7a065318ec9a4e7984c0d9216332,dec,2019,heat,hold,Wasilla,672.0555555555555,693.1666666666666,668.1111111111111,0.0,False,False,False
2678ac2aec9a1f53acad226c2c437efd25ea7dc8,dec,2019,heat,auto,Bethel,684.5253399258344,680.0,680.0,10.0,False,False,False
2678ac2aec9a1f53acad226c2c437efd25ea7dc8,dec,2019,heat,hold,Bethel,697.0343137254902,700.0,700.0,10.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,dec,2019,heat,auto,Anchorage,642.1857142857143,721.1428571428571,656.5714285714286,0.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,dec,2019,heat,hold,Anchorage,644.7830188679245,676.877358490566,644.3396226415094,0.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,dec,2019,heat,hold,Anchorage,672.8846153846154,684.4807692307693,682.3653846153846,25.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,dec,2019,heat,auto,Palmer,579.2888888888889,676.9,671.5666666666667,0.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,dec,2019,heat,hold,Palmer,602.75,650.0,527.7608695652174,0.0,False,False,False
3654199336ff5b48ce49831ad348a290efc595b6,dec,2019,heat,hold,Palmer,656.7307692307693,676.8846153846154,667.2307692307693,15.0,True,False,False
391a6ce2e4f243b7965dfc6004d6e8fc4cc7936e,dec,2019,heat,hold,Palmer,705.3680981595093,711.680981595092,710.2699386503067,25.0,False,False,False
3c569abab42071063670722a0b326b0da8738423,dec,2019,heat,hold,Anchorage,704.6666666666666,714.7333333333333,707.8,25.0,False,False,False
4cf15a20ba9d9a39d09e7b978b351754c3dfbe6e,dec,2019,heat,auto,Anchorage,638.0,780.0,620.0,15.0,True,False,False
4cf15a20ba9d9a39d09e7b978b351754c3dfbe6e,dec,2019,heat,hold,Anchorage,645.4406779661017,654.0254237288135,648.6610169491526,15.0,True,False,False
68a1a0651c36267368651a504b1a50737727928a,dec,2019,heat,auto,Anchorage,599.5,800.0,654.0,40.0,False,False,False
74e35408afbcfdc6f94d1e7f3a6aebb6df370e87,dec,2019,heat,hold,Anchorage,578.2166666666667,650.0,580.0,38.0,False,False,False
