Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0404ace1bcdf88d917bd860a04cd6c66fb51679f,dec,2020,heat,hold,Homer,691.6074074074074,691.8074074074074,691.8074074074074,0.0,True,False,False
1934269f8f3a7a065318ec9a4e7984c0d9216332,dec,2020,heat,auto,Wasilla,635.7015503875969,668.2131782945736,654.3294573643411,0.0,False,False,False
1934269f8f3a7a065318ec9a4e7984c0d9216332,dec,2020,heat,hold,Wasilla,632.5421686746988,669.855421686747,656.3855421686746,0.0,False,False,False
2678ac2aec9a1f53acad226c2c437efd25ea7dc8,dec,2020,heat,hold,Bethel,705.8475524475524,700.2013986013986,700.2013986013986,10.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,dec,2020,heat,auto,Anchorage,667.0,810.0,645.0,0.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,dec,2020,heat,hold,Anchorage,686.8333333333334,693.9444444444445,688.1666666666666,0.0,False,False,False
391a6ce2e4f243b7965dfc6004d6e8fc4cc7936e,dec,2020,heat,hold,Palmer,681.0,700.0,700.0,25.0,False,False,False
3c569abab42071063670722a0b326b0da8738423,dec,2020,heat,hold,Anchorage,698.8121546961326,707.5690607734807,704.7458563535912,25.0,False,False,False
3f31b8a9942ce423b863741438287d127c6bc39f,dec,2020,heat,hold,Anchorage,715.578947368421,720.7368421052631,720.0,47.0,False,False,False
4cf15a20ba9d9a39d09e7b978b351754c3dfbe6e,dec,2020,heat,auto,Anchorage,671.5,680.0,680.0,15.0,True,False,False
55fb88f70abf5cbe75ab0c20eb02b0ed8f36f0da,dec,2020,heat,auto,Huffman/O'Malley,701.2368421052631,710.0,710.0,40.0,False,False,False
55fb88f70abf5cbe75ab0c20eb02b0ed8f36f0da,dec,2020,heat,hold,Huffman/O'Malley,697.7857142857143,710.0,710.0,40.0,False,False,False
81a7bd30ff87a8f606e1378fe9117abbded76a9c,dec,2020,heat,hold,Chugiak,667.757970363718,665.17287831163,665.17287831163,10.0,True,False,False
995e1c96a74ee2cb3509db751eb6310b63e5aa94,dec,2020,heat,hold,Anchorage,673.3102310231023,678.003300330033,678.003300330033,35.0,False,False,False
a78112bcf965ec0676617c4c2a282796e4894765,dec,2020,heat,hold,Anchorage,711.5416666666666,726.7916666666666,709.875,20.0,True,False,False
a988392d2cf43e32b9b458db27ccb5cc50f335ac,dec,2020,heat,auto,Anchorage,642.5,650.0,647.5,30.0,False,False,False
b2926c336f48d0bdbcd5343bb68676b3a9364748,dec,2020,heat,hold,Healy,691.1612903225806,707.6451612903226,703.2903225806451,10.0,False,False,False
bdc58f9e6d012d051afe58172dc008bebf29a356,dec,2020,heat,hold,Huffman/O'Malley,698.9473684210526,707.7368421052631,700.6315789473684,40.0,False,False,False
be4f2a63b7719c2a69aa285e8a38038c29df8fa6,dec,2020,heat,hold,Anchorage,687.8,678.8,671.6,0.0,False,False,False
d52d6af22f2bcad8215f8eec1a710dd00e190c7b,dec,2020,heat,hold,Wasilla,645.8717948717949,650.0,650.0,5.0,False,False,False
df7ad0ff0b54c69d3f2cdeda3b12bff79713d572,dec,2020,heat,auto,juneau,681.9166666666666,700.0,700.0,27.0,False,False,False
e607ef283e0f21c02dcd7df409ee3e764d229b79,dec,2020,heat,hold,Juneau,692.9298245614035,715.6842105263158,714.1491228070175,50.0,False,False,False
ea9f45a49e23bc298fc582a4ad9e006b53853255,dec,2020,heat,hold,Bethel,696.3280423280423,699.4444444444445,696.5873015873016,49.0,False,False,False
