Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0404ace1bcdf88d917bd860a04cd6c66fb51679f,feb,2018,heat,auto,Homer,674.9230769230769,651.6923076923077,642.3076923076923,0.0,True,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,feb,2018,heat,hold,Homer,671.0218340611353,670.410480349345,667.3056768558952,0.0,True,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,feb,2018,heat,auto,Anchorage,635.6451612903226,656.3225806451613,644.2741935483871,20.0,False,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,feb,2018,heat,hold,Anchorage,649.2097026604068,658.2394366197183,649.4553990610328,20.0,False,False,False
18c482b133fba9f05f7edac61214d7cd1082ff1a,feb,2018,heat,auto,Anchorage,665.8888888888889,780.0,670.0,5.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,feb,2018,heat,hold,Anchorage,641.6916666666667,654.65,645.0416666666666,0.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,feb,2018,heat,auto,Anchorage,687.0,705.5,686.5,25.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,feb,2018,heat,hold,Anchorage,671.0,750.0,673.0,25.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,feb,2018,heat,auto,Palmer,647.921052631579,650.0,650.0,0.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,feb,2018,heat,hold,Palmer,657.7407407407408,660.0,660.0,0.0,False,False,False
3654199336ff5b48ce49831ad348a290efc595b6,feb,2018,heat,hold,Palmer,640.6666666666666,670.8484848484849,657.5757575757576,15.0,True,False,False
3c569abab42071063670722a0b326b0da8738423,feb,2018,heat,auto,Anchorage,694.6071428571429,699.0,695.1428571428571,25.0,False,False,False
3c569abab42071063670722a0b326b0da8738423,feb,2018,heat,hold,Anchorage,680.0793650793651,679.6031746031746,678.984126984127,25.0,False,False,False
81a7bd30ff87a8f606e1378fe9117abbded76a9c,feb,2018,heat,auto,Chugiak,579.4736842105264,670.1578947368421,669.5263157894736,10.0,True,False,False
81a7bd30ff87a8f606e1378fe9117abbded76a9c,feb,2018,heat,hold,Chugiak,625.640625,666.25,628.3359375,10.0,True,False,False
8918965726f66d635e6695137ded6752bef9c89a,feb,2018,heat,hold,Eagle River,715.3388141504734,757.5784753363229,757.5784753363229,37.0,False,False,False
a46459975fa2d0e4a3736887ad3a0e3963c8feaf,feb,2018,heat,hold,Juneau,690.6666666666666,679.6666666666666,670.0,50.0,False,False,False
a799538555e2fb23d035a9aa0004122110571484,feb,2018,heat,auto,Anchorage,698.3269230769231,798.4615384615385,699.8653846153846,40.0,False,False,False
a799538555e2fb23d035a9aa0004122110571484,feb,2018,heat,hold,Anchorage,687.7391304347826,701.7391304347826,699.5652173913044,40.0,False,False,False
b2926c336f48d0bdbcd5343bb68676b3a9364748,feb,2018,heat,hold,Healy,686.3333333333334,719.3333333333334,704.6666666666666,10.0,False,False,False
bd4080916565ff1b12e94f584799f455347b5815,feb,2018,heat,hold,Palmer,739.5172413793103,741.0689655172414,740.3103448275862,8.0,False,False,False
be4f2a63b7719c2a69aa285e8a38038c29df8fa6,feb,2018,heat,auto,Anchorage,695.5384615384615,701.5384615384615,700.0,0.0,False,False,False
d52d6af22f2bcad8215f8eec1a710dd00e190c7b,feb,2018,heat,auto,Wasilla,721.8765617191405,723.7876061969015,723.7876061969015,5.0,False,False,False
dc1141e5abc6b3fe4a662de28b2176e6a9bfc6d5,feb,2018,heat,hold,Fairbanks,626.8667992047714,650.5367793240557,626.7097415506959,35.0,False,False,False
dccf5d5620ccd2fb708408998d809914ea61e341,feb,2018,heat,auto,Anchorage,676.0,720.0,617.0,45.0,False,False,False
dccf5d5620ccd2fb708408998d809914ea61e341,feb,2018,heat,hold,Anchorage,654.9166666666666,670.0,670.0,45.0,False,False,False
de96ad05755fc1e2697dff5f2548474733554565,feb,2018,heat,hold,Anchorage,680.2666666666667,690.0,690.0,30.0,False,False,False
df7ad0ff0b54c69d3f2cdeda3b12bff79713d572,feb,2018,heat,auto,juneau,682.6333333333333,690.0,690.0,27.0,False,False,False
df7ad0ff0b54c69d3f2cdeda3b12bff79713d572,feb,2018,heat,hold,juneau,662.0345679012346,670.0,670.0,27.0,False,False,False
e189043abcdc363a66270079341e45b9be50fe29,feb,2018,heat,auto,Anchorage,662.7586206896551,670.0,670.0,30.0,False,False,False
e189043abcdc363a66270079341e45b9be50fe29,feb,2018,heat,hold,Anchorage,664.4042553191489,666.3191489361702,664.2127659574468,30.0,False,False,False
e607ef283e0f21c02dcd7df409ee3e764d229b79,feb,2018,heat,hold,Juneau,665.0,650.0,650.0,50.0,False,False,False
fa9631bc80bd57421f0b8b0a54877cb3aeaa2567,feb,2018,heat,auto,Fairbanks,638.546511627907,780.0,640.0,85.0,False,False,False
fda1f67e8423ed49933c45617ee96aef3bae04ba,feb,2018,heat,auto,Wasilla,696.6439393939394,699.0075757575758,699.0075757575758,0.0,False,False,False
fda1f67e8423ed49933c45617ee96aef3bae04ba,feb,2018,heat,hold,Wasilla,676.3371428571429,677.5314285714286,677.2742857142857,0.0,False,False,False
