Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0404ace1bcdf88d917bd860a04cd6c66fb51679f,Jan,2019,heat,auto,Homer,688.047619047619,688.047619047619,682.9047619047619,0.0,True,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,Jan,2019,heat,hold,Homer,689.8402777777778,687.1875,685.9444444444445,0.0,True,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,Jan,2019,heat,auto,Anchorage,626.1594202898551,658.927536231884,644.9710144927536,20.0,False,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,Jan,2019,heat,hold,Anchorage,640.75,660.0562130177515,645.7352071005918,20.0,False,False,False
1544f3165814ae017488964fc29ae302bba75bb7,Jan,2019,heat,auto,juneau,682.0909090909091,780.0,689.1111111111111,27.0,False,False,False
1544f3165814ae017488964fc29ae302bba75bb7,Jan,2019,heat,hold,juneau,684.7011494252873,692.1034482758621,689.7816091954023,27.0,False,False,False
1934269f8f3a7a065318ec9a4e7984c0d9216332,Jan,2019,heat,hold,Wasilla,661.0714285714286,653.3214285714286,649.0,0.0,False,False,False
2678ac2aec9a1f53acad226c2c437efd25ea7dc8,Jan,2019,heat,auto,Bethel,678.9312169312169,663.3227513227513,662.3068783068783,10.0,False,False,False
2678ac2aec9a1f53acad226c2c437efd25ea7dc8,Jan,2019,heat,hold,Bethel,690.28125,690.34375,690.34375,10.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,Jan,2019,heat,auto,Anchorage,647.4722222222222,650.0,650.0,0.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,Jan,2019,heat,hold,Anchorage,666.1379310344828,670.4655172413793,670.0,0.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,Jan,2019,heat,auto,Anchorage,684.5,690.0,690.0,25.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,Jan,2019,heat,hold,Anchorage,669.5,700.0,700.0,25.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,Jan,2019,heat,auto,Palmer,612.3711340206186,657.6082474226804,657.4536082474227,0.0,False,False,False
3654199336ff5b48ce49831ad348a290efc595b6,Jan,2019,heat,hold,Palmer,646.1428571428571,687.1428571428571,663.1428571428571,15.0,True,False,False
3c569abab42071063670722a0b326b0da8738423,Jan,2019,heat,auto,Anchorage,690.1914893617021,696.2553191489362,692.5744680851063,25.0,False,False,False
3c569abab42071063670722a0b326b0da8738423,Jan,2019,heat,hold,Anchorage,705.8860759493671,707.7594936708861,706.746835443038,25.0,False,False,False
3f31b8a9942ce423b863741438287d127c6bc39f,Jan,2019,heat,auto,Anchorage,698.1538461538462,780.0,700.0,47.0,False,False,False
4cf15a20ba9d9a39d09e7b978b351754c3dfbe6e,Jan,2019,heat,auto,Anchorage,653.8333333333334,660.0,660.0,15.0,True,False,False
4cf15a20ba9d9a39d09e7b978b351754c3dfbe6e,Jan,2019,heat,hold,Anchorage,640.8034934497816,650.3668122270742,645.2663755458515,15.0,True,False,False
55fb88f70abf5cbe75ab0c20eb02b0ed8f36f0da,Jan,2019,heat,auto,Huffman/O'Malley,685.8333333333334,700.6666666666666,700.0,40.0,False,False,False
6085162893ee544ece3ce04e242a68d7a8afe24d,Jan,2019,heat,hold,Russian Jack Park,674.5641025641025,680.0,680.0,20.0,False,False,False
68a1a0651c36267368651a504b1a50737727928a,Jan,2019,heat,auto,Anchorage,677.4488304093567,780.0,680.0,40.0,False,False,False
7f8d7869602b0becdb1f67e15d7796602e5cae7d,Jan,2019,heat,auto,Anchorage,682.2016438356164,694.5375342465753,685.5824657534247,15.0,True,False,False
7f8d7869602b0becdb1f67e15d7796602e5cae7d,Jan,2019,heat,hold,Anchorage,646.3267394270123,667.4242837653479,650.6950886766712,15.0,True,False,False
81a7bd30ff87a8f606e1378fe9117abbded76a9c,Jan,2019,heat,auto,Chugiak,682.9629629629629,660.0,660.0,10.0,True,False,False
81a7bd30ff87a8f606e1378fe9117abbded76a9c,Jan,2019,heat,hold,Chugiak,686.2196569920844,686.1108179419525,686.0864116094987,10.0,True,False,False
8918965726f66d635e6695137ded6752bef9c89a,Jan,2019,heat,hold,Eagle River,697.3098591549295,790.0,790.0,37.0,False,False,False
995e1c96a74ee2cb3509db751eb6310b63e5aa94,Jan,2019,heat,hold,Anchorage,688.8722826086956,693.268115942029,693.268115942029,35.0,False,False,False
a78112bcf965ec0676617c4c2a282796e4894765,Jan,2019,heat,auto,Anchorage,666.6111111111111,675.3888888888889,667.8333333333334,20.0,True,False,False
a78112bcf965ec0676617c4c2a282796e4894765,Jan,2019,heat,hold,Anchorage,675.830985915493,680.9859154929577,678.6197183098592,20.0,True,False,False
a799538555e2fb23d035a9aa0004122110571484,Jan,2019,heat,hold,Anchorage,674.047619047619,682.2738095238095,679.7142857142857,40.0,False,False,False
b2926c336f48d0bdbcd5343bb68676b3a9364748,Jan,2019,heat,auto,Healy,678.5,690.0,690.0,10.0,False,False,False
b2926c336f48d0bdbcd5343bb68676b3a9364748,Jan,2019,heat,hold,Healy,683.6935483870968,686.1290322580645,686.1290322580645,10.0,False,False,False
bdad2c2f85c6d00c7ceea6df8246135cb8da01ae,Jan,2019,heat,auto,Anchorage,651.1666666666666,798.6666666666666,660.0,40.0,False,False,False
bdc58f9e6d012d051afe58172dc008bebf29a356,Jan,2019,heat,hold,Huffman/O'Malley,715.95,720.1166666666667,718.95,40.0,False,False,False
c810efa572eb24b685d4ea14eb98d7f79cac0bd3,Jan,2019,heat,hold,North Pole,695.2222222222222,699.1740412979351,699.1740412979351,0.0,False,False,False
cd0c6dacc16ca9fd87a2258af6fe8291f9279be7,Jan,2019,heat,hold,Anchorage,692.28,701.2,699.4,15.0,False,False,False
d52d6af22f2bcad8215f8eec1a710dd00e190c7b,Jan,2019,heat,auto,Wasilla,718.9214417744917,736.2610905730129,720.0027726432533,5.0,False,False,False
d52d6af22f2bcad8215f8eec1a710dd00e190c7b,Jan,2019,heat,hold,Wasilla,737.1153846153846,740.0,739.9423076923077,5.0,False,False,False
de96ad05755fc1e2697dff5f2548474733554565,Jan,2019,heat,hold,Anchorage,665.0140845070423,675.830985915493,674.3661971830986,30.0,False,False,False
e189043abcdc363a66270079341e45b9be50fe29,Jan,2019,heat,auto,Anchorage,606.3783783783783,667.4054054054054,658.3243243243244,30.0,False,False,False
e189043abcdc363a66270079341e45b9be50fe29,Jan,2019,heat,hold,Anchorage,611.5277777777778,652.5,637.5,30.0,False,False,False
