Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00d06723ae919c589e74b53969c61ede3f74dbc2,feb,2017,cool,hold,Smiths,701.2006172839506,719.6239711934156,719.6219135802469,15.0,False,False,False
00d06723ae919c589e74b53969c61ede3f74dbc2,feb,2017,heat,hold,Smiths,698.6589912280701,685.8651315789474,682.6326754385965,15.0,False,False,False
00ecc16fbe65c54970eeda02b8342d929ae097b8,feb,2017,heat,auto,Madison,631.7142857142857,720.0,640.0,5.0,False,False,True
018375b6043c8c22642b47291bea64e83fe67b21,feb,2017,cool,auto,Orange Beach,700.5015321756895,771.1746680286006,663.2277834525025,10.0,False,False,True
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,feb,2017,cool,auto,Prattville,726.25,700.0,700.0,0.0,True,False,True
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,feb,2017,cool,hold,Prattville,719.8,710.0,710.0,0.0,True,False,True
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,feb,2017,heat,auto,Prattville,737.9151670951156,745.745501285347,745.745501285347,0.0,True,False,True
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,feb,2017,heat,hold,Prattville,717.4849354375897,723.8658536585366,723.8658536585366,0.0,True,False,True
01ec1e5fd26dfeb9bfc4d7e12b404f49c745aaee,feb,2017,auto,auto,Birmingham,667.9551616266945,745.6001042752868,652.1032325338895,0.0,False,False,True
01ec1e5fd26dfeb9bfc4d7e12b404f49c745aaee,feb,2017,auto,hold,Birmingham,665.7008849557523,733.7345132743363,644.683185840708,0.0,False,False,True
03f009c0fc37c740d0bc69e681e3f8f49b4740c8,feb,2017,auto,auto,Huntsville,679.75,740.0,684.9711538461538,25.0,True,False,True
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,feb,2017,auto,auto,Huntsville,701.5616438356165,726.027397260274,676.027397260274,25.0,False,False,True
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,feb,2017,auxHeatOnly,auto,Huntsville,704.2489270386266,730.4592274678112,696.9828326180258,25.0,False,False,True
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,feb,2017,auxHeatOnly,hold,Huntsville,704.4782608695652,709.3478260869565,709.3478260869565,25.0,False,False,True
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,feb,2017,heat,auto,Huntsville,686.5641025641025,680.0,680.0,25.0,False,False,True
0765f298b4910b9c89470382747af07d3dde646e,feb,2017,heat,hold,Huntsville,662.1969696969697,663.1818181818181,641.0909090909091,60.0,False,False,False
0b16f455f504cab29bf3ac7e6578aa975e237f0d,feb,2017,heat,hold,Vestavia Hills,667.5555555555555,674.4444444444445,668.2222222222222,46.0,False,False,True
0ceb0a77f1b2a357356b091a94cf39c4c4a5106e,feb,2017,heat,hold,Pelham,685.6904761904761,691.1666666666666,655.8690476190476,30.0,False,False,False
0f15fabfb17a41a85aa67689b80cca585511e6c6,feb,2017,auxHeatOnly,auto,Madison,659.1111111111111,820.0,646.3888888888889,20.0,False,False,True
0f15fabfb17a41a85aa67689b80cca585511e6c6,feb,2017,auxHeatOnly,hold,Madison,696.418918918919,689.5675675675676,660.581081081081,20.0,False,False,True
0f15fabfb17a41a85aa67689b80cca585511e6c6,feb,2017,cool,hold,Madison,696.0,680.0,680.0,20.0,False,False,True
0f15fabfb17a41a85aa67689b80cca585511e6c6,feb,2017,heat,hold,Madison,699.0,725.0,681.0,20.0,False,False,True
1239a7d980588f72854824c3e5fff2592b86f72a,feb,2017,auto,hold,Huntsville,710.0769230769231,741.5576923076923,680.4423076923077,5.0,False,False,True
128ede2fe2ea91ad563171f6745e5a3b931f12a4,feb,2017,auto,auto,Pelham,701.8181818181819,738.6363636363636,679.2727272727273,10.0,False,False,False
128ede2fe2ea91ad563171f6745e5a3b931f12a4,feb,2017,auto,hold,Pelham,725.5,720.0,670.0,10.0,False,False,False
14ee41bc121abac929784a73e3dd16f6fad83c2d,feb,2017,auto,hold,Opelika,691.2058823529412,750.0294117647059,654.5294117647059,65.0,False,False,False
18eeb49782d8a72977ad65471c0f2a67d6ee97b1,feb,2017,auto,hold,Auburn,721.7954545454545,724.0,674.0,5.0,False,False,True
1b1404ed5ea701578f3e9c8c68a19e9ee47ba914,feb,2017,auto,auto,Birmingham,679.8888888888889,757.4722222222222,673.6111111111111,30.0,False,False,False
1bcc94449eda65b3d15b2418f7a60249fbf9b8f9,feb,2017,heat,auto,Huntsville,686.6768642447419,688.3279158699809,687.708413001912,60.0,False,False,False
1bcc94449eda65b3d15b2418f7a60249fbf9b8f9,feb,2017,heat,hold,Huntsville,665.5508849557522,660.1039823008849,655.1548672566372,60.0,False,False,False
1c23e52ba88dd1bc3150195a77f6558c345fd70b,feb,2017,auto,auto,Alabaster,676.5,760.0,710.0,45.0,True,False,True
1c23e52ba88dd1bc3150195a77f6558c345fd70b,feb,2017,auto,hold,Alabaster,682.5121951219512,730.6341463414634,660.1219512195122,45.0,True,False,True
1e3da0713d343c9de2be4ad3ecc7b6b0f45ed630,feb,2017,heat,auto,Auburn,675.9265776699029,720.0,640.0236650485436,5.0,False,False,False
20f9344e218cb0063ddbc81913c1a05aafd34287,feb,2017,auto,hold,Sterrett,712.4791666666666,765.0,715.0,20.0,False,False,False
20f9344e218cb0063ddbc81913c1a05aafd34287,feb,2017,cool,hold,Sterrett,714.8811881188119,714.039603960396,714.039603960396,20.0,False,False,False
21ab70c0a081c00862d9828429c2de03ab0f3d80,feb,2017,heat,hold,Florence,684.0555846879917,684.6145778710015,684.6145778710015,5.0,True,False,True
222b40bd6fbe7a73bb11e1af25ff0b0aba75d9fc,feb,2017,heat,hold,Opelika,664.4111791730475,650.0735068912711,642.0949464012251,15.0,False,False,True
22c142f45dd414368e4404b1b4c61149ceaa76cd,feb,2017,auto,auto,Spanish Fort,701.0086393088553,756.7386609071274,650.133909287257,0.0,False,False,True
22c142f45dd414368e4404b1b4c61149ceaa76cd,feb,2017,auto,hold,Spanish Fort,708.0502851218248,774.7900466562986,685.9175738724728,0.0,False,False,True
22edef709b8323242bfe57995a662d458c13e8fc,feb,2017,auto,auto,Huntsville  AL,760.6540540540541,782.5729729729729,754.7513513513513,20.0,True,False,True
22edef709b8323242bfe57995a662d458c13e8fc,feb,2017,auto,hold,Huntsville  AL,754.8349928876245,769.520625889047,747.4850640113798,20.0,True,False,True
22edef709b8323242bfe57995a662d458c13e8fc,feb,2017,cool,hold,Huntsville  AL,731.2,730.0,729.8,20.0,True,False,True
22efd8fb0ec7be22a39f55446374782c777ec213,feb,2017,cool,auto,Daphne,663.3904982618772,699.2670915411355,693.4994206257243,0.0,False,False,True
22efd8fb0ec7be22a39f55446374782c777ec213,feb,2017,cool,hold,Daphne,681.9736842105264,681.4736842105264,681.4736842105264,0.0,False,False,True
22efd8fb0ec7be22a39f55446374782c777ec213,feb,2017,heat,auto,Daphne,676.7818532818533,718.1718146718147,682.6660231660231,0.0,False,False,True
22efd8fb0ec7be22a39f55446374782c777ec213,feb,2017,heat,hold,Daphne,693.25,694.6103896103896,694.6103896103896,0.0,False,False,True
2335bb79932a998d1efa3a91a2d4763a84d8086e,feb,2017,auto,auto,Enterprise,731.8760330578513,799.2396694214876,651.1900826446281,5.0,False,False,True
2335bb79932a998d1efa3a91a2d4763a84d8086e,feb,2017,auto,hold,Enterprise,721.2258064516129,729.2903225806451,701.9677419354839,5.0,False,False,True
25b7862fb98af4ec34006bb0ba3456c51f5884fb,feb,2017,heat,hold,Huntsville,672.3478260869565,690.0,690.0,35.0,True,False,True
2a1e63588bbfb60d54d00ac43365ad5796c1fc2c,feb,2017,heat,auto,Mobile,757.1428571428571,710.0,710.0,15.0,False,False,True
2a2d29f3dc6cfb557b057a1c3d039bd66a640ce3,feb,2017,heat,auto,Florence,690.0521739130435,690.0,690.0,0.0,True,False,True
2a2d29f3dc6cfb557b057a1c3d039bd66a640ce3,feb,2017,heat,hold,Florence,688.9463741620963,687.714198659354,687.695917123705,0.0,True,False,True
2a669ba45f8aee651c32d540d9e077f11979c6b9,feb,2017,cool,auto,Phenix City,737.4042553191489,736.7872340425532,726.3829787234042,30.0,True,False,True
2a669ba45f8aee651c32d540d9e077f11979c6b9,feb,2017,cool,hold,Phenix City,725.7105263157895,729.7894736842105,729.7894736842105,30.0,True,False,True
2a669ba45f8aee651c32d540d9e077f11979c6b9,feb,2017,heat,auto,Phenix City,724.9166666666666,725.7333333333333,725.7333333333333,30.0,True,False,True
2a669ba45f8aee651c32d540d9e077f11979c6b9,feb,2017,heat,hold,Phenix City,726.8846153846154,731.1923076923077,728.7307692307693,30.0,True,False,True
2a719e573b5b3a8decac03f84e1d06900c8f5e0d,feb,2017,heat,auto,Madison,633.2022471910112,694.123595505618,639.3258426966293,0.0,False,False,True
2a719e573b5b3a8decac03f84e1d06900c8f5e0d,feb,2017,heat,hold,Madison,636.3934426229508,650.0,630.0,0.0,False,False,True
2a8561cd66e1e77cc4e95f9721f67f1ce7029d37,feb,2017,heat,auto,Hoover,659.3509933774834,724.4437086092715,653.9205298013245,5.0,True,False,True
2a9a4fd5da055339828f46f60e2059842ffdbf8e,feb,2017,heat,hold,Huntsville,735.7191011235955,724.7640449438202,724.7640449438202,40.0,True,False,True
2c01159de417d788d3e3e30e470b6308a3f2debc,feb,2017,auto,auto,Spanish Fort,702.6327960756832,793.9120532585845,620.0,0.0,False,False,True
2cba58f7964c517b8bf307c72421bc08a464b504,feb,2017,auto,hold,Madison,704.4545454545455,700.0,660.0,5.0,True,True,True
2d181439398470ad8c345da70039f12d9b2ba682,feb,2017,auto,auto,Birmingham,679.5492753623189,756.704347826087,663.7927536231884,20.0,True,False,False
2d181439398470ad8c345da70039f12d9b2ba682,feb,2017,auto,hold,Birmingham,676.684699453552,755.7857923497268,659.7049180327868,20.0,True,False,False
2d977f2f28c5e8d137b7ee7ff9006e62f85ad05a,feb,2017,auto,auto,Meridianville,709.4444444444445,780.0,680.0,5.0,False,False,True
2f61400cc9839e30ba71d48a87daaec31c754c6a,feb,2017,heat,auto,Huntsville,685.525,730.0,690.0,60.0,True,False,False
3027d9f936a488e0072434d03b475665a4dbcd6c,feb,2017,auto,auto,Huntsville,714.5333333333333,750.0,720.0,20.0,False,False,False
3150f892be1de96f734a3b5cae21489c15c855c5,feb,2017,auto,auto,Mobile,755.4761904761905,760.0,700.0,10.0,False,False,True
3150f892be1de96f734a3b5cae21489c15c855c5,feb,2017,auto,hold,Mobile,721.6470588235294,770.0,720.0,10.0,False,False,True
3428401094723e4278d70e02b556d726b28de981,feb,2017,cool,auto,Wilmer,722.347266881029,730.6302250803858,732.5016077170418,5.0,False,False,True
3428401094723e4278d70e02b556d726b28de981,feb,2017,cool,hold,Wilmer,692.081081081081,705.8648648648649,704.6756756756756,5.0,False,False,True
3428401094723e4278d70e02b556d726b28de981,feb,2017,heat,auto,Wilmer,670.8378378378378,692.1081081081081,686.6756756756756,5.0,False,False,True
348479d6f8af9695d19a6cdbc87316c8c7c3e3fa,feb,2017,heat,auto,Montgomery,652.73,799.87,660.01,110.0,False,False,True
348479d6f8af9695d19a6cdbc87316c8c7c3e3fa,feb,2017,heat,hold,Montgomery,688.3521126760563,689.4366197183099,689.4366197183099,110.0,False,False,True
352626405e7857e5dfeedecee5095c07b0ebc72f,feb,2017,auto,hold,Hoover,710.648,752.5813333333333,702.5813333333333,15.0,False,False,False
39e69fda17a08570ae27a25ab42ee80a3147dfd5,feb,2017,auto,auto,Auburn,691.6578947368421,720.2456140350877,670.2456140350877,5.0,False,False,False
39e69fda17a08570ae27a25ab42ee80a3147dfd5,feb,2017,auto,hold,Auburn,697.4827586206897,742.9433497536946,692.9433497536946,5.0,False,False,False
3c7b097eeb778fd85c9c56e7d9afe52455c37591,feb,2017,auto,auto,Hoover,691.5,705.2954545454545,662.7727272727273,0.0,False,False,False
3c7b097eeb778fd85c9c56e7d9afe52455c37591,feb,2017,auto,hold,Hoover,694.2398190045249,731.8552036199095,682.6742081447964,0.0,False,False,False
3c9c1ba78fbd1fe4bdfca41245a7ca8703708096,feb,2017,auto,auto,Mobile,695.0,722.0,701.0,35.0,False,False,False
3c9c1ba78fbd1fe4bdfca41245a7ca8703708096,feb,2017,auto,hold,Mobile,704.7777777777778,759.0,709.0,35.0,False,False,False
3c9c1ba78fbd1fe4bdfca41245a7ca8703708096,feb,2017,heat,auto,Mobile,700.4178525226391,720.738680465718,698.8007761966364,35.0,False,False,False
3c9c1ba78fbd1fe4bdfca41245a7ca8703708096,feb,2017,heat,hold,Mobile,691.3333333333334,689.0,689.0,35.0,False,False,False
3d35b717f154b2abd216820625232259a3d996a6,feb,2017,auto,auto,Spanish Fort,674.4683544303797,720.9764918625679,647.9457504520796,0.0,False,False,True
3d35b717f154b2abd216820625232259a3d996a6,feb,2017,auto,hold,Spanish Fort,685.5523685354194,741.025641025641,662.2225119513255,0.0,False,False,True
