Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00ccdd55197b9e83623e4f59658846148965c6e1,jun,2020,cool,hold,Dadeville,719.4411764705883,720.0,720.0,0.0,True,False,True
00d0dbc1e15120418e25fa195bb69bbaa749cda7,jun,2020,cool,auto,Birmingham,728.1649484536083,727.3986254295532,727.3247422680413,105.0,False,False,False
00d0dbc1e15120418e25fa195bb69bbaa749cda7,jun,2020,cool,hold,Birmingham,728.8586956521739,729.5652173913044,729.5652173913044,105.0,False,False,False
00ecc16fbe65c54970eeda02b8342d929ae097b8,jun,2020,cool,auto,Madison,769.7692307692307,760.0,760.0,5.0,False,False,True
00f7b8c12f6d7ab98a012a3d514ee01e6fefe1f2,jun,2020,cool,auto,Jasper,733.7652752571083,732.8911070780399,732.8838475499092,0.0,True,False,False
00f7b8c12f6d7ab98a012a3d514ee01e6fefe1f2,jun,2020,cool,hold,Jasper,727.1614457831325,725.0,725.0,0.0,True,False,False
01338833af9196b4843ddbd3c35c4e93fcba72e1,jun,2020,cool,hold,Sylacauga,726.2689020381328,724.7077580539119,724.7077580539119,50.0,False,False,False
016192263cb0f8e1a8cebfe9d47b152931933840,jun,2020,auto,hold,Irvington,718.5405405405405,710.4864864864865,660.1081081081081,30.0,False,False,True
01822f081676d5d4c99b3f565850db9daa2633b7,jun,2020,cool,auto,Birmingham,721.76,720.04,720.04,39.0,False,False,True
01822f081676d5d4c99b3f565850db9daa2633b7,jun,2020,cool,hold,Birmingham,722.8834154351396,720.8604269293925,719.076354679803,39.0,False,False,True
018375b6043c8c22642b47291bea64e83fe67b21,jun,2020,cool,auto,Orange Beach,732.9844236760125,759.4392523364486,759.4392523364486,10.0,False,False,True
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,jun,2020,cool,auto,Prattville,724.1627373935822,724.8673870333988,724.8673870333988,0.0,True,False,True
01ec1e5fd26dfeb9bfc4d7e12b404f49c745aaee,jun,2020,cool,auto,Birmingham,748.9366197183099,755.330985915493,755.330985915493,0.0,False,False,True
01ec1e5fd26dfeb9bfc4d7e12b404f49c745aaee,jun,2020,cool,hold,Birmingham,752.9515297353042,757.8879339979375,757.8879339979375,0.0,False,False,True
021baec9b58f9b39e05a352598cee2e117528734,jun,2020,auto,auto,Huntsville  AL,739.8601941747572,741.8650485436893,720.8718446601941,20.0,False,False,False
021baec9b58f9b39e05a352598cee2e117528734,jun,2020,auto,hold,Huntsville  AL,747.0713305898491,751.2537722908094,729.8015546410608,20.0,False,False,False
021baec9b58f9b39e05a352598cee2e117528734,jun,2020,cool,hold,Huntsville  AL,760.5,710.0,710.0,20.0,False,False,False
02c945c622a87954c9d7714bec36c70f17798fdd,jun,2020,auto,auto,Irondale,742.9111111111112,719.8444444444444,670.8,20.0,False,False,False
02c945c622a87954c9d7714bec36c70f17798fdd,jun,2020,auto,hold,Irondale,731.3723684210527,728.5763157894737,665.1947368421053,20.0,False,False,False
02c945c622a87954c9d7714bec36c70f17798fdd,jun,2020,cool,auto,Irondale,715.1758241758242,713.1373626373627,713.1373626373627,20.0,False,False,False
02c945c622a87954c9d7714bec36c70f17798fdd,jun,2020,cool,hold,Irondale,705.2176258992806,711.3974820143885,711.3902877697842,20.0,False,False,False
03308ba583ed57283fcebe9088b7f847d62416dd,jun,2020,cool,auto,Huntsville,714.6428571428571,725.6071428571429,654.6785714285714,15.0,True,False,True
03308ba583ed57283fcebe9088b7f847d62416dd,jun,2020,cool,hold,Huntsville,726.8283214871515,725.7495899398579,725.43083652269,15.0,True,False,True
03f009c0fc37c740d0bc69e681e3f8f49b4740c8,jun,2020,auto,auto,Huntsville,707.3958691910499,717.354561101549,662.0671256454389,25.0,True,False,True
03f009c0fc37c740d0bc69e681e3f8f49b4740c8,jun,2020,auto,hold,Huntsville,709.7786624203821,719.8343949044586,665.5541401273886,25.0,True,False,True
052d45e71453a926d47d6e27191487344a140c3a,jun,2020,auto,hold,Dothan,705.6020599250936,692.0,642.0,40.0,False,False,True
059c2332368620c4e331260e53eade3074c31ddd,jun,2020,cool,auto,columbus ,766.8748387096774,793.7535483870968,757.9522580645162,0.0,True,False,True
059c2332368620c4e331260e53eade3074c31ddd,jun,2020,cool,hold,columbus ,721.3510378510379,718.1471306471307,716.4178876678876,0.0,True,False,True
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,jun,2020,cool,auto,Huntsville,705.0366972477065,706.559633027523,706.559633027523,25.0,False,False,True
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,jun,2020,cool,hold,Huntsville,685.030303030303,675.0,675.0,25.0,False,False,True
06549613bcc9fa56063881935c8ced2283096e45,jun,2020,cool,auto,Wellington,724.971307120085,721.4027630180659,721.4027630180659,5.0,False,False,True
06549613bcc9fa56063881935c8ced2283096e45,jun,2020,cool,hold,Wellington,722.0,720.0,720.0,5.0,False,False,True
0670c8fa3571be3d02a66baf68ff75e31a6efa19,jun,2020,cool,auto,Birmingham,707.8657074340528,717.8681055155876,717.8681055155876,0.0,False,False,True
0670c8fa3571be3d02a66baf68ff75e31a6efa19,jun,2020,cool,hold,Birmingham,721.7605633802817,728.255868544601,728.255868544601,0.0,False,False,True
0678815f23fab1acc535daea37c046e4a1b7eef4,jun,2020,cool,auto,Auburn,734.0025252525253,735.1515151515151,735.1515151515151,0.0,True,False,False
0678815f23fab1acc535daea37c046e4a1b7eef4,jun,2020,cool,hold,Auburn,722.5873015873016,723.8095238095239,723.8095238095239,0.0,True,False,False
06b5b8a28f0677ba5d00887851f625d9607458cb,jun,2020,cool,auto,Jacksons Gap,678.6304549675024,676.2260909935005,676.2260909935005,50.0,False,False,True
