Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01111a4f1b00377be5ecc305a424d92540564055,feb,2020,auxHeatOnly,auto,Rockwell,681.5739795918367,735.6530612244898,654.704081632653,0.0,True,False,True
01111a4f1b00377be5ecc305a424d92540564055,feb,2020,auxHeatOnly,hold,Rockwell,687.9403973509934,710.0,658.2450331125827,0.0,True,False,True
01231fd2a32ab52081235d74998b0c2e4e9e9666,feb,2020,auto,auto,Rogers,638.8571428571429,695.0,645.0,20.0,True,False,False
01231fd2a32ab52081235d74998b0c2e4e9e9666,feb,2020,heat,auto,Rogers,675.7887931034483,684.2715517241379,683.8060344827586,20.0,True,False,False
01231fd2a32ab52081235d74998b0c2e4e9e9666,feb,2020,heat,hold,Rogers,670.1785714285714,670.7,670.15,20.0,True,False,False
05264e7dc3e07e3c07cc8731203a82ead740a9f4,feb,2020,auto,auto,North Little Rock,682.3777292576419,732.4497816593887,674.6732168850073,9.0,False,False,False
05264e7dc3e07e3c07cc8731203a82ead740a9f4,feb,2020,auto,hold,North Little Rock,677.9171029668412,727.7958115183246,669.5567190226876,9.0,False,False,False
055e47c3f24cb6590f0233f081e0ffafab333544,feb,2020,heat,auto,Sherwood,664.9623188405797,689.4289855072464,660.2115942028986,5.0,True,False,True
055e47c3f24cb6590f0233f081e0ffafab333544,feb,2020,heat,hold,Sherwood,667.4666666666667,670.0,670.0,5.0,True,False,True
05c817c69cbc62e676ed312a81ff1004f1750f51,feb,2020,heat,hold,Centerton,714.1764705882352,720.0,720.0,0.0,False,False,False
05f016d92aafe9576020078fc75573d087c9ab46,feb,2020,auto,auto,Little Rock,659.0508684863523,727.9156327543425,654.516129032258,90.0,False,False,False
05f016d92aafe9576020078fc75573d087c9ab46,feb,2020,auto,hold,Little Rock,677.9354120267261,737.0155902004454,680.0,90.0,False,False,False
068cdde018ba40afdc28086cf328a9b2f7e3818c,feb,2020,auto,auto,Little rock,720.5473897617841,810.0,720.0,0.0,False,False,False
06c86e4b3382569fef8ec37da090c5747e2c238b,feb,2020,auto,auto,Fort Smith,690.8,750.0,700.0,10.0,True,False,False
07c1de1bdf5edfd094fe050443b511dfe40aa9b4,feb,2020,heat,auto,Harrison,698.9473684210526,740.0,707.8684210526316,0.0,False,False,False
07c1de1bdf5edfd094fe050443b511dfe40aa9b4,feb,2020,heat,hold,Harrison,681.452380952381,690.4761904761905,690.4761904761905,0.0,False,False,False
080e34e1fbca0a182cfb0db1d9414cb3496ff6b1,feb,2020,heat,auto,Morrilton,710.0,720.4375,720.0,10.0,True,False,True
089243e3ab56759988f8051f149ffd8f4bf07629,feb,2020,heat,hold,Hot Springs,675.6489361702128,673.2021276595744,673.2021276595744,0.0,True,False,True
08fe5124a59a024f93eccf6aaec19997eb295483,feb,2020,heat,auto,Greenland,616.0128205128206,650.9038461538462,640.4551282051282,10.0,False,False,False
08fe5124a59a024f93eccf6aaec19997eb295483,feb,2020,heat,hold,Greenland,638.65,650.0,640.0,10.0,False,False,False
0919426c19f28902e7707b4be2e5c1ecdd2d2272,feb,2020,auto,hold,Roland,705.0,820.0,640.0,15.0,True,False,True
095ef9d837869bd8a6ebc999468cf2b0ed3667c3,feb,2020,auto,auto,Little Rock,705.83038637852,780.0,708.8212180746561,20.0,False,False,False
095ef9d837869bd8a6ebc999468cf2b0ed3667c3,feb,2020,auto,hold,Little Rock,679.5839506172839,780.0,680.0,20.0,False,False,False
09d3f117f9f00618d1e0a7f403505c4ee30080b6,feb,2020,heat,auto,Hamburg,647.9025821596244,650.0129107981221,642.1525821596244,30.0,False,False,False
09d3f117f9f00618d1e0a7f403505c4ee30080b6,feb,2020,heat,hold,Hamburg,642.6571588366891,650.0,642.4586129753915,30.0,False,False,False
09d92da1cefbac49dabaee8f5ac7c67fd26a01a3,feb,2020,cool,hold,Little Rock,679.1627906976744,680.2325581395348,680.2325581395348,39.0,True,False,False
09d92da1cefbac49dabaee8f5ac7c67fd26a01a3,feb,2020,heat,auto,Little Rock,684.9666666666667,678.3777777777777,678.3777777777777,39.0,True,False,False
09d92da1cefbac49dabaee8f5ac7c67fd26a01a3,feb,2020,heat,hold,Little Rock,694.4623714131023,691.2273957769356,691.2273957769356,39.0,True,False,False
09fd05d962d4114bae196bb381be3fc16c2f8e3e,feb,2020,auto,auto,Fayetteville,653.695652173913,720.8695652173913,639.7826086956521,15.0,False,False,False
09fd05d962d4114bae196bb381be3fc16c2f8e3e,feb,2020,auto,hold,Fayetteville,670.0416666666666,750.0833333333334,672.7083333333334,15.0,False,False,False
0a0d693c1bf8be5dfae560eb62230b35bd5d1411,feb,2020,heat,auto,Fayetteville,693.4649265905383,697.2952691680262,692.8809135399674,0.0,False,False,False
0a0d693c1bf8be5dfae560eb62230b35bd5d1411,feb,2020,heat,hold,Fayetteville,690.0,650.0,630.0,0.0,False,False,False
0b157fc521e6154d665a3a47dde4b7518a2c6c43,feb,2020,heat,hold,Benton,711.1767676767677,713.489898989899,712.1464646464647,29.0,False,False,False
0bdff859816c4f9e4e3ae4a567e8c5edf2e9b031,feb,2020,heat,auto,Roland,682.432380952381,687.0266666666666,686.7619047619048,10.0,True,False,True
0bdff859816c4f9e4e3ae4a567e8c5edf2e9b031,feb,2020,heat,hold,Roland,683.0288461538462,689.0769230769231,688.9086538461538,10.0,True,False,True
0cc091f4f1fd464e50d9445540e3b069164966af,feb,2020,heat,auto,Searcy,661.1875,670.84375,667.1875,15.0,True,False,True
0cc091f4f1fd464e50d9445540e3b069164966af,feb,2020,heat,hold,Searcy,649.7510638297872,659.2425531914894,652.6787234042553,15.0,True,False,True
0d46ec3352153da3d90bcff5956284799af9056f,feb,2020,heat,auto,Greenwood,708.8108108108108,710.081081081081,710.081081081081,0.0,False,False,False
0d46ec3352153da3d90bcff5956284799af9056f,feb,2020,heat,hold,Greenwood,722.6279640228945,725.2130008176615,725.2130008176615,0.0,False,False,False
0e32eeed8a809d43b17e285d716dd4f0d339f4b0,feb,2020,heat,auto,Pine Bluff,688.3638778220452,703.2270916334661,690.2549800796813,40.0,True,False,True
0e32eeed8a809d43b17e285d716dd4f0d339f4b0,feb,2020,heat,hold,Pine Bluff,685.9730496453901,699.0666666666667,699.0666666666667,40.0,True,False,True
0e499d37214110cdde94146ebfe557b16c964379,feb,2020,heat,auto,Alexander,724.276836158192,726.0169491525423,725.1242937853108,0.0,False,False,True
0e499d37214110cdde94146ebfe557b16c964379,feb,2020,heat,hold,Alexander,714.7948717948718,725.5512820512821,724.9487179487179,0.0,False,False,True
0e5b1fdaf35900e7726ae2eaf46c108b97340010,feb,2020,auto,auto,Jacksonville,671.5583126550869,735.0,685.0,55.0,True,False,False
0eb78420bdeb6a36bba228571dfa19e5783ebc0f,feb,2020,heat,auto,Little Rock,644.0,670.0,625.0,90.0,False,False,False
0eb78420bdeb6a36bba228571dfa19e5783ebc0f,feb,2020,heat,hold,Little Rock,673.125,690.0,690.0,90.0,False,False,False
0ec8a19fe121b32f1324ad4c06b4eb8a23128941,feb,2020,heat,hold,Little Rock,652.9850885368127,652.6160298229264,652.6160298229264,20.0,False,False,False
10253e4038e7cc5a682bbe42aa1167b4a200b689,feb,2020,auto,auto,Fort Smith,702.9833178869324,780.0,706.7367933271548,30.0,False,False,False
10253e4038e7cc5a682bbe42aa1167b4a200b689,feb,2020,auto,hold,Fort Smith,702.5276243093923,780.0,705.439226519337,30.0,False,False,False
102b716979aec0016b02e9b367fa09ffd62bb69d,feb,2020,heat,hold,Russellville,733.0,713.0,673.0,30.0,False,False,False
10348577abe9ce9f5bad1cf3f41867b27e0f39b2,feb,2020,heat,auto,Nashville,651.2849631966351,660.6167192429023,643.5268138801262,0.0,False,False,False
10523862e52ba83725b4dbc98032c78921cc7d41,feb,2020,cool,hold,Little Rock,688.45,681.25,680.0,0.0,True,False,False
10523862e52ba83725b4dbc98032c78921cc7d41,feb,2020,heat,auto,Little Rock,694.7306397306397,710.0,702.3468013468014,0.0,True,False,False
10523862e52ba83725b4dbc98032c78921cc7d41,feb,2020,heat,hold,Little Rock,691.5616438356165,693.013698630137,692.554794520548,0.0,True,False,False
108f863deac50790f4f89a1df55aede0fe3d5d5b,feb,2020,auto,auto,Conway aR,719.9351535836178,773.1023890784983,722.6962457337884,20.0,False,False,False
108f863deac50790f4f89a1df55aede0fe3d5d5b,feb,2020,auto,hold,Conway aR,710.5189804772234,761.1800433839479,710.6279826464208,20.0,False,False,False
10aab33d9f85f1579bddeb596ef0da6b423de24f,feb,2020,auto,auto,Little Rock,684.0428571428571,740.0,683.2,35.0,False,False,False
10f228ac41f9efc8bc725e0b7d270d8dd410459e,feb,2020,heat,hold,Little Rock,689.015625,688.75,688.75,0.0,False,False,False
1132d471fc430d9eab560dd18c011fca2bbfa515,feb,2020,cool,hold,Little Rock,655.8088495575221,682.8371681415929,682.8371681415929,10.0,False,False,False
1132d471fc430d9eab560dd18c011fca2bbfa515,feb,2020,heat,hold,Little Rock,680.4867821330903,684.8058340929808,684.8058340929808,10.0,False,False,False
115f0527372333d1300adb62868bd35aa1bc5255,feb,2020,heat,auto,Searcy,626.25,744.5,650.0,0.0,False,False,True
115f0527372333d1300adb62868bd35aa1bc5255,feb,2020,heat,hold,Searcy,672.7513368983957,674.6497326203208,674.2780748663101,0.0,False,False,True
117da36185aedda9d5b3d2100e6b6d687b66be40,feb,2020,cool,hold,Ward,706.90625,719.03125,719.03125,9.0,False,False,True
117da36185aedda9d5b3d2100e6b6d687b66be40,feb,2020,heat,auto,Ward,709.2549019607843,709.4215686274509,709.4215686274509,9.0,False,False,True
117da36185aedda9d5b3d2100e6b6d687b66be40,feb,2020,heat,hold,Ward,707.9615384615385,710.25,710.25,9.0,False,False,True
1195a63db7382eb9a9a1086e9b5341b27d25c3e3,feb,2020,heat,auto,Cabot,691.2185792349727,779.7704918032787,700.0765027322404,0.0,True,False,False
1195a63db7382eb9a9a1086e9b5341b27d25c3e3,feb,2020,heat,hold,Cabot,701.2255125284738,710.8086560364465,709.9476082004555,0.0,True,False,False
124dfd7470d12efce53cee4d1e1009a5cf419eb8,feb,2020,heat,auto,Little Rock,687.0384615384615,670.0673076923077,670.0673076923077,19.0,False,False,False
124dfd7470d12efce53cee4d1e1009a5cf419eb8,feb,2020,heat,hold,Little Rock,686.578110383536,680.699251637044,680.699251637044,19.0,False,False,False
