Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0004d19902138a2152dbbaeb5f71d652551f23b7,jul,2021,auto,hold,Tucson,747.2642762284197,747.4829570606463,645.0,20.0,False,False,False
0039dca17b879e3386c995d9562b412299f544ff,jul,2021,auto,hold,Mesa,808.2432432432432,811.8918918918919,720.0,10.0,False,False,True
006dbcaad99f08537c0c827e8dcc40ec628d43de,jul,2021,cool,hold,Cooper Commons,752.027409372237,751.6706454465075,751.6706454465075,20.0,False,False,False
00837b4b6df87ebf6f19604eaf42c4875ed1d4b8,jul,2021,cool,hold,Phoenix,787.3205128205128,780.0,780.0,10.0,False,False,False
0085d4842a2c360f81bfa4473c8f3e71c0752f31,jul,2021,auto,hold,Scottsdale,752.6485078162009,776.6707721459024,610.0,39.0,True,False,True
0097333986ac79444915e3905b4fe6cce0f82c41,jul,2021,auto,hold,Pacific Palms,787.008658008658,787.9653679653679,709.8354978354978,30.0,True,False,True
01016c682a7be3fa75027c0ebd9edf413cf2459e,jul,2021,cool,hold,Peoria,764.7712299788456,770.2157751586582,719.0,0.0,False,False,False
0128960c3d12d9024ebbb87a8ae1e2bdc79a71e1,jul,2021,cool,hold,Scottsdale,751.3735632183908,752.1494252873563,752.1494252873563,20.0,False,False,False
015b901f68620d06275e3b7aa91aaf7712578c24,jul,2021,auto,hold,Mesa,729.2636363636364,726.430909090909,676.3181818181819,10.0,False,False,False
015dc7c3497b4b091cd292a54c3fe1e48b73b2aa,jul,2021,cool,hold,Phoenix,775.47406733394,776.968152866242,768.2575068243858,30.0,False,False,True
01938197c513ad24539812bb06452e820d76ae9a,jul,2021,auto,hold,Phoenix,758.8305084745763,754.1864406779661,680.0,10.0,False,False,False
01e3ae470e88aac33b2483a97f19afafb926128c,jul,2021,auto,hold,Chandler,742.4666666666667,740.35,690.35,15.0,False,False,False
0222630f87433cb6a60e0fe83c9bc2233a842fce,jul,2021,cool,hold,Phoenix,776.7423481041571,787.6226587482869,785.4773869346734,0.0,True,False,False
02544b6811f859cfc0bf41a8b17d9153d164f332,jul,2021,cool,hold,Scottsdale,760.9883720930233,757.5581395348837,757.5581395348837,0.0,False,False,True
028dd9fd947eb85d85eafe758967d10e3f3f39e8,jul,2021,cool,hold,Tempe,811.5,770.0,770.0,30.0,False,False,True
02a69b3dc3838c9dc207cf8904198e63ed732702,jul,2021,cool,hold,Tucson,778.2189973614776,780.2612137203166,780.1029023746702,20.0,False,False,False
0316b525cbcbcc7bb02e92ad28f1af3a6023f08a,jul,2021,auto,hold,Tempe,679.1666666666666,699.6666666666666,638.7,0.0,False,False,True
0356561c0223496f257823ebb98fcb6855e23d77,jul,2021,cool,hold,Queen Creek,768.7841191066998,769.5707196029776,769.5707196029776,26.0,False,False,True
