Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0004d19902138a2152dbbaeb5f71d652551f23b7,jun,2019,cool,auto,Tucson,739.1328671328671,738.4654234654234,738.4654234654234,20.0,False,False,False
0004d19902138a2152dbbaeb5f71d652551f23b7,jun,2019,cool,hold,Tucson,734.7571495546179,733.7055789967183,733.7055789967183,20.0,False,False,False
002e06a167b6c8ac5b691f3555a28c83623973b1,jun,2019,auto,auto,Phoenix,773.3571428571429,770.0,720.0,20.0,False,False,True
002e06a167b6c8ac5b691f3555a28c83623973b1,jun,2019,auto,hold,Phoenix,765.2826086956521,759.9565217391304,709.9565217391304,20.0,False,False,True
0039dca17b879e3386c995d9562b412299f544ff,jun,2019,cool,auto,Mesa,810.325,809.7,789.425,10.0,False,False,True
0039dca17b879e3386c995d9562b412299f544ff,jun,2019,cool,hold,Mesa,811.2564102564103,821.5769230769231,786.8076923076923,10.0,False,False,True
0085d4842a2c360f81bfa4473c8f3e71c0752f31,jun,2019,auto,auto,Scottsdale,714.0,715.4230769230769,660.4230769230769,39.0,True,False,True
0085d4842a2c360f81bfa4473c8f3e71c0752f31,jun,2019,auto,hold,Scottsdale,742.3292999135696,758.3305963699222,664.8228176318064,39.0,True,False,True
0097333986ac79444915e3905b4fe6cce0f82c41,jun,2019,auto,auto,Pacific Palms,802.5308130502331,802.5264111859141,699.0701708959089,30.0,True,False,True
00ab105be10ba80cca71a5e8d83088116fe17003,jun,2019,cool,auto,Tucson,789.5733333333334,793.2,786.8,10.0,False,False,False
00ab105be10ba80cca71a5e8d83088116fe17003,jun,2019,cool,hold,Tucson,777.4285714285714,779.7142857142857,779.639751552795,10.0,False,False,False
01016c682a7be3fa75027c0ebd9edf413cf2459e,jun,2019,cool,hold,Peoria,787.0,770.0,719.0,0.0,False,False,False
0128960c3d12d9024ebbb87a8ae1e2bdc79a71e1,jun,2019,cool,auto,Scottsdale,799.7171717171717,801.030303030303,777.3939393939394,20.0,False,False,False
0128960c3d12d9024ebbb87a8ae1e2bdc79a71e1,jun,2019,cool,hold,Scottsdale,747.2657931679926,746.2994852597099,745.1455311183903,20.0,False,False,False
0129a3d9f289e827fafcb9226b8be496cf0ed59c,jun,2019,cool,auto,Scottsdale,760.5454545454545,760.0,760.0,60.0,False,False,True
014dd5c7bc68448ffe170c2c8981acfb86753306,jun,2019,auto,auto,Tempe,716.6013824884793,745.3917050691244,698.052995391705,9.0,False,False,True
014dd5c7bc68448ffe170c2c8981acfb86753306,jun,2019,auto,hold,Tempe,708.5205479452055,750.027397260274,691.7945205479452,9.0,False,False,True
014dd5c7bc68448ffe170c2c8981acfb86753306,jun,2019,cool,auto,Tempe,657.0570281124498,650.6265060240963,650.6265060240963,9.0,False,False,True
014dd5c7bc68448ffe170c2c8981acfb86753306,jun,2019,cool,hold,Tempe,670.0171568627451,668.1617647058823,658.6029411764706,9.0,False,False,True
015b901f68620d06275e3b7aa91aaf7712578c24,jun,2019,auto,hold,Mesa,748.0780487804878,747.0341463414634,685.6341463414634,10.0,False,False,False
015dc7c3497b4b091cd292a54c3fe1e48b73b2aa,jun,2019,cool,auto,Phoenix,778.5333333333333,780.0,779.8,30.0,False,False,True
015dc7c3497b4b091cd292a54c3fe1e48b73b2aa,jun,2019,cool,hold,Phoenix,777.3553299492386,780.1421319796955,772.5177664974619,30.0,False,False,True
01e3ae470e88aac33b2483a97f19afafb926128c,jun,2019,auto,auto,Chandler,772.9456066945606,769.9874476987447,713.9623430962343,15.0,False,False,False
01e3ae470e88aac33b2483a97f19afafb926128c,jun,2019,auto,hold,Chandler,771.6335030078667,768.5363257751042,718.5363257751042,15.0,False,False,False
0222630f87433cb6a60e0fe83c9bc2233a842fce,jun,2019,cool,auto,Phoenix,763.7678571428571,774.5535714285714,774.5535714285714,0.0,True,False,False
0222630f87433cb6a60e0fe83c9bc2233a842fce,jun,2019,cool,hold,Phoenix,762.5309694793536,772.0834829443447,771.6265709156194,0.0,True,False,False
02544b6811f859cfc0bf41a8b17d9153d164f332,jun,2019,cool,auto,Scottsdale,790.0,783.0,696.0,0.0,False,False,True
02544b6811f859cfc0bf41a8b17d9153d164f332,jun,2019,cool,hold,Scottsdale,776.0,773.6582278481013,771.9746835443038,0.0,False,False,True
02826f2cde68be1822e1c8e0fafea3044c526b46,jun,2019,auto,hold,Phoenix,752.85,750.0,700.0,6.0,False,False,False
028dd9fd947eb85d85eafe758967d10e3f3f39e8,jun,2019,auto,hold,Tempe,799.8689862542956,800.0433848797251,700.0,30.0,False,False,True
02a69b3dc3838c9dc207cf8904198e63ed732702,jun,2019,cool,auto,Tucson,788.8846815834768,793.5232358003442,787.8640275387263,20.0,False,False,False
02a69b3dc3838c9dc207cf8904198e63ed732702,jun,2019,cool,hold,Tucson,784.2941988950276,788.7720994475138,784.9185082872929,20.0,False,False,False
