Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001cb18881c5ace2d453720abb0d8fe710e80a29,dec,2017,heat,hold,San Diego,743.5,750.0,740.8333333333334,50.0,False,False,False
0029564391031ecb03549e6389960db4eed71126,dec,2017,auto,auto,San Gabriel,673.0,760.0,681.2857142857143,90.0,False,False,False
0029564391031ecb03549e6389960db4eed71126,dec,2017,auto,hold,San Gabriel,703.1111111111111,760.0,695.283950617284,90.0,False,False,False
0029564391031ecb03549e6389960db4eed71126,dec,2017,heat,hold,San Gabriel,706.8181818181819,760.0,710.0,90.0,False,False,False
002aab87db1d9e8ce470f80f23c97c59de5f4dcd,dec,2017,heat,auto,San Marcos,704.126582278481,704.5717299578059,703.2215189873418,15.0,False,False,False
002aab87db1d9e8ce470f80f23c97c59de5f4dcd,dec,2017,heat,hold,San Marcos,713.6079027355623,711.5045592705167,709.8966565349544,15.0,False,False,False
00449ee911414c6517a9a1b99a820a55007db911,dec,2017,auto,auto,Fremont,657.9020408163266,800.0,660.0,30.0,False,False,False
00449ee911414c6517a9a1b99a820a55007db911,dec,2017,auto,hold,Fremont,642.9354838709677,800.0,643.8709677419355,30.0,False,False,False
00449ee911414c6517a9a1b99a820a55007db911,dec,2017,heat,auto,Fremont,668.4166666666666,670.0,670.0,30.0,False,False,False
00449ee911414c6517a9a1b99a820a55007db911,dec,2017,heat,hold,Fremont,670.6666666666666,650.0,650.0,30.0,False,False,False
004e635aefe93fcdf58c97f42381e35b23515486,dec,2017,auto,hold,San Diego,776.4305555555555,830.0,770.0,5.0,False,False,False
0050d013d4928f706c90379b28f9ab257178f1a8,dec,2017,heat,auto,Dublin,661.3581661891118,815.5014326647564,621.9054441260745,5.0,False,False,False
0050d013d4928f706c90379b28f9ab257178f1a8,dec,2017,heat,hold,Dublin,677.3653846153846,681.4423076923077,676.9038461538462,5.0,False,False,False
005cce05069f715401e629a2a826482f052c22f1,dec,2017,auto,auto,Hayward,621.5384615384615,742.3076923076923,629.0769230769231,20.0,False,False,False
005cce05069f715401e629a2a826482f052c22f1,dec,2017,auto,hold,Hayward,628.1776504297994,739.0372492836676,632.1776504297994,20.0,False,False,False
005cce05069f715401e629a2a826482f052c22f1,dec,2017,heat,auto,Hayward,628.3692307692307,650.0,630.3538461538461,20.0,False,False,False
005cce05069f715401e629a2a826482f052c22f1,dec,2017,heat,hold,Hayward,623.1590909090909,650.0,627.7863636363636,20.0,False,False,False
007f930abce4596b2214cd79a09714b3d482e17d,dec,2017,heat,auto,Escondido,724.0857142857143,737.6857142857143,731.4,0.0,False,False,False
009baa994d9795c7e39e208aa628abb0007aefda,dec,2017,heat,auto,Oakland,724.2321167883212,722.3649635036496,722.1664233576643,50.0,False,False,False
009baa994d9795c7e39e208aa628abb0007aefda,dec,2017,heat,hold,Oakland,719.7789934354486,718.9956236323851,718.706783369803,50.0,False,False,False
009e91eaed297a685d53a6a82b63ab2123750dc8,dec,2017,auto,hold,Anaheim,704.2,790.0,700.0,0.0,False,False,False
00a06209379817b654d37512f68cc756329eb0a0,dec,2017,auto,auto,Lake Arrowhead,709.9624060150376,740.812030075188,654.7593984962406,20.0,False,False,False
00a06209379817b654d37512f68cc756329eb0a0,dec,2017,auto,hold,Lake Arrowhead,725.6060606060606,741.5454545454545,675.6969696969697,20.0,False,False,False
00c938e5bb1d705eaabfe9e555bc0e4f5f3c9c57,dec,2017,auto,auto,Agoura Hills,723.0416666666666,760.0,710.0,0.0,False,False,False
00c938e5bb1d705eaabfe9e555bc0e4f5f3c9c57,dec,2017,heat,auto,Agoura Hills,703.7773536895675,713.1399491094147,690.6208651399492,0.0,False,False,False
00c938e5bb1d705eaabfe9e555bc0e4f5f3c9c57,dec,2017,heat,hold,Agoura Hills,712.3165938864629,709.8660844250364,703.6499272197963,0.0,False,False,False
00e3c748cac23304a3fe41c3903687e83e022386,dec,2017,heat,auto,santa rosa,635.7155555555555,654.7073015873016,637.7650793650794,30.0,False,False,False
00e3c748cac23304a3fe41c3903687e83e022386,dec,2017,heat,hold,santa rosa,669.390243902439,680.0,680.0,30.0,False,False,False
00ee93904f6f24a2d8bd64518b4a651765f5da4a,dec,2017,heat,auto,San Francisco,687.9857142857143,689.8285714285714,689.8285714285714,0.0,True,False,False
00ee93904f6f24a2d8bd64518b4a651765f5da4a,dec,2017,heat,hold,San Francisco,674.6497064579256,673.5567514677103,673.3786692759295,0.0,True,False,False
011a3a848fc01f4c48aa395ef3c25b9bebb16f3f,dec,2017,auto,auto,San Jose,730.8025830258302,779.8523985239852,729.4760147601476,50.0,False,False,False
011a3a848fc01f4c48aa395ef3c25b9bebb16f3f,dec,2017,heat,auto,San Jose,718.5701754385965,718.7675438596491,718.7675438596491,50.0,False,False,False
011a3a848fc01f4c48aa395ef3c25b9bebb16f3f,dec,2017,heat,hold,San Jose,738.8914027149322,739.7420814479638,739.7420814479638,50.0,False,False,False
0154c58e4b56c89605a73389693789796ed217b6,dec,2017,heat,hold,Roseville,698.3376623376623,700.7272727272727,699.8181818181819,10.0,False,False,False
015c8c0912e66d6e78b39432d82bdb21f31b941b,dec,2017,heat,hold,La Palma,674.75,684.5,684.5,50.0,False,False,False
015e4540eb7835c2fc0cde841e0546395e3cec9f,dec,2017,heat,auto,Hemet,657.6764705882352,695.3897058823529,695.3897058823529,0.0,False,False,False
015e4540eb7835c2fc0cde841e0546395e3cec9f,dec,2017,heat,hold,Hemet,649.2380952380952,693.0952380952381,693.0952380952381,0.0,False,False,False
0177dc89f1763f47b10f0e9e9f04809bf7b5ecf1,dec,2017,auto,auto,Elk Grove,652.1407095610343,782.5778713168971,653.9236319903788,20.0,True,False,True
0177dc89f1763f47b10f0e9e9f04809bf7b5ecf1,dec,2017,auto,hold,Elk Grove,654.4,779.4,650.0,20.0,True,False,True
0178dadd50489c26713368d96f89971440537d63,dec,2017,auto,hold,PLAYA VISTA,674.3333333333334,699.0,649.0,5.0,False,False,False
018ea52eaceb3ff518cb9481520719614694de8a,dec,2017,auto,auto,Loma Linda,666.472,794.48,665.576,35.0,False,False,False
018ea52eaceb3ff518cb9481520719614694de8a,dec,2017,auto,hold,Loma Linda,649.2608695652174,800.0,649.7826086956521,35.0,False,False,False
01b4f18ec0e7c8d8895952fd4636932560cf4496,dec,2017,auto,auto,Lakeside,725.1666666666666,790.0,729.9583333333334,0.0,False,False,False
01b4f18ec0e7c8d8895952fd4636932560cf4496,dec,2017,auto,hold,Lakeside,734.9473684210526,793.5263157894736,742.3684210526316,0.0,False,False,False
01b5ab416118b5bbb2bcf83bbc8f0de470177edc,dec,2017,heat,hold,Morgan Hill,680.5,694.2777777777778,677.7777777777778,45.0,False,False,False
01d3952f43226283917c53caa6874e0144eca077,dec,2017,heat,auto,Altadena,681.7457264957264,674.0106837606837,672.3440170940171,0.0,False,False,False
01d3952f43226283917c53caa6874e0144eca077,dec,2017,heat,hold,Altadena,684.9223300970874,682.1359223300971,682.1262135922331,0.0,False,False,False
01eaf53770fd2e355ef79b5af41bc35a7794e438,dec,2017,auto,hold,san marcos,691.4166666666666,780.0,650.0,0.0,False,False,False
01ffc707fa1fd3bf1ddb8084ff1faf5c7b89fea4,dec,2017,auto,hold,San Bernardino,715.278801843318,778.1370967741935,713.1382488479263,10.0,False,False,False
020a1852120401700f9704d4ba6e2da8bb1a0626,dec,2017,auto,auto,Concord,688.7459324155194,750.0,690.2102628285356,35.0,False,False,False
020a1852120401700f9704d4ba6e2da8bb1a0626,dec,2017,auto,hold,Concord,689.128,750.0,690.7371428571429,35.0,False,False,False
021dd84ed60550be4cb9c8d594c3f946a93129eb,dec,2017,heat,hold,Tustin,730.6666666666666,730.0,730.0,0.0,True,False,False
021de67d96093be17c56414fab6a5aa3f4f289e1,dec,2017,auto,auto,Tulare,647.25,773.1458333333334,652.0572916666666,10.0,False,False,False
021de67d96093be17c56414fab6a5aa3f4f289e1,dec,2017,auto,hold,Tulare,672.6666666666666,775.5,699.3333333333334,10.0,False,False,False
021f13c968b06a6ab5c6a8d90793b67b2775309d,dec,2017,auto,auto,Fresno,723.5261707988981,775.0,724.9256198347107,40.0,False,False,False
021f13c968b06a6ab5c6a8d90793b67b2775309d,dec,2017,auto,hold,Fresno,717.3996282527881,783.2983271375465,718.8364312267659,40.0,False,False,False
02371fe644cf7d3553cf1ed2020cd9168d572fe3,dec,2017,auto,auto,Riverbank,699.4275862068965,749.0620689655173,694.8931034482758,17.0,False,False,False
02371fe644cf7d3553cf1ed2020cd9168d572fe3,dec,2017,auto,hold,Riverbank,698.2722772277227,772.3440594059406,693.230198019802,17.0,False,False,False
025b3b608089c7b2c95f0a505a6d7c9a3fbbe72a,dec,2017,cool,hold,Sunnyvale,651.5979381443299,835.0,790.0,55.0,False,False,False
025b3b608089c7b2c95f0a505a6d7c9a3fbbe72a,dec,2017,heat,hold,Sunnyvale,666.8582034149963,662.5538233110616,647.9658500371195,55.0,False,False,False
0275f4a2ee125145a37c410c98750546c76415a3,dec,2017,heat,auto,Palm Springs,687.6666666666666,703.0833333333334,703.0833333333334,60.0,False,False,False
0287ef9756b69dcab8e8c12050ccfba0b2ca14be,dec,2017,auto,hold,Los Angeles,684.2857142857143,755.0,685.0,0.0,False,False,False
02aaf13ffe56ab2465a4ded7c7b2269bf74bbc89,dec,2017,heat,hold,Mill Valley,701.0357142857143,702.85,701.7928571428571,55.0,False,False,False
02b4edfb74b20aa5dbbf0270babdbca53f931817,dec,2017,heat,auto,Hanford,730.1823630136986,742.125,734.1061643835617,40.0,False,False,False
02b4edfb74b20aa5dbbf0270babdbca53f931817,dec,2017,heat,hold,Hanford,724.9345991561181,725.993670886076,723.3839662447257,40.0,False,False,False
02b6640c479be7ca15b050180d24ee4220b5b512,dec,2017,auto,auto,Canyon Country,680.8019417475729,774.8737864077669,671.0912621359223,10.0,False,False,False
02b6640c479be7ca15b050180d24ee4220b5b512,dec,2017,auto,hold,Canyon Country,680.2281275551921,784.7898609975471,667.2812755519215,10.0,False,False,False
02d989b2b2dcb0bcda954eee4df9d4603c23a674,dec,2017,heat,auto,Moorpark,663.0,709.0,680.0,20.0,False,False,False
02db724dedf4ec0313f17fa25ac9fc22bf507a74,dec,2017,heat,hold,Long Beach,683.1747126436782,682.4114942528736,682.4114942528736,90.0,False,False,True
0347620ce6172307a7a1314d392a692ea4ee94cd,dec,2017,heat,hold,Beverly Hills,699.3250825082508,696.914191419142,696.8993399339934,10.0,False,False,False
0355ccbbe86c1b9dffd087140a35865bf46391a4,dec,2017,heat,hold,escondido,670.75,752.0,746.5,0.0,False,False,False
0358e6afea955b9dfe2aa8f6631f41ffeed4e548,dec,2017,auto,auto,Rocklin,708.6666666666666,820.0,650.0,25.0,False,False,False
0371398253431068faac30f3274863ec57fdd9ca,dec,2017,auto,auto,Rancho Santa Fe,664.6428571428571,780.0,710.0,40.0,False,False,True
0371398253431068faac30f3274863ec57fdd9ca,dec,2017,auto,hold,Rancho Santa Fe,672.6666666666666,780.0,687.6666666666666,40.0,False,False,True
03748def2a4830a8e65994e1434780586190bc2c,dec,2017,heat,auto,Redwood City,693.4615384615385,700.0,700.0,5.0,False,False,False
03748def2a4830a8e65994e1434780586190bc2c,dec,2017,heat,hold,Redwood City,679.3207547169811,680.0,680.0,5.0,False,False,False
037a216cb4e4e0ebfa2c019fc47358a56f5b2cb1,dec,2017,heat,auto,Campbell,710.6103896103896,699.2207792207793,699.2207792207793,0.0,False,False,False
0385359dd642fe166e57b3329de7fb25312eb9c8,dec,2017,auto,auto,Los Angeles,704.8888888888889,763.3333333333334,708.8888888888889,85.0,False,False,False
0385359dd642fe166e57b3329de7fb25312eb9c8,dec,2017,heat,auto,Los Angeles,698.8333333333334,750.0,700.0,85.0,False,False,False
039d6a3c05fae4f1fc628a37574bc282d638af75,dec,2017,heat,auto,Dublin,662.0,828.0,652.0,7.0,False,False,False
039d6a3c05fae4f1fc628a37574bc282d638af75,dec,2017,heat,hold,Dublin,730.3611111111111,730.0,730.0,7.0,False,False,False
039d7a8df829ba4fff3e60c69b3faf382122c153,dec,2017,auto,hold,Los Angeles,706.0714285714286,780.0,709.8571428571429,40.0,False,False,False
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,dec,2017,auto,auto,Los Angeles,706.2833333333333,770.0,690.0,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,dec,2017,auto,hold,Los Angeles,700.2614379084968,753.8039215686274,692.7908496732026,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,dec,2017,cool,auto,Los Angeles,702.4672131147541,726.3196721311475,706.7786885245902,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,dec,2017,cool,hold,Los Angeles,708.2222222222222,727.588785046729,727.4153686396677,20.0,False,False,True
03cc5a0603e6aa27a57e92853b0e1344a77d945f,dec,2017,heat,hold,San Diego,723.8333333333334,734.6666666666666,726.6666666666666,30.0,False,False,False
03cd09730c89477bd9a38dc82595c99338986dc9,dec,2017,auto,auto,San Ramon,716.7887323943662,770.0,717.112676056338,15.0,False,False,True
03cd09730c89477bd9a38dc82595c99338986dc9,dec,2017,auto,hold,San Ramon,720.6725663716815,771.6814159292036,721.6548672566372,15.0,False,False,True
03d357bdb28e8b50c24f7f4662dfa594d68f95c2,dec,2017,auto,hold,Van Nuys,698.615,816.5,692.93,60.0,True,False,False
03d7368e85698da525db8bde8dda04b8547a29af,dec,2017,heat,auto,Elk Grove,729.2857142857143,730.0,730.0,5.0,False,False,False
03ea0b2435023a4cef3f18eeaad6a4fa292685da,dec,2017,cool,hold,Costa Mesa,742.6176470588235,787.3529411764706,783.2352941176471,0.0,False,False,True
03ea923a74ba3312b5fb97a40c9eeef555c99bd3,dec,2017,auto,auto,San Marcos,650.6440677966102,750.0,643.7457627118644,20.0,False,False,False
03ea923a74ba3312b5fb97a40c9eeef555c99bd3,dec,2017,auto,hold,San Marcos,664.6465863453815,750.0,650.8445209409065,20.0,False,False,False
03feb11515afd5b592bea328e4e4bff26c401dc1,dec,2017,heat,auto,Carmicheal,610.8333333333334,640.0,640.0,65.0,False,False,False
03feb11515afd5b592bea328e4e4bff26c401dc1,dec,2017,heat,hold,Carmicheal,617.0,660.0,660.0,65.0,False,False,False
04068c3131418a3b35fa732686f9c4400bb16c09,dec,2017,auto,auto,Inglewood ,736.7142857142857,789.6071428571429,739.5,15.0,False,False,False
04068c3131418a3b35fa732686f9c4400bb16c09,dec,2017,auto,hold,Inglewood ,738.9901477832512,797.3300492610838,737.3727422003284,15.0,False,False,False
0436664f0b63aec467a3d479c82bffce977f06ac,dec,2017,heat,auto,Fullerton,660.2,660.0,660.0,45.0,False,False,False
0439c76d0f4c126768a0c34ff5eea8c72a1615ff,dec,2017,heat,auto,Mission Viejo,692.8333333333334,683.6666666666666,652.5,20.0,False,False,False
04702848cd1fdf39190a557e1c11e53e83193655,dec,2017,heat,auto,san diego,710.1153846153846,723.7692307692307,723.7692307692307,0.0,False,False,False
04702848cd1fdf39190a557e1c11e53e83193655,dec,2017,heat,hold,san diego,699.8481012658228,710.5253164556962,710.5253164556962,0.0,False,False,False
04bfc5e4ae63977d3f3fc3922efbfde97dee2737,dec,2017,heat,auto,Morgan Hill,741.0416666666666,736.2916666666666,732.5833333333334,20.0,False,False,False
04bfc5e4ae63977d3f3fc3922efbfde97dee2737,dec,2017,heat,hold,Morgan Hill,751.96,756.3,755.66,20.0,False,False,False
04d05c15c37cfa1ec8af6bb5f6f94d0145868439,dec,2017,heat,hold,Temecula,675.0,733.0,691.0,0.0,False,False,False
04d195bbbb7f85d61f4a57264d883faadc56409e,dec,2017,heat,auto,Danville,707.1666666666666,707.125,700.1388888888889,0.0,False,False,False
04d195bbbb7f85d61f4a57264d883faadc56409e,dec,2017,heat,hold,Danville,707.2333333333333,699.4666666666667,688.9666666666667,0.0,False,False,False
