Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
002aab87db1d9e8ce470f80f23c97c59de5f4dcd,jul,2017,cool,hold,San Marcos,765.90625,767.125,749.7083333333334,15.0,False,False,False
0050d013d4928f706c90379b28f9ab257178f1a8,jul,2017,cool,auto,Dublin,743.3831168831168,820.0,620.0,5.0,False,False,False
0050d013d4928f706c90379b28f9ab257178f1a8,jul,2017,heat,auto,Dublin,759.3684210526316,820.0,620.0,5.0,False,False,False
0075eea4247684839bc4386d5fc5d3abd60f8290,jul,2017,auto,hold,Irvine,786.5277777777778,809.7777777777778,759.5,45.0,False,False,False
0075eea4247684839bc4386d5fc5d3abd60f8290,jul,2017,cool,hold,Irvine,768.6666666666666,770.0,770.0,45.0,False,False,False
007f930abce4596b2214cd79a09714b3d482e17d,jul,2017,cool,auto,Escondido,770.43,780.0,630.0,0.0,False,False,False
00c938e5bb1d705eaabfe9e555bc0e4f5f3c9c57,jul,2017,cool,auto,Agoura Hills,733.5,735.8657243816255,721.7402826855124,0.0,False,False,False
00c938e5bb1d705eaabfe9e555bc0e4f5f3c9c57,jul,2017,cool,hold,Agoura Hills,747.7645788336933,758.1673866090713,751.8488120950324,0.0,False,False,False
011a3a848fc01f4c48aa395ef3c25b9bebb16f3f,jul,2017,auto,auto,San Jose,718.3571428571429,740.0,667.6190476190476,50.0,False,False,False
011a3a848fc01f4c48aa395ef3c25b9bebb16f3f,jul,2017,cool,auto,San Jose,729.5718257645968,734.8656163113994,680.2873030583874,50.0,False,False,False
011a3a848fc01f4c48aa395ef3c25b9bebb16f3f,jul,2017,cool,hold,San Jose,729.4444444444445,733.3333333333334,733.3333333333334,50.0,False,False,False
015e4540eb7835c2fc0cde841e0546395e3cec9f,jul,2017,cool,auto,Hemet,769.6977463543968,773.3870967741935,724.3672116659302,0.0,False,False,False
015e4540eb7835c2fc0cde841e0546395e3cec9f,jul,2017,cool,hold,Hemet,779.030303030303,780.0,780.0,0.0,False,False,False
01b4f18ec0e7c8d8895952fd4636932560cf4496,jul,2017,auto,auto,Lakeside,780.3333333333334,770.0,720.0,0.0,False,False,False
01b4f18ec0e7c8d8895952fd4636932560cf4496,jul,2017,auto,hold,Lakeside,789.0645161290323,780.0,720.0,0.0,False,False,False
01c8c49862ecf5bd305f1f260fe4a73509f78074,jul,2017,cool,auto,San Jose,749.125,750.0,680.0,25.0,False,False,False
01d3952f43226283917c53caa6874e0144eca077,jul,2017,cool,auto,Altadena,742.8974358974359,786.6,756.5641025641025,0.0,False,False,False
01d3952f43226283917c53caa6874e0144eca077,jul,2017,cool,hold,Altadena,757.421052631579,770.021052631579,769.9052631578948,0.0,False,False,False
01eaf53770fd2e355ef79b5af41bc35a7794e438,jul,2017,auto,hold,san marcos,758.3164556962025,792.2658227848101,669.620253164557,0.0,False,False,False
01ffc707fa1fd3bf1ddb8084ff1faf5c7b89fea4,jul,2017,auto,hold,San Bernardino,767.0857142857143,772.5714285714286,670.0,10.0,False,False,False
020a1852120401700f9704d4ba6e2da8bb1a0626,jul,2017,auto,auto,Concord,723.3312990409764,737.8570183086313,674.5422842197036,35.0,False,False,False
020a1852120401700f9704d4ba6e2da8bb1a0626,jul,2017,auto,hold,Concord,725.4182424916575,745.3103448275862,683.6929922135706,35.0,False,False,False
021dd84ed60550be4cb9c8d594c3f946a93129eb,jul,2017,cool,auto,Tustin,744.5698529411765,750.2169117647059,747.2738970588235,0.0,True,False,False
021dd84ed60550be4cb9c8d594c3f946a93129eb,jul,2017,cool,hold,Tustin,739.6666666666666,743.3717948717949,743.3717948717949,0.0,True,False,False
025b3b608089c7b2c95f0a505a6d7c9a3fbbe72a,jul,2017,cool,hold,Sunnyvale,775.0833333333334,819.3455284552846,789.2540650406504,55.0,False,False,False
02aaf13ffe56ab2465a4ded7c7b2269bf74bbc89,jul,2017,heat,hold,Mill Valley,684.5652173913044,653.3913043478261,612.0869565217391,55.0,False,False,False
02d989b2b2dcb0bcda954eee4df9d4603c23a674,jul,2017,auto,hold,Moorpark,750.9782608695652,750.5434782608696,680.0,20.0,False,False,False
02d989b2b2dcb0bcda954eee4df9d4603c23a674,jul,2017,cool,hold,Moorpark,744.4811320754717,741.566037735849,733.9433962264151,20.0,False,False,False
0347620ce6172307a7a1314d392a692ea4ee94cd,jul,2017,cool,hold,Beverly Hills,765.723076923077,767.5671794871795,767.5671794871795,10.0,False,False,False
0355ccbbe86c1b9dffd087140a35865bf46391a4,jul,2017,auto,hold,escondido,806.0,779.0,707.0,0.0,False,False,False
0355ccbbe86c1b9dffd087140a35865bf46391a4,jul,2017,cool,hold,escondido,777.3272727272728,768.4181818181818,767.7636363636364,0.0,False,False,False
0358e6afea955b9dfe2aa8f6631f41ffeed4e548,jul,2017,cool,auto,Rocklin,782.8521126760563,783.8943661971831,682.8169014084507,25.0,False,False,False
0358e6afea955b9dfe2aa8f6631f41ffeed4e548,jul,2017,cool,hold,Rocklin,787.3492063492064,793.3412698412699,782.9047619047619,25.0,False,False,False
03748def2a4830a8e65994e1434780586190bc2c,jul,2017,auto,hold,Redwood City,689.8754578754579,710.0,620.0,5.0,False,False,False
037b38271f24a5833f53c774cef670c9e916f3db,jul,2017,auto,hold,Fair Oaks,760.9145299145299,760.0,700.0,15.0,False,False,False
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,jul,2017,auto,auto,Los Angeles,742.8815789473684,742.8815789473684,669.9736842105264,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,jul,2017,auto,hold,Los Angeles,728.05,720.0,670.0,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,jul,2017,cool,auto,Los Angeles,726.7280575539569,724.0374100719424,691.9093525179857,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,jul,2017,cool,hold,Los Angeles,715.0246913580247,713.2172839506172,713.2913580246914,20.0,False,False,True
03d7368e85698da525db8bde8dda04b8547a29af,jul,2017,cool,auto,Elk Grove,783.5454545454545,790.0,790.0,5.0,False,False,False
03d7368e85698da525db8bde8dda04b8547a29af,jul,2017,cool,hold,Elk Grove,773.3434343434343,796.371492704826,789.8945005611672,5.0,False,False,False
03e545e3e81f93c343dcad1245cab0aeab53ea47,jul,2017,auto,auto,Santee,787.0,836.0,610.0,0.0,False,False,False
03ea0b2435023a4cef3f18eeaad6a4fa292685da,jul,2017,cool,hold,Costa Mesa,747.4642857142857,709.1785714285714,708.7738095238095,0.0,False,False,True
03ea923a74ba3312b5fb97a40c9eeef555c99bd3,jul,2017,auto,auto,San Marcos,764.13074204947,768.1236749116608,640.0,20.0,False,False,False
03ea923a74ba3312b5fb97a40c9eeef555c99bd3,jul,2017,auto,hold,San Marcos,756.6538641686183,758.4913348946136,646.576112412178,20.0,False,False,False
03feb11515afd5b592bea328e4e4bff26c401dc1,jul,2017,cool,hold,Carmicheal,779.275,802.225,780.4416666666667,65.0,False,False,False
04068c3131418a3b35fa732686f9c4400bb16c09,jul,2017,auto,auto,Inglewood ,799.0,780.0,730.0,15.0,False,False,False
04068c3131418a3b35fa732686f9c4400bb16c09,jul,2017,auto,hold,Inglewood ,783.5192307692307,779.9375,725.9182692307693,15.0,False,False,False
0436664f0b63aec467a3d479c82bffce977f06ac,jul,2017,cool,auto,Fullerton,759.7414772727273,759.9971590909091,689.1477272727273,45.0,False,False,False
04b626ce88cbaf46a1edff16549b95362037e8a0,jul,2017,auto,hold,Altadena,768.4444444444445,782.5,692.5,60.0,False,False,False
04bfc5e4ae63977d3f3fc3922efbfde97dee2737,jul,2017,cool,auto,Morgan Hill,812.5,800.0,720.0,20.0,False,False,False
04d195bbbb7f85d61f4a57264d883faadc56409e,jul,2017,auto,auto,Danville,766.9,770.0,700.0,0.0,False,False,False
04d195bbbb7f85d61f4a57264d883faadc56409e,jul,2017,auto,hold,Danville,742.5753424657535,735.7123287671233,685.5890410958904,0.0,False,False,False
04e42ee5b73c373c54edc4a4d6e6d856f7e4f55b,jul,2017,auto,auto,Sacramento,769.8214285714286,777.9642857142857,668.0714285714286,20.0,False,False,False
04f4de51e2bf33f7a4cfa530714a9d9f62959d4e,jul,2017,cool,auto,Murrieta,742.0,744.5,760.0,37.0,False,False,False
04f4de51e2bf33f7a4cfa530714a9d9f62959d4e,jul,2017,cool,hold,Murrieta,757.5353260869565,758.7432065217391,758.3763586956521,37.0,False,False,False
0516d048f21c2651081529a74cc44943e59f0f2a,jul,2017,heat,hold,Fremont,755.375,753.75,753.75,0.0,True,False,False
0534e3f11baa84b520f12a17522b34d44195043c,jul,2017,cool,auto,San Diego,710.9047619047619,710.0,700.0,15.0,False,False,False
05357714764ca37ffd337a5925204b56b9a8ae84,jul,2017,cool,auto,Escondido,799.5238095238095,815.7142857142857,781.4285714285714,5.0,False,False,False
05357714764ca37ffd337a5925204b56b9a8ae84,jul,2017,cool,hold,Escondido,791.1666666666666,770.0,770.0,5.0,False,False,False
057934fd6e70b526d9cf2d1424352791c7b906d3,jul,2017,auto,hold,Milpitas,784.3125,810.15625,698.96875,5.0,False,False,False
0589b0baa97c713a48deff528dd7de54636dff14,jul,2017,cool,auto,Poway,785.5925925925926,784.0370370370371,672.0,50.0,False,False,False
0589b0baa97c713a48deff528dd7de54636dff14,jul,2017,cool,hold,Poway,759.4782608695652,765.9565217391304,764.9130434782609,50.0,False,False,False
058c6184f8d736111f57f310c3d41530f4e4e722,jul,2017,auto,auto,Three Rivers,762.056179775281,753.1123595505618,669.2696629213483,60.0,False,False,False
058c6184f8d736111f57f310c3d41530f4e4e722,jul,2017,auto,hold,Three Rivers,768.2350746268656,759.5270522388059,669.8274253731344,60.0,False,False,False
0595e13b02b4ece518de6c48e7e8a65092fa3d4d,jul,2017,cool,auto,Chico,781.0,790.0,650.0,66.0,False,False,False
0595e13b02b4ece518de6c48e7e8a65092fa3d4d,jul,2017,cool,hold,Chico,756.0869565217391,762.304347826087,730.0,66.0,False,False,False
05b9cb90c1574de9c724cc3ff4267319748bc103,jul,2017,cool,hold,San dimas,775.0693739424704,777.906937394247,777.906937394247,0.0,True,False,False
05c510915e040427b426794016e0ea61e891bb58,jul,2017,heat,auto,Huntington Beach,752.4166666666666,780.0,680.0,40.0,False,False,False
05c510915e040427b426794016e0ea61e891bb58,jul,2017,heat,hold,Huntington Beach,756.8466257668712,780.0,680.0,40.0,False,False,False
061a5d57c28fd9797dd66b6f038204eb7f45faa1,jul,2017,heat,auto,San Francisco,708.2884615384615,710.0,710.0,16.0,False,False,False
063f6642be8af269543a74376615a82e6e185c69,jul,2017,cool,auto,Canyon Country,799.493119266055,800.7018348623853,690.197247706422,30.0,False,False,False
063f6642be8af269543a74376615a82e6e185c69,jul,2017,cool,hold,Canyon Country,815.8214285714286,780.0,780.0,30.0,False,False,False
06463d612438164e41df36e2ecbfe3ca149baea4,jul,2017,cool,hold,Yorba Linda,790.3308157099698,789.8141993957704,787.5936555891238,10.0,False,False,False
068a3374bff262649a0b581cbd16af85f0542741,jul,2017,auto,hold,Costa Mesa,769.5,725.1428571428571,683.2857142857143,0.0,False,False,True
068a3374bff262649a0b581cbd16af85f0542741,jul,2017,cool,hold,Costa Mesa,757.1739130434783,750.0,750.0,0.0,False,False,True
069f91121b068b50c5b325be0d00de0805695d5d,jul,2017,cool,auto,Sacramento,787.1938775510204,798.9795918367347,790.0,0.0,False,False,False
069f91121b068b50c5b325be0d00de0805695d5d,jul,2017,cool,hold,Sacramento,798.6200873362445,803.7554585152839,789.9868995633187,0.0,False,False,False
06c0f9a077cc147bd91faa10578ebbfe1d5db21f,jul,2017,heat,auto,San Francisco,689.6666666666666,693.6,689.2,90.0,False,False,False
06c0f9a077cc147bd91faa10578ebbfe1d5db21f,jul,2017,heat,hold,San Francisco,677.8235294117648,680.0,680.0,90.0,False,False,False
071a51e97863485d1db749f2a68bf57b619cba1f,jul,2017,auto,hold,Irvine,779.2216981132076,778.9150943396227,650.0,40.0,False,False,False
0722d8c9c144b0040b5b3e2382cf41a73fd0630e,jul,2017,cool,auto,Glendale,759.9909784871617,761.3851492019431,751.323386537127,45.0,False,False,False
0722d8c9c144b0040b5b3e2382cf41a73fd0630e,jul,2017,cool,hold,Glendale,758.7488934789023,760.4148716435527,760.4131012097964,45.0,False,False,False
0722e68ca3aed77d06eca76c35dcb9307479db41,jul,2017,cool,auto,Yuba City,730.5141242937854,728.6440677966102,680.0,10.0,False,False,False
0722e68ca3aed77d06eca76c35dcb9307479db41,jul,2017,cool,hold,Yuba City,738.670474516696,738.9367311072057,680.0,10.0,False,False,False
0755977d8e8e599c3df0f88caf23d4a97a180efb,jul,2017,auto,auto,East Palo Alto,722.6358974358974,740.0,640.0,0.0,False,False,False
0755977d8e8e599c3df0f88caf23d4a97a180efb,jul,2017,auto,hold,East Palo Alto,717.7519723865878,738.0241617357002,640.0,0.0,False,False,False
0757cc686be23619ccc5a18e4ae1975e30172c61,jul,2017,auto,auto,San Diego,774.0,808.0,704.0,17.0,False,False,False
075f8d2fd44f32f8567d0c5b4fc5bfff233a07f6,jul,2017,cool,auto,San Diego,754.0588235294117,750.0,720.0,15.0,False,False,False
075f8d2fd44f32f8567d0c5b4fc5bfff233a07f6,jul,2017,cool,hold,San Diego,743.1390374331551,741.2994652406417,740.75935828877,15.0,False,False,False
0767a0ec65a9ab127d5135aa2ec92f62ec9c54eb,jul,2017,cool,auto,Buena Park,773.2553191489362,774.5354609929078,736.2730496453901,60.0,False,False,False
0767a0ec65a9ab127d5135aa2ec92f62ec9c54eb,jul,2017,cool,hold,Buena Park,764.8658088235294,764.3627450980392,764.3498774509804,60.0,False,False,False
07a9f6fe101330e2f5d9e3ce7edd8866f9c1f088,jul,2017,auto,auto,Castro Valley,740.6176470588235,760.9882352941177,688.7470588235294,55.0,True,False,False
07a9f6fe101330e2f5d9e3ce7edd8866f9c1f088,jul,2017,auto,hold,Castro Valley,731.8018433179724,757.9216589861751,687.6451612903226,55.0,True,False,False
07a9f6fe101330e2f5d9e3ce7edd8866f9c1f088,jul,2017,heat,hold,Castro Valley,729.0,780.0,780.0,55.0,True,False,False
07e1d4139d075831aeb06ec4afaf45915254402e,jul,2017,auto,auto,Lemoore,746.8305084745763,746.7118644067797,696.7099811676082,5.0,False,False,False
07e1d4139d075831aeb06ec4afaf45915254402e,jul,2017,auto,hold,Lemoore,751.3878787878788,751.2181818181818,685.0,5.0,False,False,False
07ed43bb8770fc3d1cf1f7dbb1398a870be984a9,jul,2017,cool,auto,Tracy,741.86,741.6,728.4,5.0,False,False,False
07ed43bb8770fc3d1cf1f7dbb1398a870be984a9,jul,2017,cool,hold,Tracy,747.8245614035088,747.1244019138755,747.1244019138755,5.0,False,False,False
080d0c01049ab73045bc2ee8347f6da21c5b20ac,jul,2017,cool,auto,Downey,766.3025477707006,769.5700636942676,708.296178343949,10.0,False,False,False
080d0c01049ab73045bc2ee8347f6da21c5b20ac,jul,2017,cool,hold,Downey,758.32,752.48,751.06,10.0,False,False,False
081dc2f2b8be8a044c6e6ebe6401abcc65d4d901,jul,2017,cool,auto,San Diego,767.7241379310345,768.448275862069,700.0,60.0,False,False,False
081dc2f2b8be8a044c6e6ebe6401abcc65d4d901,jul,2017,cool,hold,San Diego,758.6518518518518,760.4592592592593,760.4,60.0,False,False,False
08403d1605b59c8f08ef178ca7b6bd78f846c40c,jul,2017,cool,auto,Manteca,765.0,770.0,697.0,10.0,False,False,False
08403d1605b59c8f08ef178ca7b6bd78f846c40c,jul,2017,cool,hold,Manteca,742.3576642335767,736.4014598540145,736.4014598540145,10.0,False,False,False
