Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00036e2921e77921dc23f39cecd8ef0ef80ba076,jun,2020,auto,auto,Indio,746.875,741.2179487179487,661.1217948717949,10.0,False,False,False
00036e2921e77921dc23f39cecd8ef0ef80ba076,jun,2020,auto,hold,Indio,793.6738075990299,794.9397736459175,683.7182700080841,10.0,False,False,False
0007af61e41e5121b78d434fbe95d99398501ef7,jun,2020,auto,auto,Chula Vista,716.1727272727272,737.6045454545455,670.9772727272727,10.0,False,False,False
0007af61e41e5121b78d434fbe95d99398501ef7,jun,2020,auto,hold,Chula Vista,723.5181518151816,762.9042904290429,678.9339933993399,10.0,False,False,False
0029564391031ecb03549e6389960db4eed71126,jun,2020,cool,auto,San Gabriel,757.4615384615385,760.0,760.0,90.0,False,False,False
003c7c5fc34817995cad1248e186ffb5b73b4684,jun,2020,cool,auto,Campbell,730.7788461538462,735.0,735.0,30.0,False,False,False
003c7c5fc34817995cad1248e186ffb5b73b4684,jun,2020,cool,hold,Campbell,726.2433862433862,738.4716553287982,738.4716553287982,30.0,False,False,False
0050d013d4928f706c90379b28f9ab257178f1a8,jun,2020,cool,auto,Dublin,757.2545454545455,803.4545454545455,713.1515151515151,5.0,False,False,False
0050d013d4928f706c90379b28f9ab257178f1a8,jun,2020,cool,hold,Dublin,760.4705882352941,762.4705882352941,754.2352941176471,5.0,False,False,False
00556fd65d31815451b3e403ffe2a165b364d02d,jun,2020,auto,auto,Temecula,690.3092783505155,756.2268041237113,631.9587628865979,30.0,False,False,False
00556fd65d31815451b3e403ffe2a165b364d02d,jun,2020,auto,hold,Temecula,735.0,710.0,640.0,30.0,False,False,False
0089fb2e5ca39559947d1b7fc10f8d67ab4303e8,jun,2020,cool,hold,Los Angeles,719.6666666666666,720.3,720.3,9.0,True,False,False
009baa994d9795c7e39e208aa628abb0007aefda,jun,2020,heat,hold,Oakland,696.904,701.072,701.072,50.0,False,False,False
009e91eaed297a685d53a6a82b63ab2123750dc8,jun,2020,cool,hold,Anaheim,763.1395348837209,773.953488372093,742.7906976744187,0.0,False,False,False
00a06209379817b654d37512f68cc756329eb0a0,jun,2020,auto,auto,Lake Arrowhead,690.7564102564103,717.5,620.0,20.0,False,False,False
00a06209379817b654d37512f68cc756329eb0a0,jun,2020,auto,hold,Lake Arrowhead,699.0726495726495,700.0,620.0,20.0,False,False,False
00b030653b8158eae4f7feffc67f4fb42a6899ba,jun,2020,auto,hold,Irvine,720.0,840.0,660.0,15.0,False,False,False
00bad7f9408db26593516e8b8a708b10e8a0f515,jun,2020,cool,auto,Redding,790.9807692307693,801.6666666666666,740.0,0.0,False,False,True
00bad7f9408db26593516e8b8a708b10e8a0f515,jun,2020,cool,hold,Redding,801.6538461538462,800.0,740.0,0.0,False,False,True
00e1c2ad9d177ed8a119344b8b39812979bbe924,jun,2020,cool,hold,Sacramento,706.4090909090909,714.1818181818181,714.1818181818181,69.0,False,False,False
00e3c748cac23304a3fe41c3903687e83e022386,jun,2020,auto,auto,santa rosa,717.6838966202783,770.0994035785288,659.9602385685885,30.0,False,False,False
00f8ad70e9bf056659652695e25e815fbc43c6ef,jun,2020,cool,auto,Fontana,758.2672413793103,819.8146551724138,640.4741379310345,30.0,True,False,False
00f8ad70e9bf056659652695e25e815fbc43c6ef,jun,2020,cool,hold,Fontana,746.529296875,764.9521484375,761.330078125,30.0,True,False,False
01045029f21bbf0e829dda0eb1c9d271212150ce,jun,2020,auto,auto,San Jose,761.2733333333333,779.3511111111111,720.6755555555555,45.0,False,False,False
01045029f21bbf0e829dda0eb1c9d271212150ce,jun,2020,auto,hold,San Jose,747.5854748603352,774.0256983240223,712.4648044692738,45.0,False,False,False
0122c1799a215d38a2bacfa518a04785c1548872,jun,2020,cool,hold,Chico,781.7765957446809,797.6595744680851,789.7925531914893,0.0,False,False,False
0142dde570bb3182d3b1af728803a834908a4a9f,jun,2020,cool,auto,Yountville,693.4825870646766,795.0149253731344,730.0,60.0,False,False,False
0142dde570bb3182d3b1af728803a834908a4a9f,jun,2020,cool,hold,Yountville,698.2657407407407,787.7870370370371,730.0,60.0,False,False,False
015e4540eb7835c2fc0cde841e0546395e3cec9f,jun,2020,cool,auto,Hemet,726.0582750582751,730.5920745920746,730.00777000777,0.0,False,False,False
016c1312334de8dc0f093fa6a322b43c33a21782,jun,2020,cool,hold,Escondido,756.75,750.0,750.0,38.0,False,False,False
0177dc89f1763f47b10f0e9e9f04809bf7b5ecf1,jun,2020,auto,hold,Elk Grove,730.4,708.4,651.4,20.0,True,False,True
017af9bf1f4853d2bac2cf4634ceacf3151b3048,jun,2020,auto,auto,Sacramento,719.8111888111888,773.1118881118881,641.3986013986014,60.0,False,False,False
017af9bf1f4853d2bac2cf4634ceacf3151b3048,jun,2020,auto,hold,Sacramento,736.4271988174427,770.4915003695492,653.5476718403547,60.0,False,False,False
018b9032f66b15cabd0df93e5fc728398c1a4030,jun,2020,auto,auto,Santa Ana,714.9728601252609,708.6931106471816,639.5052192066806,60.0,True,False,False
018b9032f66b15cabd0df93e5fc728398c1a4030,jun,2020,auto,hold,Santa Ana,711.7752808988764,708.5,640.1516853932584,60.0,True,False,False
018b9032f66b15cabd0df93e5fc728398c1a4030,jun,2020,cool,auto,Santa Ana,690.5,630.0,640.0,60.0,True,False,False
018ea52eaceb3ff518cb9481520719614694de8a,jun,2020,cool,auto,Loma Linda,757.4242424242424,750.0,750.0,35.0,False,False,False
01c8c49862ecf5bd305f1f260fe4a73509f78074,jun,2020,cool,hold,San Jose,675.2380952380952,750.0,750.0,25.0,False,False,False
01e30b9b2309e2408d9e8d00918f8d17f3fcde48,jun,2020,cool,hold,San Jose,687.2758620689655,725.6781609195402,725.6781609195402,60.0,False,False,False
01eaf53770fd2e355ef79b5af41bc35a7794e438,jun,2020,auto,auto,san marcos,728.6946107784431,780.0,680.0,0.0,False,False,False
01ffc707fa1fd3bf1ddb8084ff1faf5c7b89fea4,jun,2020,auto,hold,San Bernardino,760.1666666666666,760.0,700.0,10.0,False,False,False
0201981806742e638c21221fcb336724e689a7af,jun,2020,auto,auto,Walnut Creek,703.4644808743169,709.5628415300547,620.0,90.0,True,False,False
0201981806742e638c21221fcb336724e689a7af,jun,2020,auto,hold,Walnut Creek,699.0492610837439,712.44061302682,620.0,90.0,True,False,False
0204c73c8e8e2d2c07d74ee54150f5d328ad8358,jun,2020,auto,hold,Thousand Oaks,762.875,747.625,630.0,30.0,False,False,False
020a1852120401700f9704d4ba6e2da8bb1a0626,jun,2020,auto,auto,Concord,691.3009950248756,710.0,660.0,35.0,False,False,False
0235a1b3dcf61665d3dd236bee52ed20bd723db6,jun,2020,cool,auto,San Clemente,709.4689203925846,718.7131952017448,721.2649945474373,18.0,False,False,False
0235a1b3dcf61665d3dd236bee52ed20bd723db6,jun,2020,cool,hold,San Clemente,700.740777666999,716.4885343968095,716.4885343968095,18.0,False,False,False
02371fe644cf7d3553cf1ed2020cd9168d572fe3,jun,2020,auto,auto,Riverbank,752.3061224489796,755.5578231292517,670.0,17.0,False,False,False
02371fe644cf7d3553cf1ed2020cd9168d572fe3,jun,2020,auto,hold,Riverbank,736.7948369565217,760.8967391304348,668.9402173913044,17.0,False,False,False
023a883ddaa4d1adda663bbb56a81dbfda53a65a,jun,2020,auto,hold,Orange,771.0,800.0,690.0,40.0,False,False,False
023a883ddaa4d1adda663bbb56a81dbfda53a65a,jun,2020,cool,auto,Orange,771.3888888888889,780.0,690.0,40.0,False,False,False
023a883ddaa4d1adda663bbb56a81dbfda53a65a,jun,2020,cool,hold,Orange,726.5657894736842,780.0,780.0,40.0,False,False,False
0249ee50457d32faadecd5c21562820d060b1c28,jun,2020,cool,auto,Aliso Viejo,744.125,745.0,741.875,25.0,False,False,False
0249ee50457d32faadecd5c21562820d060b1c28,jun,2020,cool,hold,Aliso Viejo,730.9047619047619,730.6190476190476,727.5238095238095,25.0,False,False,False
025b3b608089c7b2c95f0a505a6d7c9a3fbbe72a,jun,2020,cool,hold,Sunnyvale,752.7824175824176,818.5428571428571,788.9289377289377,55.0,False,False,False
0287ef9756b69dcab8e8c12050ccfba0b2ca14be,jun,2020,cool,hold,Los Angeles,747.0466409927258,772.4505776636714,772.4505776636714,0.0,False,False,False
0293dab92f11032fc9efec0463929d3046635051,jun,2020,auto,hold,San Jose,773.4,800.0,700.0,10.0,False,False,False
0298be22f66edc3f394bb5cd12d84bba97c9d573,jun,2020,cool,hold,Palmdale,730.1315789473684,745.2894736842105,742.6315789473684,17.0,False,False,False
029b35b634b06b26cbd002a5652c1ca839eb0716,jun,2020,auto,auto,San Miguel,753.0,745.0,680.0,20.0,False,False,False
029b35b634b06b26cbd002a5652c1ca839eb0716,jun,2020,auto,hold,San Miguel,746.3333333333334,763.0,680.0,20.0,False,False,False
029b35b634b06b26cbd002a5652c1ca839eb0716,jun,2020,cool,auto,San Miguel,755.8756218905472,786.3283582089553,655.0049751243781,20.0,False,False,False
029b35b634b06b26cbd002a5652c1ca839eb0716,jun,2020,cool,hold,San Miguel,754.74,775.0,775.0,20.0,False,False,False
02a6bed0101010abdd4151f5f2588d9b68506978,jun,2020,auto,hold,Monte Sereno,734.830985915493,722.5704225352113,664.5,30.0,False,False,False
02a6bed0101010abdd4151f5f2588d9b68506978,jun,2020,cool,hold,Monte Sereno,738.5689655172414,738.5172413793103,736.2758620689655,30.0,False,False,False
02aaf13ffe56ab2465a4ded7c7b2269bf74bbc89,jun,2020,heat,auto,Mill Valley,674.7272727272727,653.8181818181819,641.1818181818181,55.0,False,False,False
02b4edfb74b20aa5dbbf0270babdbca53f931817,jun,2020,cool,auto,Hanford,781.6197183098592,786.6901408450705,739.5774647887324,40.0,False,False,False
02b4edfb74b20aa5dbbf0270babdbca53f931817,jun,2020,cool,hold,Hanford,782.7090301003344,782.5384615384615,723.989966555184,40.0,False,False,False
02d989b2b2dcb0bcda954eee4df9d4603c23a674,jun,2020,cool,hold,Moorpark,738.3023255813954,734.7674418604652,733.8372093023256,20.0,False,False,False
02db724dedf4ec0313f17fa25ac9fc22bf507a74,jun,2020,cool,hold,Long Beach,734.5959595959596,739.6313131313132,739.6313131313132,90.0,False,False,True
02eee8c04b08011d285cb3d43fb9f5ece816b5aa,jun,2020,cool,auto,Santa Clara,765.4193548387096,760.0,760.0,10.0,True,False,False
030df46ad33c726bb559bab1f67c18b2f10f9695,jun,2020,cool,auto,Fair Oaks,742.6504723346828,753.3211875843455,730.0917678812416,0.0,False,False,False
030df46ad33c726bb559bab1f67c18b2f10f9695,jun,2020,cool,hold,Fair Oaks,741.448275862069,740.0689655172414,740.0344827586207,0.0,False,False,False
0343e7b5d48f8bd2bda966b8e13ce50d2336b987,jun,2020,cool,auto,Irvine,721.3076923076923,740.0,740.0,0.0,False,False,False
0344218907f4be05e640073ee9607e4ad67e2e14,jun,2020,auto,auto,Kenwood,706.4678899082569,712.9633027522935,669.6238532110092,9.0,True,False,False
0344218907f4be05e640073ee9607e4ad67e2e14,jun,2020,auto,hold,Kenwood,713.6290322580645,728.983870967742,692.7903225806451,9.0,True,False,False
0347620ce6172307a7a1314d392a692ea4ee94cd,jun,2020,cool,hold,Beverly Hills,764.6578947368421,759.9736842105264,759.9736842105264,10.0,False,False,False
0355ccbbe86c1b9dffd087140a35865bf46391a4,jun,2020,cool,hold,escondido,731.775,780.0,780.0,0.0,False,False,False
0358e6afea955b9dfe2aa8f6631f41ffeed4e548,jun,2020,auto,hold,Rocklin,779.7094017094017,779.0683760683761,680.0,25.0,False,False,False
035de2542d954262537b9597034ab616225bd306,jun,2020,cool,auto,Corona,744.5555555555555,738.4888888888889,685.2,15.0,False,False,False
0371398253431068faac30f3274863ec57fdd9ca,jun,2020,cool,auto,Rancho Santa Fe,699.6086956521739,740.0,715.0,40.0,False,False,True
03748def2a4830a8e65994e1434780586190bc2c,jun,2020,cool,hold,Redwood City,676.0106382978723,680.3829787234042,679.7127659574468,5.0,False,False,False
0375503ae2bbba728595766add04046002e340b1,jun,2020,cool,auto,Apple Valley,761.8543046357615,782.0264900662252,772.2450331125827,10.0,False,False,False
0375503ae2bbba728595766add04046002e340b1,jun,2020,cool,hold,Apple Valley,762.7356770833334,766.3723958333334,764.4791666666666,10.0,False,False,False
037a216cb4e4e0ebfa2c019fc47358a56f5b2cb1,jun,2020,auto,auto,Campbell,736.0,747.0,615.0,0.0,False,False,False
037a216cb4e4e0ebfa2c019fc47358a56f5b2cb1,jun,2020,auto,hold,Campbell,713.25,760.0,680.0,0.0,False,False,False
037b38271f24a5833f53c774cef670c9e916f3db,jun,2020,auto,auto,Fair Oaks,744.9305555555555,760.0,710.0,15.0,False,False,False
037b38271f24a5833f53c774cef670c9e916f3db,jun,2020,auto,hold,Fair Oaks,782.5555555555555,800.0,720.0,15.0,False,False,False
0385359dd642fe166e57b3329de7fb25312eb9c8,jun,2020,auto,auto,Los Angeles,763.5,770.0,680.0,85.0,False,False,False
0385359dd642fe166e57b3329de7fb25312eb9c8,jun,2020,auto,hold,Los Angeles,759.4,754.6,680.0,85.0,False,False,False
039552ff0cf42c3b450b923cd3c88df31190cb5e,jun,2020,cool,auto,Los Angeles,729.6701030927835,731.9381443298969,731.9381443298969,40.0,False,False,False
039552ff0cf42c3b450b923cd3c88df31190cb5e,jun,2020,cool,hold,Los Angeles,733.3504273504274,736.1213675213676,736.1213675213676,40.0,False,False,False
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,jun,2020,cool,auto,Los Angeles,706.3929824561403,708.3964912280702,708.2210526315789,20.0,False,False,True
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,jun,2020,cool,hold,Los Angeles,676.7631578947369,675.7631578947369,675.7631578947369,20.0,False,False,True
03cd09730c89477bd9a38dc82595c99338986dc9,jun,2020,auto,hold,San Ramon,733.7333333333333,780.0,730.0,15.0,False,False,True
03d357bdb28e8b50c24f7f4662dfa594d68f95c2,jun,2020,cool,auto,Van Nuys,731.1595547309834,757.0983302411873,754.0111317254174,60.0,True,False,False
03d357bdb28e8b50c24f7f4662dfa594d68f95c2,jun,2020,cool,hold,Van Nuys,728.7916666666666,740.8611111111111,740.4861111111111,60.0,True,False,False
03ea0b2435023a4cef3f18eeaad6a4fa292685da,jun,2020,auto,auto,Costa Mesa,716.2727272727273,704.5454545454545,672.7272727272727,0.0,False,False,True
03ea0b2435023a4cef3f18eeaad6a4fa292685da,jun,2020,auto,hold,Costa Mesa,735.306338028169,729.612676056338,694.8732394366198,0.0,False,False,True
03ea0b2435023a4cef3f18eeaad6a4fa292685da,jun,2020,cool,auto,Costa Mesa,728.1627906976744,723.5581395348837,720.0232558139535,0.0,False,False,True
03ea0b2435023a4cef3f18eeaad6a4fa292685da,jun,2020,cool,hold,Costa Mesa,727.65,721.9759259259259,720.6481481481482,0.0,False,False,True
03feb11515afd5b592bea328e4e4bff26c401dc1,jun,2020,cool,auto,Carmicheal,770.8238636363636,825.7386363636364,695.4545454545455,65.0,False,False,False
03feb11515afd5b592bea328e4e4bff26c401dc1,jun,2020,cool,hold,Carmicheal,752.5040322580645,820.983870967742,766.1935483870968,65.0,False,False,False
04068c3131418a3b35fa732686f9c4400bb16c09,jun,2020,auto,auto,Inglewood ,770.7272727272727,760.0,710.0,15.0,False,False,False
04068c3131418a3b35fa732686f9c4400bb16c09,jun,2020,auto,hold,Inglewood ,765.984126984127,762.063492063492,711.436507936508,15.0,False,False,False
041a615295fdf41860994301a71f3b52994a3ae0,jun,2020,cool,auto,San Diego,722.3538461538461,740.0,740.0,9.0,True,False,False
041a615295fdf41860994301a71f3b52994a3ae0,jun,2020,cool,hold,San Diego,745.6276595744681,757.968085106383,757.968085106383,9.0,True,False,False
0436664f0b63aec467a3d479c82bffce977f06ac,jun,2020,cool,auto,Fullerton,711.4444444444445,740.6111111111111,721.0277777777778,45.0,False,False,False
0436664f0b63aec467a3d479c82bffce977f06ac,jun,2020,cool,hold,Fullerton,736.5277777777778,740.0,722.0,45.0,False,False,False
043aa00a35712b6c9ee7af939d207c3278f0090d,jun,2020,cool,auto,Bakersfield,774.4166666666666,770.0,770.0,39.0,True,False,False
043aa00a35712b6c9ee7af939d207c3278f0090d,jun,2020,cool,hold,Bakersfield,760.0757575757576,756.7121212121212,755.8181818181819,39.0,True,False,False
043ed5a707943e3673d88962ea3989ded1407a0b,jun,2020,cool,hold,Elk Grove,747.6046511627907,757.9069767441861,741.1627906976744,15.0,False,False,False
045bf744961809bca41d417e5655eec1c7a54c92,jun,2020,auto,hold,Livermore,706.1904761904761,700.0,650.0,50.0,False,False,False
046eff028da785d98928db0b20a9c45833461d83,jun,2020,auto,auto,San Francisco,681.3962264150944,758.066037735849,684.3867924528302,90.0,False,False,False
046eff028da785d98928db0b20a9c45833461d83,jun,2020,auto,hold,San Francisco,677.4120603015075,751.4070351758794,680.0251256281407,90.0,False,False,False
04702848cd1fdf39190a557e1c11e53e83193655,jun,2020,cool,hold,san diego,691.577519379845,688.796511627907,688.796511627907,0.0,False,False,False
048916e627512170fceaf344c31778872567e7a5,jun,2020,auto,auto,San Diego,760.0,782.0,667.0,40.0,True,False,True
048916e627512170fceaf344c31778872567e7a5,jun,2020,auto,hold,San Diego,766.0540540540541,785.6756756756756,690.0,40.0,True,False,True
04a3013fa6d0eca6828f223889249ca3d34981e9,jun,2020,cool,auto,Los Angeles,679.2459826946848,681.070457354759,681.070457354759,70.0,False,False,False
04a3013fa6d0eca6828f223889249ca3d34981e9,jun,2020,cool,hold,Los Angeles,680.5667324128863,684.6508875739645,684.6508875739645,70.0,False,False,False
04b5414f09cc2705c5f5d78a0f4351e5b0b7312c,jun,2020,cool,auto,Elk Grove,662.7152777777778,661.1694444444445,660.9583333333334,20.0,False,False,False
04b5414f09cc2705c5f5d78a0f4351e5b0b7312c,jun,2020,cool,hold,Elk Grove,671.3312101910828,673.2929936305733,673.0127388535032,20.0,False,False,False
04b626ce88cbaf46a1edff16549b95362037e8a0,jun,2020,auto,auto,Altadena,708.6578947368421,726.9122807017544,674.4473684210526,60.0,False,False,False
04b6d0e6806ac08a66ae8fbf48b5f8dba748eeea,jun,2020,cool,hold,Redding,762.074074074074,760.0185185185185,759.9444444444445,0.0,False,False,False
04d195bbbb7f85d61f4a57264d883faadc56409e,jun,2020,cool,auto,Danville,760.0769230769231,786.1538461538462,774.6153846153846,0.0,False,False,False
04d195bbbb7f85d61f4a57264d883faadc56409e,jun,2020,cool,hold,Danville,727.0353535353536,820.0,790.0,0.0,False,False,False
04f4de51e2bf33f7a4cfa530714a9d9f62959d4e,jun,2020,auto,hold,Murrieta,730.0,774.6666666666666,725.3333333333334,37.0,False,False,False
04f4de51e2bf33f7a4cfa530714a9d9f62959d4e,jun,2020,cool,hold,Murrieta,724.9,739.1866666666666,739.1866666666666,37.0,False,False,False
04f5e65d37ae6ba997a368558c395988f69c0977,jun,2020,cool,auto,Los Angeles,705.9096573208723,701.7850467289719,701.0249221183801,30.0,False,False,True
04f5e65d37ae6ba997a368558c395988f69c0977,jun,2020,cool,hold,Los Angeles,726.9012658227848,726.2455696202531,725.8379746835443,30.0,False,False,True
0505ac00d51ecf55380b5a543fa232227100cc65,jun,2020,auto,hold,Modesto,742.1271186440678,741.3050847457627,678.0,20.0,False,False,False
0505ac00d51ecf55380b5a543fa232227100cc65,jun,2020,cool,auto,Modesto,723.8793969849246,725.7102177554439,725.7068676716918,20.0,False,False,False
0505ac00d51ecf55380b5a543fa232227100cc65,jun,2020,cool,hold,Modesto,731.2527693856999,730.8177240684794,730.4783484390736,20.0,False,False,False
05092036fd87f27ae460a2f697da1ac149657771,jun,2020,cool,auto,Moreno Valley,757.3181818181819,765.4545454545455,695.6818181818181,10.0,False,False,False
05092036fd87f27ae460a2f697da1ac149657771,jun,2020,cool,hold,Moreno Valley,740.5416666666666,750.0,749.0,10.0,False,False,False
050ddbc0be98dee9e6f992ddec7ee85e16b89900,jun,2020,auto,hold,El Dorado Hills,769.2333333333333,800.0,750.0,5.0,False,False,False
050ddbc0be98dee9e6f992ddec7ee85e16b89900,jun,2020,cool,hold,El Dorado Hills,773.0,780.0,780.0,5.0,False,False,False
050f11c65cd6c242ad053f4e24364ab7724095d1,jun,2020,auto,hold,Sunnyvale,699.4,695.2666666666667,645.2666666666667,55.0,False,False,False
0516d048f21c2651081529a74cc44943e59f0f2a,jun,2020,cool,auto,Fremont,759.4545454545455,750.0,760.0,0.0,True,False,False
0516d048f21c2651081529a74cc44943e59f0f2a,jun,2020,cool,hold,Fremont,733.8777777777777,759.2777777777778,759.2777777777778,0.0,True,False,False
0516d048f21c2651081529a74cc44943e59f0f2a,jun,2020,heat,hold,Fremont,752.7115384615385,740.0,740.0,0.0,True,False,False
052ed273410acce0a181a56b50c5fe5119896fcc,jun,2020,auto,hold,San Bernardino,761.8461538461538,729.2307692307693,679.2307692307693,0.0,False,False,False
052ed273410acce0a181a56b50c5fe5119896fcc,jun,2020,cool,auto,San Bernardino,749.6435452793834,763.4296724470134,733.2755298651252,0.0,False,False,False
