Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004666c8518763d5ff5a1b6f9be919899724167e,dec,2018,heat,auto,Denver,690.3148788927335,761.1072664359862,695.3979238754325,10.0,False,False,False
004666c8518763d5ff5a1b6f9be919899724167e,dec,2018,heat,hold,Denver,682.6025641025641,780.0,690.0,10.0,False,False,False
00b9d14bcf27ff6d6e0c30c6f60651c6c8c9ae8b,dec,2018,auto,auto,Aurora,690.3459119496855,739.433962264151,684.7169811320755,17.0,False,False,False
00b9d14bcf27ff6d6e0c30c6f60651c6c8c9ae8b,dec,2018,auto,hold,Aurora,711.5384615384615,710.0,680.0,17.0,False,False,False
0101ed9a523b572e5b256aeeaf9755d4f076d1a0,dec,2018,heat,auto,Golden,638.7058823529412,661.3823529411765,654.9117647058823,20.0,False,False,True
0101ed9a523b572e5b256aeeaf9755d4f076d1a0,dec,2018,heat,hold,Golden,659.7295081967213,669.8524590163935,669.3934426229508,20.0,False,False,True
011a84668067e31b514a0238be88622798e2d625,dec,2018,auto,auto,Colorado Springs,668.780487804878,757.8536585365854,689.9512195121952,40.0,False,False,False
011a84668067e31b514a0238be88622798e2d625,dec,2018,heat,auto,Colorado Springs,684.6,711.6,708.4,40.0,False,False,False
015613c76e394f9017d3600636ee188324e318ca,dec,2018,heat,auto,Parker,696.4292452830189,738.4528301886793,691.5377358490566,15.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,dec,2018,heat,auto,Parker,723.9819563152896,726.8480531813865,724.1500474833808,5.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,dec,2018,heat,hold,Parker,724.6371428571429,728.2485714285714,725.5171428571429,5.0,True,False,False
01a360f934f8ca75dcfe73a3464803102a319439,dec,2018,auto,auto,Denver,701.5713028169014,754.580985915493,702.8195422535211,110.0,False,False,False
01a360f934f8ca75dcfe73a3464803102a319439,dec,2018,auto,hold,Denver,696.2718446601941,753.3118932038835,696.2487864077669,110.0,False,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,dec,2018,auto,auto,Denver,666.993288590604,776.9127516778524,669.0604026845638,27.0,False,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,dec,2018,auto,hold,Denver,685.4009433962265,743.6792452830189,688.3832547169811,27.0,False,False,False
02268c8ef312c50f5ab4204d38797ad98191426f,dec,2018,auto,auto,Westminster,734.741935483871,788.2903225806451,738.083870967742,15.0,False,False,False
02268c8ef312c50f5ab4204d38797ad98191426f,dec,2018,auto,hold,Westminster,731.2972972972973,784.6846846846847,733.072072072072,15.0,False,False,False
023e52c34a45933d9544217fda42e8576721a9c0,dec,2018,auto,auto,Denver,705.3956228956229,735.5555555555555,685.5555555555555,5.0,False,False,False
023e52c34a45933d9544217fda42e8576721a9c0,dec,2018,auto,hold,Denver,703.9444444444445,733.3333333333334,666.6666666666666,5.0,False,False,False
