Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004666c8518763d5ff5a1b6f9be919899724167e,jun,2019,auto,hold,Denver,736.2704081632653,767.7397959183673,643.5714285714286,10.0,False,False,False
00b9d14bcf27ff6d6e0c30c6f60651c6c8c9ae8b,jun,2019,auto,auto,Aurora,690.9738675958188,700.0644599303135,669.9006968641115,17.0,False,False,False
00b9d14bcf27ff6d6e0c30c6f60651c6c8c9ae8b,jun,2019,auto,hold,Aurora,689.7969696969697,700.0,635.3636363636364,17.0,False,False,False
00c7e08e2293d0b15dc56e342a34e7d10ac60742,jun,2019,cool,auto,Thornton,702.4166666666666,700.0,700.0,29.0,True,False,False
00c7e08e2293d0b15dc56e342a34e7d10ac60742,jun,2019,cool,hold,Thornton,738.0,670.0,670.0,29.0,True,False,False
0101ed9a523b572e5b256aeeaf9755d4f076d1a0,jun,2019,cool,auto,Golden,688.9375,688.0833333333334,687.1666666666666,20.0,False,False,True
0101ed9a523b572e5b256aeeaf9755d4f076d1a0,jun,2019,cool,hold,Golden,702.574074074074,696.5277777777778,694.3611111111111,20.0,False,False,True
01065c6f05335e3a2efd903e9df4c61e54f52a6a,jun,2019,auto,auto,Centennial,736.5989515072084,758.0701179554391,644.5465268676278,0.0,True,False,False
01065c6f05335e3a2efd903e9df4c61e54f52a6a,jun,2019,auto,hold,Centennial,756.7585301837271,775.3254593175853,640.0,0.0,True,False,False
015613c76e394f9017d3600636ee188324e318ca,jun,2019,auto,auto,Parker,699.025,740.05,689.95,15.0,True,False,False
015613c76e394f9017d3600636ee188324e318ca,jun,2019,cool,auto,Parker,739.9017857142857,776.1696428571429,679.1696428571429,15.0,True,False,False
015613c76e394f9017d3600636ee188324e318ca,jun,2019,cool,hold,Parker,738.9655172413793,734.4137931034483,734.4137931034483,15.0,True,False,False
015613c76e394f9017d3600636ee188324e318ca,jun,2019,heat,auto,Parker,731.25,780.0,680.0,15.0,True,False,False
015613c76e394f9017d3600636ee188324e318ca,jun,2019,heat,hold,Parker,715.0,781.0,679.0,15.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,jun,2019,cool,hold,Parker,730.26,746.0,745.06,5.0,True,False,False
016982393b0ec18a6b02e713f5605fbf7fcf6f81,jun,2019,heat,hold,Parker,732.0833333333334,715.0833333333334,714.9583333333334,5.0,True,False,False
01a360f934f8ca75dcfe73a3464803102a319439,jun,2019,auto,auto,Denver,719.6315789473684,739.2456140350877,669.7017543859649,110.0,False,False,False
01a360f934f8ca75dcfe73a3464803102a319439,jun,2019,auto,hold,Denver,687.5833333333334,749.5,689.0,110.0,False,False,False
01e9aa448825b0696b4785384811be6dab2eff3a,jun,2019,auto,auto,Denver,735.8621848739496,740.3378151260504,640.6756302521009,27.0,False,False,False
02268c8ef312c50f5ab4204d38797ad98191426f,jun,2019,auto,hold,Westminster,753.8912133891214,747.3933054393306,697.1087866108786,15.0,False,False,False
023e52c34a45933d9544217fda42e8576721a9c0,jun,2019,cool,auto,Denver,720.1205128205128,722.0,707.0,5.0,False,False,False
023e52c34a45933d9544217fda42e8576721a9c0,jun,2019,cool,hold,Denver,720.3717948717949,720.0,720.0,5.0,False,False,False
02740ef13e41d24f568ede7d34a016f6426e74b1,jun,2019,auto,hold,Commerce City,722.4074074074074,747.3251028806584,697.3251028806584,20.0,True,False,False
02740ef13e41d24f568ede7d34a016f6426e74b1,jun,2019,cool,auto,Commerce City,720.5277777777778,710.0,680.0,20.0,True,False,False
02740ef13e41d24f568ede7d34a016f6426e74b1,jun,2019,cool,hold,Commerce City,726.4468085106383,714.936170212766,714.936170212766,20.0,True,False,False
02740ef13e41d24f568ede7d34a016f6426e74b1,jun,2019,heat,hold,Commerce City,719.6633663366337,722.4752475247525,722.4752475247525,20.0,True,False,False
028e8adc42a560d2746f3aa3769148d3dfa6570b,jun,2019,auto,hold,Colorado Springs,709.9,701.375,633.775,15.0,False,False,False
0290d04d667f6b3a2ab2899c48e34f681aac0d46,jun,2019,cool,auto,Thornton,759.5111111111111,755.3333333333334,755.2888888888889,15.0,True,False,False
0290d04d667f6b3a2ab2899c48e34f681aac0d46,jun,2019,cool,hold,Thornton,775.2539682539683,770.0,769.8571428571429,15.0,True,False,False
0290d04d667f6b3a2ab2899c48e34f681aac0d46,jun,2019,heat,hold,Thornton,743.5694444444445,740.3194444444445,739.7083333333334,15.0,True,False,False
02ace11b429b2dd91e15d00e95e74e8de4390f44,jun,2019,auto,auto,Aurora,757.88,740.0,670.0,10.0,True,False,False
0304e75b95d46688ba4adb69afe6ee29ae32f8ee,jun,2019,auto,hold,Erie,736.5208333333334,727.7708333333334,670.0625,5.0,False,False,False
03135b8a61355aea50b4acd81d93b69573343c62,jun,2019,auto,auto,Denver,742.8333333333334,760.0,665.0,18.0,False,False,False
03135b8a61355aea50b4acd81d93b69573343c62,jun,2019,cool,hold,Denver,766.0400641025641,777.7932692307693,771.6394230769231,18.0,False,False,False
03135b8a61355aea50b4acd81d93b69573343c62,jun,2019,heat,hold,Denver,773.3125,690.0,690.0,18.0,False,False,False
0343f667f54b620b6798ff322818c23fe1079b9a,jun,2019,cool,auto,Littleton,712.4117647058823,774.9411764705883,625.7058823529412,35.0,False,False,False
03740b36524299c1559e29a5f6b0db2c7b23bfc7,jun,2019,auto,auto,Denver,723.2259136212624,719.8770764119602,649.9169435215947,5.0,True,False,False
03740b36524299c1559e29a5f6b0db2c7b23bfc7,jun,2019,auto,hold,Denver,699.3874345549738,697.7748691099476,639.0837696335078,5.0,True,False,False
037dffdc6862f2728b9b5ee517df39040bdda9d1,jun,2019,auto,hold,Centennial,769.4285714285714,740.0,680.0,37.0,False,False,False
041ed69ba40e3227bad32376995e44ce3c55d668,jun,2019,cool,hold,Louisville,693.9868131868132,735.7142857142857,735.7142857142857,25.0,False,False,False
0474275b865061b94519a94ab7c093c275497219,jun,2019,auto,auto,Boulder,699.2901234567901,700.0,650.0,39.0,False,False,False
04a6ca203e788cdda95ded1443248cd26417b01a,jun,2019,auto,hold,Colorado Springs,757.95,756.0,636.0,15.0,False,False,False
04c780064f9f26e0b2848eca0b614e36db6ef3e7,jun,2019,cool,auto,Aurora,683.1277777777777,680.0,630.0,35.0,False,False,False
04c780064f9f26e0b2848eca0b614e36db6ef3e7,jun,2019,heat,hold,Aurora,650.4111111111112,650.0,610.0,35.0,False,False,False
04e359da1206b96c21f34303992bdc7cf0d5d607,jun,2019,auto,auto,Parker,748.3480741797432,789.9900142653353,722.8388017118402,0.0,False,False,False
04e359da1206b96c21f34303992bdc7cf0d5d607,jun,2019,auto,hold,Parker,751.0603015075377,789.0452261306533,737.1356783919598,0.0,False,False,False
051ce0b324f407f0c613c60eab60289aeb1dede8,jun,2019,auto,auto,Greeley,707.6432989690721,817.6474226804123,621.1030927835052,5.0,True,False,False
