Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
007f9b37f1ac5cfe9806f9a1a47809855e7e31b8,Jan,2018,heat,hold,South Windsor,658.8621197252209,662.1741903827282,660.9887144259078,20.0,False,False,False
011dae903f5512427598b14bbb3f02baa8813745,Jan,2018,auto,auto,Shelton,665.9784946236559,779.9247311827957,620.4516129032259,5.0,False,False,False
01440e0a70900810dceaace98a7965a75bc818dc,Jan,2018,heat,auto,Guilford,639.8321678321678,705.865034965035,643.684965034965,0.0,False,False,False
01440e0a70900810dceaace98a7965a75bc818dc,Jan,2018,heat,hold,Guilford,658.6324324324324,694.8702702702702,694.2810810810811,0.0,False,False,False
01b5776ab24d14ace90a8296c49941a4ba8b0173,Jan,2018,auto,auto,New MIlford,673.4226519337017,750.0,679.1786372007366,5.0,False,False,False
0256ad790b7a55322ed68598d9a9ac0352eea34c,Jan,2018,heat,auto,Berlin,639.0,652.0540540540541,645.2972972972973,60.0,False,False,False
0256ad790b7a55322ed68598d9a9ac0352eea34c,Jan,2018,heat,hold,Berlin,633.675,650.4375,634.3375,60.0,False,False,False
027dabecb5ee2275ed02da527068cfcc7ad4911e,Jan,2018,heat,auto,Norwalk,687.1869158878504,700.2523364485982,700.0,90.0,False,False,False
035203598ba3ca040694498f945b4f670f73746d,Jan,2018,heat,auto,Bristol,692.4285714285714,680.0,680.0,0.0,True,False,False
035203598ba3ca040694498f945b4f670f73746d,Jan,2018,heat,hold,Bristol,696.5268166089966,714.8192041522491,697.0865051903114,0.0,True,False,False
0382f14f425de2d9f9645def17ee3cfeada55f78,Jan,2018,heat,auto,Waterford,699.2065378900446,700.2124814264488,700.1500742942051,25.0,False,False,True
0382f14f425de2d9f9645def17ee3cfeada55f78,Jan,2018,heat,hold,Waterford,697.5253588516747,696.0095693779904,695.9425837320574,25.0,False,False,True
05d474a41ce90b51ae9627f1dc2a5214d67b2741,Jan,2018,heat,hold,Guilford,689.4540229885057,688.0459770114943,688.0459770114943,35.0,False,False,False
09416822c479569803d7e4b5b9bf1dfa0c8927c7,Jan,2018,heat,auto,New Britain,655.52,654.0,646.0,70.0,False,False,False
09416822c479569803d7e4b5b9bf1dfa0c8927c7,Jan,2018,heat,hold,New Britain,656.4417391304348,659.9234782608696,656.4973913043478,70.0,False,False,False
0a751de00d076714c9f1c136f2203fae474b7ace,Jan,2018,heat,auto,East Hampton,656.8357843137255,680.0,640.0,0.0,False,False,False
0a7b2f3c3c782c8d24630b835566549318038aa8,Jan,2018,auto,hold,Milford,685.6666666666666,671.0,650.0,20.0,False,False,False
0a7b2f3c3c782c8d24630b835566549318038aa8,Jan,2018,heat,hold,Milford,687.0,650.0,650.0,20.0,False,False,False
0b3c9b534cf69257d66a1102858406468dd61627,Jan,2018,heat,auto,Greenwich,668.6592592592592,669.4925925925926,669.4925925925926,0.0,False,False,False
0b8e511ebb362a92c2b02469a1887fd2a1f86998,Jan,2018,heat,auto,Monroe,652.0,711.25,633.25,40.0,False,False,False
0b8e511ebb362a92c2b02469a1887fd2a1f86998,Jan,2018,heat,hold,Monroe,673.8793103448276,700.0,673.9770114942529,40.0,False,False,False
0c0744b5e162dc1ad0a5e47d53e8650ba8ade8cf,Jan,2018,auto,auto,Hamden,698.5955056179776,768.7921348314607,694.9044943820224,25.0,False,False,False
0c0744b5e162dc1ad0a5e47d53e8650ba8ade8cf,Jan,2018,auto,hold,Hamden,700.5473624503687,759.8916619398752,699.6670448099829,25.0,False,False,False
0c0744b5e162dc1ad0a5e47d53e8650ba8ade8cf,Jan,2018,heat,hold,Hamden,679.8984375,677.03125,677.03125,25.0,False,False,False
0d4871b896fc2a5b93007ca0a3a0799970fbf168,Jan,2018,heat,auto,New Milford,793.0859375,798.2578125,798.2578125,15.0,False,False,False
0d4871b896fc2a5b93007ca0a3a0799970fbf168,Jan,2018,heat,hold,New Milford,786.788908765653,782.1109123434704,782.1109123434704,15.0,False,False,False
0e055c5626b524e51701f81b47f794f8174404c6,Jan,2018,auto,auto,Southington,653.7765957446809,737.5957446808511,627.968085106383,20.0,False,False,False
0e17625c59c7a47b431b756961344f8c7ea11348,Jan,2018,auto,hold,Newington,685.5645901639344,737.2977049180328,677.1872131147541,0.0,False,False,False
0e30791ca4911a38e04e2945c37b58000175524d,Jan,2018,heat,auto,Stamford,660.8007117437722,676.7010676156584,672.7793594306049,60.0,False,False,False
0e30791ca4911a38e04e2945c37b58000175524d,Jan,2018,heat,hold,Stamford,672.9317697228145,687.2590618336887,680.8336886993603,60.0,False,False,False
0ea6860340810d6a8e3a63e447ccc0f6fe1ea4ec,Jan,2018,heat,hold,Plantsville,698.4347826086956,692.8840579710145,691.5507246376811,10.0,False,False,False
10ca2d4d2b1cf6b3aeddf4ef80c8583ca06bf9de,Jan,2018,heat,auto,Southington,673.7816091954023,689.816091954023,689.7471264367816,15.0,False,False,False
10ca2d4d2b1cf6b3aeddf4ef80c8583ca06bf9de,Jan,2018,heat,hold,Southington,666.3333333333334,673.875,669.2916666666666,15.0,False,False,False
10f19a03d0c52430b26049b5bd75a68cd61e7a00,Jan,2018,heat,auto,Newington,687.0,708.0,690.0,60.0,False,False,False
10f19a03d0c52430b26049b5bd75a68cd61e7a00,Jan,2018,heat,hold,Newington,688.3582089552239,690.0,690.0,60.0,False,False,False
12b0facf2bfb3ff1d69e3775c4ac67f3172b9a8a,Jan,2018,heat,hold,Norwalk,733.1290322580645,730.0,730.0,0.0,False,False,False
12bf2b66a856eedcaae14da9b7956c2d819252e7,Jan,2018,auto,auto,Vernon,670.0796894156109,784.7151614221495,668.0739681242337,10.0,False,False,False
141c3dc22781f6a2942b08fdefa57eec34b36baa,Jan,2018,heat,auto,Fairfield,683.0426666666667,677.6933333333334,671.0106666666667,0.0,False,False,False
141c3dc22781f6a2942b08fdefa57eec34b36baa,Jan,2018,heat,hold,Fairfield,680.651882221394,667.7241893402908,662.0245993291092,0.0,False,False,False
142692442a0e4b7e919658e3c2136c3f5d577d90,Jan,2018,auto,auto,New Haven,740.25,740.5,739.25,0.0,True,False,True
142692442a0e4b7e919658e3c2136c3f5d577d90,Jan,2018,auto,hold,New Haven,715.25,735.5,728.25,0.0,True,False,True
142692442a0e4b7e919658e3c2136c3f5d577d90,Jan,2018,heat,auto,New Haven,743.560975609756,740.0,740.0,0.0,True,False,True
142692442a0e4b7e919658e3c2136c3f5d577d90,Jan,2018,heat,hold,New Haven,705.75,695.625,695.625,0.0,True,False,True
14fe633f90d7d73f85e039d3e6f54ffa32f78113,Jan,2018,heat,hold,Old Saybrook,670.4090909090909,680.0,680.0,40.0,False,False,True
150a9a333734beb266a4823d2fbca4b74fcc77dd,Jan,2018,heat,hold,Greenwich,713.4411764705883,720.0,720.0,46.0,False,False,False
1585886f42ff983f6e3e808577cffe4aebb14a9f,Jan,2018,heat,auto,Plainville,713.6696897374702,716.0238663484487,716.0238663484487,25.0,True,False,False
1585886f42ff983f6e3e808577cffe4aebb14a9f,Jan,2018,heat,hold,Plainville,713.112616426757,717.9458086367486,717.9458086367486,25.0,True,False,False
15e99b6f759a9e3d1f835e0634000a10c8b00c45,Jan,2018,auto,hold,East haven,680.25,780.0,699.75,70.0,False,False,False
15e99b6f759a9e3d1f835e0634000a10c8b00c45,Jan,2018,heat,auto,East haven,642.1242603550296,799.1360946745563,622.1479289940828,70.0,False,False,False
