Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
007b9ae939161adcf55e644a3a31bed6f9545465,aug,2019,cool,auto,Washington,737.4725274725274,738.032967032967,719.3516483516484,98.0,False,False,False
007b9ae939161adcf55e644a3a31bed6f9545465,aug,2019,cool,hold,Washington,742.3983286908078,745.2381615598886,745.2381615598886,98.0,False,False,False
08049f898acb8591a4cad8c0900db78ad73b307f,aug,2019,cool,hold,Washington,736.7118644067797,740.0,740.0,90.0,False,False,False
0977612bebbbbc2ff5a90040050f2a55607e6004,aug,2019,cool,auto,Washington,728.4038461538462,720.0,720.0,5.0,False,False,False
0977612bebbbbc2ff5a90040050f2a55607e6004,aug,2019,cool,hold,Washington,717.1162790697674,701.1395348837209,701.1395348837209,5.0,False,False,False
0b5f61f1f6cdd92b48c68e2a3b541ef35b31b051,aug,2019,auto,auto,Washington,753.5111695137977,753.7030223390276,661.4980289093298,90.0,False,False,True
0b5f61f1f6cdd92b48c68e2a3b541ef35b31b051,aug,2019,auto,hold,Washington,750.7712712712713,749.5725725725725,660.8218218218218,90.0,False,False,True
0b64d5b697814f1c9274304e09aaf42cfdb92cf1,aug,2019,cool,auto,Washington,717.9533437013997,716.7708657335407,646.5184033177812,0.0,False,False,False
0b64d5b697814f1c9274304e09aaf42cfdb92cf1,aug,2019,cool,hold,Washington,713.3443708609271,705.1655629139073,704.3973509933775,0.0,False,False,False
0c64b17b991767ef275de42088e69d0986620c82,aug,2019,cool,auto,Washington,732.2215932066316,731.3950667205822,731.2676910634857,0.0,True,False,False
0c64b17b991767ef275de42088e69d0986620c82,aug,2019,cool,hold,Washington,724.5132075471698,722.7924528301887,722.7924528301887,0.0,True,False,False
0d47e225960093dd19743e8c1e6633ff1f340505,aug,2019,cool,hold,Washington,782.3333333333334,830.0,790.0,30.0,False,False,False
0ef03d5ff6a191d52626482c35b8ca26a346f033,aug,2019,auto,hold,Washington,752.0702702702703,756.4621621621621,685.5567567567567,120.0,False,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,aug,2019,cool,auto,Washington,761.5953757225434,758.0732177263969,758.0732177263969,0.0,False,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,aug,2019,cool,hold,Washington,756.8055555555555,771.5555555555555,771.5555555555555,0.0,False,False,False
1367164347219828ebff7c5c175313bb74ce66d4,aug,2019,cool,hold,Washington,707.8787878787879,705.0,705.0,0.0,False,False,False
19d82e333cbafaedd0db7dfb48cf3eda3434e8a7,aug,2019,auto,auto,Washington,737.0416666666666,758.7916666666666,660.0,97.0,False,False,False
19d82e333cbafaedd0db7dfb48cf3eda3434e8a7,aug,2019,auto,hold,Washington,736.3654822335026,730.7969543147208,656.730964467005,97.0,False,False,False
19d82e333cbafaedd0db7dfb48cf3eda3434e8a7,aug,2019,cool,hold,Washington,730.6923076923077,750.0,750.0,97.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,aug,2019,auto,auto,Washington,719.7699530516431,720.0,660.0,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,aug,2019,auto,hold,Washington,715.1391437308869,715.6238532110092,659.974006116208,30.0,False,False,False
1c3e573c91df79966430f09de0b15779db7a08ed,aug,2019,cool,auto,Washington,730.3674649050372,763.402146985962,695.9744013212221,18.0,False,False,False
1c3e573c91df79966430f09de0b15779db7a08ed,aug,2019,cool,hold,Washington,722.5421076852278,725.9047399907961,724.9774505292223,18.0,False,False,False
1cef32be32904e55cb853698048b4c50efb8cd89,aug,2019,cool,hold,Washington,711.9090909090909,700.7454545454545,700.1454545454545,0.0,False,False,True
1e31e72dee427dc8416e96ab99c6c58567dbdbe4,aug,2019,cool,auto,16th Street Heights,723.1042253521126,724.7774647887323,702.8760563380282,0.0,False,False,False
1e31e72dee427dc8416e96ab99c6c58567dbdbe4,aug,2019,cool,hold,16th Street Heights,733.1069182389937,740.8050314465409,740.7106918238994,0.0,False,False,False
2138c2351793303e6fa7050363919c3f4fafb2b9,aug,2019,cool,auto,Washington,707.4611111111111,708.2888888888889,708.2888888888889,0.0,False,False,False
2138c2351793303e6fa7050363919c3f4fafb2b9,aug,2019,cool,hold,Washington,730.3863636363636,732.0227272727273,732.0227272727273,0.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,aug,2019,cool,auto,Washington,745.4888178913739,752.3226837060703,752.3226837060703,0.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,aug,2019,cool,hold,Washington,742.2511645962733,744.7014751552795,744.6906055900621,0.0,False,False,False
26423c0824d6b079eaf5544722bb80137eca53a4,aug,2019,cool,auto,Washington,742.360644257703,742.3767507002801,653.8655462184873,0.0,False,False,False
27fee13b31459fafa222975c47c69f371437f043,aug,2019,cool,auto,Washington,762.5595238095239,750.8531746031746,735.7619047619048,40.0,False,False,True
27fee13b31459fafa222975c47c69f371437f043,aug,2019,cool,hold,Washington,764.9578163771712,758.4292803970224,757.8138957816377,40.0,False,False,True
28186d441d1cfc14625c5c65361636308f9affe2,aug,2019,cool,auto,Washington,734.4283559577677,735.7179487179487,735.7179487179487,50.0,False,False,True
28186d441d1cfc14625c5c65361636308f9affe2,aug,2019,cool,hold,Washington,729.1979797979798,727.7575757575758,727.7575757575758,50.0,False,False,True
28200c71cb4917e7ee319ee4fad6aa4725dcfdfa,aug,2019,cool,auto,Washington,761.016129032258,720.0,706.1290322580645,0.0,True,False,False
29c6ab4bdab51b4cff102ce7aef8582fc76bb363,aug,2019,cool,auto,Washington,739.9565217391304,721.304347826087,712.7391304347826,29.0,False,False,False
29c6ab4bdab51b4cff102ce7aef8582fc76bb363,aug,2019,cool,hold,Washington,745.1176470588235,741.2823529411764,740.2235294117647,29.0,False,False,False
2a42b25f1bd2881ca47bd98c379a4033b820dee6,aug,2019,cool,auto,Washington,722.253164556962,715.5696202531645,713.4810126582279,70.0,False,False,False
2a42b25f1bd2881ca47bd98c379a4033b820dee6,aug,2019,cool,hold,Washington,738.0454545454545,720.1136363636364,720.1136363636364,70.0,False,False,False
2ab8ac4c94069165e2bd62a4a568ff065fde0f2d,aug,2019,cool,auto,Washington,747.2234432234433,745.2307692307693,730.0,95.0,False,False,True
2ab8ac4c94069165e2bd62a4a568ff065fde0f2d,aug,2019,cool,hold,Washington,752.4320760502914,750.0107329040171,730.0,95.0,False,False,True
2b2b9c93d38be6381590e18ec9be39aee18ed77c,aug,2019,auto,auto,Washington,771.2194092827004,769.9186256781194,697.7673297166968,0.0,False,False,False
2c416acdac92290927562967243027a870ed8051,aug,2019,auto,auto,Washington,690.5930434782608,689.0,626.0,10.0,False,False,True
2e3daa741436389a23287c4353f979718d5fb7ac,aug,2019,auto,auto,Washington,747.8333333333334,750.0,680.0,120.0,False,False,False
2e8f7e62683ecb47b59369a5a2e834af3e3e8c0c,aug,2019,cool,hold,Washington,714.8415977961432,711.3271349862259,711.3271349862259,19.0,False,False,True
2eed34d2c475a7a0d4cf321106760f6a9020627e,aug,2019,cool,auto,Washington,718.3684210526316,720.0,720.0,0.0,True,False,True
2efaf48c36680e6cef59ad36615ea2c48369ce72,aug,2019,cool,auto,Washington,710.825,712.5833333333334,710.9333333333333,100.0,False,False,True
2efaf48c36680e6cef59ad36615ea2c48369ce72,aug,2019,cool,hold,Washington,712.5692307692308,718.2153846153847,716.4307692307692,100.0,False,False,True
32ad8af95ae08ea2b18a6c19bc6ffd42c756d7f0,aug,2019,cool,auto,Washington,788.4435695538058,787.2572178477691,774.9580052493438,115.0,False,False,True
32ad8af95ae08ea2b18a6c19bc6ffd42c756d7f0,aug,2019,cool,hold,Washington,786.5796460176991,777.4159292035398,776.7035398230089,115.0,False,False,True
3ade49c6a02d65584d9d92b568fdef7644805648,aug,2019,auto,hold,Washington,743.5439560439561,743.5152625152625,676.0250305250305,90.0,False,False,False
3fd1a48c16d7e33f570abc7e3dee6df2fd567f7d,aug,2019,cool,auto,Washington,765.9669522643819,759.0342717258262,762.3317013463892,0.0,False,False,False
3fd1a48c16d7e33f570abc7e3dee6df2fd567f7d,aug,2019,cool,hold,Washington,736.3130177514793,733.514201183432,733.5029585798817,0.0,False,False,False
405ad6772f62458c9c0e880813a57fde12c33437,aug,2019,cool,auto,Washington,745.05,743.7082089552239,743.7082089552239,30.0,False,False,True
405ad6772f62458c9c0e880813a57fde12c33437,aug,2019,cool,hold,Washington,744.252545027408,741.7736883320282,741.7736883320282,30.0,False,False,True
407a8f003da161e1d5c33e74fc371f52c7a37105,aug,2019,cool,auto,Washington,745.5714285714286,773.7714285714286,746.9428571428572,40.0,True,False,True
42dbed05284094c1f80b27e1c61a4ffc34cb96e0,aug,2019,cool,auto,Washington,744.9749498997996,746.1523046092184,746.1523046092184,35.0,False,False,True
42dbed05284094c1f80b27e1c61a4ffc34cb96e0,aug,2019,cool,hold,Washington,740.0876048462255,739.8494874184529,739.8494874184529,35.0,False,False,True
43d3fd795ff2f370457387611d56da1225cb125c,aug,2019,auto,auto,Washington,711.3748551564311,712.0504055619931,644.9130938586327,5.0,False,False,False
43d3fd795ff2f370457387611d56da1225cb125c,aug,2019,auto,hold,Washington,705.6206700738217,704.2714366837024,642.2725724020443,5.0,False,False,False
45249d93ca3a494d04c31125f3d7fae35c4c1a62,aug,2019,cool,hold,Washington,753.4052676295667,754.8909657320872,754.8909657320872,75.0,False,False,False
4777a7aff8c896432b5b2b13bacbffa7debcd809,aug,2019,auto,hold,Truxton Circle,746.8666666666667,707.5333333333333,656.7333333333333,115.0,False,False,False
4777a7aff8c896432b5b2b13bacbffa7debcd809,aug,2019,cool,hold,Truxton Circle,746.9268292682926,700.2926829268292,699.6829268292682,115.0,False,False,False
4addb2cf36d14ad9a517a5ea4b743c2443683dd2,aug,2019,cool,auto,Washington,740.3333333333334,740.0,720.0,5.0,True,False,True
4addb2cf36d14ad9a517a5ea4b743c2443683dd2,aug,2019,cool,hold,Washington,732.8522267206478,735.6093117408907,702.1032388663967,5.0,True,False,True
4b40b74a3a7ec2f625ba374897103f81f613c70c,aug,2019,auto,auto,Washington,746.8644067796611,742.2881355932203,670.0,90.0,True,False,False
4b40b74a3a7ec2f625ba374897103f81f613c70c,aug,2019,auto,hold,Washington,744.9565217391304,745.1413043478261,670.0869565217391,90.0,True,False,False
4b40b74a3a7ec2f625ba374897103f81f613c70c,aug,2019,cool,hold,Washington,739.0,709.0,709.0,90.0,True,False,False
4ee4175bf76627a2cdfdb92af7872766345698c4,aug,2019,auto,auto,Washington,726.4514388489208,732.1564748201439,661.2589928057554,105.0,False,False,False
4ee4175bf76627a2cdfdb92af7872766345698c4,aug,2019,auto,hold,Washington,732.2707034728406,732.73374888691,670.2787177203918,105.0,False,False,False
5019945f01f9bc56780684f6e1b58264bf1e4e90,aug,2019,cool,auto,Washington,743.0820029027576,764.6059506531204,739.9433962264151,5.0,False,False,True
5019945f01f9bc56780684f6e1b58264bf1e4e90,aug,2019,cool,hold,Washington,717.0874882408278,714.1222953904045,714.1222953904045,5.0,False,False,True
5189b21d5aeea9c4ce00019c92ccc8df14f3d956,aug,2019,cool,auto,Washington,743.145945945946,759.8432432432433,755.0567567567567,105.0,True,False,True
5189b21d5aeea9c4ce00019c92ccc8df14f3d956,aug,2019,cool,hold,Washington,762.0304182509506,781.9062103929024,774.5652724968314,105.0,True,False,True
523dc3a20e05612457d5d501e024ab997eea4f06,aug,2019,cool,auto,Washington,682.125,683.25,683.25,9.0,True,False,False
523dc3a20e05612457d5d501e024ab997eea4f06,aug,2019,cool,hold,Washington,732.6705959397511,728.9580877537655,728.9580877537655,9.0,True,False,False
565f3972558090d54264f8a4a05e632b6070b56b,aug,2019,cool,auto,Washington,750.6363636363636,740.0,740.0,20.0,False,False,False
565f3972558090d54264f8a4a05e632b6070b56b,aug,2019,cool,hold,Washington,751.1168831168832,740.5064935064935,740.3896103896104,20.0,False,False,False
584e3043f7f03e242d63e63ffcd69b52606818ea,aug,2019,cool,auto,Washington,717.1591962905719,722.1267387944358,672.0772797527048,90.0,True,False,True
584e3043f7f03e242d63e63ffcd69b52606818ea,aug,2019,cool,hold,Washington,701.060975609756,698.109756097561,697.8780487804878,90.0,True,False,True
59437f24e46233a1690ee009c0865f938fcdf29b,aug,2019,cool,hold,Washington,773.421875,770.0,720.0,70.0,True,False,True
5e37e39dad66376f489171ed2f1ade8a3094efde,aug,2019,auto,auto,Washington,769.5882352941177,790.0,650.0,90.0,False,False,False
5e37e39dad66376f489171ed2f1ade8a3094efde,aug,2019,auto,hold,Washington,725.3333333333334,720.25,670.125,90.0,False,False,False
5e37e39dad66376f489171ed2f1ade8a3094efde,aug,2019,cool,auto,Washington,745.7989130434783,767.5380434782609,671.6684782608696,90.0,False,False,False
5eaf2a736e223d51f8081ec5558c6e521bc55694,aug,2019,auto,hold,Washington,742.9090909090909,740.5454545454545,620.0,110.0,False,False,False
5eaf2a736e223d51f8081ec5558c6e521bc55694,aug,2019,cool,auto,Washington,793.6666666666666,750.0,620.0,110.0,False,False,False
5eba34583b3db96066421e31af909994051c7ef4,aug,2019,auto,auto,Washington,756.0,752.0,608.0,90.0,False,False,False
645d86c868897feec271ebf6a9bbd6886515cde6,aug,2019,cool,auto,Washington,731.3055555555555,720.0,700.0,70.0,False,False,False
645d86c868897feec271ebf6a9bbd6886515cde6,aug,2019,cool,hold,Washington,771.5463087248322,770.8577181208053,765.6295302013423,70.0,False,False,False
65d581acdaa4edd8762f1a183c177e90c502f2c5,aug,2019,cool,auto,Washington,741.0818181818182,739.1181818181818,738.790909090909,15.0,False,False,True
65d581acdaa4edd8762f1a183c177e90c502f2c5,aug,2019,cool,hold,Washington,746.8697829716193,746.338898163606,746.3322203672788,15.0,False,False,True
66e249e724f340beb41cbf67944647fcfea26241,aug,2019,cool,auto,Washington,768.6671078755791,783.5029781601588,703.3226340172072,5.0,True,False,True
66e249e724f340beb41cbf67944647fcfea26241,aug,2019,cool,hold,Washington,751.7328431372549,766.6470588235294,761.4828431372549,5.0,True,False,True
68495bfecd804a42209fdfc607ddef73840c1e46,aug,2019,cool,auto,Washington,753.060606060606,820.0,640.0,120.0,False,False,False
685d332caaec9952f04746f539416720ceeff813,aug,2019,auto,auto,Washington,744.75,722.1666666666666,672.1666666666666,5.0,False,False,False
6c325119bb8209d1aa21288738dcb23f7ae886fd,aug,2019,cool,hold,Washington,748.945054945055,745.0,743.8241758241758,5.0,True,False,True
