Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0731de82edef8853f48e57b7e3af32f7db039935,feb,2017,auto,auto,Washington,679.0072463768116,760.0,680.1231884057971,100.0,False,False,True
0731de82edef8853f48e57b7e3af32f7db039935,feb,2017,auto,hold,Washington,677.7537190082645,752.2314049586777,678.9537190082644,100.0,False,False,True
0977612bebbbbc2ff5a90040050f2a55607e6004,feb,2017,heat,auto,Washington,662.36,664.94,664.58,5.0,False,False,False
0977612bebbbbc2ff5a90040050f2a55607e6004,feb,2017,heat,hold,Washington,699.6119402985074,707.1492537313433,704.5373134328358,5.0,False,False,False
0dab5564077db11d375f2c8138456bd970432b9a,feb,2017,auto,hold,Washington,694.752,760.336,699.664,99.0,False,False,False
0ef03d5ff6a191d52626482c35b8ca26a346f033,feb,2017,heat,hold,Washington,710.2571428571429,713.0857142857143,713.0857142857143,120.0,False,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,feb,2017,heat,auto,Washington,641.9115504682622,663.4708636836629,641.8876170655567,0.0,False,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,feb,2017,heat,hold,Washington,678.2800429184549,687.1920600858369,654.7757510729614,0.0,False,False,False
160417d105f2e89bd9614aa1380f0ac6f49fa360,feb,2017,auto,auto,Washington,697.7209302325581,819.5813953488372,620.2790697674419,10.0,False,False,False
160417d105f2e89bd9614aa1380f0ac6f49fa360,feb,2017,auto,hold,Washington,704.2222222222222,719.6666666666666,663.8888888888889,10.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,feb,2017,cool,auto,Washington,690.0652173913044,688.0869565217391,690.0,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,feb,2017,cool,hold,Washington,725.0,718.3333333333334,715.0,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,feb,2017,heat,auto,Washington,727.75,728.75,728.0875,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,feb,2017,heat,hold,Washington,754.6176470588235,758.8529411764706,758.1470588235294,30.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,feb,2017,heat,auto,Washington,674.136,677.312,677.312,0.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,feb,2017,heat,hold,Washington,665.1216562843532,662.0436057163796,658.6104800293148,0.0,False,False,False
27fee13b31459fafa222975c47c69f371437f043,feb,2017,heat,hold,Washington,732.4,769.1058823529412,682.7235294117647,40.0,False,False,True
2b2b9c93d38be6381590e18ec9be39aee18ed77c,feb,2017,auto,auto,Washington,722.4173027989822,746.7531806615776,696.7531806615776,0.0,False,False,False
2b2b9c93d38be6381590e18ec9be39aee18ed77c,feb,2017,auto,hold,Washington,721.6174661746618,768.1180811808118,713.1734317343173,0.0,False,False,False
2db691a18f43b6a0940805f9e0a6436a652eaf56,feb,2017,auto,auto,Washington,700.4188481675393,749.9993455497382,699.9993455497382,0.0,False,False,True
