Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0731de82edef8853f48e57b7e3af32f7db039935,Jan,2017,auto,auto,Washington,667.1960784313726,750.0,670.0,100.0,False,False,True
0731de82edef8853f48e57b7e3af32f7db039935,Jan,2017,auto,hold,Washington,687.8529411764706,750.0,683.6803921568627,100.0,False,False,True
0dab5564077db11d375f2c8138456bd970432b9a,Jan,2017,auto,auto,Washington,701.6793893129772,776.6641221374045,703.2824427480916,99.0,False,False,False
0dab5564077db11d375f2c8138456bd970432b9a,Jan,2017,auto,hold,Washington,680.5666666666667,780.0,660.0,99.0,False,False,False
0ef03d5ff6a191d52626482c35b8ca26a346f033,Jan,2017,heat,hold,Washington,691.1626984126984,693.2142857142857,691.1825396825396,120.0,False,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,Jan,2017,heat,auto,Washington,627.4894217207334,652.5084626234133,628.2806770098731,0.0,False,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,Jan,2017,heat,hold,Washington,700.6118110236221,703.544094488189,703.5385826771653,0.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,Jan,2017,cool,auto,Washington,723.5454545454545,690.0,650.0,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,Jan,2017,cool,hold,Washington,694.8,700.5333333333333,698.6666666666666,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,Jan,2017,heat,auto,Washington,725.1851851851852,729.9444444444445,729.5555555555555,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,Jan,2017,heat,hold,Washington,731.8653846153846,730.6923076923077,730.0288461538462,30.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,Jan,2017,heat,auto,Washington,679.8333333333334,683.6428571428571,683.6428571428571,0.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,Jan,2017,heat,hold,Washington,664.243654822335,664.820027688048,664.820027688048,0.0,False,False,False
27fee13b31459fafa222975c47c69f371437f043,Jan,2017,heat,auto,Washington,702.0625,711.75,709.25,40.0,False,False,True
2b2b9c93d38be6381590e18ec9be39aee18ed77c,Jan,2017,auto,auto,Washington,700.7058823529412,747.5,697.5,0.0,False,False,False
2b2b9c93d38be6381590e18ec9be39aee18ed77c,Jan,2017,auto,hold,Washington,701.5121107266436,744.7058823529412,694.7058823529412,0.0,False,False,False
