Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
007b9ae939161adcf55e644a3a31bed6f9545465,jul,2020,cool,auto,Washington,757.4561403508771,753.9649122807018,749.859649122807,98.0,False,False,False
007b9ae939161adcf55e644a3a31bed6f9545465,jul,2020,cool,hold,Washington,756.6053412462908,759.9436201780416,754.9050445103858,98.0,False,False,False
08049f898acb8591a4cad8c0900db78ad73b307f,jul,2020,auto,auto,Washington,721.483164983165,717.2390572390573,652.1060606060606,90.0,False,False,False
08049f898acb8591a4cad8c0900db78ad73b307f,jul,2020,auto,hold,Washington,727.4479315263909,722.8815977175464,645.2089871611983,90.0,False,False,False
0b64d5b697814f1c9274304e09aaf42cfdb92cf1,jul,2020,cool,auto,Washington,715.8571428571429,749.8235294117648,749.8235294117648,0.0,False,False,False
0b64d5b697814f1c9274304e09aaf42cfdb92cf1,jul,2020,cool,hold,Washington,713.2537313432836,717.8865671641792,717.8865671641792,0.0,False,False,False
0c64b17b991767ef275de42088e69d0986620c82,jul,2020,cool,auto,Washington,711.3233438485804,708.8777602523659,708.0276025236593,0.0,True,False,False
0c64b17b991767ef275de42088e69d0986620c82,jul,2020,cool,hold,Washington,736.8222222222222,738.2592592592592,721.5185185185185,0.0,True,False,False
12a74288cc6f74cdf4d8fc4641d806a8e4f3a7b2,jul,2020,cool,hold,Washington,790.3488372093024,754.1395348837209,754.1395348837209,0.0,False,False,False
19d82e333cbafaedd0db7dfb48cf3eda3434e8a7,jul,2020,auto,auto,Washington,744.0379008746356,728.7521865889213,640.0,97.0,False,False,False
19d82e333cbafaedd0db7dfb48cf3eda3434e8a7,jul,2020,auto,hold,Washington,723.2963689892051,720.6781157998038,640.0,97.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,jul,2020,auto,auto,Washington,737.2284644194757,735.2228464419476,679.5393258426966,30.0,False,False,False
1a243af962525a82097a7d37d6b9c986d533cc59,jul,2020,auto,hold,Washington,737.3435582822086,733.7852760736197,677.9406952965235,30.0,False,False,False
1bb7b15da9cae77cb7ab5b9ec149bf4fb3546e2c,jul,2020,cool,auto,Washington,764.5564102564102,820.0,640.0,19.0,True,False,False
1c3e573c91df79966430f09de0b15779db7a08ed,jul,2020,cool,auto,Washington,737.4252978918423,738.506874427131,691.7800183318056,18.0,False,False,False
1c3e573c91df79966430f09de0b15779db7a08ed,jul,2020,cool,hold,Washington,730.657131181038,731.3420514916224,731.2656313853698,18.0,False,False,False
1c984fbcf18181b26dd323cb0b5e0195e8a138f6,jul,2020,auto,auto,Washington,730.0105363984675,733.3146551724138,650.0129310344828,27.0,False,False,True
1c984fbcf18181b26dd323cb0b5e0195e8a138f6,jul,2020,auto,hold,Washington,737.5340588472391,740.3454252317614,647.7114066908505,27.0,False,False,True
1cef32be32904e55cb853698048b4c50efb8cd89,jul,2020,cool,auto,Washington,694.5714285714286,691.8282097649186,691.629294755877,0.0,False,False,True
1cef32be32904e55cb853698048b4c50efb8cd89,jul,2020,cool,hold,Washington,723.7524429967426,718.9381107491856,718.9381107491856,0.0,False,False,True
1e31e72dee427dc8416e96ab99c6c58567dbdbe4,jul,2020,cool,auto,16th Street Heights,733.4029062087186,728.3130779392338,701.2866578599736,0.0,False,False,False
1e31e72dee427dc8416e96ab99c6c58567dbdbe4,jul,2020,cool,hold,16th Street Heights,739.1007194244604,728.4532374100719,715.9352517985611,0.0,False,False,False
2138c2351793303e6fa7050363919c3f4fafb2b9,jul,2020,cool,auto,Washington,696.6363636363636,690.0,690.0,0.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,jul,2020,cool,auto,Washington,730.36,730.1,730.1,0.0,False,False,False
24264c2fb428d64ae3662162108a1a9ad419c658,jul,2020,cool,hold,Washington,747.2432170542636,745.4247416020672,745.4092377260982,0.0,False,False,False
