Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
070839ef58c74b72d673dd533e6f35aec7ce8f27,aug,2017,cool,auto,Houston,776.1145833333334,750.0,750.0,15.0,True,False,True
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,auto,auto,Wilmington,799.0,780.0,690.0,57.0,False,False,False
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,auto,hold,Wilmington,766.7692307692307,810.0,690.0,57.0,False,False,False
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,cool,auto,Wilmington,756.2209240573553,801.5454062665958,661.9495485926712,57.0,False,False,False
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,cool,hold,Wilmington,768.3350383631714,789.9156010230179,783.3171355498721,57.0,False,False,False
18f7ccf6b435622cb968d6da44cda99f382171bf,aug,2017,cool,auto,Camden Wyoming,747.9077253218884,779.568669527897,660.2832618025751,27.0,False,False,True
21928216c72d02f4395d9585af619b190c11ed47,aug,2017,cool,auto,Claymont ,744.2715484363082,740.0,730.0,115.0,False,False,True
21928216c72d02f4395d9585af619b190c11ed47,aug,2017,cool,hold,Claymont ,734.5592105263158,730.0,730.0,115.0,False,False,True
21a8021fbd2bc2e837a130d42a96082c5b166d78,aug,2017,cool,hold,Middletown,718.1235741444867,715.1102661596958,715.0817490494296,30.0,False,False,False
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,aug,2017,cool,auto,Camden Wyoming,774.2189349112426,767.9704142011834,689.4674556213017,10.0,False,False,False
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,aug,2017,cool,hold,Camden Wyoming,771.6595744680851,766.8723404255319,767.0212765957447,10.0,False,False,False
2def1e7802bce77e54325f0fea8af43d6a73f830,aug,2017,cool,hold,Selbyville,739.7872105843439,742.5920617420066,742.4035281146637,5.0,False,False,False
321ba24265dfd2afb6e168f39f5d428954b286c9,aug,2017,cool,auto,Townsend,709.5,719.75,669.5,5.0,False,False,False
321ba24265dfd2afb6e168f39f5d428954b286c9,aug,2017,cool,hold,Townsend,721.7708333333334,726.5972222222222,726.5972222222222,5.0,False,False,False
3528ce1a3af5153bd73944decb2974512a40fc78,aug,2017,cool,auto,Townsend,752.7419936851601,763.148849797023,763.2634190347317,67.0,False,False,True
3528ce1a3af5153bd73944decb2974512a40fc78,aug,2017,cool,hold,Townsend,734.695652173913,750.0869565217391,750.4347826086956,67.0,False,False,True
3565d7bb056bf002f140d29767967102159b869c,aug,2017,auto,auto,Middletown,798.3764705882353,811.4449826989619,649.9993079584775,0.0,False,False,False
3565d7bb056bf002f140d29767967102159b869c,aug,2017,auto,hold,Middletown,799.3995394358088,809.2751871042027,650.0,0.0,False,False,False
35b56a84063caa816fc10756456f40b63b8ba7b6,aug,2017,cool,hold,Middletown,751.2727272727273,750.0,669.4545454545455,16.0,False,False,False
369031a5f936602e3708bd570c23c589f8f2e40b,aug,2017,cool,hold,Rehoboth Beach,738.7774480712167,745.7685459940653,745.7685459940653,0.0,True,False,True
4076535ffffd3cbff0257d6e4d073570cb6975f5,aug,2017,cool,hold,Bear,727.3206018518518,724.8125,724.8125,15.0,False,False,False
4228fa99f653c336280a15a438be7cc17a035794,aug,2017,auto,auto,Middletown,720.4885057471264,720.0,670.0,10.0,False,False,False
452ccc6abbdb5b30c8fead0da0898a06eff18cff,aug,2017,cool,auto,Frankford,790.5204678362574,800.0,770.0,5.0,True,False,True
4a1a35f94f9565f8dc8bee275c25bd6fee8c06b8,aug,2017,auto,auto,Rehoboth Beach,780.0,800.6666666666666,656.0,15.0,False,False,True
4a1a35f94f9565f8dc8bee275c25bd6fee8c06b8,aug,2017,auto,hold,Rehoboth Beach,771.506726457399,773.9282511210762,680.1210762331839,15.0,False,False,True
5e7ccce35cfa7d15e25e46b921bcc05492299e78,aug,2017,auto,auto,Middletown,787.8463810930576,815.6514032496307,660.0,0.0,False,False,False
5e7ccce35cfa7d15e25e46b921bcc05492299e78,aug,2017,auto,hold,Middletown,803.4980681419038,807.5556726378644,660.0,0.0,False,False,False
61c4b0f9becb8984f29f58e3a022ee75c831e890,aug,2017,auto,hold,Dover,700.1345900920649,705.5589653660675,655.4239368697939,16.0,False,False,False
638ba7c8c77d957afcbc76ba71f3d765b4237cd5,aug,2017,cool,auto,New Castle,769.5350467289719,768.8130841121496,762.6214953271028,5.0,False,False,False
