Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
006e9eb663d3497393620279fd86ae3ef8cd61cb,feb,2020,heat,auto,Middletown,707.3235294117648,710.0,710.0,10.0,True,False,False
006e9eb663d3497393620279fd86ae3ef8cd61cb,feb,2020,heat,hold,Middletown,707.9281045751634,702.6633986928105,702.6633986928105,10.0,True,False,False
05162dee3201157920ad972444b13d9722fcb17c,feb,2020,heat,auto,Rehoboth Beach,681.7346153846154,699.3615384615384,683.2076923076924,9.0,True,False,True
05162dee3201157920ad972444b13d9722fcb17c,feb,2020,heat,hold,Rehoboth Beach,667.2763157894736,670.0,670.0,9.0,True,False,True
05f17d52e1db8e1d1c118b4d867161f3429fce55,feb,2020,heat,auto,New Castle,670.7911111111111,674.1777777777778,674.1777777777778,20.0,False,False,False
05f17d52e1db8e1d1c118b4d867161f3429fce55,feb,2020,heat,hold,New Castle,671.5925925925926,675.5555555555555,675.5555555555555,20.0,False,False,False
0763b11c276e25fc64ca052d8bd55899e0e340bc,feb,2020,heat,auto,Wilmington,709.2371871275328,711.5679380214541,711.5679380214541,10.0,False,False,False
0763b11c276e25fc64ca052d8bd55899e0e340bc,feb,2020,heat,hold,Wilmington,702.3523404255319,703.087659574468,703.087659574468,10.0,False,False,False
0ad826a253a907f5946f8402db4a56a04d9f0e69,feb,2020,auto,auto,Wilmington,662.4805970149254,785.4835820895522,657.9014925373134,48.0,False,False,False
0ad826a253a907f5946f8402db4a56a04d9f0e69,feb,2020,auto,hold,Wilmington,693.9166666666666,780.0,699.75,48.0,False,False,False
0c2f403927d91e022082e590be9a6c25a50e1eb6,feb,2020,heat,auto,Wilmington,639.7698761486216,651.2944466640032,638.7882540950859,39.0,False,False,True
0c2f403927d91e022082e590be9a6c25a50e1eb6,feb,2020,heat,hold,Wilmington,654.913953488372,652.8139534883721,647.5069767441861,39.0,False,False,True
0f4f6f6ec2bd31e06c5897e74c6b06e789bbd188,feb,2020,heat,auto,Newark,683.7083333333334,692.25,689.5,25.0,False,False,False
104114e5ae7f9080668d70b6b16a992e4cb6b0e9,feb,2020,heat,hold,Laurel,704.2222222222222,715.2777777777778,707.4444444444445,0.0,True,False,True
11d84820d97292fd2ac228b5170ac611815a10b3,feb,2020,heat,auto,Wilmington,655.7393082930457,747.4183711416883,657.1539605801413,57.0,False,False,False
11d84820d97292fd2ac228b5170ac611815a10b3,feb,2020,heat,hold,Wilmington,653.3598484848485,655.4734848484849,650.7386363636364,57.0,False,False,False
13930cf5ac8184837d312497236069c4468cdd71,feb,2020,heat,auto,Ocean View,555.25,650.0,620.0,10.0,False,False,True
13930cf5ac8184837d312497236069c4468cdd71,feb,2020,heat,hold,Ocean View,640.11328125,650.0,647.02734375,10.0,False,False,True
145d5ac6c19ab49464c437a67a332417bdb218b5,feb,2020,heat,auto,Bear,633.1347708894879,650.0,633.1536388140162,10.0,False,False,False
