Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
006e9eb663d3497393620279fd86ae3ef8cd61cb,jul,2019,cool,auto,Middletown,729.4107142857143,726.0433673469388,726.0433673469388,10.0,True,False,False
006e9eb663d3497393620279fd86ae3ef8cd61cb,jul,2019,cool,hold,Middletown,734.379016064257,731.7364457831326,731.7364457831326,10.0,True,False,False
05162dee3201157920ad972444b13d9722fcb17c,jul,2019,cool,auto,Rehoboth Beach,726.1927083333334,725.0,725.0,9.0,True,False,True
05162dee3201157920ad972444b13d9722fcb17c,jul,2019,cool,hold,Rehoboth Beach,807.8359375,833.7447916666666,760.5,9.0,True,False,True
05f17d52e1db8e1d1c118b4d867161f3429fce55,jul,2019,cool,auto,New Castle,697.9166666666666,698.8888888888889,698.8888888888889,20.0,False,False,False
05f17d52e1db8e1d1c118b4d867161f3429fce55,jul,2019,cool,hold,New Castle,699.0454545454545,699.5454545454545,699.5454545454545,20.0,False,False,False
070839ef58c74b72d673dd533e6f35aec7ce8f27,jul,2019,cool,auto,Houston,767.8695652173913,760.0,740.0,15.0,True,False,True
0763b11c276e25fc64ca052d8bd55899e0e340bc,jul,2019,cool,auto,Wilmington,702.3631811487481,689.5490427098674,689.5490427098674,10.0,False,False,False
0763b11c276e25fc64ca052d8bd55899e0e340bc,jul,2019,cool,hold,Wilmington,715.6666666666666,679.8888888888889,679.8888888888889,10.0,False,False,False
0763b11c276e25fc64ca052d8bd55899e0e340bc,jul,2019,heat,auto,Wilmington,737.5483870967741,734.1935483870968,734.1935483870968,10.0,False,False,False
07d6b19ddd4155211f7bc11468c1d262b1003286,jul,2019,cool,auto,Harrington,704.2065217391304,701.0,714.5217391304348,0.0,False,False,False
07d6b19ddd4155211f7bc11468c1d262b1003286,jul,2019,cool,hold,Harrington,714.6013916500995,710.5526838966202,710.5576540755467,0.0,False,False,False
0ad826a253a907f5946f8402db4a56a04d9f0e69,jul,2019,cool,auto,Wilmington,782.0466666666666,781.9533333333334,657.4733333333334,48.0,False,False,False
0c2f403927d91e022082e590be9a6c25a50e1eb6,jul,2019,cool,auto,Wilmington,748.8921644685803,751.2129557796742,750.3471683475562,39.0,False,False,True
0c2f403927d91e022082e590be9a6c25a50e1eb6,jul,2019,cool,hold,Wilmington,746.7228033472803,750.4299163179917,750.4299163179917,39.0,False,False,True
0f4f6f6ec2bd31e06c5897e74c6b06e789bbd188,jul,2019,cool,auto,Newark,791.3438735177865,757.2094861660079,756.2490118577075,25.0,False,False,False
0f4f6f6ec2bd31e06c5897e74c6b06e789bbd188,jul,2019,cool,hold,Newark,785.7557603686636,762.2857142857143,761.7511520737327,25.0,False,False,False
11d84820d97292fd2ac228b5170ac611815a10b3,jul,2019,cool,auto,Wilmington,739.8350324374421,745.4383688600556,657.5118937287612,57.0,False,False,False
11d84820d97292fd2ac228b5170ac611815a10b3,jul,2019,cool,hold,Wilmington,729.6666666666666,731.8371501272264,730.8575063613232,57.0,False,False,False
121d4bdc3546c916ed15f98ab09d20a8d491f387,jul,2019,cool,hold,Smyrna,737.4285714285714,721.1428571428571,718.8571428571429,20.0,False,False,False
13930cf5ac8184837d312497236069c4468cdd71,jul,2019,cool,auto,Ocean View,797.7733333333333,800.0,790.0,10.0,False,False,True
13930cf5ac8184837d312497236069c4468cdd71,jul,2019,cool,hold,Ocean View,748.8304093567251,751.0058479532164,745.7543859649123,10.0,False,False,True
14f167a2351dad895071a2093d851f853aa965da,jul,2019,cool,auto,Millville,734.9304750869061,755.1784472769409,750.7033603707995,9.0,False,False,False
14f167a2351dad895071a2093d851f853aa965da,jul,2019,cool,hold,Millville,752.3486146095718,765.3944584382872,753.9284634760705,9.0,False,False,False
163fa500b687c9e0a3f1f0d620c9406653690f9c,jul,2019,auto,auto,Long Neck,792.926377118644,810.8612288135594,650.0,0.0,False,False,False
163fa500b687c9e0a3f1f0d620c9406653690f9c,jul,2019,auto,hold,Long Neck,787.3442054129077,812.7626648160999,650.0,0.0,False,False,False
18f7ccf6b435622cb968d6da44cda99f382171bf,jul,2019,cool,hold,Camden Wyoming,745.2631578947369,722.3092105263158,721.9868421052631,27.0,False,False,True
1f6a98a58b7cbdbb109e2f2f9c6677760e612690,jul,2019,cool,auto,Georgetown,721.8333333333334,719.75,718.2916666666666,20.0,False,False,False
1f6a98a58b7cbdbb109e2f2f9c6677760e612690,jul,2019,cool,hold,Georgetown,715.7086614173228,711.1732283464567,710.2125984251968,20.0,False,False,False
21928216c72d02f4395d9585af619b190c11ed47,jul,2019,cool,auto,Claymont ,729.4681888147768,724.4894817855311,730.0,115.0,False,False,True
22d1d3b362a7b650679adf4fc2c4b9c8eedee8ac,jul,2019,cool,auto,Newark,705.5,700.0,700.0,40.0,True,False,True
26f2c9803e190ab6383302dbf7ac87b09e9a10fc,jul,2019,cool,auto,Wilmington,767.3175675675676,771.9016516516516,757.7995495495495,79.0,True,False,False
26f2c9803e190ab6383302dbf7ac87b09e9a10fc,jul,2019,cool,hold,Wilmington,763.2547770700637,768.3106320431161,766.3076923076923,79.0,True,False,False
29be385bd791c88a9b57057c39592a8603672c9b,jul,2019,auto,auto,Townsend,745.834375,742.41875,669.9375,45.0,False,False,True
29be385bd791c88a9b57057c39592a8603672c9b,jul,2019,auto,hold,Townsend,767.2118353344769,763.1955403087478,663.0531732418525,45.0,False,False,True
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,jul,2019,cool,auto,Camden Wyoming,748.7814207650273,742.2331511839709,741.4936247723133,10.0,False,False,False
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,jul,2019,cool,hold,Camden Wyoming,750.675,743.96875,741.5125,10.0,False,False,False
2e0bf3d56d5cc793e2be36a8125b79af99133ca5,jul,2019,cool,auto,Townsend,763.2413793103449,769.8965517241379,769.8965517241379,10.0,False,False,False
2e0bf3d56d5cc793e2be36a8125b79af99133ca5,jul,2019,cool,hold,Townsend,752.6666666666666,730.6666666666666,728.3333333333334,10.0,False,False,False
31c53ad9cd3a77a664496763de2bd953f64719be,jul,2019,cool,auto,Newark,703.731884057971,711.7391304347826,711.7391304347826,20.0,False,False,False
