Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
18f7ccf6b435622cb968d6da44cda99f382171bf,jun,2017,cool,auto,Camden Wyoming,738.1196877710321,755.1977450130096,664.6366001734606,27.0,False,False,True
18f7ccf6b435622cb968d6da44cda99f382171bf,jun,2017,cool,hold,Camden Wyoming,689.675105485232,688.8818565400844,688.7067510548524,27.0,False,False,True
21928216c72d02f4395d9585af619b190c11ed47,jun,2017,cool,auto,Claymont ,736.6248313090418,730.0,700.0,115.0,False,False,True
21a8021fbd2bc2e837a130d42a96082c5b166d78,jun,2017,cool,hold,Middletown,703.5529100529101,703.8095238095239,703.8095238095239,30.0,False,False,False
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,jun,2017,cool,auto,Camden Wyoming,756.0188679245283,747.9433962264151,692.0157232704403,10.0,False,False,False
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,jun,2017,cool,hold,Camden Wyoming,772.0,769.0641025641025,769.0576923076923,10.0,False,False,False
2def1e7802bce77e54325f0fea8af43d6a73f830,jun,2017,cool,hold,Selbyville,748.3786982248521,723.9644970414201,723.9644970414201,5.0,False,False,False
321ba24265dfd2afb6e168f39f5d428954b286c9,jun,2017,cool,auto,Townsend,692.2441443923946,699.841003031138,707.5141912372554,5.0,False,False,False
321ba24265dfd2afb6e168f39f5d428954b286c9,jun,2017,cool,hold,Townsend,712.4545454545455,723.2727272727273,723.305785123967,5.0,False,False,False
3565d7bb056bf002f140d29767967102159b869c,jun,2017,auto,auto,Middletown,798.696875,811.2541666666667,670.0,0.0,False,False,False
3565d7bb056bf002f140d29767967102159b869c,jun,2017,auto,hold,Middletown,797.6273764258555,806.6558935361217,670.0,0.0,False,False,False
4076535ffffd3cbff0257d6e4d073570cb6975f5,jun,2017,cool,auto,Bear,731.6481481481482,730.0,730.0,15.0,False,False,False
4076535ffffd3cbff0257d6e4d073570cb6975f5,jun,2017,cool,hold,Bear,730.3277777777778,728.0,728.0,15.0,False,False,False
4228fa99f653c336280a15a438be7cc17a035794,jun,2017,auto,auto,Middletown,716.9550561797753,720.7191011235955,669.3595505617977,10.0,False,False,False
452ccc6abbdb5b30c8fead0da0898a06eff18cff,jun,2017,cool,auto,Frankford,746.8148788927335,749.9896193771626,667.6833910034602,5.0,True,False,True
452ccc6abbdb5b30c8fead0da0898a06eff18cff,jun,2017,cool,hold,Frankford,729.3397435897435,734.05,734.0051282051282,5.0,True,False,True
5e7ccce35cfa7d15e25e46b921bcc05492299e78,jun,2017,auto,auto,Middletown,797.516447368421,817.4013157894736,670.0,0.0,False,False,False
5e7ccce35cfa7d15e25e46b921bcc05492299e78,jun,2017,auto,hold,Middletown,805.7920203735144,806.4074702886248,670.0,0.0,False,False,False
60b2d90511bbe74e5ad63e3c15e1a3f54c2f5aff,jun,2017,cool,auto,Newark,755.4347826086956,754.9565217391304,709.7536231884058,30.0,False,False,False
61c4b0f9becb8984f29f58e3a022ee75c831e890,jun,2017,auto,auto,Dover,714.5593220338983,818.1864406779661,639.8644067796611,16.0,False,False,False
61c4b0f9becb8984f29f58e3a022ee75c831e890,jun,2017,auto,hold,Dover,695.1324200913242,695.1735159817351,635.0068493150685,16.0,False,False,False
638ba7c8c77d957afcbc76ba71f3d765b4237cd5,jun,2017,cool,auto,New Castle,756.2220077220077,755.3194980694981,760.2972972972973,5.0,False,False,False
638ba7c8c77d957afcbc76ba71f3d765b4237cd5,jun,2017,cool,hold,New Castle,766.5593220338983,763.5112994350283,763.5310734463277,5.0,False,False,False
646f6f9b6bf9fe289de9a55f5929e138b76f738a,jun,2017,auto,auto,Middletown,711.0,760.0,680.0,5.0,False,False,False
697174de82e96464852f56a1ffafb8db521baa08,jun,2017,auto,hold,Newark,676.025641025641,705.0,655.0,55.0,False,False,False
6b35de933c67cb21ae7e2d91d8ed2d4500971e86,jun,2017,auto,hold,Hockessin,707.3877551020408,710.0,660.0,30.0,True,False,True
6c0521ad14d0a889e4eda839e4b802054c4f5831,jun,2017,cool,auto,Newark,782.3885350318471,785.6942675159236,662.3885350318471,15.0,False,False,False
6c0521ad14d0a889e4eda839e4b802054c4f5831,jun,2017,cool,hold,Newark,793.5208333333334,796.3541666666666,797.0416666666666,15.0,False,False,False
72a96bab921ce6e47de4b55e7730aa0e84a62b42,jun,2017,cool,auto,Frankford,749.5276073619632,750.0736196319018,738.0674846625767,5.0,True,False,True
72a96bab921ce6e47de4b55e7730aa0e84a62b42,jun,2017,cool,hold,Frankford,738.2135250266241,772.6544195953142,758.1368477103301,5.0,True,False,True
72a96bab921ce6e47de4b55e7730aa0e84a62b42,jun,2017,heat,auto,Frankford,723.4421052631579,650.0,610.0,5.0,True,False,True
75c21120aa4d144b7c6c138611846a30838cfaf5,jun,2017,cool,auto,Milton,773.7319347319348,774.5221445221446,631.0326340326341,10.0,False,False,False
75c21120aa4d144b7c6c138611846a30838cfaf5,jun,2017,cool,hold,Milton,736.9487179487179,740.7692307692307,737.6153846153846,10.0,False,False,False
789215502796ec24f3fa4468f7ae8fa003aaf5bd,jun,2017,auto,auto,Middletown,757.3181818181819,740.0,690.0,25.0,False,False,False
7b382f97d6ed8f50c881992217f24ace3989dd43,jun,2017,cool,auto,Wilmington,679.3004807692307,680.1454326923077,680.6646634615385,0.0,False,False,False
7b382f97d6ed8f50c881992217f24ace3989dd43,jun,2017,cool,hold,Wilmington,694.1214215202369,698.4738400789734,698.4728529121421,0.0,False,False,False
8cd045ac8a8519a681320f2cbad9bd5369acc939,jun,2017,cool,auto,Newark,760.7975510204082,753.9910204081633,651.8024489795919,5.0,False,False,False
8cec6aa19a42510a18c256427a5798e1126e6b96,jun,2017,auto,auto,Middletown,730.027397260274,727.0045662100457,680.0,15.0,False,False,False
8cec6aa19a42510a18c256427a5798e1126e6b96,jun,2017,auto,hold,Middletown,733.994923857868,729.730964467005,680.0,15.0,False,False,False
8e12babe8e6ece4bf6d2eaef55fb89d48b024bed,jun,2017,cool,auto,Seaford,726.9701492537314,724.4925373134329,711.3432835820895,5.0,True,False,True
8e12babe8e6ece4bf6d2eaef55fb89d48b024bed,jun,2017,cool,hold,Seaford,745.1417322834645,742.992125984252,742.9763779527559,5.0,True,False,True
8e12babe8e6ece4bf6d2eaef55fb89d48b024bed,jun,2017,heat,auto,Seaford,746.25,730.0,730.0,5.0,True,False,True
9d30d04feccfcdd6bf548779873d9ac979298cff,jun,2017,cool,auto,Camden Wyoming,723.2585836909872,758.8712446351931,660.8175965665237,27.0,False,False,False
9d30d04feccfcdd6bf548779873d9ac979298cff,jun,2017,cool,hold,Camden Wyoming,731.0588235294117,725.3970588235294,723.9411764705883,27.0,False,False,False
ab1ae2944a11c23b331a730b140a343e2172018c,jun,2017,auto,auto,Houston,756.7142857142857,755.2857142857143,705.2857142857143,20.0,False,False,True
ab5a9b61c056b033400697326a4873f0dc659052,jun,2017,cool,auto,Camden,713.5027624309392,719.7149171270718,715.9226519337017,0.0,False,False,False
ab5a9b61c056b033400697326a4873f0dc659052,jun,2017,cool,hold,Camden,713.6607858861267,713.9045709703288,713.9045709703288,0.0,False,False,False
b17ef9aa6b344f9ab7c7d4a7b04e0e52565132f3,jun,2017,cool,auto,Milton,749.334693877551,750.1469387755102,680.1795918367347,10.0,False,False,False
b17ef9aa6b344f9ab7c7d4a7b04e0e52565132f3,jun,2017,cool,hold,Milton,766.2777777777778,840.0,790.0,10.0,False,False,False
b6797607c0959418980ed13ca8887d5ca0cebcef,jun,2017,auto,auto,Wilmington,738.868778280543,737.7058823529412,680.0452488687782,65.0,False,False,False
b6797607c0959418980ed13ca8887d5ca0cebcef,jun,2017,auto,hold,Wilmington,735.327868852459,733.1639344262295,683.1147540983607,65.0,False,False,False
b7700aa6c467694f28b83690983d25a58dee0c94,jun,2017,cool,auto,Wilmington,751.6656346749226,766.6950464396285,680.0696594427245,45.0,False,False,False
b7700aa6c467694f28b83690983d25a58dee0c94,jun,2017,cool,hold,Wilmington,768.598445595855,770.0,770.0,45.0,False,False,False
c9c0cbe0ff333388b6c45df3a06ec1d707f372aa,jun,2017,auto,hold,Townsend,732.1803278688525,800.0,690.0,10.0,False,False,False
c9c0cbe0ff333388b6c45df3a06ec1d707f372aa,jun,2017,cool,hold,Townsend,673.7692307692307,673.1318681318681,673.1318681318681,10.0,False,False,False
d90de80fbfc586b72b80946294a9f3c88e052572,jun,2017,auto,auto,Newark,760.8210526315789,760.0,700.0,0.0,False,False,False
d90de80fbfc586b72b80946294a9f3c88e052572,jun,2017,auto,hold,Newark,743.054794520548,747.6494555672638,673.3185809624166,0.0,False,False,False
d9c2a9a0efed7e21cd5774c78067eb7b94fd883e,jun,2017,cool,hold,Hockessin,772.0588235294117,761.1176470588235,755.5294117647059,27.0,False,False,False
db656e3701d940826b8b2f0af8a139746e7effc7,jun,2017,cool,auto,Ocean View,744.8948787061995,742.0067385444744,742.0067385444744,15.0,True,False,True
db656e3701d940826b8b2f0af8a139746e7effc7,jun,2017,cool,hold,Ocean View,741.6339193381592,746.5532574974147,746.4943123061014,15.0,True,False,True
db656e3701d940826b8b2f0af8a139746e7effc7,jun,2017,heat,auto,Ocean View,734.3333333333334,720.0,720.0,15.0,True,False,True
db656e3701d940826b8b2f0af8a139746e7effc7,jun,2017,heat,hold,Ocean View,737.3333333333334,740.2592592592592,740.2592592592592,15.0,True,False,True
e1d0e7745fb8ca0ba9780a576a110604b08d59e5,jun,2017,cool,auto,Milton,754.0646830530401,802.0206985769728,685.7671410090556,15.0,False,False,False
e33f9f93ce853244445f8a18ad1de745868d5126,jun,2017,cool,hold,Hockessin,764.3095238095239,760.1428571428571,759.6904761904761,25.0,False,False,False
ec4828182a6d3fa637ae999bdc6ec93c2bdbb38b,jun,2017,cool,hold,Seaford,723.4593202883625,724.7270854788877,724.7270854788877,45.0,True,False,True
f1c31e2900d9c0cadbba9552cffcdeca139f6d71,jun,2017,auto,auto,Claymont ,732.315250767656,728.0174002047083,677.338792221085,0.0,False,False,True
f1c31e2900d9c0cadbba9552cffcdeca139f6d71,jun,2017,auto,hold,Claymont ,721.8499106611079,726.36748064324,654.4419297200715,0.0,False,False,True
