Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
000901820a1c537e3432a15731cf77e975629e0e,aug,2019,auto,auto,Tampa,747.4474885844749,746.3013698630137,690.0,17.0,False,False,False
000901820a1c537e3432a15731cf77e975629e0e,aug,2019,auto,hold,Tampa,751.2522349936143,748.7126436781609,688.6717752234994,17.0,False,False,False
004eace3d5227d38038ecf0d6a0b77a6d8076347,aug,2019,cool,auto,Callaway,786.2761557177615,779.985401459854,656.8150851581509,19.0,False,False,False
004eace3d5227d38038ecf0d6a0b77a6d8076347,aug,2019,cool,hold,Callaway,779.8297872340426,779.6808510638298,778.936170212766,19.0,False,False,False
006aca82557f890afe8cbaceecb61dba2496e4a2,aug,2019,cool,auto,Delray Beach,737.1931275851098,735.5014317531021,735.5014317531021,10.0,False,False,False
008b53c11b3b4c56fac3ef938ccd9a34d7755d30,aug,2019,cool,hold,Davie,741.4611111111111,740.7611111111111,738.8777777777777,30.0,False,False,False
0091af859415cf1a74a3666695db239ecfa92c55,aug,2019,cool,auto,Altamonte Springs,719.906432748538,720.0,730.0,0.0,True,False,True
0091af859415cf1a74a3666695db239ecfa92c55,aug,2019,cool,hold,Altamonte Springs,717.0304,724.87712,724.87712,0.0,True,False,True
0095bd368e74c4198baf0ddf67f8fbab85e8c36a,aug,2019,auto,hold,Gainesville,695.1333333333333,690.0,640.0,0.0,False,False,True
009f2d083602fc18af484461e4d9a1e214b4da7b,aug,2019,cool,auto,St Augustine,772.4688498402556,770.983626198083,770.983626198083,0.0,False,False,True
00a0ba0bfeea7231dafbda9e1eef1d32fd02e14b,aug,2019,auto,auto,Orlando,745.9166666666666,740.7083333333334,670.0,0.0,False,False,True
00a0ba0bfeea7231dafbda9e1eef1d32fd02e14b,aug,2019,auto,hold,Orlando,751.7083333333334,740.7916666666666,670.0,0.0,False,False,True
00dba746d23813427e3ce47667fa8b1c9b6cfed1,aug,2019,cool,hold,Palm Coast,773.4705882352941,771.4705882352941,756.9411764705883,10.0,False,False,True
00eb39d31738bf808cefcfef48f29d22191f8a13,aug,2019,cool,auto,Davenport,747.6081871345029,740.0,760.0,19.0,True,False,True
00f499ccff08cdaf098e0b8e3636bede155498d9,aug,2019,cool,auto,Orlando,744.3552631578947,740.4868421052631,739.0263157894736,100.0,False,False,True
00f499ccff08cdaf098e0b8e3636bede155498d9,aug,2019,cool,hold,Orlando,759.1776155717762,756.4635036496351,756.1751824817518,100.0,False,False,True
00ff8d260cae36bf81f5ce892b1dba5ee8d21ceb,aug,2019,auto,auto,Dunedin,744.8333333333334,740.0,700.0,15.0,False,False,True
