Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00020f16d85e6d8c70fc67725f03ab06b116fead,dec,2019,auto,auto,Jacksonville,719.961432506887,756.7079889807162,686.7079889807162,5.0,False,False,True
00020f16d85e6d8c70fc67725f03ab06b116fead,dec,2019,auto,hold,Jacksonville,727.4893617021277,760.2553191489362,696.2978723404256,5.0,False,False,True
00020f16d85e6d8c70fc67725f03ab06b116fead,dec,2019,heat,auto,Jacksonville,731.0,757.2804532577903,687.2804532577903,5.0,False,False,True
00020f16d85e6d8c70fc67725f03ab06b116fead,dec,2019,heat,hold,Jacksonville,738.437751004016,733.7791164658635,733.7791164658635,5.0,False,False,True
000901820a1c537e3432a15731cf77e975629e0e,dec,2019,auto,auto,Tampa,736.5333333333333,770.0,720.0,17.0,False,False,False
000901820a1c537e3432a15731cf77e975629e0e,dec,2019,auto,hold,Tampa,732.6687116564417,758.657055214724,707.0233128834356,17.0,False,False,False
003c0681b37d3669c70c9fe0237fa4515186045a,dec,2019,auto,auto,Orlando,750.8648648648649,760.5675675675676,708.972972972973,9.0,True,False,True
004eace3d5227d38038ecf0d6a0b77a6d8076347,dec,2019,auto,auto,Callaway,704.75,750.0,699.7083333333334,19.0,False,False,False
004eace3d5227d38038ecf0d6a0b77a6d8076347,dec,2019,auto,hold,Callaway,697.6509433962265,758.7735849056604,685.377358490566,19.0,False,False,False
006aca82557f890afe8cbaceecb61dba2496e4a2,dec,2019,cool,auto,Delray Beach,726.1983122362869,729.0506329113924,729.0506329113924,10.0,False,False,False
006aca82557f890afe8cbaceecb61dba2496e4a2,dec,2019,cool,hold,Delray Beach,706.6370370370371,706.0,706.0,10.0,False,False,False
006aca82557f890afe8cbaceecb61dba2496e4a2,dec,2019,heat,auto,Delray Beach,685.0,710.0,710.0,10.0,False,False,False
008b53c11b3b4c56fac3ef938ccd9a34d7755d30,dec,2019,cool,hold,Davie,709.6666666666666,708.4181818181818,708.3454545454546,30.0,False,False,False
0091af859415cf1a74a3666695db239ecfa92c55,dec,2019,cool,auto,Altamonte Springs,700.7352776219855,722.7066741447,701.1996634885026,0.0,True,False,True
0091af859415cf1a74a3666695db239ecfa92c55,dec,2019,cool,hold,Altamonte Springs,699.3455882352941,722.5,722.5,0.0,True,False,True
0091af859415cf1a74a3666695db239ecfa92c55,dec,2019,heat,auto,Altamonte Springs,701.1444695259594,720.0,702.4830699774267,0.0,True,False,True
009f2d083602fc18af484461e4d9a1e214b4da7b,dec,2019,cool,auto,St Augustine,745.2286981311372,770.6255939182769,770.417168197656,0.0,False,False,True
00a0ba0bfeea7231dafbda9e1eef1d32fd02e14b,dec,2019,auto,auto,Orlando,705.2,730.8571428571429,667.1428571428571,0.0,False,False,True
00a0ba0bfeea7231dafbda9e1eef1d32fd02e14b,dec,2019,auto,hold,Orlando,729.1898734177215,727.1772151898734,640.0,0.0,False,False,True
00cfb810909eb342ce649a0058c00cdfdb170682,dec,2019,auto,auto,Jacksonville,715.0955091714105,750.0,680.0,5.0,True,False,True
00dba746d23813427e3ce47667fa8b1c9b6cfed1,dec,2019,cool,hold,Palm Coast,767.8333333333334,770.0,768.5,10.0,False,False,True
00eb39d31738bf808cefcfef48f29d22191f8a13,dec,2019,auto,auto,Davenport,716.7872340425532,755.9148936170212,705.581560283688,19.0,True,False,True
00eb39d31738bf808cefcfef48f29d22191f8a13,dec,2019,auto,hold,Davenport,721.7977528089888,720.1385767790263,670.1385767790263,19.0,True,False,True
00eb39d31738bf808cefcfef48f29d22191f8a13,dec,2019,cool,auto,Davenport,715.5,720.0,720.0,19.0,True,False,True
00f499ccff08cdaf098e0b8e3636bede155498d9,dec,2019,cool,auto,Orlando,865.0,720.0,720.0,100.0,False,False,True
00f499ccff08cdaf098e0b8e3636bede155498d9,dec,2019,cool,hold,Orlando,717.3300653594771,760.0,760.0,100.0,False,False,True
00f499ccff08cdaf098e0b8e3636bede155498d9,dec,2019,heat,hold,Orlando,702.5555555555555,718.925925925926,717.3703703703703,100.0,False,False,True
00ff8d260cae36bf81f5ce892b1dba5ee8d21ceb,dec,2019,auto,auto,Dunedin,724.2394366197183,759.5774647887324,686.5211267605633,15.0,False,False,True
00ff8d260cae36bf81f5ce892b1dba5ee8d21ceb,dec,2019,auto,hold,Dunedin,709.1509433962265,766.2264150943396,682.1509433962265,15.0,False,False,True
01047c4cced05cfd81b6a7c9c263239317203975,dec,2019,auto,hold,Oviedo,745.4651988636364,760.2982954545455,716.1789772727273,0.0,False,False,True
01047c4cced05cfd81b6a7c9c263239317203975,dec,2019,cool,hold,Oviedo,729.5770308123249,732.8571428571429,732.8571428571429,0.0,False,False,True
010d163ff30bf0bec053fbe9f37aec19d04fe63c,dec,2019,cool,auto,Seminole,756.8666666666667,755.4,755.4,60.0,True,False,False
010d163ff30bf0bec053fbe9f37aec19d04fe63c,dec,2019,cool,hold,Seminole,750.448275862069,778.6206896551724,778.6206896551724,60.0,True,False,False
010d163ff30bf0bec053fbe9f37aec19d04fe63c,dec,2019,heat,hold,Seminole,732.3333333333334,726.0454545454545,726.0454545454545,60.0,True,False,False
0111c97d7cf8b41eebf3da6762cce0fb8c3fe235,dec,2019,auto,hold,MIAMI,732.5294117647059,730.0,680.0,50.0,False,False,False
011b1b16fc9de9b968cb7f8b3941e8a42397ac0e,dec,2019,auto,hold,Hudson,727.3223896663079,740.7271259418729,680.275565123789,19.0,True,False,True
011b1b16fc9de9b968cb7f8b3941e8a42397ac0e,dec,2019,heat,hold,Hudson,720.1666666666666,720.0,720.0,19.0,True,False,True
016ed9f11640b675bc19bc1631dea6148f935742,dec,2019,auto,auto,Ocoee,739.0357142857143,756.0765306122449,696.1224489795918,20.0,False,False,True
016ed9f11640b675bc19bc1631dea6148f935742,dec,2019,auto,hold,Ocoee,751.5555555555555,747.7777777777778,697.7777777777778,20.0,False,False,True
01795683bab239f8b031fff01e133b47fd59b42d,dec,2019,cool,auto,Miami,741.7758923346987,744.2340550029257,763.9332943241661,68.0,False,False,False
01795683bab239f8b031fff01e133b47fd59b42d,dec,2019,cool,hold,Miami,751.6652323580034,749.947504302926,749.8537005163511,68.0,False,False,False
017ae10b40116a2af301f0773330879acba8567e,dec,2019,cool,auto,Wellington,727.4,720.1333333333333,632.0,20.0,True,False,False
017ae10b40116a2af301f0773330879acba8567e,dec,2019,cool,hold,Wellington,759.7878787878788,759.9242424242424,632.0,20.0,True,False,False
01880937a57f05d903419539b8baf4bba5a953dc,dec,2019,cool,auto,West Palm Beach,755.3157894736842,774.1578947368421,774.0,0.0,False,False,False
01880937a57f05d903419539b8baf4bba5a953dc,dec,2019,cool,hold,West Palm Beach,747.8351764086361,792.5745129015271,787.0084254870985,0.0,False,False,False
01a74b0a4ffc2ce53e3d860f031d58b8761feaa7,dec,2019,auto,auto,Hollywood,716.6495726495726,722.9487179487179,669.3589743589744,18.0,False,False,False
01a74b0a4ffc2ce53e3d860f031d58b8761feaa7,dec,2019,auto,hold,Hollywood,714.2241935483871,728.1048387096774,671.0096774193548,18.0,False,False,False
01ae2fc4200eaca2d99664df1fa68d2f8f5217ae,dec,2019,auto,auto,Jacksonville,699.7317073170732,770.0,699.869918699187,75.0,False,False,True
01ae2fc4200eaca2d99664df1fa68d2f8f5217ae,dec,2019,auto,hold,Jacksonville,700.6547811993516,765.6077795786061,689.3354943273906,75.0,False,False,True
01db216ad7677f79e9f5576a03d6569ebd50e34a,dec,2019,auto,hold,Davie,715.71875,725.0,690.0,0.0,True,False,True
01e62d1381f1581f48e566e4112855662e197a69,dec,2019,auto,auto,Wesley Chapel,720.5879629629629,766.9444444444445,715.6944444444445,10.0,True,False,True
01f559c112de9573c69ceda383e731c94f1a8d62,dec,2019,auto,hold,Palm City,752.25,750.0,700.0,0.0,True,False,False
01f559c112de9573c69ceda383e731c94f1a8d62,dec,2019,cool,auto,Palm City,729.4455445544554,728.7920792079208,733.4158415841584,0.0,True,False,False
