Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
000901820a1c537e3432a15731cf77e975629e0e,feb,2021,auto,hold,Tampa,731.7157738095239,760.3080357142857,710.3080357142857,17.0,False,False,False
0024f0f900a4ff6923e95a2a20ee94c699ecf167,feb,2021,cool,hold,Miami,756.9235668789809,754.9044585987261,754.9044585987261,0.0,False,False,False
004eace3d5227d38038ecf0d6a0b77a6d8076347,feb,2021,auto,hold,Callaway,691.1291319122645,722.4476367006488,672.4476367006488,19.0,False,False,False
006ce41c830089603cbfd251f162d2b17b0b8a40,feb,2021,auto,hold,Naples,737.8333333333334,741.6666666666666,685.1666666666666,65.0,False,False,False
006cf58d2fb7c564d26d27cf5945f8d89e023ee4,feb,2021,cool,hold,Miami,783.1858974358975,797.7435897435897,699.5897435897435,28.0,False,False,False
008b53c11b3b4c56fac3ef938ccd9a34d7755d30,feb,2021,cool,hold,Davie,736.1666666666666,737.6666666666666,737.6666666666666,30.0,False,False,False
0091af859415cf1a74a3666695db239ecfa92c55,feb,2021,cool,hold,Altamonte Springs,715.715162138475,719.9132340052586,719.9211218229623,0.0,True,False,True
0091af859415cf1a74a3666695db239ecfa92c55,feb,2021,heat,hold,Altamonte Springs,687.974358974359,690.0,690.0,0.0,True,False,True
00a0ba0bfeea7231dafbda9e1eef1d32fd02e14b,feb,2021,auto,hold,Orlando,690.7857142857143,747.1428571428571,680.0,0.0,False,False,True
00ce4849d0b816b3855d42473bca15cad7019f07,feb,2021,auto,hold,Naples,740.328125,755.578125,699.21875,5.0,False,False,False
00cfb810909eb342ce649a0058c00cdfdb170682,feb,2021,auto,hold,Jacksonville,721.5694200351494,780.0,700.0,5.0,True,False,True
00dba746d23813427e3ce47667fa8b1c9b6cfed1,feb,2021,cool,hold,Palm Coast,717.75,720.3888888888889,719.6851851851852,10.0,False,False,True
00dba746d23813427e3ce47667fa8b1c9b6cfed1,feb,2021,heat,hold,Palm Coast,662.4375,701.75,699.5,10.0,False,False,True
00eb39d31738bf808cefcfef48f29d22191f8a13,feb,2021,auto,hold,Davenport,725.8523430592396,830.0,680.0,19.0,True,False,True
00ff8d260cae36bf81f5ce892b1dba5ee8d21ceb,feb,2021,auto,hold,Dunedin,732.0655737704918,765.2459016393443,700.4098360655738,15.0,False,False,True
01047c4cced05cfd81b6a7c9c263239317203975,feb,2021,auto,hold,Oviedo,739.9381598793364,756.7138009049773,690.0,0.0,False,False,True
01047c4cced05cfd81b6a7c9c263239317203975,feb,2021,cool,hold,Oviedo,725.5686274509804,720.0,720.0,0.0,False,False,True
011b1b16fc9de9b968cb7f8b3941e8a42397ac0e,feb,2021,cool,hold,Hudson,696.733393583371,706.7844554902847,706.7844554902847,19.0,True,False,True
011b1b16fc9de9b968cb7f8b3941e8a42397ac0e,feb,2021,heat,hold,Hudson,621.5,692.5,697.5,19.0,True,False,True
016ed9f11640b675bc19bc1631dea6148f935742,feb,2021,auto,hold,Ocoee,742.5100222717149,740.0089086859688,690.0089086859688,20.0,False,False,True
016ed9f11640b675bc19bc1631dea6148f935742,feb,2021,cool,hold,Ocoee,651.1463414634146,650.1463414634146,650.1463414634146,20.0,False,False,True
017ae10b40116a2af301f0773330879acba8567e,feb,2021,cool,hold,Wellington,755.6842105263158,756.6315789473684,690.4473684210526,20.0,True,False,False
