Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0010e47e4b45d741375cce16b3f2834662857046,aug,2019,cool,auto,Dunwoody,707.3984547461368,709.9724061810155,709.9724061810155,59.0,True,False,False
0010e47e4b45d741375cce16b3f2834662857046,aug,2019,cool,hold,Dunwoody,716.0794995964487,715.5492332526231,715.5403551251009,59.0,True,False,False
002928222f5a2b5cfeba53f3aca5d5f24f6c4fe8,aug,2019,cool,auto,Columbus,775.6128404669261,783.0836575875486,761.7996108949417,40.0,False,False,False
002928222f5a2b5cfeba53f3aca5d5f24f6c4fe8,aug,2019,cool,hold,Columbus,738.229100768188,736.5630366018979,736.5268865793041,40.0,False,False,False
006f827019c7979541901360ed5bbdf1ef265887,aug,2019,auto,auto,Grovetown,784.2708333333334,778.1145833333334,725.6145833333334,10.0,True,False,True
006f827019c7979541901360ed5bbdf1ef265887,aug,2019,auto,hold,Grovetown,788.8837209302326,775.3023255813954,725.3023255813954,10.0,True,False,True
0070efdb5ff09d96c8cc5aab956ed49ef5b838b1,aug,2019,auto,hold,Duluth,790.0,686.1666666666666,635.0,0.0,False,False,False
0079fd3bd6d21b1c2af606db47f8e9ffa2e23977,aug,2019,auto,hold,Atlanta,769.7234042553191,756.4893617021277,670.3191489361702,0.0,True,False,False
00ab57c6dcdcfd4036692fd4a461a692798a8fde,aug,2019,auto,hold,Marietta,717.3333333333334,698.3333333333334,648.3333333333334,5.0,False,False,False
00f7421db7f18ca88fc2278349eb2b907da9ac5e,aug,2019,cool,auto,Dacula,765.5581687049232,766.0407651301348,766.0072122922546,10.0,False,False,False
00f7421db7f18ca88fc2278349eb2b907da9ac5e,aug,2019,cool,hold,Dacula,781.5,760.3,758.35,10.0,False,False,False
012cda5066148e58ba84c4aa66c65b952acd2412,aug,2019,cool,auto,Marietta,764.8205980066446,766.3953488372093,766.3953488372093,9.0,True,False,False
012cda5066148e58ba84c4aa66c65b952acd2412,aug,2019,cool,hold,Marietta,772.1474844934528,779.1268090971744,744.1502412129565,9.0,True,False,False
01306ca8cc8014c56083dcf50a882aabe2215c8c,aug,2019,cool,auto,Stone Mountain,744.5810147299509,741.5572831423896,740.759410801964,30.0,False,False,False
