Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
002928222f5a2b5cfeba53f3aca5d5f24f6c4fe8,Jan,2018,heat,auto,Columbus,722.1744186046511,723.7819767441861,723.7819767441861,40.0,False,False,False
002928222f5a2b5cfeba53f3aca5d5f24f6c4fe8,Jan,2018,heat,hold,Columbus,718.7077385424493,718.297520661157,718.297520661157,40.0,False,False,False
00474e9c5a4122916b24150ad706014b0c17eb90,Jan,2018,cool,hold,Newnan,728.8,701.2,701.2,10.0,False,False,False
00474e9c5a4122916b24150ad706014b0c17eb90,Jan,2018,heat,auto,Newnan,701.5760517799353,706.4563106796116,705.3430420711974,10.0,False,False,False
00474e9c5a4122916b24150ad706014b0c17eb90,Jan,2018,heat,hold,Newnan,709.685908319185,711.911714770798,711.8285229202037,10.0,False,False,False
0070efdb5ff09d96c8cc5aab956ed49ef5b838b1,Jan,2018,auto,auto,Duluth,762.5692307692308,795.0,765.0,0.0,False,False,False
0070efdb5ff09d96c8cc5aab956ed49ef5b838b1,Jan,2018,auto,hold,Duluth,768.0416666666666,800.2708333333334,769.1875,0.0,False,False,False
0079fd3bd6d21b1c2af606db47f8e9ffa2e23977,Jan,2018,auto,hold,Atlanta,678.6387096774193,744.3290322580646,685.6967741935484,0.0,True,False,False
007b945172cb726b360ffa1ab95f88d706fe99ac,Jan,2018,heat,auto,Marietta,701.4586466165414,717.0375939849624,711.7894736842105,20.0,False,False,False
007b945172cb726b360ffa1ab95f88d706fe99ac,Jan,2018,heat,hold,Marietta,687.0,700.1052631578947,697.0175438596491,20.0,False,False,False
00f7421db7f18ca88fc2278349eb2b907da9ac5e,Jan,2018,heat,auto,Dacula,715.8268194070081,716.2931266846361,716.2614555256065,10.0,False,False,False
00f7421db7f18ca88fc2278349eb2b907da9ac5e,Jan,2018,heat,hold,Dacula,733.1208791208791,735.128434065934,735.128434065934,10.0,False,False,False
01154fe679d313a96b28ac6cb92776f4b3e93f13,Jan,2018,auto,hold,Forsyth,692.5867117117117,780.0,689.4065315315315,17.0,True,False,True
