Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00474e9c5a4122916b24150ad706014b0c17eb90,jul,2017,cool,auto,Newnan,717.2817073170731,714.209756097561,726.7914634146341,10.0,False,False,False
00474e9c5a4122916b24150ad706014b0c17eb90,jul,2017,cool,hold,Newnan,720.1396462785557,717.4539425202653,717.4502579218865,10.0,False,False,False
0070efdb5ff09d96c8cc5aab956ed49ef5b838b1,jul,2017,auto,auto,Duluth,742.6458333333334,712.7291666666666,682.7291666666666,0.0,False,False,False
007b945172cb726b360ffa1ab95f88d706fe99ac,jul,2017,cool,auto,Marietta,803.9834254143647,824.8839779005525,656.8508287292817,20.0,False,False,False
007b945172cb726b360ffa1ab95f88d706fe99ac,jul,2017,cool,hold,Marietta,789.7916666666666,789.9305555555555,789.0972222222222,20.0,False,False,False
00ab57c6dcdcfd4036692fd4a461a692798a8fde,jul,2017,auto,hold,Marietta,734.0526315789474,705.0,655.0,5.0,False,False,False
01154fe679d313a96b28ac6cb92776f4b3e93f13,jul,2017,cool,auto,Forsyth,766.5993265993266,763.8047138047139,670.0,17.0,True,False,True
01660136bfab5bd852382d3017d246e52b96a964,jul,2017,auto,auto,Villa Rica,768.672131147541,760.0,700.0,0.0,False,False,True
0169d230e029ae2b0249208567c157a9b36b0f81,jul,2017,cool,auto,Newnan,725.7073170731708,729.439024390244,696.3821138211382,7.0,False,False,True
0169d230e029ae2b0249208567c157a9b36b0f81,jul,2017,cool,hold,Newnan,718.2390158172232,719.0509666080843,719.0509666080843,7.0,False,False,True
01715ee1ea14f9d3de4170a9315ea9e6b5d012c6,jul,2017,cool,auto,Thomaston,766.3214285714286,759.3392857142857,644.3035714285714,80.0,False,False,False
0179392d99e6ae71c82458839d275a267b128999,jul,2017,auto,auto,Augusta,741.4117647058823,739.9852941176471,650.0,0.0,False,False,False
0179392d99e6ae71c82458839d275a267b128999,jul,2017,auto,hold,Augusta,736.5145429362881,733.8254847645429,650.0,0.0,False,False,False
01a9c8d6b335053f208a194152051a44ef754c75,jul,2017,auto,hold,Cumming,728.8461538461538,740.5384615384615,661.0769230769231,25.0,True,False,True
01d2a26c64ef0d1f87e2b0f3f97d3673be1a9fe6,jul,2017,cool,auto,Marietta,727.0534382767191,724.5008285004143,671.8521126760563,30.0,True,False,False
01d2a26c64ef0d1f87e2b0f3f97d3673be1a9fe6,jul,2017,cool,hold,Marietta,720.2033898305085,716.5169491525423,716.5338983050848,30.0,True,False,False
01e4ea06db07b6b8900408f2986d0de5eb6ffc6f,jul,2017,auto,auto,Atlanta,732.75,727.3461538461538,671.4615384615385,0.0,True,False,True
01e4ea06db07b6b8900408f2986d0de5eb6ffc6f,jul,2017,auto,hold,Atlanta,730.1738660907127,725.0637149028078,664.3606911447084,0.0,True,False,True
01fa2cc62ae098d134700183a28f3cae0e0f3b6d,jul,2017,cool,hold,Decatur,724.04,715.32,712.6,60.0,False,False,False
02637cf52ec847f0847fa2d4fcf7e74395b2d72c,jul,2017,auto,hold,Newnan,726.5294117647059,714.7941176470588,657.3529411764706,5.0,False,False,False
0270fd0e59925e5924bb422d340a9648a56aa85e,jul,2017,cool,hold,Marietta,716.3571428571429,750.0,748.1428571428571,35.0,False,False,False
0291093ba9d1c9f4ca0ff09693428705662f6223,jul,2017,auto,hold,Atlanta,727.9355179704017,725.3002114164905,670.4714587737843,5.0,False,False,False
02a368c803cfdae5ef4acb7cac1448b266d0ba95,jul,2017,cool,auto,Poulan,737.8333333333334,740.8333333333334,743.3333333333334,15.0,False,False,True
02a368c803cfdae5ef4acb7cac1448b266d0ba95,jul,2017,cool,hold,Poulan,739.1507882111035,736.5538039753255,736.5538039753255,15.0,False,False,True
0311c534058d6a2521dda3f7afbcc84c1803af29,jul,2017,auto,hold,Doraville,702.4444444444445,700.0,650.0,60.0,False,False,False
032ff5956eb5b2d9a280a008e3e6b0762609e104,jul,2017,auto,auto,Decatur,706.79,705.68,637.712,60.0,False,False,False
032ff5956eb5b2d9a280a008e3e6b0762609e104,jul,2017,auto,hold,Decatur,715.5629770992366,715.0,637.9561068702291,60.0,False,False,False
03672da094d061540f81928beb1a8fa71754a969,jul,2017,cool,auto,Stone Mountain,739.7850877192982,737.5,730.0,30.0,False,False,False
03672da094d061540f81928beb1a8fa71754a969,jul,2017,cool,hold,Stone Mountain,724.72265625,721.943359375,721.943359375,30.0,False,False,False
03b2075f9cd1331c317942ad7581d90e3a5bb869,jul,2017,auto,auto,Cumming,812.5217391304348,810.0,710.0,15.0,False,False,False
03b2075f9cd1331c317942ad7581d90e3a5bb869,jul,2017,auto,hold,Cumming,796.5384615384615,790.0,720.0,15.0,False,False,False
0487b8f9ba4100a63600f41be593bfd34be1674b,jul,2017,auto,auto,Acworth,733.421052631579,730.0,680.0,5.0,False,False,False
04ac63e52f0461ae097d4fe6ee07ce7e8a272888,jul,2017,cool,auto,Ringgold,706.5542168674699,707.6867469879518,700.0963855421687,0.0,False,False,True
04ac63e52f0461ae097d4fe6ee07ce7e8a272888,jul,2017,cool,hold,Ringgold,698.9904666332162,698.1244355243351,698.1199197190166,0.0,False,False,True
050f6127f3a89955af5bf10542fbb4e1d81eccf7,jul,2017,cool,auto,Marietta,727.4349030470914,725.1897506925208,709.8663434903048,20.0,False,False,False
05a27051c02758c6f0a71ac95257ae9d92f0abcb,jul,2017,cool,auto,Lilburn,744.2783143107989,760.035118525022,704.0386303775241,0.0,False,False,False
05a27051c02758c6f0a71ac95257ae9d92f0abcb,jul,2017,cool,hold,Lilburn,711.6212290502793,720.5106145251397,720.5039106145251,0.0,False,False,False
05b8fc0e5c4c7d99c23b87147bc2a86196f8f767,jul,2017,cool,hold,Lawrenceville,737.8115015974441,730.0159744408945,729.9584664536741,15.0,False,False,False
05e165a23357cfc35b2e9f5b8f5e8514e5f4acc0,jul,2017,auto,hold,Cumming,761.8405315614618,759.3521594684386,691.9435215946844,10.0,False,False,False
05e165a23357cfc35b2e9f5b8f5e8514e5f4acc0,jul,2017,cool,auto,Cumming,749.53125,749.8359375,749.8359375,10.0,False,False,False
05e165a23357cfc35b2e9f5b8f5e8514e5f4acc0,jul,2017,cool,hold,Cumming,755.0179028132992,756.0511508951406,756.0511508951406,10.0,False,False,False
064bd0e852e7623924d0ae242bb509407cf10014,jul,2017,cool,hold,Savannah,771.4354838709677,770.1935483870968,767.9032258064516,110.0,True,False,True
068fa25420cc3a5f04e67802df50e590420a7964,jul,2017,cool,auto,Marietta,734.4943181818181,730.0340909090909,690.1477272727273,5.0,False,False,False
068fa25420cc3a5f04e67802df50e590420a7964,jul,2017,cool,hold,Marietta,736.7440119760479,732.3517964071856,732.306886227545,5.0,False,False,False
072e24fe6e602ba37a119d9e23fe3098164bf7f7,jul,2017,cool,auto,Marietta,736.1806853582555,734.7819314641745,689.0389408099688,30.0,False,False,False
072e24fe6e602ba37a119d9e23fe3098164bf7f7,jul,2017,cool,hold,Marietta,742.4223744292237,742.689497716895,742.5970319634703,30.0,False,False,False
075ac803220df970d51c3a098118b0cf35bdf492,jul,2017,cool,auto,Atlanta,717.8461538461538,717.0295857988166,705.9526627218935,10.0,False,False,True
075ac803220df970d51c3a098118b0cf35bdf492,jul,2017,cool,hold,Atlanta,712.1116071428571,714.0855654761905,713.797619047619,10.0,False,False,True
07db91d1e8a1d55323ee6d550da4590766904940,jul,2017,cool,hold,Atlanta,719.885805277525,724.0068243858053,724.0,70.0,True,False,True
