Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
02d6f92c8b43e6f08da8a2b7efe50c30bab0dcc7,feb,2021,heat,hold,maquoketa,656.0378842030021,671.2390993566834,661.651179413867,70.0,False,False,False
0405c9553318d29e4d72ccb69a3f095a3f3ce0a6,feb,2021,auto,hold,Ames,665.8108108108108,736.3783783783783,679.8594594594595,60.0,False,False,False
04748c1d6262989d882b588289f9ea9f2ea31f34,feb,2021,heat,hold,Council Bluffs,647.3648648648649,650.0,650.0,60.0,False,False,False
05e484e2c3f0c714409b8a5c7a04cbbab3d6b4b6,feb,2021,heat,hold,Iowa City,737.9444444444445,740.0,740.0,0.0,False,False,False
0625e6ffa41af1becc34b671bc33445bb886d759,feb,2021,heat,hold,Council Bluffs,730.609756097561,739.0243902439024,739.0243902439024,15.0,False,False,False
09607499a54a624dae94bc2cbe8103e1c786c5d6,feb,2021,heat,hold,Des Moines,687.1071428571429,693.2142857142857,693.2142857142857,50.0,True,False,False
0df00ab539cb4f4217f76295cf9b5c096d9a0aba,feb,2021,heat,hold,Indianola,692.3273427471116,691.5391527599487,691.5391527599487,20.0,False,False,False
0e268283b0d7c07bf2e9fc3cc7865a0e874664f0,feb,2021,auto,hold,Toledo,668.5595854922279,740.0,673.4507772020726,90.0,False,False,False
0e8dc0186fe184dbe6ff284dac9dbaa45ef8075e,feb,2021,heat,hold,Clinton,637.5973333333334,650.0,640.0,40.0,True,False,False
106c2e7a8620fdf2f4723c776f302464934c9e34,feb,2021,heat,hold,Dubuque,702.5355648535565,707.531380753138,707.531380753138,80.0,True,False,False
111557f0c206810590c3017cb3275e33f105b0c5,feb,2021,heat,hold,West Des Moines,707.0251256281407,712.7889447236181,712.7889447236181,0.0,True,False,False
115abc163f2cee34744f73c4ef4e706404e8d6ca,feb,2021,heat,hold,Holland,701.9276485788114,709.671834625323,707.4677002583979,120.0,False,False,False
1395ffee011f36c214a3766b2f892b3e39fe4b0f,feb,2021,heat,hold,Cedar Falls,655.625,780.0,660.0,70.0,False,False,False
13b80b5c51a903ca01a1a41bef31298caa7040be,feb,2021,heat,hold,Des Moines,675.1333333333333,683.952380952381,682.1238095238095,100.0,True,False,False
152e809ec88683fc8caf0cdb271953830295c212,feb,2021,heat,hold,Des Moines,708.9005628517824,714.1313320825516,714.1313320825516,70.0,False,False,False
15379baa5f9cb926313b7dfbf8511e565c3a1fdd,feb,2021,heat,hold,Fort Dodge,650.6851851851852,658.3101851851852,654.3333333333334,70.0,False,False,False
1538b4d7e7866633dcdc3a356e0e81509dfc2b6d,feb,2021,heat,hold,Carroll,689.2884615384615,695.1923076923077,694.8461538461538,35.0,True,False,False
1619c995300698d5baad4567c3c9336f1e974f85,feb,2021,heat,hold,Sioux City,652.016835016835,659.5092592592592,654.7037037037037,69.0,False,False,False
16e5f8198fe55c35cde4ab7326153de873f8b2e8,feb,2021,heat,hold,Sioux Center,671.24,676.0,676.0,15.0,False,False,True
1744b07907c10747d44660ab6840ef71dff58c9f,feb,2021,heat,hold,Clinton,702.5641025641025,720.0,720.0,47.0,False,False,False
17704a2b3bce897a5c1c5dba3602c7a7b1f86647,feb,2021,heat,hold,Indianola,697.2116336633663,700.0,700.0,0.0,False,False,False
183de8d7462646e4cf39682dff9e2e3182b6063e,feb,2021,heat,hold,Davenport,655.452380952381,660.0,660.0,59.0,True,False,False
1876018ce9951e0e7f958fb67264a635d640df80,feb,2021,heat,hold,Palo,719.5238095238095,725.0,725.0,10.0,False,False,False
1a1e914e3e2ab83e3812bdc433dc32db5d69a1b2,feb,2021,auto,hold,Solon,732.25,745.4166666666666,692.9166666666666,20.0,False,False,False
1a1e914e3e2ab83e3812bdc433dc32db5d69a1b2,feb,2021,heat,hold,Solon,725.8011363636364,725.9232954545455,725.9232954545455,20.0,False,False,False
1b6211dc0a7aec3a6a4a053e4c98edea5a49756a,feb,2021,heat,hold,Ankeny,688.468030690537,690.0562659846547,689.9897698209719,10.0,False,False,False
1bbb2ff269803e114fd8be1619d91fb209b1f3ce,feb,2021,heat,hold,Bettendorf,681.8884297520661,686.133608815427,686.1157024793389,39.0,False,False,False
1bd5122055dc2418f824032d6df5ba30aad297d4,feb,2021,heat,hold,Davenport,696.939393939394,700.0735930735931,700.0735930735931,0.0,False,False,False
1cb5303ab545c11c9ddc9475e6c7350f6fc61a8a,feb,2021,auto,hold,Davenport,710.109756097561,723.0,673.0,0.0,False,False,False
1cca494ebc8609826cb68703da885d695dbc7f8f,feb,2021,heat,hold,Waukee,693.6064516129032,704.2709677419355,704.2838709677419,10.0,True,False,False
1d424ed716538d965e7b0b4e4f2f014e13fb4620,feb,2021,heat,hold,Davenport,668.7075471698113,660.0,660.0,0.0,True,False,False
1f9ce2164b32a4cd2427670d136fbd04b4d3eb41,feb,2021,heat,hold,Orange City,675.1785714285714,680.0,680.0,60.0,False,False,False
1fc5a4ee16a96034d8a993e81d18e99d0546646f,feb,2021,heat,hold,Des Moines,701.5294117647059,705.0,705.0,30.0,False,False,False
1fdfbcc0a4e267da3313fb060dacdbaf063966db,feb,2021,heat,hold,Cedar Rapids,716.2361111111111,720.0,720.0,57.0,False,False,False
26b624f57bdccbfbd59f53bdfae535c90f4d6aae,feb,2021,auto,hold,Marion,635.0728476821192,760.0,620.0,5.0,False,False,False
2891693ab79cd667389f02b07dd047d5f9e6c961,feb,2021,heat,hold,Wellington Heights,698.7272727272727,684.2727272727273,680.8636363636364,105.0,False,False,False
298eba5a043b5b4eeec1569307c04560fae2302d,feb,2021,heat,hold,West Burlington,742.0769230769231,744.0769230769231,743.8461538461538,90.0,False,False,False
2a85265c90ed94623c27c031d21b8288f1d5553b,feb,2021,heat,hold,Carlisle,665.2372881355932,682.5762711864406,674.3050847457627,50.0,True,False,False
2af1d668c34730d6c582129c688396259ffdc7ac,feb,2021,auto,hold,Milford,642.8219178082192,700.0,650.0,7.0,True,False,False
2b79cf55675c20fd5fd457074dbfefa75ba9022e,feb,2021,auto,hold,Spencer,738.3025751072961,796.8025751072961,746.1115879828326,70.0,False,False,False
2c284f6e0ed188e243ef95071c0fe8972ba0dd0f,feb,2021,heat,hold,Bettendorf,716.3252032520326,720.0325203252032,720.0,20.0,False,False,False
2d5acc082bc441a96f97e8dd9fcbc75e867a8346,feb,2021,auto,hold,Norwalk,684.695652173913,740.0,688.4891304347826,7.0,False,False,False
2ffe2b8c50cd1d719fd7c583ee2c580ca64078ab,feb,2021,heat,hold,Riverside,700.6153846153846,704.8461538461538,703.8461538461538,10.0,True,False,False
31d2d6a7cfe992571c8cb81afbdff46878e32b89,feb,2021,heat,hold,West Burlington,687.6004056795132,689.7261663286004,689.7119675456389,20.0,False,False,False
31da66d2d3b7976e55531218c9aa07afd1e1054c,feb,2021,heat,hold,Davenport,626.746694214876,659.0276859504132,626.395867768595,89.0,False,False,False
331322bf012b5b5c9b21927e5466794b7ad98e4c,feb,2021,heat,hold,Des Moines,725.3187029151654,729.4281035047494,729.4281035047494,77.0,False,False,False
3365deacdbc88bf9fdcf7497be344a0cd9da4579,feb,2021,heat,hold,Grimes,665.9492753623189,674.6376811594203,674.6376811594203,10.0,False,False,False
353ba9e9c734c9043ebb1e660094eeda694b3471,feb,2021,heat,hold,Ankeny,695.7307692307693,707.0,706.4230769230769,15.0,False,False,False
37a823b93d8a3a43b807ac823f49c75556028ff2,feb,2021,heat,hold,Bettendorf,699.5211678832117,704.9642335766423,704.9642335766423,50.0,False,False,False
37e27d92689746e4e97342edca05003bd4e89229,feb,2021,heat,hold,Independence,692.3863636363636,694.469696969697,694.469696969697,60.0,False,False,False
387cc17b3a7631fab770fc7513e8ed49c51de085,feb,2021,auto,hold,Sumner,686.3934426229508,826.1680327868852,690.0696721311475,105.0,False,False,False
38d4a478d1eaeb3d13bd9dd9aab39ffb1675fc4d,feb,2021,heat,hold,Des Moines,684.4756097560976,687.060975609756,687.060975609756,0.0,False,False,False
38e80ac92e5a3fa42aa49788c1cf4d9912572587,feb,2021,heat,hold,Des Moines,745.2635735439289,747.3455083909181,747.3455083909181,16.0,False,False,False
3937c499628e9d9fc40cc6fb69b8f2bc576f57c0,feb,2021,heat,hold,Riverdale,697.0625368731563,699.1563421828909,699.1563421828909,60.0,False,False,False
395dc28118cb981c3785e7b2517123ff0f127ad4,feb,2021,heat,hold,Manchester,550.2189720016715,650.0,550.0,10.0,True,False,False
3976f2af7539f3e157079623e290b009a52dfe68,feb,2021,heat,hold,Davenport,700.8226600985222,710.9556650246305,709.3004926108374,10.0,False,False,False
3aebd0d05372c152645b89d5e5cc858f005802c3,feb,2021,heat,hold,Cedar Rapids,696.109375,695.4722222222222,695.4722222222222,0.0,False,False,False
3b140fe67350bf3f55f85f4d9f20782c4fffb47f,feb,2021,heat,hold,Bettendorf,623.9705882352941,695.2941176470588,695.2941176470588,65.0,False,False,False
3b2c921417474f84c66fc5c35ac49c839e5d55f2,feb,2021,heat,hold,Le Claire,688.9753276792599,692.1148804934464,692.0632228218967,48.0,False,False,False
3bf3b1bf087a359754e8f1406ba8757e2a7f001c,feb,2021,auxHeatOnly,hold,Dallas Center,724.235119047619,730.2774725274726,730.2774725274726,90.0,False,False,True
3c69a043ceafd699de337c0bea3de60d013e3b48,feb,2021,heat,hold,Clinton,716.3578313253012,718.444578313253,718.4614457831325,68.0,False,False,False
3e804b7c50c47f1d1577f4359e15a3b510b878ae,feb,2021,heat,hold,Marshalltown,702.9977827050998,702.5254988913525,711.2660753880266,0.0,True,False,False
3f968fefc702e3f14565b0d49ef25f5abed49826,feb,2021,heat,hold,Iowa Falls,686.9761904761905,670.0,670.0,65.0,False,False,False
40553a42a0b66631639656cd2dd9ae525693b885,feb,2021,heat,hold,Sioux Center,696.9794988610479,690.4738041002278,678.3986332574032,15.0,True,False,False
405fca1ebd9f92a1f2c2fea61d41e4d632ff7fb8,feb,2021,heat,hold,Altoona,610.9050632911392,650.0,600.0,17.0,False,False,False
428031678f501b9975df00ad8378e3bb76338421,feb,2021,heat,hold,Solon,700.179381443299,700.0,700.0,25.0,True,False,True
435c8b73287887e29a38de0cd590ca1c3ca2b058,feb,2021,heat,hold,Norwalk,706.3421052631579,710.0,710.0,19.0,False,False,False
4469fc71de27689530494c612bca61b80577a3b7,feb,2021,heat,hold,West Des Moines,686.7519379844962,757.6744186046511,682.4806201550388,29.0,True,False,False
44f9c6e23b6d45642b6301db63627d31e59c4d05,feb,2021,heat,hold,Marion,666.7834101382489,670.5253456221199,669.9170506912442,15.0,False,False,False
450da921dd8f5bf1eef98090336d48a2f93a1cc3,feb,2021,heat,hold,Ames,634.6875,647.0,640.0,5.0,False,False,False
