Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0219b339a36deb299cb64ff76ba40ac7563cf3af,Jan,2021,heat,hold,Marion,679.9583333333334,680.375,679.9583333333334,15.0,False,False,False
02d6f92c8b43e6f08da8a2b7efe50c30bab0dcc7,Jan,2021,heat,hold,maquoketa,667.8349075975359,678.0193018480493,673.4271047227926,70.0,False,False,False
0405c9553318d29e4d72ccb69a3f095a3f3ce0a6,Jan,2021,auto,hold,Ames,670.9296296296296,742.7314814814815,679.7833333333333,60.0,False,False,False
05e484e2c3f0c714409b8a5c7a04cbbab3d6b4b6,Jan,2021,heat,hold,Iowa City,728.25,730.45,729.8166666666667,0.0,False,False,False
0625e6ffa41af1becc34b671bc33445bb886d759,Jan,2021,heat,hold,Council Bluffs,682.8,700.0,700.0,15.0,False,False,False
09607499a54a624dae94bc2cbe8103e1c786c5d6,Jan,2021,heat,hold,Des Moines,692.917808219178,696.7534246575342,696.7534246575342,50.0,True,False,False
0aeab160bf92d6f2f663357831febd1c0511cee8,Jan,2021,heat,hold,Bettendorf,690.9615384615385,682.3461538461538,681.5384615384615,5.0,False,False,False
0b686a02f4ae889abda9507e37d381fab09ec9c2,Jan,2021,heat,hold,Cedar Rapids,714.8243243243244,722.9054054054054,722.5,40.0,False,False,False
0df00ab539cb4f4217f76295cf9b5c096d9a0aba,Jan,2021,heat,hold,Indianola,700.9447619047619,695.2514285714286,695.2095238095238,20.0,False,False,False
0e268283b0d7c07bf2e9fc3cc7865a0e874664f0,Jan,2021,auto,hold,Toledo,673.1083481349912,739.5115452930728,678.4902309058615,90.0,False,False,False
0e8dc0186fe184dbe6ff284dac9dbaa45ef8075e,Jan,2021,heat,hold,Clinton,638.7560975609756,650.0,640.0,40.0,True,False,False
111557f0c206810590c3017cb3275e33f105b0c5,Jan,2021,heat,hold,West Des Moines,698.3620689655172,700.0,700.0,0.0,True,False,False
115abc163f2cee34744f73c4ef4e706404e8d6ca,Jan,2021,heat,hold,Holland,704.5336976320583,710.7723132969035,710.2914389799636,120.0,False,False,False
1395ffee011f36c214a3766b2f892b3e39fe4b0f,Jan,2021,heat,hold,Cedar Falls,655.6,667.2,660.0,70.0,False,False,False
13b80b5c51a903ca01a1a41bef31298caa7040be,Jan,2021,heat,hold,Des Moines,678.0978260869565,685.695652173913,677.195652173913,100.0,True,False,False
14960456a513b5499fa8a925bcdd7ed578cf46ef,Jan,2021,auto,hold,Dubuque,677.9420289855072,780.0,680.0,45.0,False,False,False
152e809ec88683fc8caf0cdb271953830295c212,Jan,2021,heat,hold,Des Moines,702.2523809523809,706.6666666666666,706.6666666666666,70.0,False,False,False
15379baa5f9cb926313b7dfbf8511e565c3a1fdd,Jan,2021,heat,hold,Fort Dodge,651.25,650.0,629.0,70.0,False,False,False
1538b4d7e7866633dcdc3a356e0e81509dfc2b6d,Jan,2021,heat,hold,Carroll,686.6103896103896,697.7792207792207,692.7662337662338,35.0,True,False,False
15570377c8ec7729829ad9d26b4b89b0ee77a4c2,Jan,2021,heat,hold,West Des Moines,695.9791666666666,700.8333333333334,699.7708333333334,0.0,False,False,False
1619c995300698d5baad4567c3c9336f1e974f85,Jan,2021,heat,hold,Sioux City,654.2600496277915,664.4133995037221,658.6049627791564,69.0,False,False,False
16e5f8198fe55c35cde4ab7326153de873f8b2e8,Jan,2021,heat,hold,Sioux Center,665.35,670.4,670.4,15.0,False,False,True
1744b07907c10747d44660ab6840ef71dff58c9f,Jan,2021,heat,hold,Clinton,673.3295454545455,680.4460227272727,680.4517045454545,47.0,False,False,False
17704a2b3bce897a5c1c5dba3602c7a7b1f86647,Jan,2021,heat,hold,Indianola,696.984990619137,700.0,700.0,0.0,False,False,False
183de8d7462646e4cf39682dff9e2e3182b6063e,Jan,2021,heat,hold,Davenport,706.2608695652174,710.1521739130435,709.8804347826087,59.0,True,False,False
1876018ce9951e0e7f958fb67264a635d640df80,Jan,2021,heat,hold,Palo,723.5833333333334,725.1666666666666,724.9583333333334,10.0,False,False,False
1a1e914e3e2ab83e3812bdc433dc32db5d69a1b2,Jan,2021,auto,hold,Solon,723.6666666666666,772.0,678.6666666666666,20.0,False,False,False
1a1e914e3e2ab83e3812bdc433dc32db5d69a1b2,Jan,2021,heat,hold,Solon,722.3089770354906,719.7703549060543,719.7703549060543,20.0,False,False,False
1b6211dc0a7aec3a6a4a053e4c98edea5a49756a,Jan,2021,heat,hold,Ankeny,678.2068965517242,677.8429118773946,673.3946360153257,10.0,False,False,False
1bbb2ff269803e114fd8be1619d91fb209b1f3ce,Jan,2021,heat,hold,Bettendorf,678.3876146788991,680.802752293578,680.802752293578,39.0,False,False,False
1bd5122055dc2418f824032d6df5ba30aad297d4,Jan,2021,heat,hold,Davenport,726.7163483931066,729.9972054028877,729.9972054028877,0.0,False,False,False
