Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00047ac181d6c519a7980acd6dcb0fac57218cf1,dec,2017,heat,auto,Idaho Falls,707.8076923076923,710.0,710.0,7.0,False,False,False
01e233c4fce6aabdd3f8be666d5f32f972d2a16b,dec,2017,auto,hold,Eagle,697.3910256410256,750.0,700.0,16.0,False,False,False
01e233c4fce6aabdd3f8be666d5f32f972d2a16b,dec,2017,heat,auto,Eagle,696.9935897435897,700.0,700.0,16.0,False,False,False
01e233c4fce6aabdd3f8be666d5f32f972d2a16b,dec,2017,heat,hold,Eagle,697.1923076923077,700.0,700.0,16.0,False,False,False
0242366947dd8f91e501280859cb1352ac56a3b1,dec,2017,heat,auto,Shelley,683.6794871794872,685.0,685.0,40.0,False,False,False
0242366947dd8f91e501280859cb1352ac56a3b1,dec,2017,heat,hold,Shelley,689.522646536412,690.1896092362344,690.1896092362344,40.0,False,False,False
02d96395673191f775b25dd345a521c4caa4250c,dec,2017,heat,auto,Boise,715.6060606060606,720.0,720.0,20.0,False,False,False
02d96395673191f775b25dd345a521c4caa4250c,dec,2017,heat,hold,Boise,722.3684210526316,725.0,725.0,20.0,False,False,False
051bb1ef790fd215de91e0304b4f8e06038c2f7d,dec,2017,heat,auto,middleton,670.9320843091335,757.3091334894614,672.9625292740047,10.0,True,False,False
051bb1ef790fd215de91e0304b4f8e06038c2f7d,dec,2017,heat,hold,middleton,699.875,730.0,730.0,10.0,True,False,False
060e94e6800d4d62e15d65a113d8f8cb6e0a9983,dec,2017,heat,auto,Moscow,639.875,694.6875,636.5625,85.0,False,False,False
060e94e6800d4d62e15d65a113d8f8cb6e0a9983,dec,2017,heat,hold,Moscow,651.8703703703703,650.2407407407408,648.7592592592592,85.0,False,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,dec,2017,heat,auto,Firth,716.5862068965517,728.6206896551724,728.6206896551724,50.0,False,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,dec,2017,heat,hold,Firth,693.1365853658536,696.3463414634147,695.9707317073171,50.0,False,False,False
0b17066e7aeb2d14e92e4afb74661cfc16581df6,dec,2017,heat,auto,Meridian,724.7368421052631,729.7105263157895,729.7105263157895,46.0,False,False,False
