Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01e233c4fce6aabdd3f8be666d5f32f972d2a16b,jun,2017,cool,auto,Eagle,738.204081632653,725.3469387755102,690.0,16.0,False,False,False
01e233c4fce6aabdd3f8be666d5f32f972d2a16b,jun,2017,cool,hold,Eagle,731.1794871794872,724.8717948717949,693.7820512820513,16.0,False,False,False
051bb1ef790fd215de91e0304b4f8e06038c2f7d,jun,2017,cool,auto,middleton,698.2734530938123,699.996007984032,660.003992015968,10.0,True,False,False
051bb1ef790fd215de91e0304b4f8e06038c2f7d,jun,2017,cool,hold,middleton,704.6666666666666,680.0,680.0,10.0,True,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,jun,2017,cool,auto,Firth,754.0526315789474,764.5263157894736,638.2631578947369,50.0,False,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,jun,2017,cool,hold,Firth,720.4084699453551,746.0751366120219,746.0751366120219,50.0,False,False,False
08e17f959d8fff4ab5f1bab6028a513900f97800,jun,2017,heat,hold,Firth,689.6092715231788,680.0,680.0,50.0,False,False,False
0eb9f31787410572e6cb0995b6af77ae6f13dacc,jun,2017,auto,auto,Boise,694.2097428958051,724.637347767253,670.1177266576454,0.0,False,False,False
0eb9f31787410572e6cb0995b6af77ae6f13dacc,jun,2017,auto,hold,Boise,683.5270479134467,695.4343122102009,645.3153013910355,0.0,False,False,False
0eb9f31787410572e6cb0995b6af77ae6f13dacc,jun,2017,cool,hold,Boise,675.1666666666666,677.75,674.75,0.0,False,False,False
0f29415d1f60800df746b77cd2cfa9a58be3af96,jun,2017,auto,auto,Meridian,725.9827586206897,735.3448275862069,684.948275862069,15.0,False,False,False
0f29415d1f60800df746b77cd2cfa9a58be3af96,jun,2017,cool,auto,Meridian,753.2564102564103,760.0,760.0,15.0,False,False,False
0fed4377fad6361d5f1947c38a84e804f0baa69a,jun,2017,auto,auto,Mountain Home,742.8095238095239,795.0,745.0,10.0,False,False,False
0fed4377fad6361d5f1947c38a84e804f0baa69a,jun,2017,auto,hold,Mountain Home,735.6231884057971,812.7536231884058,736.072463768116,10.0,False,False,False
1231a9bf608fda65f9af0e282dd16577b58bb245,jun,2017,cool,auto,Twin Falls,701.7083333333334,694.7916666666666,600.0,5.0,False,False,False
19876a3a98274ee9ccb29901320f430d61dda4f9,jun,2017,auto,auto,Meridian,690.6511627906976,740.0,640.0,10.0,False,False,False
19876a3a98274ee9ccb29901320f430d61dda4f9,jun,2017,auto,hold,Meridian,724.75,740.0,680.0,10.0,False,False,False
19876a3a98274ee9ccb29901320f430d61dda4f9,jun,2017,cool,hold,Meridian,711.875,730.0,730.0,10.0,False,False,False
1e0352ee09b4d3b681d936d6ad788a5d6cd783cb,jun,2017,cool,hold,Boise,728.7147435897435,724.0576923076923,718.6538461538462,120.0,False,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,jun,2017,cool,auto,Nampa,685.8358208955224,713.3582089552239,632.3134328358209,10.0,True,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,jun,2017,cool,hold,Nampa,701.4153846153846,698.0769230769231,698.0769230769231,10.0,True,False,False
249fd610e1444d4f4625b0ad9ec6560d650d14ff,jun,2017,heat,auto,Nampa,695.0,707.8571428571429,637.1428571428571,10.0,True,False,False
24aa43c4c0f48da661c18b014eb31298d4cb324e,jun,2017,cool,hold,Boise,699.7388724035608,710.0,710.0,35.0,False,False,False
271c4df258c325cee5675a38272b63ef0c51f825,jun,2017,cool,auto,Eagle,684.2666666666667,760.0,760.0,10.0,False,False,False
271c4df258c325cee5675a38272b63ef0c51f825,jun,2017,cool,hold,Eagle,672.9547619047619,750.6246031746032,750.5031746031746,10.0,False,False,False
286651997bf90d48cd19264a7e420867a777ee93,jun,2017,cool,hold,Boise,724.5461393596987,732.5249529190207,732.5249529190207,5.0,False,False,False
2c90575a6bad590e09f0f45933ec9a8f4dbef1e8,jun,2017,auto,auto,Pocatello,716.9488888888889,723.44,658.8533333333334,25.0,False,False,False
2c90575a6bad590e09f0f45933ec9a8f4dbef1e8,jun,2017,auto,hold,Pocatello,722.6904761904761,728.2952380952381,657.1428571428571,25.0,False,False,False
2c90575a6bad590e09f0f45933ec9a8f4dbef1e8,jun,2017,cool,hold,Pocatello,774.9166666666666,725.0,725.0,25.0,False,False,False
33da97b2d600d334d5e19e341aa04519ffe30d89,jun,2017,cool,hold,Meridian,719.75,718.0,698.0,5.0,False,False,False
3818b68d3bb9746e331ea025aa36cf68cd83908c,jun,2017,cool,auto,Nampa,701.875,700.0,700.0,15.0,False,False,False
3818b68d3bb9746e331ea025aa36cf68cd83908c,jun,2017,cool,hold,Nampa,700.155303030303,700.0,700.0,15.0,False,False,False
387435ebfb99f00d9e307beb57b75ddb1c41346a,jun,2017,auto,hold,lewiston,730.5745164960182,735.5039817974972,676.0273037542662,80.0,False,False,False
3a1d0649ceeb0d6bc38447cdbb3aaf337e62c534,jun,2017,auto,auto,Nampa,714.0914127423823,720.0,670.0,37.0,False,False,False
3a1d0649ceeb0d6bc38447cdbb3aaf337e62c534,jun,2017,cool,auto,Nampa,731.4527220630373,732.3409742120344,682.3839541547278,37.0,False,False,False
3a1d0649ceeb0d6bc38447cdbb3aaf337e62c534,jun,2017,cool,hold,Nampa,722.4159292035398,721.6902654867257,721.6637168141593,37.0,False,False,False
4cd0c610df7d915c70b1ed8f97a91d85e668cbfe,jun,2017,cool,auto,Boise,725.5441988950276,820.4788213627993,786.7025782688767,10.0,False,False,False
4cd0c610df7d915c70b1ed8f97a91d85e668cbfe,jun,2017,cool,hold,Boise,729.3882595262615,796.928939237899,782.5746652935119,10.0,False,False,False
4fa1397dc51e04667180b69de2fe50642e58f17c,jun,2017,auto,hold,Boise,712.6,759.16,708.8,30.0,False,False,False
4fa1397dc51e04667180b69de2fe50642e58f17c,jun,2017,cool,auto,Boise,723.4554455445544,742.8267326732673,737.3514851485148,30.0,False,False,False
4fa1397dc51e04667180b69de2fe50642e58f17c,jun,2017,cool,hold,Boise,721.1666666666666,731.0461538461539,730.9782051282051,30.0,False,False,False
4fa1397dc51e04667180b69de2fe50642e58f17c,jun,2017,heat,hold,Boise,719.94,720.0,720.0,30.0,False,False,False
