Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
000ef89eadf430f4ec4be11295643c07969fce01,feb,2021,heat,hold,Wheaton,697.737556561086,700.1085972850678,700.0,40.0,True,False,False
0010ea447dc3807b33daad2477d1cc02a71571fa,feb,2021,heat,hold,Chicago,686.7314814814815,690.5555555555555,690.5555555555555,5.0,False,False,False
0027e9be6cd672afe749634eaf39c372d1b7819e,feb,2021,heat,hold,Sparland,700.25,707.0,707.0,75.0,True,False,False
002ba06a2fbc44349736a758c25eb6755d270f15,feb,2021,heat,hold,Niles,730.6372795969774,730.2921914357682,729.147355163728,60.0,False,False,False
003564d98607c25fc8a655b397103a9f54c99bb6,feb,2021,heat,hold,Decatur,680.2267267267267,687.3536036036036,685.506006006006,10.0,True,False,True
00a455a065ff70f536f56bb47ebd22f174b9b685,feb,2021,heat,hold,Chicago,688.3380462724936,672.8149100257069,672.844473007712,10.0,False,False,False
00c4a5bebdac24bca9f442e4252507b393cb442f,feb,2021,heat,hold,Hawthorn Woods,726.75,730.0,730.0,15.0,False,False,False
00fb51fcc0143ba17764fdcb798725d560d6d40e,feb,2021,heat,hold,Des Plaines,696.4880952380952,702.9464285714286,702.4761904761905,59.0,False,False,False
0110a61e164ac56c607371084d162f0ba1c49331,feb,2021,auto,hold,Volo,746.6593989393047,803.979375368297,749.2672362993518,7.0,False,False,False
013a1b02f595efd89f2f796405622c9c96bbac59,feb,2021,auto,hold,Glenview,704.5622641509434,778.582641509434,707.1267924528302,5.0,False,False,False
013b61967d0a908a06304d5d1e3ccc5a31d53792,feb,2021,heat,hold,Vernon Hills,690.0952380952381,730.0,680.0,45.0,False,False,False
0147977cd6a59cc48ceffd57fe5a35a2ce5e550c,feb,2021,auto,hold,Pekin,676.0,729.0,679.0,60.0,False,False,False
0147977cd6a59cc48ceffd57fe5a35a2ce5e550c,feb,2021,heat,hold,Pekin,655.0666666666667,650.0,650.0,60.0,False,False,False
01507e77d7234b0cfcef826ac97239c539acb0ff,feb,2021,heat,hold,Elk Grove Village,720.5777202072538,724.8445595854922,724.8354922279793,0.0,True,False,False
015650648db0589378cd8f6b39c251554c9d52c9,feb,2021,cool,hold,Chicago,628.477341389728,632.477341389728,630.392749244713,0.0,False,False,True
015650648db0589378cd8f6b39c251554c9d52c9,feb,2021,heat,hold,Chicago,631.8285714285714,618.0571428571428,618.0571428571428,0.0,False,False,True
017bf0f52dcf88c9fc68f1808ba59b839e9b22af,feb,2021,heat,hold,Oak Lawn,694.9043209876543,700.3395061728395,700.2854938271605,50.0,False,False,False
01a2696a2dd1f6604ceddc532c7258bb012c9c80,feb,2021,heat,hold,Chicago,704.348623853211,709.1192660550458,709.045871559633,90.0,False,False,False
01ac25d884c8737f95175d8925c397092449fb5c,feb,2021,heat,hold,West Chicago,675.4109375,684.0234375,682.821875,90.0,False,False,False
01b1ae4b11ab86edb72579f5d13becddc1a08141,feb,2021,auto,hold,Belleville,729.6319165998397,817.6872493985566,745.8813151563753,0.0,False,False,False
0240618a0a2d400a72e45de5f735056103e8ea8a,feb,2021,auto,hold,Chicago,687.0840336134454,741.1050420168067,658.9600840336135,9.0,False,False,True
024ae76f10e76cefc8e11d2a9d76608105b38e51,feb,2021,heat,hold,Galva,674.6694045174538,676.6180698151951,676.6180698151951,99.0,True,False,False
024ffe03c2ab929ae2f342bf991b75d2ce9b76aa,feb,2021,heat,hold,Itasca,688.4814814814815,698.2592592592592,696.0370370370371,20.0,False,False,False
0256e6182609cc0f0185d60bc4053ec75aa68902,feb,2021,heat,hold,Chicago,698.0416024653313,697.3328197226502,697.2588597842835,90.0,False,False,False
025c8e6f011c1734e1666c3b0b9f97a06fdb411e,feb,2021,heat,hold,South Elgin,694.7114427860696,701.7611940298508,700.1890547263681,10.0,False,False,False
0262a7f6c0a87abb92df5bec170a0e8d01c1b886,feb,2021,heat,hold,Macomb,675.5,700.0,700.0,50.0,False,False,False
027fa2565381343f1937955a9a3aba22a5f99d2e,feb,2021,heat,hold,Grayslake,717.3917050691244,721.3917050691244,721.3778801843318,20.0,True,False,False
