Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0010ea447dc3807b33daad2477d1cc02a71571fa,jun,2018,auto,auto,Chicago,732.84375,750.0,670.0,5.0,False,False,False
0010ea447dc3807b33daad2477d1cc02a71571fa,jun,2018,cool,auto,Chicago,735.3333333333334,730.2222222222222,671.9444444444445,5.0,False,False,False
0010ea447dc3807b33daad2477d1cc02a71571fa,jun,2018,cool,hold,Chicago,739.0,723.8529411764706,723.8529411764706,5.0,False,False,False
002ba06a2fbc44349736a758c25eb6755d270f15,jun,2018,cool,auto,Niles,756.4421052631579,758.0263157894736,758.0263157894736,60.0,False,False,False
002ba06a2fbc44349736a758c25eb6755d270f15,jun,2018,cool,hold,Niles,754.6195388349514,756.0455097087379,756.0455097087379,60.0,False,False,False
0030f7fc83171560c44c359ba32ae9d6f8c9478c,jun,2018,auto,hold,Hinsdale,760.9722222222222,765.0,670.0,0.0,False,False,False
003564d98607c25fc8a655b397103a9f54c99bb6,jun,2018,cool,hold,Decatur,737.2201492537314,744.4913892078072,728.0929965556832,10.0,True,False,True
00726ed8e6a1f4f9bd85c248752de358dc529426,jun,2018,auto,auto,Chicago,738.2857142857143,741.1428571428571,680.0,100.0,False,False,False
009a4e3ad98bde4c1849be0b615965844b6aea4e,jun,2018,cool,auto,Elgin,749.5925925925926,780.0,723.3333333333334,15.0,True,False,False
009a4e3ad98bde4c1849be0b615965844b6aea4e,jun,2018,cool,hold,Elgin,749.75,785.7352941176471,750.0,15.0,True,False,False
00a455a065ff70f536f56bb47ebd22f174b9b685,jun,2018,cool,auto,Chicago,719.0178890876565,721.3577817531306,727.5992844364937,10.0,False,False,False
00a455a065ff70f536f56bb47ebd22f174b9b685,jun,2018,cool,hold,Chicago,720.2269592476489,729.598119122257,729.6006269592476,10.0,False,False,False
00ab82671ae4437af38aaacbab99cc76c30a8568,jun,2018,cool,hold,Troy,755.1887090406633,760.0,710.0,35.0,False,False,False
00c4a5bebdac24bca9f442e4252507b393cb442f,jun,2018,cool,auto,Hawthorn Woods,709.5714285714286,740.2142857142857,719.5714285714286,15.0,False,False,False
0110a61e164ac56c607371084d162f0ba1c49331,jun,2018,auto,auto,Volo,742.1352996254682,750.875468164794,696.8698501872659,7.0,False,False,False
0110a61e164ac56c607371084d162f0ba1c49331,jun,2018,auto,hold,Volo,740.7737789203085,757.6323907455013,702.7853470437018,7.0,False,False,False
013a1b02f595efd89f2f796405622c9c96bbac59,jun,2018,cool,hold,Glenview,767.1388888888889,772.7222222222222,721.7777777777778,5.0,False,False,False
013a1b02f595efd89f2f796405622c9c96bbac59,jun,2018,heat,hold,Glenview,736.0722891566265,670.0,670.0,5.0,False,False,False
013b61967d0a908a06304d5d1e3ccc5a31d53792,jun,2018,cool,auto,Vernon Hills,719.9165839126117,732.3406156901689,727.1449851042701,45.0,False,False,False
013b61967d0a908a06304d5d1e3ccc5a31d53792,jun,2018,cool,hold,Vernon Hills,719.123076923077,715.5846153846154,715.5846153846154,45.0,False,False,False
013b61967d0a908a06304d5d1e3ccc5a31d53792,jun,2018,heat,auto,Vernon Hills,713.5,710.0,710.0,45.0,False,False,False
0147977cd6a59cc48ceffd57fe5a35a2ce5e550c,jun,2018,cool,hold,Pekin,710.5588235294117,710.0,710.0,60.0,False,False,False
01507e77d7234b0cfcef826ac97239c539acb0ff,jun,2018,cool,auto,Elk Grove Village,724.4816513761468,739.9954128440367,730.0,0.0,True,False,False
01507e77d7234b0cfcef826ac97239c539acb0ff,jun,2018,cool,hold,Elk Grove Village,732.2744186046511,727.3488372093024,727.3488372093024,0.0,True,False,False
017bf0f52dcf88c9fc68f1808ba59b839e9b22af,jun,2018,cool,auto,Oak Lawn,710.0630797773655,751.9016697588127,751.860853432282,50.0,False,False,False
017bf0f52dcf88c9fc68f1808ba59b839e9b22af,jun,2018,cool,hold,Oak Lawn,726.585557299843,734.1852433281005,734.0675039246468,50.0,False,False,False
01a2696a2dd1f6604ceddc532c7258bb012c9c80,jun,2018,cool,hold,Chicago,744.75,750.0,750.0,90.0,False,False,False
01b1ae4b11ab86edb72579f5d13becddc1a08141,jun,2018,cool,hold,Belleville,779.3170472650027,781.5406266595858,781.5406266595858,0.0,False,False,False
021b821d64f52f5c0e7b342fe7e9400758f33297,jun,2018,auto,auto,Wheaton,731.5,700.0,650.0,45.0,False,False,False
0226314aea5cb3429be1d7e689f48df7ae8ea4bb,jun,2018,cool,auto,Loves Park,742.5441176470588,740.5882352941177,740.5882352941177,20.0,False,False,False
024d58c9fe1c7021a01d2c87a02eb537a54db5a3,jun,2018,cool,auto,Gages Lake,720.2549019607843,740.0,700.0,0.0,False,False,False
024d58c9fe1c7021a01d2c87a02eb537a54db5a3,jun,2018,cool,hold,Gages Lake,703.5890410958904,707.1735159817351,707.1643835616438,0.0,False,False,False
0256e6182609cc0f0185d60bc4053ec75aa68902,jun,2018,cool,hold,Chicago,743.7341137123746,771.6053511705686,771.6053511705686,90.0,False,False,False
025c8e6f011c1734e1666c3b0b9f97a06fdb411e,jun,2018,cool,auto,South Elgin,739.32,741.04,739.12,10.0,False,False,False
0262a7f6c0a87abb92df5bec170a0e8d01c1b886,jun,2018,cool,auto,Macomb,751.6875,751.75,708.25,50.0,False,False,False
0262a7f6c0a87abb92df5bec170a0e8d01c1b886,jun,2018,cool,hold,Macomb,735.5603448275862,741.0,729.5,50.0,False,False,False
028a14b098b99cad2b175f0a06fdc2d1bb737424,jun,2018,cool,auto,Chicago,682.7304347826087,684.8550724637681,684.8550724637681,0.0,False,False,False
028a14b098b99cad2b175f0a06fdc2d1bb737424,jun,2018,cool,hold,Chicago,738.155462184874,740.5882352941177,740.5882352941177,0.0,False,False,False
02c049ceef8c223c6951d9e82cfae255d769d76d,jun,2018,auto,auto,Rolling Meadows,755.375,770.875,684.8333333333334,20.0,False,False,False
02c049ceef8c223c6951d9e82cfae255d769d76d,jun,2018,auto,hold,Rolling Meadows,777.0769230769231,780.7692307692307,678.4615384615385,20.0,False,False,False
02c7c6083b2598193940d11d79ea1818ef980139,jun,2018,cool,auto,Westmont,753.1368421052632,746.3157894736842,688.421052631579,47.0,False,False,False
02c7c6083b2598193940d11d79ea1818ef980139,jun,2018,cool,hold,Westmont,743.9090909090909,740.0,740.0,47.0,False,False,False
