Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
008844c6c1993ea32d6117993fa4c89479fc9db8,aug,2019,cool,auto,Indianapolis,722.3333333333334,770.0,689.3333333333334,40.0,True,False,False
008844c6c1993ea32d6117993fa4c89479fc9db8,aug,2019,cool,hold,Indianapolis,722.1631205673759,748.6099290780141,705.6241134751773,40.0,True,False,False
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,aug,2019,cool,hold,Fort Wayne,729.136505239309,730.3913905409232,730.3913905409232,20.0,False,False,True
00d57801ec029dad25ea93d564eea9c33eed2183,aug,2019,cool,auto,Zionsville,701.3624567474048,701.3767301038063,701.3767301038063,80.0,True,False,False
00d57801ec029dad25ea93d564eea9c33eed2183,aug,2019,cool,hold,Zionsville,708.6741573033707,723.7913322632423,723.7913322632423,80.0,True,False,False
00d8d7ed5119e6930082ae75a2930cd41061ad31,aug,2019,cool,auto,Lafayette,741.8338386901153,740.5518496058218,740.5518496058218,15.0,False,False,False
00d8d7ed5119e6930082ae75a2930cd41061ad31,aug,2019,cool,hold,Lafayette,741.2119771863117,739.2598225602028,739.2598225602028,15.0,False,False,False
01110ff8224d9cc2497faaab84ee30e1c89ba082,aug,2019,cool,hold,New Haven,758.1111111111111,741.0,736.0,88.0,False,False,False
012f17b6aae44693ea867e1234df90dad66a3313,aug,2019,cool,auto,New Whiteland,692.0,690.6458333333334,689.8541666666666,9.0,True,False,False
012f17b6aae44693ea867e1234df90dad66a3313,aug,2019,cool,hold,New Whiteland,708.0,702.8691588785047,702.5514018691589,9.0,True,False,False
018d74b486905b45f7718d428d4ccbdcc1ed6858,aug,2019,auto,auto,Newburgh,747.9010989010989,790.1538461538462,620.7637362637363,0.0,False,False,False
018d74b486905b45f7718d428d4ccbdcc1ed6858,aug,2019,auto,hold,Newburgh,743.2352941176471,730.0,660.0,0.0,False,False,False
022769b8318b36b0df4e5357105aa3929cb2bf37,aug,2019,auto,hold,West Lafayette,725.8853308935651,725.0,705.0,10.0,True,False,True
0243af191e9b553d966f76b048c5d1b54569a866,aug,2019,auto,hold,West Lafayette,722.5205479452055,739.054794520548,663.7534246575342,45.0,True,False,True
02a1380147d643bd0212b5db509c627367e0ddac,aug,2019,auto,auto,Brazil,720.4533551554828,759.4926350245499,653.1505728314239,0.0,True,False,False
02a1380147d643bd0212b5db509c627367e0ddac,aug,2019,auto,hold,Brazil,717.6716981132075,716.0943396226415,649.3584905660377,0.0,True,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,aug,2019,cool,auto,Elkhart,734.3396226415094,736.4056603773585,735.8867924528302,55.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,aug,2019,cool,hold,Elkhart,740.5714285714286,730.5178571428571,729.4464285714286,55.0,False,False,False
031f25c7848665a7ec50fb960ff6cdf1eacb6a90,aug,2019,auto,auto,Crawfordsville,732.9595070422536,733.0,683.0,115.0,False,False,False
03206870da9d3e8eb1804d07265573b9286b876a,aug,2019,cool,hold,Garrett,719.5576360444704,719.6091281451141,719.6073727325921,25.0,False,False,False
03206870da9d3e8eb1804d07265573b9286b876a,aug,2019,heat,hold,Garrett,689.0,690.0,690.0,25.0,False,False,False
03364e38efbbde15f6155c6460bc19c102997d7f,aug,2019,auto,auto,Fort Wayne,718.7663551401869,716.5742471443406,639.5451713395638,0.0,False,False,False
03364e38efbbde15f6155c6460bc19c102997d7f,aug,2019,auto,hold,Fort Wayne,718.9730517115805,713.6438455935906,635.0691915513474,0.0,False,False,False
033e2670927a37f3143d3c786d72c6104e003c5d,aug,2019,auto,auto,Bloomington,706.4130434782609,710.5434782608696,647.1739130434783,0.0,False,False,True
033e2670927a37f3143d3c786d72c6104e003c5d,aug,2019,auto,hold,Bloomington,717.4397705544933,726.8814531548758,635.753346080306,0.0,False,False,True
