Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004a8ed2edb250a5a1c876d076227bbb8a2a2135,dec,2018,auto,auto,Fort Wayne,742.6263736263736,799.3406593406594,749.3406593406594,30.0,False,False,False
008844c6c1993ea32d6117993fa4c89479fc9db8,dec,2018,heat,auto,Indianapolis,690.208,743.936,673.416,40.0,True,False,False
008844c6c1993ea32d6117993fa4c89479fc9db8,dec,2018,heat,hold,Indianapolis,686.1220472440945,730.1102362204724,682.988188976378,40.0,True,False,False
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,dec,2018,heat,auto,Fort Wayne,705.875,729.5357142857143,713.1785714285714,20.0,False,False,True
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,dec,2018,heat,hold,Fort Wayne,717.6030534351145,722.2656488549618,722.2656488549618,20.0,False,False,True
00d57801ec029dad25ea93d564eea9c33eed2183,dec,2018,heat,auto,Zionsville,685.7664148750727,686.6740267286461,686.5090063916327,80.0,True,False,False
00d57801ec029dad25ea93d564eea9c33eed2183,dec,2018,heat,hold,Zionsville,674.9242424242424,676.8282828282828,676.2643097643098,80.0,True,False,False
00d8d7ed5119e6930082ae75a2930cd41061ad31,dec,2018,heat,auto,Lafayette,729.5044742729307,731.9463087248322,731.9463087248322,15.0,False,False,False
00d8d7ed5119e6930082ae75a2930cd41061ad31,dec,2018,heat,hold,Lafayette,735.8912951167728,738.6709129511677,738.6700636942675,15.0,False,False,False
012541df7fdb611af3407a002ed91ac976b5dd36,dec,2018,heat,hold,Marion,643.6857142857143,652.2,650.5714285714286,20.0,False,False,True
01af5cad636b3a2d9a5882fc4592d6ab02e6107f,dec,2018,heat,auto,Fort Wayne,522.3187772925764,795.5458515283843,680.0,115.0,False,False,False
022769b8318b36b0df4e5357105aa3929cb2bf37,dec,2018,auto,auto,West Lafayette,745.4199814986124,768.2192414431082,748.2192414431082,10.0,True,False,True
022d22da33555a0569fde07629d395b09ee3b566,dec,2018,heat,auto,Carmel,657.8598901098901,700.0,660.2747252747253,27.0,True,False,True
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,dec,2018,heat,auto,Elkhart,660.1525423728814,770.1073446327683,620.4971751412429,55.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,dec,2018,heat,hold,Elkhart,699.578947368421,703.9122807017544,702.5087719298245,55.0,False,False,False
031f25c7848665a7ec50fb960ff6cdf1eacb6a90,dec,2018,auto,auto,Crawfordsville,717.0281531531532,780.0,717.2297297297297,115.0,False,False,False
03206870da9d3e8eb1804d07265573b9286b876a,dec,2018,heat,hold,Garrett,699.8863272494397,701.2769772654499,701.2769772654499,25.0,False,False,False
03b90a1250d900046ebabcb7554e28695c072e59,dec,2018,auto,hold,Greenwood,672.2291666666666,713.0208333333334,663.0208333333334,15.0,False,False,False
048b9832c31257e1cc9f28289a4d736a74ddc494,dec,2018,heat,auto,Indianapolis,653.493273542601,744.6681614349776,665.4215246636771,15.0,False,False,False
048b9832c31257e1cc9f28289a4d736a74ddc494,dec,2018,heat,hold,Indianapolis,681.8666666666667,680.0,680.0,15.0,False,False,False
04af846372540f9a88972085ed1359f6b36561e3,dec,2018,heat,auto,Evansville,646.3573221757322,650.0058577405857,642.0451882845189,55.0,True,False,True
04af846372540f9a88972085ed1359f6b36561e3,dec,2018,heat,hold,Evansville,647.5303514376997,650.3514376996806,641.1009584664537,55.0,True,False,True
0564fe4c1dfe78efb44d1924a51ce836f915f928,dec,2018,cool,hold,Westfield,711.75,720.75,720.75,5.0,False,False,False
0564fe4c1dfe78efb44d1924a51ce836f915f928,dec,2018,heat,hold,Westfield,715.3469685902119,718.8692476260044,718.8692476260044,5.0,False,False,False
05795c4c87ce721b2b074d24e5bcaa7cf31b2183,dec,2018,heat,hold,valparaiso,681.4487179487179,730.0,730.0,10.0,True,False,True
0581c47077442e686c895c78c6826fa059881d2a,dec,2018,heat,auto,South Bend,681.5,691.0714285714286,689.2857142857143,50.0,False,False,False
0581c47077442e686c895c78c6826fa059881d2a,dec,2018,heat,hold,South Bend,658.0627615062762,681.1087866108786,661.4769874476988,50.0,False,False,False
06012fa39b1552b57b389cdef982742c369b4e0c,dec,2018,heat,auto,Indianapolis,690.09,682.15,683.21,77.0,False,False,False
06012fa39b1552b57b389cdef982742c369b4e0c,dec,2018,heat,hold,Indianapolis,691.2352941176471,689.6470588235294,689.2941176470588,77.0,False,False,False
06297d28e769e14512cc8644ae2a873b27b96bf8,dec,2018,auto,hold,Westfield,675.9786476868327,735.0,675.0284697508897,15.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,dec,2018,heat,auto,Fishers,691.6086404066074,693.4269377382465,693.3913595933926,16.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,dec,2018,heat,hold,Fishers,687.5773392743475,688.6957352005093,688.6909611712285,16.0,False,False,False
06841d0e4c770a377aa1b0c31e08f4267a071e79,dec,2018,auto,auto,Indianapolis,697.2,756.4,632.6,0.0,False,False,False
06841d0e4c770a377aa1b0c31e08f4267a071e79,dec,2018,auto,hold,Indianapolis,690.9821428571429,725.5892857142857,673.9107142857143,0.0,False,False,False
068dad0971140dfcf0a94ecfd34ce4f3d96590db,dec,2018,heat,auto,Indianapolis,678.1823529411764,680.0,680.0,0.0,False,False,False
068dad0971140dfcf0a94ecfd34ce4f3d96590db,dec,2018,heat,hold,Indianapolis,678.2795643153527,680.0,680.0,0.0,False,False,False
06a481b80ff8bf3f29bdfe7bb56a191215c7df0e,dec,2018,heat,hold,TELL CITY,668.1666666666666,680.0,680.0,0.0,False,False,False
06f297e9823e502899f0f05cffcdb55445eaac96,dec,2018,heat,auto,Ogden Dunes,669.0333333333333,780.0,670.0,65.0,False,False,False
06f297e9823e502899f0f05cffcdb55445eaac96,dec,2018,heat,hold,Ogden Dunes,648.6666666666666,725.3333333333334,640.0,65.0,False,False,False
076bee46685981455a52d6eed3b25d862393a6ed,dec,2018,heat,auto,Fort Wayne,663.78125,679.6875,660.28125,40.0,False,False,False
076bee46685981455a52d6eed3b25d862393a6ed,dec,2018,heat,hold,Fort Wayne,678.2675831202046,678.145780051151,678.145780051151,40.0,False,False,False
07ec20da280ff2048816ea7995d8210dbc9a72cf,dec,2018,heat,auto,Indianapolis,721.4909090909091,730.0,730.0,25.0,False,False,False
08168438e843382526bd4c50dee9fdf45132e003,dec,2018,heat,auto,Monroe,681.52,714.0,689.08,60.0,False,False,False
08168438e843382526bd4c50dee9fdf45132e003,dec,2018,heat,hold,Monroe,682.3809523809524,690.8571428571429,689.0952380952381,60.0,False,False,False
084a565204e8d97a885f46acc4decbf150343c09,dec,2018,heat,auto,Muncie,675.9428571428572,680.0,680.0,55.0,False,False,True
084a565204e8d97a885f46acc4decbf150343c09,dec,2018,heat,hold,Muncie,686.1470588235294,688.8235294117648,688.8235294117648,55.0,False,False,True
084ead8a30f7010886b6a781a4c6843030ca1a4b,dec,2018,heat,hold,Granger,693.7381703470031,700.1514195583596,698.9652996845426,37.0,False,False,False
090761f23e8d4477b906d995a705d14672bdc582,dec,2018,auto,auto,Speedway,677.8318584070796,744.1504424778761,669.7168141592921,70.0,False,False,False
090761f23e8d4477b906d995a705d14672bdc582,dec,2018,auto,hold,Speedway,678.6420664206642,740.9114391143911,677.5055350553506,70.0,False,False,False
09b3cf838accc845d708d7a2fe8ea9cb451e0401,dec,2018,heat,auto,Greenwood,648.7737704918032,653.311475409836,648.983606557377,26.0,False,False,False
09b3cf838accc845d708d7a2fe8ea9cb451e0401,dec,2018,heat,hold,Greenwood,649.9053129931615,650.7837980010521,650.7827459231983,26.0,False,False,False
0a07ce3faf0cced3b4ede2eeda5cb027b24514af,dec,2018,auto,auto,South Bend,723.9423076923077,796.4038461538462,732.5769230769231,80.0,False,False,False
0a07ce3faf0cced3b4ede2eeda5cb027b24514af,dec,2018,auto,hold,South Bend,729.4285714285714,828.3333333333334,777.5714285714286,80.0,False,False,False
0a07ce3faf0cced3b4ede2eeda5cb027b24514af,dec,2018,heat,auto,South Bend,750.8732057416267,760.1854066985646,759.3385167464115,80.0,False,False,False
0a07ce3faf0cced3b4ede2eeda5cb027b24514af,dec,2018,heat,hold,South Bend,753.3181818181819,761.5206611570248,760.8698347107438,80.0,False,False,False
0a38511271f5686446d016a3899b20e8f9bbee8b,dec,2018,auto,auto,charlestown,711.9547374773688,750.0,710.1991550995775,5.0,False,False,False
0a38511271f5686446d016a3899b20e8f9bbee8b,dec,2018,auto,hold,charlestown,711.0801963993454,750.0,710.0,5.0,False,False,False
0a62461ac15b45ccc6a2c25edbf56b83398d80fc,dec,2018,heat,hold,Granger,712.6807453416149,715.6347826086957,715.5428571428571,50.0,False,False,False
0a7bdd59797fcaca17c34974f86fdbec03c7b8a1,dec,2018,heat,hold,Fishers,696.3571428571429,700.0,700.0,15.0,False,False,False
0acb3c0b389865b32f2052338b557ecb89ff9636,dec,2018,heat,auto,Brownsburg,705.9180327868852,710.0737704918033,709.860655737705,10.0,False,False,False
0acb3c0b389865b32f2052338b557ecb89ff9636,dec,2018,heat,hold,Brownsburg,707.0898203592815,708.5389221556886,708.5389221556886,10.0,False,False,False
0addaa02c8219c215c682f01da1fe3af3e869858,dec,2018,heat,auto,Valparaiso,706.9111111111112,780.0,710.0,5.0,False,False,False
0b027b31f97cb3b1b2703524a69e0766963e47f9,dec,2018,heat,auto,New Haven,672.3544668587896,730.0,672.0461095100865,5.0,False,False,False
0b7052541e2c265a9dc449514cc9de7319e527b2,dec,2018,auto,auto,Zionsville,689.0604982206406,752.5622775800712,687.55871886121,0.0,True,False,False
0b7052541e2c265a9dc449514cc9de7319e527b2,dec,2018,auto,hold,Zionsville,657.8212426240889,747.9048941339812,656.9298854564387,0.0,True,False,False
0b91cf846b75b85c715bed28b00b92590969d5a1,dec,2018,auto,auto,Batesville,683.7222222222222,770.0,672.5,30.0,True,False,False
0ba38a62a7b6c238fb9db719bb02feb30784b489,dec,2018,auto,auto,zionsville,689.3837209302326,750.1046511627907,690.0,5.0,False,False,False
0bf34bdda8a702dece8cb7d51643db95b4e2a1ca,dec,2018,heat,auto,Westfield,677.5512195121951,672.0975609756098,671.0243902439024,0.0,False,False,False
0bf34bdda8a702dece8cb7d51643db95b4e2a1ca,dec,2018,heat,hold,Westfield,688.3546798029556,682.1551724137931,681.5985221674877,0.0,False,False,False
0c06aac9bc4966e8f0288a5882009c433fb5564e,dec,2018,heat,auto,Burns Harbor,663.2365875109939,663.5883905013193,663.5883905013193,17.0,False,False,False
0c141a4a1ba8fd54c2d6cee2fd6cd4528b639d17,dec,2018,auto,auto,Westfield,667.2843665768194,780.0,668.2228212039532,0.0,False,False,False
0c141a4a1ba8fd54c2d6cee2fd6cd4528b639d17,dec,2018,auto,hold,Westfield,642.2045454545455,780.0,633.1107954545455,0.0,False,False,False
0c702e17cf604b9107d498adaeef02ec0d83c65b,dec,2018,heat,hold,Kouts,662.7341463414634,665.0,665.0,25.0,False,False,False
0c8e915e4df31c5e374baf29cdf7e4ba8decad49,dec,2018,heat,auto,Fort Wayne,765.6825396825396,769.4444444444445,769.7777777777778,20.0,False,False,False
0c8e915e4df31c5e374baf29cdf7e4ba8decad49,dec,2018,heat,hold,Fort Wayne,764.2222222222222,742.4666666666667,742.8222222222222,20.0,False,False,False
0cb655c14cba3e08288442117a42701ca574e684,dec,2018,auto,auto,Lowell,700.1428571428571,760.4285714285714,670.4285714285714,10.0,False,False,False
0cb655c14cba3e08288442117a42701ca574e684,dec,2018,auto,hold,Lowell,691.0434782608696,749.104347826087,662.6,10.0,False,False,False
0cfadf820429c90075089cb30db23c2fb63c9668,dec,2018,heat,auto,Crown Point,680.25,670.46875,670.46875,60.0,True,False,False
0cfadf820429c90075089cb30db23c2fb63c9668,dec,2018,heat,hold,Crown Point,667.5702479338843,670.0743801652893,670.0743801652893,60.0,True,False,False
0d241043e1b7571f794aef9ff12a4b0ea3c8d775,dec,2018,heat,auto,Zionsville,681.004761904762,650.0,680.0,20.0,False,False,True
0d241043e1b7571f794aef9ff12a4b0ea3c8d775,dec,2018,heat,hold,Zionsville,668.6842105263158,666.6555023923445,663.665071770335,20.0,False,False,True
0d76fed35a033e3490a55f0f02c50019b58c2d9e,dec,2018,heat,auto,Roanoke,690.4059701492537,692.6955223880597,692.5970149253732,95.0,False,False,False
0de4bebad0c007a31bd3c73db089aad86572f9bd,dec,2018,heat,auto,Indianapolis,659.1,760.0,670.0,35.0,True,False,True
0de4bebad0c007a31bd3c73db089aad86572f9bd,dec,2018,heat,hold,Indianapolis,675.2424242424242,690.6818181818181,689.8030303030303,35.0,True,False,True
0e12abfc20b6584736ce0d933f40b16f52086cda,dec,2018,heat,auto,Indianapolis,694.1901408450705,731.9366197183099,680.5422535211268,90.0,False,False,False
0e12abfc20b6584736ce0d933f40b16f52086cda,dec,2018,heat,hold,Indianapolis,696.5454545454545,697.3766233766233,695.5584415584416,90.0,False,False,False
0e98e4e71e7ba666296c046444f620885638ccfc,dec,2018,heat,auto,Indianapolis,659.643006263048,697.2171189979123,650.5741127348643,65.0,True,False,False
0e98e4e71e7ba666296c046444f620885638ccfc,dec,2018,heat,hold,Indianapolis,671.1125,650.0,640.0,65.0,True,False,False
0f1ec5236db8da5190e65242f8bd75d7a2e02d31,dec,2018,heat,auto,Fishers,644.914309484193,651.8710482529118,641.1788685524126,0.0,False,False,False
0f1ec5236db8da5190e65242f8bd75d7a2e02d31,dec,2018,heat,hold,Fishers,647.3705245628643,655.4129891756869,646.9725228975853,0.0,False,False,False
0f87b8997f196edbc041224a641b93080e78d75e,dec,2018,heat,auto,Columbus,670.7142857142857,686.0,676.0,5.0,True,False,False
0f8f5afe4e5bfe2c4046aacdf1eab6728de1864e,dec,2018,auto,hold,Columbia City,679.521218011014,740.0,680.0,20.0,False,False,False
102d024ea49f5e0552350bdfbe7f6a821038a5e9,dec,2018,auto,hold,Westfield,697.7058823529412,771.8406072106262,700.0,15.0,False,False,False
10db8cd6edcd48af89d19465394cfb7e9118d461,dec,2018,heat,hold,Clarksville,691.5714285714286,680.4761904761905,680.1904761904761,55.0,False,False,False
11199942cd00d404d594645cc970e5af6e94095c,dec,2018,cool,hold,Zionsville,740.0,703.6666666666666,703.6666666666666,5.0,False,False,True
11199942cd00d404d594645cc970e5af6e94095c,dec,2018,heat,auto,Zionsville,712.0387673956262,716.1391650099404,716.1391650099404,5.0,False,False,True
11199942cd00d404d594645cc970e5af6e94095c,dec,2018,heat,hold,Zionsville,720.448275862069,731.1034482758621,731.1034482758621,5.0,False,False,True
116a7ed169a3b104d1709c744a553c9c45b79299,dec,2018,heat,hold,Indianapolis,710.7194244604317,710.0,709.9928057553957,110.0,False,False,False
11830308e2c4e4a658d3b90cb8d558d76605ea71,dec,2018,heat,auto,Carmel,674.8717948717949,719.2307692307693,678.9358974358975,0.0,False,False,True
11830308e2c4e4a658d3b90cb8d558d76605ea71,dec,2018,heat,hold,Carmel,587.2394366197183,669.0281690140845,540.7852112676056,0.0,False,False,True
11904bdbc576c9eaebdbc42b0de887e10a7fff40,dec,2018,heat,auto,Indianapolis,719.1428571428571,760.0,720.0,100.0,False,False,False
11904bdbc576c9eaebdbc42b0de887e10a7fff40,dec,2018,heat,hold,Indianapolis,707.6666666666666,691.060606060606,691.060606060606,100.0,False,False,False
1190cea8eddc17c4fd59ebd66e0148f867425ae5,dec,2018,heat,hold,New Palestine,700.4444444444445,702.1045751633987,702.1045751633987,20.0,False,False,False
11ab10eacf31184e4c564d15961912c3d9f8bb19,dec,2018,heat,hold,Indianapolis,675.4977862112587,680.9819734345351,680.9819734345351,17.0,True,False,True
