Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
001ee7bc7dadf001cb59b2aad6f5ff2bc3b15d43,jul,2021,cool,hold,South Bend,708.78,703.6,703.6,50.0,False,False,False
004a8ed2edb250a5a1c876d076227bbb8a2a2135,jul,2021,cool,hold,Fort Wayne,754.4565217391304,740.4347826086956,740.2173913043479,30.0,False,False,False
008844c6c1993ea32d6117993fa4c89479fc9db8,jul,2021,cool,hold,Indianapolis,740.8692810457517,739.5163398692811,739.2156862745098,40.0,True,False,False
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,jul,2021,cool,hold,Fort Wayne,743.3105263157895,751.4929824561403,751.4929824561403,20.0,False,False,True
00d57801ec029dad25ea93d564eea9c33eed2183,jul,2021,cool,hold,Zionsville,699.3409523809523,704.4019047619048,704.4019047619048,80.0,True,False,False
00d8d7ed5119e6930082ae75a2930cd41061ad31,jul,2021,cool,hold,Lafayette,732.5463604852687,735.3457538994801,735.3457538994801,15.0,False,False,False
01110ff8224d9cc2497faaab84ee30e1c89ba082,jul,2021,auto,hold,New Haven,765.1206896551724,748.051724137931,676.4137931034483,88.0,False,False,False
012f17b6aae44693ea867e1234df90dad66a3313,jul,2021,cool,hold,New Whiteland,702.0743243243244,700.0,700.0,9.0,True,False,False
018d74b486905b45f7718d428d4ccbdcc1ed6858,jul,2021,auto,hold,Newburgh,722.3422459893048,719.0427807486631,662.7540106951872,0.0,False,False,False
022d22da33555a0569fde07629d395b09ee3b566,jul,2021,auto,hold,Carmel,716.8928571428571,721.2857142857143,646.7857142857143,27.0,True,False,True
0243af191e9b553d966f76b048c5d1b54569a866,jul,2021,cool,hold,West Lafayette,731.6666666666666,739.875,739.25,45.0,True,False,True
026f1e0683686c5367a184ed195a0002d47b4d2c,jul,2021,auto,hold,Westfield,694.5151515151515,690.060606060606,650.0,22.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,jul,2021,cool,hold,Elkhart,726.4675324675325,729.6363636363636,729.4805194805194,55.0,False,False,False
