Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,jun,2017,cool,auto,Fort Wayne,720.9963503649635,721.081204379562,719.4297445255474,20.0,False,False,True
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,jun,2017,cool,hold,Fort Wayne,716.0696378830083,717.6471680594243,717.6397400185701,20.0,False,False,True
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,jun,2017,heat,auto,Fort Wayne,719.8095238095239,720.0,720.0,20.0,False,False,True
00d57801ec029dad25ea93d564eea9c33eed2183,jun,2017,cool,auto,Zionsville,681.7226624405705,684.7099841521394,680.9952456418383,80.0,True,False,False
00d57801ec029dad25ea93d564eea9c33eed2183,jun,2017,cool,hold,Zionsville,681.3976470588235,686.4635294117647,686.4635294117647,80.0,True,False,False
022769b8318b36b0df4e5357105aa3929cb2bf37,jun,2017,auto,auto,West Lafayette,720.0578034682081,715.364161849711,695.364161849711,10.0,True,False,True
022769b8318b36b0df4e5357105aa3929cb2bf37,jun,2017,auto,hold,West Lafayette,728.241452991453,719.758547008547,699.034188034188,10.0,True,False,True
022769b8318b36b0df4e5357105aa3929cb2bf37,jun,2017,cool,hold,West Lafayette,725.2374686716792,722.422932330827,722.422932330827,10.0,True,False,True
02a6ed0d605bca3f4b79a87443ef7cbb3df24099,jun,2017,auto,auto,Indianapolis,752.04,820.0,640.0,90.0,False,False,False
02a6ed0d605bca3f4b79a87443ef7cbb3df24099,jun,2017,auto,hold,Indianapolis,700.5714285714286,701.8095238095239,640.0,90.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,jun,2017,cool,auto,Elkhart,735.6814516129032,813.2298387096774,625.4516129032259,55.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,jun,2017,cool,hold,Elkhart,726.5538461538462,720.0,720.0,55.0,False,False,False
033e2670927a37f3143d3c786d72c6104e003c5d,jun,2017,auto,auto,Bloomington,676.5833333333334,730.0,650.1666666666666,0.0,False,False,True
033e2670927a37f3143d3c786d72c6104e003c5d,jun,2017,cool,auto,Bloomington,724.0714285714286,730.0,650.0,0.0,False,False,True
033e2670927a37f3143d3c786d72c6104e003c5d,jun,2017,cool,hold,Bloomington,702.7586206896551,728.0689655172414,727.7241379310345,0.0,False,False,True
039909bdfbda1c62898ef54624a44987206967ca,jun,2017,cool,auto,Avon,706.2153110047847,701.3923444976076,680.0,5.0,False,False,False
039909bdfbda1c62898ef54624a44987206967ca,jun,2017,cool,hold,Avon,712.9163498098859,709.0,708.9315589353612,5.0,False,False,False
048b9832c31257e1cc9f28289a4d736a74ddc494,jun,2017,cool,auto,Indianapolis,732.058064516129,720.4064516129032,645.2903225806451,15.0,False,False,False
057b5cd9f9ecb658b44d017df7cb142edd9073db,jun,2017,cool,auto,Lafayette,739.1290322580645,760.9677419354839,720.0,5.0,False,False,False
057b5cd9f9ecb658b44d017df7cb142edd9073db,jun,2017,cool,hold,Lafayette,730.5833333333334,730.0,730.0,5.0,False,False,False
05a86795bb1e24207de7807a3fa02736e1a02c61,jun,2017,auto,auto,Reelsville,748.0,753.0,650.0,15.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,jun,2017,cool,auto,Fishers,727.2222222222222,738.2261904761905,712.3611111111111,16.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,jun,2017,cool,hold,Fishers,734.8273716951788,737.4020217729393,737.357698289269,16.0,False,False,False
06a481b80ff8bf3f29bdfe7bb56a191215c7df0e,jun,2017,cool,hold,TELL CITY,705.3421052631579,690.3947368421053,689.8684210526316,0.0,False,False,False
06b91f1980cac9b6acc18366a8672ad3fc2d0b6f,jun,2017,cool,auto,Indianapolis,750.4545454545455,760.0,710.0,60.0,False,False,False
06b91f1980cac9b6acc18366a8672ad3fc2d0b6f,jun,2017,cool,hold,Indianapolis,731.5833333333334,720.1666666666666,719.9166666666666,60.0,False,False,False
06f297e9823e502899f0f05cffcdb55445eaac96,jun,2017,auto,hold,Ogden Dunes,719.25,711.25,650.0,65.0,False,False,False
076bee46685981455a52d6eed3b25d862393a6ed,jun,2017,cool,auto,Fort Wayne,713.1021711366539,712.9029374201788,712.9106002554279,40.0,False,False,False
076bee46685981455a52d6eed3b25d862393a6ed,jun,2017,cool,hold,Fort Wayne,718.6445536445536,720.8091728091728,720.8091728091728,40.0,False,False,False
07ec20da280ff2048816ea7995d8210dbc9a72cf,jun,2017,cool,auto,Indianapolis,714.3969072164948,720.0309278350516,720.0309278350516,25.0,False,False,False
07ec20da280ff2048816ea7995d8210dbc9a72cf,jun,2017,cool,hold,Indianapolis,725.6654175588865,730.0,730.0,25.0,False,False,False
084ead8a30f7010886b6a781a4c6843030ca1a4b,jun,2017,cool,hold,Granger,775.3617021276596,766.9787234042553,766.9787234042553,37.0,False,False,False
09b3cf838accc845d708d7a2fe8ea9cb451e0401,jun,2017,cool,auto,Greenwood,738.8680904522613,735.571608040201,724.1256281407035,26.0,False,False,False
09b3cf838accc845d708d7a2fe8ea9cb451e0401,jun,2017,cool,hold,Greenwood,732.1566125290024,727.3636890951276,727.3491879350348,26.0,False,False,False
0a07ce3faf0cced3b4ede2eeda5cb027b24514af,jun,2017,cool,auto,South Bend,798.2,740.0,740.0,80.0,False,False,False
0a62461ac15b45ccc6a2c25edbf56b83398d80fc,jun,2017,cool,auto,Granger,745.3865546218487,774.1176470588235,670.6274509803922,50.0,False,False,False
0a62461ac15b45ccc6a2c25edbf56b83398d80fc,jun,2017,cool,hold,Granger,740.9967213114754,740.7213114754098,739.2622950819672,50.0,False,False,False
0acb3c0b389865b32f2052338b557ecb89ff9636,jun,2017,cool,auto,Brownsburg,706.5833333333334,711.6666666666666,719.4,10.0,False,False,False
0acb3c0b389865b32f2052338b557ecb89ff9636,jun,2017,cool,hold,Brownsburg,706.8064516129032,715.747311827957,715.747311827957,10.0,False,False,False
0b027b31f97cb3b1b2703524a69e0766963e47f9,jun,2017,auto,auto,New Haven,688.1854493580599,684.2268188302426,631.7788873038517,5.0,False,False,False
0b027b31f97cb3b1b2703524a69e0766963e47f9,jun,2017,auto,hold,New Haven,683.1304347826087,680.6521739130435,630.0,5.0,False,False,False
0b027b31f97cb3b1b2703524a69e0766963e47f9,jun,2017,cool,auto,New Haven,689.4916943521595,680.172757475083,639.2624584717609,5.0,False,False,False
0b027b31f97cb3b1b2703524a69e0766963e47f9,jun,2017,cool,hold,New Haven,762.0,675.0,671.0,5.0,False,False,False
0bf81dbb417c91732f9bbe4970ba0288f0f2b6ee,jun,2017,cool,hold,West Lafayette,759.7073170731708,720.5365853658536,719.5853658536586,16.0,False,False,False
0de4bebad0c007a31bd3c73db089aad86572f9bd,jun,2017,cool,hold,Indianapolis,732.4583333333334,730.0208333333334,729.9375,35.0,True,False,True
0e8f0bfb3db1fda2777a5171a55a4535bb5a2d87,jun,2017,auto,hold,St John,778.0,756.0,693.0,10.0,False,False,False
0e8f0bfb3db1fda2777a5171a55a4535bb5a2d87,jun,2017,cool,auto,St John,762.3656108597285,757.7927601809955,754.3674208144796,10.0,False,False,False
0e8f0bfb3db1fda2777a5171a55a4535bb5a2d87,jun,2017,cool,hold,St John,781.978021978022,728.4395604395604,728.2417582417582,10.0,False,False,False
0e98e4e71e7ba666296c046444f620885638ccfc,jun,2017,cool,auto,Indianapolis,729.0059523809524,730.0,730.0,65.0,True,False,False
0e98e4e71e7ba666296c046444f620885638ccfc,jun,2017,cool,hold,Indianapolis,729.9766046790642,730.0,730.0,65.0,True,False,False
