Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
007057fb45e64d4163560e034a08f5a949d56fb7,aug,2020,cool,auto,Overland Park,716.4032258064516,713.8467741935484,707.9516129032259,39.0,True,False,False
0151c36b94d654ae2ec0ae5d5693c45376258e4c,aug,2020,cool,auto,Westwood,709.6129032258065,704.6774193548387,685.1612903225806,0.0,True,False,False
0151c36b94d654ae2ec0ae5d5693c45376258e4c,aug,2020,cool,hold,Westwood,720.8867924528302,698.566037735849,698.3396226415094,0.0,True,False,False
01a0d7a563a1755d37bb856a01a56e452deb2010,aug,2020,auto,hold,Olathe,718.8,720.0,670.0,30.0,False,False,False
025ec7c58b524de74d8986f4896917c31052701a,aug,2020,cool,auto,Overland Park,720.8921568627451,720.0,720.0,5.0,False,False,True
040d6c9344f910f2b175c7c92f64603273763d40,aug,2020,cool,auto,Lawrence,716.0,710.25,709.2083333333334,20.0,False,False,False
040d6c9344f910f2b175c7c92f64603273763d40,aug,2020,cool,hold,Lawrence,739.6875,746.6458333333334,745.4583333333334,20.0,False,False,False
04d52a58092dd063dbbb459a21501edad9ce2f23,aug,2020,auto,auto,manhattan,730.1147540983607,730.0,680.0,5.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,aug,2020,auto,hold,Overland Park,709.0,731.0,619.0,55.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,aug,2020,cool,hold,Overland Park,723.3831168831168,723.2857142857143,722.7337662337662,55.0,False,False,False
053f08cf425de6461b017d70d840886d55428505,aug,2020,cool,hold,Paola,696.758377425044,697.899823633157,697.899823633157,59.0,False,False,False
05690c952f81cab7baedcdbbb308b5acfd087908,aug,2020,cool,auto,Valley Center,734.0,720.0,720.0,0.0,False,False,False
05690c952f81cab7baedcdbbb308b5acfd087908,aug,2020,cool,hold,Valley Center,736.6847826086956,734.0217391304348,734.0217391304348,0.0,False,False,False
05c6ae50f2939a645132321a527e82a5d93a72f3,aug,2020,cool,auto,De Soto,726.7714285714286,740.0,740.0,20.0,True,False,False
05cbf471d47f7abcdd01918a83328d8e91aef891,aug,2020,auto,auto,Overland Park,780.0,716.0,666.0,50.0,False,False,False
05fecbb5bdf6954f8c9e276a775864b470487ec9,aug,2020,cool,auto,Lenexa,695.711943793911,699.884074941452,643.5222482435597,39.0,False,False,False
075b62cd783d248ed03b42acca748423acadea6f,aug,2020,cool,auto,Wichita,697.6152263374486,697.2378600823046,697.2378600823046,60.0,False,False,False
075b62cd783d248ed03b42acca748423acadea6f,aug,2020,cool,hold,Wichita,695.8510638297872,695.7781155015198,695.7781155015198,60.0,False,False,False
07b7cbd7ed06d79376fd9aa538873524297d0cf6,aug,2020,auto,auto,Holton,735.9285714285714,674.7142857142857,624.0714285714286,0.0,False,False,False
07b7cbd7ed06d79376fd9aa538873524297d0cf6,aug,2020,auto,hold,Holton,734.0,674.0,624.0,0.0,False,False,False
084de11308d3d8abbb83ac0ce159d35bc7514e11,aug,2020,auto,auto,Wichita,723.3513513513514,729.8185328185328,630.0,20.0,False,False,False
084de11308d3d8abbb83ac0ce159d35bc7514e11,aug,2020,auto,hold,Wichita,722.3627858627858,727.7889812889813,630.0,20.0,False,False,False
08fbf93151571bcff4a92730a7a12ced84aa1acb,aug,2020,cool,hold,Merriam,732.4583333333334,730.0208333333334,729.7916666666666,70.0,False,False,False
094835bf52d59cab4862d0be55adaf076cdbade1,aug,2020,cool,auto,Manhattan,712.8550724637681,710.0253623188406,709.8152173913044,15.0,False,False,False
094835bf52d59cab4862d0be55adaf076cdbade1,aug,2020,cool,hold,Manhattan,726.6247544204322,724.892927308448,724.6247544204322,15.0,False,False,False
0a0c921c64075a99634bba944268509634f3db59,aug,2020,cool,hold,Mission,729.25,700.0,700.0,79.0,False,False,False
0a67e15ce820d5a14826dcac5d177901b239b093,aug,2020,cool,hold,Olathe,766.9206349206349,789.7301587301587,789.031746031746,20.0,False,False,False
0c044dcc4c06796fecf960243a0beb47819e1f97,aug,2020,auto,auto,Kansas City,793.864637565078,818.7945534641569,709.4633560272326,40.0,False,False,False
0c044dcc4c06796fecf960243a0beb47819e1f97,aug,2020,auto,hold,Kansas City,737.5247524752475,740.039603960396,690.0,40.0,False,False,False
0c0f153a1d88e4a3d6ca7225ab0adae23f335e2b,aug,2020,auto,auto,Washington,735.7978723404256,730.0,680.0,45.0,False,False,False
0cb9cd3a3523d733fbba2a587127efacb610a225,aug,2020,cool,hold,Overland Park,707.7471264367816,707.4137931034483,707.4137931034483,55.0,True,False,False
0d272d92755b070012671046e9a402b99d708651,aug,2020,cool,hold,Augusta,696.7076923076924,692.4897435897436,691.776923076923,48.0,False,False,False
0df67c652a9c4ac6231a01f431e132497f04a552,aug,2020,cool,auto,Lenexa,713.4444444444445,700.0,700.0,59.0,True,False,False
0df67c652a9c4ac6231a01f431e132497f04a552,aug,2020,cool,hold,Lenexa,702.3867924528302,700.0,700.0,59.0,True,False,False
0eca67cf200de5b4d02589a471f886c9e9a82611,aug,2020,cool,auto,Olathe,711.4918032786885,713.0491803278688,682.7213114754098,19.0,True,False,False
0eca67cf200de5b4d02589a471f886c9e9a82611,aug,2020,cool,hold,Olathe,721.0496183206106,721.3416030534352,709.8416030534352,19.0,True,False,False
0fa3af1b5e4e3ffcdc7834fdd41157c6951bff55,aug,2020,cool,hold,Leawood,725.2883823994935,732.5204178537512,732.5204178537512,27.0,False,False,False
1064b7ae6c4f1f7b2048cab9a5d31951ebc1f0b4,aug,2020,auto,auto,Pratt,760.08,754.8,704.8,50.0,True,False,False
106e480c80d2b010a6d6ae41bcf0c44c31c56fa1,aug,2020,cool,auto,Wichita,729.8712121212121,730.0,730.0,19.0,False,False,False
106e480c80d2b010a6d6ae41bcf0c44c31c56fa1,aug,2020,cool,hold,Wichita,736.3825214899714,735.1561604584527,735.1203438395415,19.0,False,False,False
11a8bd55743cd89c1482d4caad224b0e0812b722,aug,2020,cool,auto,Overland Park,735.4137931034483,772.7586206896551,653.2758620689655,60.0,False,False,False
11a8bd55743cd89c1482d4caad224b0e0812b722,aug,2020,cool,hold,Overland Park,734.52,697.28,695.2,60.0,False,False,False
131f10ff612cd31c441d8041e6712e3505af2c69,aug,2020,cool,auto,shawnee kansas,721.9064814814815,720.0,720.0,20.0,False,False,False
140220e967676847166978e3cc645831b06b5ec1,aug,2020,auto,auto,Topeka,746.0416666666666,782.5,637.5,0.0,False,False,False
140220e967676847166978e3cc645831b06b5ec1,aug,2020,auto,hold,Topeka,727.1117216117216,724.3479853479854,630.0,0.0,False,False,False
141516a35237e2490e07f491a7fa7843690dcf09,aug,2020,cool,auto,Olathe,728.8333333333334,715.0,715.0,20.0,False,False,False
154fd9684671c1f7bf152428154034b8f627ce0f,aug,2020,cool,hold,Leawood,705.7368421052631,705.1052631578947,705.2631578947369,0.0,False,False,True
156d5b478eef9e68f665fd0870c6af83b08af1fb,aug,2020,auto,auto,Lenexa,750.5,750.0,660.0,45.0,False,False,False
156d5b478eef9e68f665fd0870c6af83b08af1fb,aug,2020,auto,hold,Lenexa,730.1462450592885,729.0158102766799,670.0,45.0,False,False,False
1782d4f95ece46d0ff87a9ffa44d0137338b7181,aug,2020,cool,auto,Spring Hill,739.9552845528456,735.4024390243902,684.6178861788618,57.0,True,False,False
1782d4f95ece46d0ff87a9ffa44d0137338b7181,aug,2020,cool,hold,Spring Hill,729.5568698817107,729.5414012738853,729.4303912647862,57.0,True,False,False
17a4fafdbe5477ccb91c4a1eed234598658b6609,aug,2020,auto,hold,Wichita,715.6470588235294,710.0,660.0,19.0,False,False,True
17d7754da7f018c551fc2e60ff5ce9a860d1a780,aug,2020,auto,auto,Chanute,703.0462962962963,700.0,630.0,15.0,False,False,False
17d7754da7f018c551fc2e60ff5ce9a860d1a780,aug,2020,auto,hold,Chanute,726.1440677966102,726.6952074810052,653.6499123319696,15.0,False,False,False
1836312e78a27b23ffa8c4c6dc3b6ceac2e0b92a,aug,2020,cool,auto,Lenexa,705.3703703703703,700.0,700.0,40.0,True,False,False
185f3ce45777d71f032a8dbd83a2146a7aee3755,aug,2020,auto,auto,manhattan,728.4354838709677,700.0,650.0,9.0,False,False,False
185f3ce45777d71f032a8dbd83a2146a7aee3755,aug,2020,auto,hold,manhattan,721.9583333333334,720.0,670.0,9.0,False,False,False
1902dc7d6f00c525a2249420d56d43aa4b942898,aug,2020,auto,hold,Shawnee,718.8226744186046,710.0,650.0,0.0,False,False,False
19312ea5c479726ab20bc94dab99d074e0e063d2,aug,2020,auto,auto,Gardner,755.3207547169811,747.9245283018868,668.8679245283018,17.0,False,False,False
